vond001jose05_01.TEI.2.text.body.div.head.163.s.1	jozef in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.2	ai , schaem uw zo te vragen .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.3	Hoe dikwijls hebben hij wij hekelen , en bedragen , En listig aengebracht , om plasdanck te begaan , En alles een troetelkind in vader harden te staan .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.4	Dan zien ik d'oude manna zien over wij verstoren , En jozef krijgen een ' ruk vinden velerhande kleur , alles een verdiend lot , voor zulk een ' kinderplicht .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.5	wie hebben al het geknor , hebben grauw , het zuur gezicht .	EmotionalAction_BodyPart_BodilyProcess_Dissapointment_Anger
vond001jose05_01.TEI.2.text.body.div.sp.417.s.6	nul onrust vinden het slachten , zo langen gij , alles een dooier , wij in doen teen steken , zien ik geren rusten baren .	None
vond001jose05_01.TEI.2.text.body.div.sp.421.s.1	doen janhen zijn nog dom en wulps , en vader suffen .	None
vond001jose05_01.TEI.2.text.body.div.sp.425.s.1	Neen dom hebben zijn hebben niet , die blijken aen zijn vernuft .	None
vond001jose05_01.TEI.2.text.body.div.sp.429.s.1	doen jaar zullen hij nog lederen en betomen .	None
vond001jose05_01.TEI.2.text.body.div.sp.434.s.1	alles hij zien meest make , en waar maken al deze droom , Waermee zijn tong al het huis , ja zelf zijn ouder sarren ?	None
vond001jose05_01.TEI.2.text.body.div.sp.438.s.1	hij raaskallen .	None
vond001jose05_01.TEI.2.text.body.div.sp.443.s.1	of ontdekken al het geren hij broed in het harden , arglistig poogende zijn broeder te verpletten .	Suspicion_Emotion_BodyPart_BodilyProcess_Spitefulness
vond001jose05_01.TEI.2.text.body.div.sp.447.s.1	waar het zo , ik zij ' er zien eendrachtig tegen zet .	None
vond001jose05_01.TEI.2.text.body.div.sp.452.s.1	zo zijn hebben meer dan tijd .	None
vond001jose05_01.TEI.2.text.body.div.sp.456.s.1	die opzetten blijken niet klaar .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.1	zo klaar , gelijk doen dag .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.2	hoe , zijn het niet openbaar ?	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.3	lid op doen droom een , die hij nog lest vertellen .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.4	hij denken , wie binden vasten doen schoof in de vellen : Zijn schuiven rijzen overeind .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.5	wassen Judas oor torn doof ?	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.6	wij schoof neighden het hoofd eerbiedig voor zijn schuiven .	BodyPart_Awe
vond001jose05_01.TEI.2.text.body.div.sp.468.s.7	wie schutten vasten hebben hoofd en d'ooren , die het zien belghden , En zulk een ' bitter drank de booswichts node verzwelghden .	Offended_Emotion_EmotionalAction_BodyPart_Anger
vond001jose05_01.TEI.2.text.body.div.sp.468.s.8	wie roepen : gij allee zullen ons al hoofd En koning zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.472.s.1	gij zijn te dwaas , die die geloven .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.1	En hij lachen in zijn vuist , en terregde wij nog echter , Zijn ouder , en al het huis , en maken het zo velen slecht .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.2	ik dromen , spreken hij , ik zien te nacht doen zinnen en manen , En ellef ster , mede geboge hoofd , staan Om ik , en voor ik ' glans haar helder straal strijken .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.3	Wat dunken uw , broeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.4	zeg , zijn die nog donker blijk vinden heerszucht , die hij drijven ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.5	wie horen euvel toen , En klagen het vader zelf : die kijven kwansuis : wel hoe , Wat dromen zijn die ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.6	zullen gij , gelijk een vorst in het mijden , u moer , broeder , en ik u ' hoogheid aen zieden bidden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.7	Zwijgh stillen vinden zulk een kouten .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.8	berocken ik geren strijd .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.9	het zijn kinderwerk : goed heen .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.10	meer volgen ' r niet .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.11	o spijt !	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.12	nul spijt !	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.13	hij heulen mede hij , die nog zijn schuld verdadight .	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.1	ik wensen allee , die gij u zin wat bezadight , En rijden plaetze gunnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.2	deze zijn hebben jongstekint , naast Benjamin .	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.3	wanneer steken jonkheid na bewind ?	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.4	Wat broeder verkloeken zijn broeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.503.s.1	ai broeder , lopen niet ver , deze aard na vader , die hij voorlicht , alles een ster .	None
vond001jose05_01.TEI.2.text.body.div.sp.503.s.2	doen looste en gauwste maken de domsten tot zijn knechten , goed mede de zege door , en hebben geboorterecht ; En Esau boete te spade die groots verliezen mede traan .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.1	ik hebben die op ik tong , en denken uw op te manen mede vader , uitgeleerd in deze doortrapt kunst ; Die weten zijn moeder , deze weten nu zijn vader gul , Tot smaad de broeder , behendig te misbruik : En schutten ik het niet , het goed vasten , wie zullen moet duiken , En buigen onder hij .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.2	wij die niet zien , zijn blind .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.3	wij ander slaaf willen zijn ; ik zijn zo niet zinnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.4	ik laat ik lang mede geren droom ringeloren .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.5	wie zijn zo goed alles hij , en vinden een stam baren .	None
vond001jose05_01.TEI.2.text.body.div.sp.521.s.1	mede rijden , trappen hij , eer hij wij op het hart trappen .	None
vond001jose05_01.TEI.2.text.body.div.sp.521.s.2	lachen al die droom uiten : beschimpen zijn wetenschap .	None
vond001jose05_01.TEI.2.text.body.div.sp.525.s.1	deze stuk willen over het land uiten al toren kraaien .	None
vond001jose05_01.TEI.2.text.body.div.sp.529.s.1	Hier zijn geren haan omtrent .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.531.s.1	Iu	None
vond001jose05_01.TEI.2.text.body.div.sp.533.s.1	Hoe zullen ik vader paaien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.539.s.1	mede logen en bedrog : zijn hier voor onbevreesd .	None
vond001jose05_01.TEI.2.text.body.div.sp.539.s.2	wij niet stofferen kunnen , ontbreken of brein of geest .	None
vond001jose05_01.TEI.2.text.body.div.sp.539.s.3	ik stro die enig wild hij levend hebben verslinden .	None
vond001jose05_01.TEI.2.text.body.div.sp.543.s.1	En komen deze aen de dag ; en worden deze vals bevinden .	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.1	Dan wijd raad leven : nu nergens in dutten .	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.2	ik breken hij straks de nek , en offeren het lijf een ' putten , velen jaar nooit gebruiken , daar niemand koome , of zelden .	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.3	wij melden die stuk , indien wie zelf hebben slechts niet melde ?	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.4	Allang genoeg beraden , een ieder geven zijn stemmen .	None
vond001jose05_01.TEI.2.text.body.div.sp.557.s.1	zo het Ruben niet bestemmen , hebben al deze werk geren klemmen .	None
vond001jose05_01.TEI.2.text.body.div.sp.557.s.2	hebben moeten een parigh gaan , of deze koord zij breken .	None
vond001jose05_01.TEI.2.text.body.div.sp.557.s.3	ik vraag de oudsten raad : hij komen : ik gade hij spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.562.s.1	gade heen , mare zien wel toen , nog maken hebben niet te langen .	None
vond001jose05_01.TEI.2.text.body.div.sp.562.s.2	wan wij wij tegenstemt , goed liggen de zelf gang .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.564.s.2	Ruben .	None
vond001jose05_01.TEI.2.text.body.div.sp.566.s.1	gij komen nu rechte vinden passen , om met u stemmen te geven .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.568.s.1	Ru .	None
vond001jose05_01.TEI.2.text.body.div.sp.570.s.1	waar toen tocht ?	None
vond001jose05_01.TEI.2.text.body.div.sp.575.s.1	jozef komen : ik raetslaeght om hij het leven Te nemen , en een ' poel te dempen mede zijn lijf .	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.1	ik haar staan te berg , en al ik lid stijf .	BodyPart_BodilyProcess_Disgust
vond001jose05_01.TEI.2.text.body.div.sp.587.s.2	nul gruwelijk daad !	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.3	staan vinden ik : treden niet nader .	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.4	wie broeder voortgeteelt , vinden een zelf vader , wie takken vinden een ' stam , doen klauw zo verwoed Aen ons broeder slaan ; te plas in die bloed ; hebben vaderlijk harden in broeder barsten doorstoten ; die oude koud manna vinden het waard panden ontbloten .	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.5	ik gruwelen die ik het horen : om god willen , zwijgh tocht stillen .	None
vond001jose05_01.TEI.2.text.body.div.sp.592.s.1	En of ik zwijgh of spreken , het zijn al broeder willen .	None
vond001jose05_01.TEI.2.text.body.div.sp.592.s.2	hebben vonnissen worden vellen : ik zullen ' er rechte met doorgaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.599.s.1	met doorgaan ?	None
vond001jose05_01.TEI.2.text.body.div.sp.599.s.2	laat een zieden : ik zullen die janhen voorstaan , En eest verdedigen , zo langen ik ademen scheppen ; zo langen ik harden in het lijf , en bloed in d'adren hebben .	None
vond001jose05_01.TEI.2.text.body.div.sp.599.s.3	vervloekt ' er stuk wereld nooit vinden mens voornemen .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.1	zijde roep vasten : slaan achten op zijn verwaand droom .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.2	hij arbeiden elk de voeden te zet op de strot .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.3	doen blind vader eren gelijk een aerdschen god , die troetelkind , het welk wij zo eerlijk af kunnen maal , En lusten scheppen , om het gezin en ieder te behalen .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.4	Wat jozef doen , die zijn wel : wie aanzien het straks verkerft .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.1	Wat schelmstuck rechte ik aen , die niet en worden verven , En mede een ' glimp versieren ; mare of ik het sier mede woord ; Hoe schonen ik deze vergulden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.2	ik liggen mede broedermoorden geren eer in , alzo langen ik ergens mens vinden , Die nog in rijden staan .	Honor_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.639.s.3	doen droom vinden een kind Bestellen die nu stof , om dus , alles woest dier , alles wolf op een lam , te huilen en te tier ?	EmotionalAction_Hatred_Envy
vond001jose05_01.TEI.2.text.body.div.sp.639.s.4	Misgunt ik het grijs hoofd ; die hebben mede Rachels kroos Wat spelen , voor het einde zijn ouderdom vertroosten , mede zulk een wintervrucht ?	Emotion_Envy
vond001jose05_01.TEI.2.text.body.div.sp.639.s.5	wat hinderen die wij al ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.6	het zijn vader zinnelijkheid , die zijn op het kind geval .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.7	Natuur hebben deze knaap wat meer dan wij gunnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.8	het Gewas vallen niet alleens : en achten ik deze een punten Wel waardig , om zo zwaar te weg en te wikke ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.9	Om het harden tot woeden , doen vuist tot moord aen te prik hebben hij de vader iets gulhartig aengebraght ; Zijn mening wassen nooit kwaad , of niet , gelijk ik het achten , En opnemen , om terstond zo grimmig op te stuiven .	HeavyHeartedness_Emotion_EmotionalAction_Hatred_BodyPart_BodilyProcess_Anger
vond001jose05_01.TEI.2.text.body.div.sp.639.s.10	die kind zijn zonder gal , gelijk doen simpel duif .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.11	Een bloem , vinden zestien jaar , of nauwelijks zeventien , Te trap op hebben veld , daar het god en d'Englen zieden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.12	ai broeder , hoornaer ik : laat die gedachte varen .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.13	Al hebben hij schuld , verschonen de janhen , om zijn jaar , Om zijn onnozelheid , om vader half , of Om god , die het leven geven , en ademen blazen in het stof .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.14	En ( hebben ik iets verdiend ) verschonen hij mijn half , En helpen ik , na u macht , die wrok die wond zalf .	Emotion_BodyPart_Sadness_Spitefulness
vond001jose05_01.TEI.2.text.body.div.sp.648.s.1	zullen ik , om Josephs willen , ik steken in gevaar vinden het leven ?	None
vond001jose05_01.TEI.2.text.body.div.sp.648.s.2	neen , die pak vallen mijn hals te zwaar .	None
vond001jose05_01.TEI.2.text.body.div.sp.648.s.3	lusten uw een proeven te doel , tot redding vinden zijn leven ; beginnen vrijen ; ik zullen uw daar in niet tegenstreven , nog het vonnissen hinderen ; mare aenzien mede geduld hebben algemeen besluiten , zo draegh ik schade nog schuld .	None
vond001jose05_01.TEI.2.text.body.div.sp.652.s.1	bieden gij ik niet doen hand , die vlek zullen op uw kleven .	None
vond001jose05_01.TEI.2.text.body.div.sp.656.s.1	laat kleven , eer ik ik mede jozef helpen om het leven .	None
