vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.3	wij klooster zingen , en klingt , en zijn niet meer verheugen Op het allerhoogst feest en heilig jaar getije , vuren vinden al doen kerk , te eer vinden Marije , doen zuiver moedermaeght , en Christus , haar zode , Die wij verlossen aen het kruis , en dragen een doornekroon , alles nu om uwent willen , die vinden doen wreed plaag de goddeloos krijg verlossen zijn en ontslaan : Nu al u vijand verbaasd zijn doorgaan , En laten tent , tuig , en hun hut staan , En al , wat zijde meer u volk te besteden geven .	Joy_Emotion_EmotionalAction
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.4	ik geloven god engel hebben de vijand wechgedreven , alles het heir de Assyriers , die zijn vermetel stemmen Hiskia horen laten , tot voor Jeruzalem , hebben welk in een nacht zo wonderlijk verkeerd , torn een , die het al regeren , die stof hij verleren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.5	Hoe menig dreigement , en vloek hebben ik horen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.6	Wat hebben ik gift en gal braken , en branden en mogen tieren , en het gans jaar schelden , en krijten , Niet ander , of zijde uw mede tand woud eten !	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.7	d'Een zetten uw levend en ketenen op een rad : Een ander rollen uw naakt in Velzens spijckervat : Een ander wouw u hoofd , u beckeneel , verguld , En vat hebben in goud . het wassen bijster hoeze brulden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.8	zijde delen bloed voor wijn , u vlees voor voedsel uiten , Krackeelden om het ramen , en dingen na u huid , En woud die god oud op een ketel span , Tot endeloozen schrikken vinden schelm en tiran : mare god zijde eeuwig dank die hun boos hebben schutten .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.505.s.1	Gys .	None
vond001gysb04_01.TEI.2.text.body.div.sp.517.s.1	die d'opperste beschermen , hebben een vasten stutten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.517.s.2	Godtvruchte vader , die uw god en Christus loon , naardien doen broeder zien mede uw zo gunstig toon Te ik woerd , ik vertrouwen u vurig gebeen Die aanzien dag en nacht voor mijn stad gestreen , doen storm afkeren , en het vieren vinden ons dak ; wan wapen zijn onnut , zo d'engelen niet waken , En het ijverig gebed vinden het geestelijcke volk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.517.s.3	Wat hangen uw over het hoofd een droef en donker wolk vinden zwarigheen , terwijl hier het leger hebben liggen : gei zijn niet misgedeelt in zijn oorloghs mild zege .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.519.s.1	willen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.526.s.1	geren haar zijn wij krenken , geren overlasten gebeuren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.526.s.2	ik hebben hebben klooster nooit in zijn dienst gestoord .	None
vond001gysb04_01.TEI.2.text.body.div.sp.526.s.3	wie aanzien staegh volhardt in ons oude ijver : doen boomgaard lijden geren schade aen vrucht , nog doen vijver Aen vis , nog doen kerk aen d'alderkleenste ruiten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.531.s.1	wij hebben dan de soldaets baldaedigheit stuiten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.531.s.2	Wat houden zo korten in dwang die breidelloos gans ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.539.s.1	mede geren inlegering wouw Egmont wij belasten : Behalve die hij zelf en zijn lijfwacht met , Die altijd tuchtigh zijn , hier nemen zijn legerstede , En boven ons poort , laten aanslaan zijn graeven wapen , daar wie in zekerheid rusten op mogen slapen .	Aquiescence_Emotion_Trust
vond001gysb04_01.TEI.2.text.body.div.sp.548.s.1	die doen ik wel , gelijk een lijfelijk luchten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.548.s.2	ik zelf en al doen stad wassen meest om uw beducht , En vrezen ofge langen verjagen woerd , en plunderen .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.548.s.3	mare vader , zeg ik een ; een ieder zijn verwonderen , waarom het verbitterd heir zo onvoorziens vertrekken , En lief niet volharde in het opzetten vinden zijn ' wrok .	Emotion_Vindictiveness_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.552.s.1	Verwonder uw niet een , doen node hebben heen dringen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.556.s.1	ik burger liggen stillen , en het leger onbesprongen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.564.s.1	vinden buit wel , mare niet vinden binden die gei het weten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.564.s.2	hebben winteren fel , wanneer een wolf de ander eed : zo gaan in het leger toen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.564.s.3	believen hebben uw te horen , Al het geren ik hebben horen mede deze ik eigen oor , En mede mijn oog zelf zien nog deze dag ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.568.s.1	eerwaard vader , spreken , ik lustre na het verslag .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.1	naar die ik d'oversten een wijlen hebben horen mompelen vinden Amsterdam , al stillen , bij duister t'overrompelen , rijzen tussen Diederick en Egmont een krakeel , die uitbarsten meer en meer : een ieder trek een delen vinden het krijgsvolck op zijn zijde , en zoeken hebben stuk te stijf , En na zijn eigen hoofd de aenslagh door te drijven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.2	velen Hoplien yverden te slissen hebben geschil .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.3	mare Diedriek , harden vinden hoofd , die nimmer luisteren willen na rijden , nog bescheid , en het vellen behoud mede krijten , wereld trots , overmits doen lang klaas vinden Kyten , doen Sparrewouwer reus , zo onbeschoft alles groots , In al wat hij drijven hij helpen en bijstand bieden , En Egmont mede zijn kolk en grof stemmen vervaren , hij drijven mede een vuist , die hij een wijlen te aarde In zwijmen lach en voor dood .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.4	die moedwil en die honen , de veldheer aandoen , gaan veel aen zij kroon , En zonder hebben ontzag de reus , fel bijten , ik hebben elckanderen terstond in het haar zitten , En onder een banier wraakgierig aengerant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.5	ik razen een heel week .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.6	doen twisten , hebben misverstand , En misvertrouwen wassen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.7	daar sporrelden doen zin .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.8	ik vrezen minnen doen stad , en meer verraden vinden binden ; Tot die al d'oversten verzaemelden helen stillen In het klooster , deze dag , tot slechting vinden het geschil : Doch al vergeefs : ik wassen velen eer zinnen te vechten , En deze onesfenheit mede degen te beslechten , Dan rekkelijk , en bedaard , te luisteren na verdrag .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.9	ik tradt'er in de hopen , gelijk ik zomwijl plegen , En spreken heen toen , en brengen aldus heen aen het bedaren : Manhafte hoplien , god willen het leger lang sparen , In onderling peis , hebben enig dat'er mogen u vijand , wij het ook zijde , gedijen tot ontzag .	Emotion_Awe
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.10	doen tweedracht zijn een passen , die al staat te schromen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.11	gedenken die uw doen stad , die het ruiken , op het lijf zullen komen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.12	Wat middel zijn ' er , om de Aemstel het hoofd te bieden , Nu elk , wantrouwigh , d'een na d'ander om moeten zieden ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.13	gei zijn , eer het iemand gisten , slaan of gevangene .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.14	Wanneer doen herder dwaelt , wat pad , wat recht gang , kunnen d'arme kudde gaan ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.15	dus maken een korten besluiten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.16	verdragen hebben schedel , of schorten de krijgen , en scheit'er uiten , En keren vinden waar gei quaemt : waar toen velen werk beginnen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.17	berokkenen zo velen spel , alles het niet waard afgesponnen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.18	ik merken die ik raad niet weinig hier vermogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.19	ik nemen ik woord in .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.20	zijde krijgen achterdocht , En zorg voor gevaar vinden u gesteurde wal , En die doen burgerij en lantzaet uiten mogen val .	Suspicion_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.21	daar lopen een klein gerucht , gei woerd al op doen been .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.22	doen dootschrick quam'er in .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.23	ik rukken het heir bij een .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.24	ik brak al heimlijck op , en zonder enig tekenen vinden hoorn en trompetten , of hut in branden te steken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.629.s.1	gei hebben doen stad , en ik geren ' klein dienst gedaan ; Een deugd die nimmer zullen uiten ik gedachte gaan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.629.s.2	gedenken ik in het gebed voor u altaar te goed .	None
vond001gysb04_01.TEI.2.text.body.div.sp.633.s.1	doen lief jezus neeme uw eeuwig in zijn hoeden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.635.s.1	arend zan Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.635.s.2	Gysbrecht vinden Aemstel : Vosmeer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.637.s.1	HEer broeder , zijn rusten , en luiden vinden vreugde doen klokken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.641.s.1	waar zijn hebben heir ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.641.s.2	hoe ver ' woerd gei hebben nagetrocken ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.643.s.1	Ar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.645.s.1	Omtrent een booghscheut weg aen geren zijde Slooterdijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.649.s.1	Hoe gaan het uw op de tocht .?	None
vond001gysb04_01.TEI.2.text.body.div.sp.658.s.1	zijde stuiven al gelijk Voor uiten , alles voor de wolf een kudde onnozel schaap .	None
vond001gysb04_01.TEI.2.text.body.div.sp.658.s.2	ik volk hoeven op die tocht geweer nog enig wapen , En keren mede rijk buiten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.658.s.3	doen Kermers scheen stom : wan hoe ik het vechten zoeken , zijde zien niet een om , En rekken vasten zij pad , vinden dootschen schrikken bezitten .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.665.s.1	nooit kraeide haan , alles hij doen kammen wassen afbijten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.665.s.2	nooit basta een doch , mare druipen helen stillen , alles hij het verliezen , mede intrekken staart , en hangen oor , door .	None
vond001gysb04_01.TEI.2.text.body.div.sp.665.s.3	Wat vogelen brengtge dus knevelen , en gevleugeld ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.672.s.1	hebben zijn een uiten doen vluchten vinden het vluchtig geveugelt , grijpen buit dijx , daar steken hij in hebben slijk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.672.s.2	Hoe beven hij ! het aengezicht zien dood en bleek vinden schrikken .	Fear_Emotion_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.672.s.3	hij zijn slepen , sleuren , en hebben velen smaets lijden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.1	Een woedend gemeente en staat in rechte nog rijden , Wenze iemand over mogen .	Emotion_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.2	ik brengen hij hier voor ik .	None
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.3	wij zijn gei ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.4	uiten wat land ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.680.s.1	Vos .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.1	Heer Gijsbrecht , strafme vrijen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.2	ik zijn vinden zijn vyants volk , en waardig om te sterven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.3	ik hebben met zoeken u stad en burger te verderven , En duizentmael verdiend een schandelijk dood .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.4	ik geven ik in u hand , persen door hogen node .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.5	ik ramp willen Kennemer en Waterlant behagen : mare ik zullen doen dood vinden uw mede minderen smarten verdragen Dan vinden ik eigen volk , die zien ondankbaar tonen , En ik ' getrouw dienst zo onrechtvaerdigh lonen .	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.695.s.1	Wat zijtge voor een gast ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.695.s.2	of in wat land baren ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.1	ik zijn een Goyers kind , verval in god toorn , Te Laren opvoeden . ik ontlopen mijn ouder vroeg .	Emotion_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.2	ik vader vielme harden , wan ickme passelijk dragen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.3	ik hebben al ik leven lang gevolleght vreemd heer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.4	En buit moet het geren ik thuis niet willen lederen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.5	doen bitter armoede hebben ik hersenen wetten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.6	ik hebben menig stuk versieren , en het lijf daar naar zetten , Om door een braaf daad of aenslagh op te raken , En door een ander schade een ik fortuin te maken !	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.7	mare altijd heeftze ik de rug toegewent ; Doch nooit zo dwars alles lest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.8	god schikking , ik bekennen het zijn sterk dan doen mens , of zijn geboortestarre : En of wij brein iets boud , zijde stoten hebben al om ver , En goed een ander gang .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.9	mede wat een listigheit , mede wat een ' rijp raad wassen d'aenslagh aengeleit , Om te vermeesteren u langen bestormen muur .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.10	zo Vosmeer na zijn ' zijn die schip hebben mogen sturen , gelijk hebben bij hij lach , zijde hebben , hebben zijn zijn , gewinnen in een uur door list , die in een jaar Door uiterlijk geweld nog storm wereld veroveren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.11	hebben schijnen die d'oversten verblind zijn en betoveren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.723.s.1	staan op en helen ik niets vinden al wat gei weten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.1	Nu zijn ik immers vrijen vinden hollands dier eed , En Egmont kunnen ik hier niet heet of verbieden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.2	hij dreigtme mede doen dood , en perstme hier te vlijen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.3	ik aenslagh zijn mislukken , en ijdel en onnut .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.4	Heer Gyzelbrecht , genade .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.5	ik geven ik in u schutten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.6	gei kuntme , wiltge slechts , een vriend en vader strekken , naardien ik uw het verraden volkomen willen ontdekken , En hoe het scheren lach , in zijn krijg geheim raad , Tot ondergang vinden uw , en uw heel staat .	None
vond001gysb04_01.TEI.2.text.body.div.sp.739.s.1	ontbinden de knechten , zo mogen hij onverhindert spreken .	None
