huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.16	Ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.17	laten uw tocht bewegen ; En denken om het naberouw , die uw ontstellen zullen , alles gei te laten zullen zieden , die gei allee de vallen de griek hebben verhaasten , en zonder mededogen uw zelf verraen hebben , tot vermeerd'ring vinden het vermogen vinden uw vijand .	Emotion_Compassion_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.18	alles het kwaad zijn uitvoeren , zieden wij ons schuld eest , die wij dan te laten ontroeren .	Emotion_Compassion_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.19	voorkomen die wroeging dan vinden u ontrust weten : willen eindelijk u toren , hoe wel gronden , vergeten .	Emotion_BodyPart_Anger_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.20	geven , geven wij het leven weder , en tonen , in deze staan , die doen eer uw Vaderlands uw nog te hart gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.1	Hier in allee zijn ik aan hij verplichten , ik ' heer , die hij ik nog mede u ' bezending willen vereren , Twee held , ik zode woerd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.2	mare , wild doen vriendschap ik , nog uw , hier spreken doen , ik ' vriend ; het staan ik vrijen , die ik uw ronduit zegg ' , die niets ik zullen bewegen ; schonen Agamemnon zelf , bekommeren en verliggen , Verzeld vinden het gans heir , ik aanbadt .	Worry_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.3	neen , ik ' ziel gedenken nog aan die honen , die zij zode pijnlijk vallen .	Offended_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.4	Wat danken bewyst ik ik voor ik gedurig strijd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.5	Voor al doen moeite , die ik mede vreugde hebben wil leiden ?	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.6	Die zien bedekken hout in de node , en nauwelijks uiten zijn ' tent komen , hebben nochtans zijn delen ook in de buiten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.7	doen dapperste zien om een bloodaard zien versmaden : slepen sterven de roemen vinden zijn Heldendaaden mede zien in het graf , terwijl een ander woord beschreid , Die nimmer blijk geven vinden doen minst dapperheid .	EmotionalAction_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.8	Wat schikken ik over , vinden hebben gene ik , door gevaar En duizend moeilykheen , wel eer weten te vergaren ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.9	Niets .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.10	Ik zijn het evenwel , die zode langen achter een , mede zulk een ijver , voor doen griek hebben gestreen , Die twintig stellen rondom Troje hebben verslagen , En uiten doen zelf zode velen schat wegge gedragen : Die schat nochtans , het lot vinden mijn dapperheid , hebben ik mede eerbied voor doen voeren neergeleid vinden Agamemnon zelf , die , in zijn ' tent blijven , hebben minst gevaar niet hebben lopen vinden zijn leven ; Die al de buiten krijgen , ik en mijn volk een delen , te pryz ' vinden ons deugd , vereren vinden het geheel , En d'een en d'ander ook daar naar iets hebben schenken , wie vroomheid in de strijd vooral hebben uitblinken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.11	Elk hebben de prijs nog , die hij vinden zijn ' hand ontvangen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.12	Ik zijn het alleenig , die doen bits nijd hij dwingen het geven wederom te ontneemen , ja te ontroven mede schennis en mede kracht .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.13	Dus zijn het , die hij ik boven al ander hebben stellen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.14	dus zijn hebben , die hij tonen , Hoe hij doen dapper na zij verdiensten lonen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.15	mare wat zijn doen oorzaak , die wie Troje dus bestrijden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.16	die wie hebben grieks volk al hier zode velen doel leiden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.17	zijn het niet , om Helena aan Menelaus weder Te geven , hij ontroven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.18	vinden hij hier door zijn eer Beledigd , en mogen ik ik ook niet vinden hij beklagen , die hij ik al ik ' vreugde en wellust hebben ontdraagen , torn hij Brizeis uiten mijn arm hebben rukken ?	Offended_Joy_Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.19	woord Troje , om het schaken vinden een ' Vrouw , dus onderdrukken vinden hij , die ik doen mijn , o smaad !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.20	zelf hebben ontnemen , En hij , die ander straffen , hebben die zelf niet te schromen ?	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.21	Ik achten zij , schonen slechts ik ' gevangen , alles mijn Vrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.22	Nu hebben hij ik vinden doel ; en zenden uw vol vinden rouw , Om ik , zijn het mogelijk , te bewegen door u smeken .	Emotion_EmotionalAction_BodilyProcess_Moved_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.23	Neen , zijn ' trouweloosheid zijn ik eens genoeg blijken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.24	Ik kennen hij al te wel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.25	hebben zijn vergeefs , die hij ik weder te winden zoeken door list of veinzerij , die hij mede ander thans doen middel bedenke , En maake , die doen vlammen doen grieks vlieden niet krenken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.26	hebben hij ik niet gezond , hij zij ik de Trojaan zieden drijven in doen stad , of op hebben veld verslaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.27	ik zij hij meer dienst doel , alles zijn ' gracht of muur , verheffen , Om weder door Hectors arm te aarde te zijn drijven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.28	mare zijn toen zode velen reden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.29	gaan , mijn vriend , gaan , En zeggen hij , die ik nooit ik degen of ik raden Voor hij besteden zullen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.30	hij hebben ik een bedriegen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.31	doen tweedemaal zullen het hij mislukken . ik sluiten mijn oog Voor het medelijden .	Emotion_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.32	die hij sterve , en gaa te grond , Die , ik te spijt , zode groots een gruwelstuk bestaan !	Emotion_Remorse_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1392.s.1	ajax	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.1	u ' gramschap steunen op reden .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.2	mare kunnen nog Hectors zege , nog het uiterst gevaar de griek uw bewegen ; laten hij dan zelf , die u toren dus weten te voeden , uw weder bevredigen , nu hij uw willen voldoen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.3	hij willen zien eindlyk voor doen rijden neerbuigen ; En bieden uw aan , voor al hebben leger te betuigen , die gei gezond zijn , en die hij uw hebben misdoen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.4	Hier bij bieden hij uw zelf nog velen geschenk aan , Die woerd zijn uiten doen hand vinden zulk een Vorst te komen , En vinden Achilles zelf te worp aannemen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.5	Verscheiden ' vaazen , schonen en kostelijk vinden stof , mare schoon door doen kunst de meester , die zijn lof Door zulk een werkstuk deedt tot aan doen ster rijzen : Een ' gift , die zelf Jupyn niet vinden doen hand zij wijze : mede twaalf paard , witten alles doen eest geval sneeuw , In snelheid alles een winden , in moede elk alles een leeuw , Die honderdmaal doen zorgen vinden hun Heer betalen , Wanneer zijde in hebben perk de eerst prijs behaalden : mede zeel maagd , schonen vinden lezen en vinden zichten , In het frischste vinden zij ' jeugd , weer oog , alles hebben liggen de heet middagzon , doen fierste hart blaken : Brizeis , die u ' ziel voor ander kunnen vermaken , Brizeis , doen eedle vrouw , aan wij die bits honen geschieden zijn , uw te spijt , door Atreus fier zode , zullen zij geleiden , zijn Achilles het zullen begeren .	Offended_Emotion_BodyPart_BodilyProcess_Desire
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.6	mare denken niet , die doen Vorst zij ooit bestaan te onteren : nul neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.7	tot zulk een ' smetten wassen nooit zijn ' ziel bekwaam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.8	Ja zulks zullen hij uw zelf betuigen , in de naam vinden het gans Godendom , wie klaar en alziend oog zijn zeggen en zijn doel aanschouwen uiten de hogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.9	deze al , zode hier door u ' gramschap woord verzachten , woord aanstonds , op zijn order , in uw tent brengen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.10	deze zijn voor deez ' tij .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.11	naar het veroveren de wal vinden het moedig Ilium , zullen hij uw onder al nog twintig maagd zelf aanbieden , die allee In schoonheid zwichten voor doen aanminnig Heleen , uiten Vorstelyken bloed , en die zij ' schoonheid paar mede deugd zonder vlek , in het bloeien vinden zij ' jaar .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.12	nog niet vernoegd door deez ' voldoening vinden die honen , bieden hij uw zelf nog aan de naam vinden zijn zode Te aanvaarden , alles wie weder in Argos zullen komen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.13	Wat kunnen hij meer doel , om u ' gramschap in te tomen ?	Emotion_Anger
