noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz doen Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.sp.338.s.2	Voorzien vinden weinig volk die wij geloven belyd , omringen vinden heidenen , genegen tot de strijd , Door volk welk groots getal , aan doen uitgestrekt zoom vinden het Westlyke Afrika , mede rijden zijn te schromen ; Op welk geschroeiden huid en hoogst misvormen gelaten Natuur een verf verspreiden mede rechte door wij gehaat ; welk bloeden vinden het vuur de zinnen , zetelen in deze orde , Een hitte ontlenen die slechts zien tempren laten door moord , En schaars zien koel laten , dan in het velen koud bloeden vinden wij , weer heerschappij het , zijn ondank , eren moeten ; En welk verwoedheid heen zode ver ' zien doen verlopen , die zijde , uiten vrekheid , wij zij bloeden , alles slaafs , verkopen : Door zulk geboefte omringen , verwijderen vinden wij landen , houden ' hier doen vrezen allee doen woestheid in de band .	Fear_Emotion_Hatred_BodyPart_BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.sp.338.s.3	Een diep ontzag , vergen vinden onze landgenoot , moeten in deze zwart gespuis het ontzag voor wij vergroten .	Emotion_Awe
noms001mich01_01.TEI.2.text.body.div.sp.338.s.4	doen vreugde , die het volk deez ' dagge om ik verheffen uiten , betonen wij die wij volk ik strengheid niet misduiden .	Joy_Emotion_Happiness
noms001mich01_01.TEI.2.text.body.div.sp.387.s.1	doen schynglans vinden een ' rank , ik zode , verblinden uw doen oog : gei kennen hebben volk niet , neen !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.2	door nieuwigheen bewegen , gelijk hebben vlek de zee door het bulderen vinden de winden , zijn het bij elk nieuwigheid tot uiterstens gezind .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.3	het voegen uw doen vreugde de volk op het hoogst bedaard te aanschouwen : Een heerser moeten hebben volk beminnen , en mistrouwen .	Suspicion_Joy_Emotion_Love
noms001mich01_01.TEI.2.text.body.div.sp.387.s.4	geloven ik vrijen , ik zode , hoe vreemd hebben uw ook schijn ' , het Gemeen neigen schaars tot vreugde dan om verheugd te zijn : hebben zien uw deze dagge te toppen vinden staan verheffen ; Dus wanen hebben aan zijn vreugde de tomen te moet geven ; het grijpen een gelegenheid om zien een ' dagge te ontslaan , vinden zorg zijn beroeps te hoogst gretig aan .	Joy_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.387.s.5	hebben redekavelen niet bij het uitlaten tier , Of het goed zien door uw dan ik zullen zieden bestieren ; Genoeg zijn het alles zij harden zien slechts door vreugde verkwikken .	Joy_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.sp.387.s.6	Natuur , die wijselijk werken , hebben deze hoogst wijze schikken : Nooit moeten hebben wuft gemeen zijn ' waar staan bezinnen ; het veel ' schaars doen afhangklykheid , wanneer het die zullen beminnen .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.7	Wat wij betreffen , ik zode ! het aanzienlykst ambt vinden staan zijn een zorgkwekend goed , die in doen dood vergaan .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.8	Hoe uw het gezag bekoor ' , het zijn nog voor ik verbergen Of hij die zien verbinden voor zijn volk geluk te zorg , Of het volk , die blindelings buigen voor doen opperheerschappy , hebben meest beklag verdiend , en slaaf te noemen zijde .	EmotionalAction_Awe
noms001mich01_01.TEI.2.text.body.div.sp.387.s.9	Wat u begrip betreffen vinden zwartzynde onderzaten ...	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.10	Hoe !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.11	voegen wij , Christnen !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.12	heen om hun verfte haten ?	Emotion_Hatred
noms001mich01_01.TEI.2.text.body.div.sp.387.s.13	Natuur , die op bevel haars meester het all ' verrichten , verbinden doen deugd vinden het harden aan het blank nog het zwart zichten .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.14	wie zijn , bestralen door het liggen die zijde , helaas !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.15	ontberen , Verfoeilyker dan zijde , zode wie door dwang heen deren .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.16	doen mens sproot uiten een ' stam : natuur willen dus geren ' dwang .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.17	Doch , deze te zijde ' stellen , bedenken u zijn belang .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.18	doen Brit , baldadig tros op het vreselijk zeevermogen , dreigen wij op nieuw mede een ' de bloedigste oorelogen .	Emotion_Pride
noms001mich01_01.TEI.2.text.body.div.sp.387.s.19	die volk , die in zijn landen al overheersing vloeken , Daar het op doen zee voor zien een overheersing zoeken ; Onwillig ooit rusten een ' konings willen te horen , Daar het zien vinden zijn gelijk ' vernoegd laten ringeloren ; doen vrijheid tegen het hof de koning verweren , En vinden de willen de volk mede drift doen weten begeren ; hebben rijden , door Holmes vlieden , na deze gewest drijven , wij op deze kussen bewijs vinden vijandschap geven .	EmotionalAction_Hatred_BodilyProcess_Desire
noms001mich01_01.TEI.2.text.body.div.sp.387.s.20	wanen gei de neger , eens afkerig vinden u ' dwang , Genegen , en reden te dienst vinden u belang ?	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.1	doen brit , hoe geducht , doel ik in het minst niet schromen : doen Ruiter zijn reden te zee heen op te komen .	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.413.s.2	Die held , die meer dan eens heen doen eer de zege ontdroeg , En menigmaal de schrik in hun vloot jagen , behoeven niet een doen macht de brit aan te rand ; zijn naam allee verschrikken die waterdwingelanden .	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.413.s.3	Die Holmes , het hoofd de vlieden een volk te zee geducht , zijn rijden doen ruiter macht , zelf zonder slag , ontvluchten ; hij durven , schonen ruimen zode sterk , niets mede doen Ruiter waag ...	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.4	Tot Holmes vallen hebben slechts doen Ruiter op te dag !	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.5	Goerede zijn rijden verheerd , en , volgens het jong berichten , hebben nederland admiraal daar doen anker rijden lichten , Om zien tot ons helpen te spoed door doen stroom .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.6	wie aanzien thans voor het eest doen ruiter komst vernemen : het geren vinden zijn wijze beleggen een spreken blijk verstrekken , zijn , die hij deze tocht zode kunstig hebben bedekken .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.7	hij , voor wieden doen overmacht zode dikwyls zijn bezwijken , behoeven geren negerhulp om nederland sinaad te wreken .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.8	zijn zeldzaam krygsgeluk , zijn deugd , zijn dapperheid , zijn roemen , alom bekennen , zijn wonderbaar beleggen , deze al maken de held ontzaglijk in elk oog .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.9	zode hij de bijstand eisen vinden het binnenlandsch vermogen .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.10	geven , Hemel !	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.11	die ik moede de sieren zeeheld blijk ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.1	wensen lief die u deugd doen deugd de helds gelijk ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.2	hij , het hoofd vinden nederland vlieden , vrijmachtig in het gebieden , winden , door bestraffing zelf , hebben harden de oorlogslieden , En temperen steeds , zode het slechts mede doen eer de weten bestaan , doen strengheid vinden doen weten , barmhartig , mede genae .	Emotion_BodyPart_Love_Compassion
noms001mich01_01.TEI.2.text.body.div.sp.443.s.3	trachten , wild gij uw zieden vrezen en tevens aanbidden , die held in het spoor de deugd onwrikbaar naar te tred .	Fear_Emotion_Love
noms001mich01_01.TEI.2.text.body.div.sp.443.s.4	het zijn minzaam ernst , ik zode !	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.5	die meest doen mens vleien , beginnen u landbestier mede goedertierendheid .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.6	tonen altijd groot zuchten tot goedheid dan tot straf .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.7	gei zien uw door het geval gelegenheid verschaffen , Te toon die u harden op het edelst vatbaar zijn Voor het geren een ' held meest eren , die zijn doen deerenis .	Emotion_Compassion
noms001mich01_01.TEI.2.text.body.div.sp.443.s.8	laten bord , die ik eens het wraakzuchtig krygsvermogen vinden het woest Fantynsche volk trouwhartig hebben onttogen , Ja , mede zijn lyfsgevaar , ik , die uw het leven geven , Heldhaftig hebben bevrijden vinden slavernij of graf , torn het negervolk , beroerd door het boos beleggen de brit , Een ' aanval doen op het geren wie op deze kussen bezitten ; laten bord , ( die deze volk , te steunen vinden ons macht , Door moede en wijze beleggen , hebben aan ik zijde ' brengen , ) Door lassen de raad , daar hij een doodslag worden verwaten , verwijzen tot doen koord , te ladder afgesmeten , Doch op een wonder wijze !	Emotion_Loyalty_Vindictiveness
noms001mich01_01.TEI.2.text.body.div.sp.443.s.9	, gelijk gei weten , sparen , worden , andermaal te straf , in het kerkerhol bewaren .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.10	doen raden begeren zijn bloeden ..	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.11	mogen gei die strengheid stuiten !	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.1	Duld datuw zode , mijnheer !	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.2	zijn mening vrijen mogen uiten .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.3	ik beklagen laten Bordes loten ; mare ik beklagen de manna , Omdat ik zulk een loten hij waardig noemen kunnen .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.4	het zijn zijn , zijn heldenvuist ; zijn ijver spaarde uw het leven ; mare kennen deze tot een ' moord die krijgsman vrijheid geven ?	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.5	wan , hoe ik het ook beschouwe , een hatelijk tweegevecht zijn moordery , wat eer doen dwaling daaraan hechten ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.6	gei waard hebben die , te lot zijn moed , die ik moeten rome , hij , vinden gemeen ' soldaat , tot hopman doen benoemen : Dus hebben gei hij betalen voor het geren hij hebben bestaan , zijn misdrijf hebben daarna zijn ' roemen te niet braden .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.7	Gyzelf , gei hebben de raden niet kunne overrijden Deez ' krijgsman niet te doel hebben straftooneel betreden ; En wild gei die u zode zijn landbestier beginn ' mede inbreuk op doen weten , spijt ieder weerzin ?	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.1	Neen , ver ' vinden mede die eisen u ' fier geest te kwellen , wild ik allee uw doel tot uitstel overhellen : wachten tot zijn land admiraal hier aankomen zijn , En smeken die held die hij laten Bordes loten besliss ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.2	doen strengheid vinden doen weten ontzeggen die krijgsman het leven ; Wat ik tot zijn behouden erkentlyk hebben bedrijven , doen meerderheid de raad , doen sterk stemmen de weten , hebben ik hebben sparen vinden de schuldig beletten .	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.3	hebben loten willen uw , ik zode , meer gul dan ik betonen : liggen kunde gei redden hij die ik niet kennen verschonen .	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.4	Wanneer zijn land admiraal , ( mede ongeduld verwachten , ) hebben vonnissen vinden de raden , na mijn wensen , verzachten , zullen nooit doen fier raden zien billijk kunne storen , Om het geren ...	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.1	doen raden zullen nooit vinden uitstel wil horen : Ongaarne zullen ik hij zijn recht af zieden staan .	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.2	ik dringen ik rijden te straffen vinden ik ' gevangene aan .	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.3	Hoe velen ik hier vermogen , ik kunnen ik kwalijk vergen In het groeijend ' landgevaar de raden de land te tergen .	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.4	Indien ik het vonnissen schor , ik kwets hij in zijn eer .	Honor_Emotion
noms001mich01_01.TEI.2.text.body.div.div.head.490.s.1	Tweede toneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.492.s.1	valkenburg , doen jong valkenburg , een hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.494.s.1	doen hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.496.s.1	laten Bordes echtgenoot verzoek gehoor , mijnheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.502.s.1	wijze zij niet af , ik zode .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.502.s.2	tonen zij u mededogen , wezen mede doen traan vinden ellendig bewegen .	Emotion_BodyPart_Compassion_Moved_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.502.s.3	ontzeggen de toegang niet aan treurenden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.1	Welaan !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.2	zijde komen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.3	Ik zijn bereiden om zij te woerd te staan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.4	doemen gei ik ik bestieren , o Hemel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.5	aan te vang mede strijd mede natuur , doen weten en ik belang !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.6	zijn deze ik loten !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.7	ik komen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.508.s.1	Tegen de hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.511.s.1	Tegen zijn ' vader .	None
noms001mich01_01.TEI.2.text.body.div.div.head.519.s.1	Derde toneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.521.s.1	valkenburg , doen jong valkenburg , mevrouw laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.523.s.1	mevrouw laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.1	hebben belge uw niet , mijnheer , die ik op deze dagge , zode gunstig voor uw eer , In het mijden vinden u vreugde om het ambt uw opdragen , bij het algemeen gejuich , uw naderen durven mede klagen .	Offended_Joy_Emotion_EmotionalAction_Unhappiness_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.2	geren sterfling delen zode velen alles ik in u geluk ...	Emotion_Happiness
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.4	delen ook Valkenburg in ik ' gerecht druk !	HeavyHeartedness_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.5	ik zeggen , en deze gerucht doen ik deze uur uw naderen , En jagen elk ogenblik de doodschrik door mijn adren , die gei , op drang de raad , ik ' dierbren echtgenoot Op overmorgen zullen doel straf mede doen dood : zijn het waarheid ?	Fear_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.6	zullen ik hij op nieuw te strafplaats rukken kennen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.1	ik harden nemen waarlijk delen in doen angst die uw druk ; achten ik niet koelen op het zieden vinden uw tranenvloed ; ik zijn daar gevoelig aan , zode velen ik het wees moeten .	Fear_Emotion_BodilyProcess_Compassion_Other_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.2	u ramp spreken in ik harden , gelijk het betamen ; mare echter doen weten en het heilige rechte spreken sterk ; ik zijn recht , En meer , ik zijn hoofd vinden het rechte ; en dus betamen hebben ik die doen inspraak vinden doen weten bij ik steeds heilige zijde .	BodyPart_Compassion
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.3	Ik hebben , zelf deze dagge , deze weten gei , die zweren doen weten te acht , niets dan haar eisen te horen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.4	doen raden verwijzen , uiten naam vinden het rechte , u ' echtgenoot , te straf een tweegevechts , te straf een moords , te dood ; Daar nu doen koord geenszins de schuldig doen sneven , zijn het vonnissen niet volvoeren , dus blijven hebben vonnissen leven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.5	doen moorder hebben zijn schuld niet aan doen weten betalen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.6	intussen zijn nog het uur de doodstraf niet bepalen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.7	vragen ik niets meerder af in deze omstandigheid .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.557.s.1	ik vrouw laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.1	Helaas !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.2	hij zullen dan weer hebben straftooneel betreden !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.3	Ik worden op nieuw doemen te wachting vinden een ' slag Die ik hebben harden verscheuren !	BodyPart_BodilyProcess_Sadness_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.4	Afgrysselyke dagge , Waarop ik echtgenoot , door beul aangrijpen , zien zien , op lassen de raad , te schande en strafplaats sleep , Daar hij hebben smaadlykst loten , o smarten !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.5	wassen toebereiden , Ik zullen uw weerzien , mare mede meer yslykheid !	Emotion_Other
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.6	laten bord , eenmaal alles dood te strafplaatse afnemen , zullen in de beul arm niet anderwerf bekomen !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.7	afgrijselijk loten !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.8	o pijn , die ik hebben harden doorsnyd !	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.1	wijd u ' gemaal zijn loten , en het geren gei lijden en lijden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.2	het wassen niet genoeg een ' manna in het openbaar te ontlyven , ( Die daad zijn ' nog aan drift , schonen strafbaar , toen te schrijven , ) Neen !	BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.3	nadat doen onverlaat zijn ' vijand hebben wonden , durven hij hij , half ontzielen , nog kwetsen op de grond .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.4	zijn niet doen strop een lot te zacht voor zulk een boosheid ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.1	zijn gade pryst geenszins zode woest een spooreloosheid ; ik bekennen , door zijn vijand vallen wassen ik gemaal voldoen ; mare wat kunnen drift , mijnheer , de mens niet doel bestaan ?	BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.2	wij leven ' er die gezond , tergen , brengen tot woeden , zien altijd voor het wellen de gramschap kunnen behoeden ?	Offended_Emotion_Shame_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.3	worden ik gemaal te ver ' door toren ' vervoeren , doen manna Die hij mishandelen hebben wassen zelf daar doen oorzaak vinden .	Emotion_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.4	hij houden wonden niet op ik ' echtgenoot te honen .	EmotionalAction_Hatred
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.5	kunnen zode velen ongelijk laten bord niet verschonen , zijn een te heet drift , ( die merken vinden het frans bloeden ! ) Doemwaardig , denken , mijnheer !	BodyPart_BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.6	aan zijn hooners overmoed .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.7	Die booswicht , naar ontzind in schandtaal uiten te spat , bestaan , voor het ogen ik man , onkuis ik aan te vat ; En torn ik echtgenoot ik voorstond , volgens plicht , geven nog zijn hooner hij een ' slag in het aangezicht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.8	Wat manna vinden moede zullen , zien een zwak vrouw onteren , En die zijn eigen vrouw , zij recht niet verweren ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.9	En welk een manna op doen aarde ' zullen dulden die , daarna , doen schender vinden zijn vrouw in het aangezicht hij slaan ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.10	voegen hier doen teerheid bij de rangs vinden oorlogslieden : doen onteerde krijgsman zien door ieder zien ontvlieden alles eereloos , tot die zijn moede zijn zaak besliss '; En denken die ik gemaal een hoofd vinden het krygsvolk zijn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.11	Te ver ' trekken wraken volgen liggen een schendig honen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.1	deze pleit kunnen geenszins u ' echtgenoot verschonen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.2	doen wegge tot klagen , die doen raden hier nimmer sluiten , staan openen , zode voor uw alles voor u ' echtgenoot .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.3	zode rank een ' oorlogsman tot moord rechte zullen geven , Wat sterfling zullen rusten bij krygsvolk kunne leven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.4	de krygsmans woestheid strekken de burgren rijden te schromen ; ik kennen zijn toomloosheid : doen weten houden ' die in tomen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.5	Niets spreken laten bord voor in het woest wetverbreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.622.s.1	spreken niets hij voor mijnheer !....	None
noms001mich01_01.TEI.2.text.body.div.div.sp.622.s.3	laten zijn dienst spreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.622.s.4	hij hebben u ' vader hoofd omtrekken aan doen dood , En schenken het Fantynsche volk wij volk te bondgenoot .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.626.s.1	valkenburg , tegen zijn ' zode , te zijden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.628.s.1	geven zij en ik gehoor .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.628.s.2	doen eens u strengheid zwichten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.631.s.1	doen jong valkenburg , tegen zijn ' vader .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.1	laten Bordes dienstbewys wassen het voorschrift vinden zijn plicht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.2	Ik hebben het uw rijden zeggen , u gul hebben hij voldoen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.3	ik plicht vereischt en raden en weten voor te staan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.4	Ik bidden mede ernst , mevrouw !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.5	ik lang niet te kwellen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.640.s.1	mevrouw laten bord , zien aan zijn voeren werpen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.643.s.1	Duld die ik smeken moog ' doen doodstraf uiten te stillen , Tot nederland admiraal ...	EmotionalAction_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.646.s.1	doen jong valkenburg , zij opheffen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.1	vergen ik geren zaak , mevrouw , Die ik in landkrakeel onfeilbaar wikkelen zij .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.2	Door het vonnissen in doen macht de admiraals te geven , worden ons raden door ik een oneer aangevreven : het zij zijn alsof die zelf geren kundigheid bezitten , En tot bestieren vinden het rechte een ' ander ' nodigen hebben .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.3	Ik zelf moeten , en mede rechte , zijn ongenoegen vrees : ik wassen lid de raad , ik hebben laten bord met verwijzen ; zij het niet onbillijk zijn , die ik , ( thans opperhoofd , vinden wieden doen raden zien niets dan al goed beloven , ) Een vonnissen , die hij ik benevens zien zien vel , Aan doen uitspraak vinden hebben hoofd vinden nederland vlieden doen stillen ?	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.4	gei zien die ik u bede niet zonder overleggen , Niet zonder rijden die gronden zijn , uw ontzeggen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.5	Schryf ik geren wreedheid toen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.6	Ik zij , zode het kennen scheiden , uw in u ongeluk mede ijver bijstand bieden ; En zullen mede blijdschap zieden die straks ik vader wagen ' Te vlaag vinden de raden het geren ik ongaarne vragen .	Joy_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.7	het Verzoek door ik braden zij voor bevel verstrekken , En deze , gei zien hebben klaar , zij mortery verwekken .	None
