hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	persoon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.5	En ik zien nu mede vermaken , die deese teder band , Niet zullen zijn doen vlucht vinden enig mens hand , mare die doen Liefd ' allee sterk alles mijn macht zij vader wensen , en ik belofte , hebben volbrengen .	Joy_Emotion_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.6	Sinan , het zijn tij die gei ook kiezen tussen ik zoon Aan wieden vinden bei ' gei wild die zelf trouwen toon Die in u harden altoos voor haare Vader blinken , En uw , u Meestersgunst en zijn vertrouwen schenken .	Emotion_BodyPart_Loyalty
hare003agon01_01.TEI.2.text.body.div.div.sp.1307.s.1	Ik hebben voor al gul vinden zij en uw te vragen die ik mogen in u rusten verslijten mijn dagen : Ik vragen nog ik verwachten op aarde ' geren ander vreugde alles die ik scheppen zullen uiten het voorbeeld vinden u deugd .	Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.1	doen eenzaamheid zijn niet maken voor jong lied .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.2	hij die doen stilheid zoeken , en arbeiden willen ontvlieden , moeten voelen zijn kracht door jaar uitputten , Of door een zwak gestel aan het mensdom zijn onnut , Dan allee mogen ik zich onttrekken aan doen mens , En zich vernoegen mede voor het Vaderland te wensen ; mare zode langen lighaams kracht paren zijn mede verstaan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.3	zijn beide , kracht en geest , aan het Vaderland verpanden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.4	ik staan u toen om mede ik te blijven d ' eerst dagen gei zullen hebben allerlaatst uiten ik dienst zijn ontslaan ; mare welk vinden mijn zoon u vrijen keuren ook dienen , ik hebben heen te lief om zij t ' onthouden zulk een vriend .	None
hare003agon01_01.TEI.2.text.body.div.div.head.1338.s.1	Derde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1340.s.2	Fathema .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1340.s.3	Camoeni .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1372.s.1	FAthema , ik hebben gewenst , voor het einde vinden ik dag , Aan u Maccassars Kroon en Scepter te zieden dragen , die Indien door tweedracht in Hollands macht geraken , Door het misbruik vinden die macht zij wakker zijn maken ; die ieder Vorst in het oogst verzaam'lende zijn kracht , Maccassar wij zij zieden mede zaamgevoegde macht , doen wettig ' erfgenaam herstellen op de troon , En in hebben Westens bloeden , uitwissen het Oostens honen !	Emotion_Hope
hare003agon01_01.TEI.2.text.body.div.div.sp.1372.s.2	mare het Noodlot , welk weten niemand kunnen weerstreven , hebben ik tot deezer uur die troosten niet wil geven : Ontvang vinden mijn hand , het geren ik hand geven kunnen , Ontvang Tartassa's Kroon en ik zoon voor u manna !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1372.s.3	Ik zullen Fathema dus ik dochter mogen noemen , En wij in het oogst zullen op deugdzamer dochter rome !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1374.s.1	fathema	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.1	sultan , wanneer hebben loten , voor ik slachten zode wreed , Maccassar's bloeijend rijk voor Holland wijken doen , Wanneer Samboepo's stranden het Maleysche bloeden zien vliet , En rover uiten hebben West die Edel bloeden vergieten , die haar woest hand verdrijven de wettig Heer , beven aan ik Vader nog zijn dochter , en zijn ' Eer .	Emotion_BodyPart_Anger
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.2	hij brengen die beide hier : gei zijn in het gans Oosten doen enigst ' die een Vorst kunde helpen of vertroosten , doen enigste nog groots , doen enigste nog vrijen , doen and're zijn gekeet ' in Hollands slavernij '; En elk vinden zij moeten in zijn rijk doen weten gehengen , Die hij een Indisch raden , of Opper-Cooplien , brengen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.3	ik Vader vinden alhier , door u grootmoedigheid , Een schuilplaats in zijn loten voor hij , en ik , bereiden : mare schonen Agon alhier hij dienen tot behoeder , zijn harden kennen niet doorstaan het verliezen vinden mijn moer , En mijden in u gul , verliezen hij in het verdrieten zijn leven , en doen hopen vinden het Maccassaarsch Gebied !	Emotion_BodyPart_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.4	hij sterven , hij laten ik wezen : vergeven indien ik tranen zich tegen mijn willen , een wegge in d ' oog baan , zo een gedeelte spruiten uiten zijn gedagteniss ' hebben ander vloeien voor uw , en uiten erkentenis .	BodyPart_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.5	ik harden altijd bevreesd doen dankbaarheid te krenken , kunnen zonder aandoen nooit aan u weldaad denken ; zijde rijzen dagge aan dagge , zijde klimmen boven maat , gei geven nu , het geren bij ik ver boven kronen gaan .	Fear_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.6	het zullen ik geoorlooft zijn , wanneer ik tot uw nader , Wanneer ik uw begroeten , om uw te noemen , Vader !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.7	ik vinden weer die teder naam , die ik doen dood benemen korten naar ik moederloos in Bantam's wal komen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1447.s.1	Ik weten wel die u harden en groots ' hoedanigheeden zijn even boven prijs alles u ' bevalligheeden , mare zo Fathema's hand het lot vinden doen Liefde zijn , hopen ik die Hassans harden zijn vinden zij hand gewis .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.1	ik Ontvang Hassan , op hopen vinden hij aan uw te toon .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.2	zijn hoofd en het ik ' versieren mede all ' Celebes kronen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.3	Wanneer zijn dappre hand bestieren door uw raden bevrijden zullen vinden het juk de Maccassaarschen staan , En doen roofzugtig ' hopen vinden Westers vreemdeling Te rug naar Java's stranden , of naar Holland , zullen dwingen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.4	zode mare zij ' moede en macht niet groeyd vinden dagge tot dagge , Indien gei nog volharden t ' afleggen u gezag : Wat Mogendheid in het oogst zullen voor zij zijn te vrees ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.5	zode ras Agon in het oogst zullen geren Monarch meer wees ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1515.s.1	Fathema mijn reden zijn vinden hebben groot gewicht , En voor het gemeen nut vinden Indien inrichten : mare boven al voor het goed vinden beide mijn zoon , zode ik doen Eendracht hier kunnen , zamen mede zij , kronen , zode ik , gelijk ik hopen , daar door doen Tweedracht bannen , En wegneem het geren daar toen aanleiding geven kunnen , zode elk vinden zij , zijn rijk in vrede zoeken te doel bloeien En tot doen zelf macht , alles voortyds te doel groeien , Eer die d ' Europeaan mede wonen in Indien beven , En het westers Moesson zijn vlieden naar Java drijven .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1515.s.2	het Belang vinden mijn zoon , en die vinden uw rijk , zijn , om een kort pozen voor het loten en tij te wijken , Tot die Batavia selv ' in zij ' schieten verdelen , Verwyfd door het heten klimaat ; en drinken in doen weelde ' , doen drift vinden hebben oogst in het Hollands harden voelen zweven , En het oogst in dartelheid en lafheid overstreeven : Dan zijn hebben tij voor wraken ; tot daar toen zijn doen rusten hebben enig ' , die nog kunnen behoudens deze kussen .	Emotion_BodyPart_BodilyProcess_Other_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1531.s.1	naar zode velen honen en smaad alles ik Huis moeten gehengen , zijn het hard doen tij voor wraken nog zode ver ' te zieden leng , En die gehaate Volk zode langen te moet zieden In het bezitten vinden ik erve , en in ik rijk gebieden .	Emotion_Hatred_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.1	ik afkeer voor die Volk kunnen u haten eevenaaren !	Emotion_Hatred_Disgust
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.2	mare doen voorzichtigheid , doen vlucht vinden hoog jaar , leren ik , die ik vooral moeten kennen zijn vijand macht Wanneer ik tegen hij willen toetsen syne kracht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.3	Die macht de Hollanders , nu zode voor wij te vrees , hebben ik voorheen kennen in hand de Portugeesen ; mare Portugal , het geren het eest , door Gama's heldenmoed , wij Zeen hebben geverfd mede Indiens eigen bloeden , het geren lang een nieuw wegge naar wij bestaan te zeil , En het Mallabaarsche stranden mede Lisbons dieplood peil , hebben in hebben derd ' slachten zijn kind zien Voor het zwaarte vinden Nederland , en Indien's wraak vlieden .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.4	mare Indien , meer bedacht om zich vinden zij te wreken , alles door Europa's twisten , Europa's macht te breken , In plaatsen vinden weder vrijen te worp , alles wel eer , hebben voor prijs vinden zijn bloeden kopen een nieuw Heer .	Emotion_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.5	Batavia zien nu rijden groeien in zij wal , Een derd ' slachten , het geren ook voorzeeker staan te val , zode ras weder uiten hebben West een nieuw gebroedzel komen , hebben geren nog Portugals nog Hollands waap'nen schromen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.6	gei kunde mede klein dulden deze binden korten verbeiden ; Hoe ver ' Natuur wij hebben vinden haar kussen scheiden zij gierigheid zoeken gelden , zijn ook Natuur het verhool , vinden daar doen zon verschroeyd , tot in het ijs vinden doen Pool .	None
hare003agon01_01.TEI.2.text.body.div.div.head.1605.s.1	vieren toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1624.s.1	doen beide prins zijn rijden op hebben Hof komen , En aanzien naar u ' willen en welbehaag vernemen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1624.s.2	zijde schijn vinden malkaer te mijden hebben gesprek , En wacht u bevel , ieder in een vertrekken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1627.s.1	agon , aan Fathema	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1640.s.1	ik voornaam ' zijn om nu aan elk vinden zij te zeggen hebben delen vinden het rijk het geren ik aan hij menen toen te liggen : Voldoen , zode velen ik kunnen , Abduls eergierigheid , En vollen Hassans harden mede vreugde ' en vrolijkheid .	Joy_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.head.1643.s.1	vijfde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.1	CAmoeni , ik geluk gaan all ' geluk te boven !	Emotion_Happiness
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.2	gei , die zode lang tij verkeren hebben aan doen hof , zijn hebben gei ooyt zien een enig Vorstin , Die kiezen zij Echtgenoot , of trouwen naar zij zijn ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.3	Slachtoffer vinden zij plegen , en vinden doen Staatsbelangen , Vorstin allee in naam , mijden in plegen gevangene , zenden zonder Liefd ' , aan die zij weinig acht , verzuimen vinden ieder een , vervreemden aan zij slachten , verachten zij manna , verbod iemand te min , benijden hebben loten dikwyls vinden zij slavin ; In koud Staatlykheid verlopen zij ' levenstyd !	Emotion_Love_Disgust
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.4	zien daar hebben droevig loten het geren u prinses vermijden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1674.s.1	camoeni	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.1	Ik zien mede zeer velen vreugde , naar zode velen ongeluk , Voor welk ' Maccassers Huis , en u jeugd moeten bukken , die zijn hemel zacht gul bestralende u hoofd , Een Kroon te minst geven , voor die u zijn ontroven .	Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.2	ik wensen die doen kronen die wel eer u wieg vercierden , En , door het loten vinden een dagge de prooi de vijand worden , In het korten door u Gemaal brengen in uw hand , Vergroten het nieuw rijk op Java's Wester kanten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.3	die ik doen blijde dagge , doen dagge haasten zullen beleven , Wanneer ik Hassan en uw zullen zieden doen weten geven vinden daar Celebes stranden naar het koud zuiden zien , Tot daar doen zee hebben scheiden vinden het Ternataansch Gebied !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.4	die ik mede uw doen wraken die kussen mogen zieden betreden En straf het hollands Volk vinden zij onmenschlykheden , alles zij Barbaarsche vlieden vervullen mede rover , komen , En het donderen metaal u moer het liggen benemen ; zonder die schande ' of eer , die moorders kennen beletten , zij zeegeteekenen mede vrouw bloeden te smet !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.5	mare ik vergeten die deze ' dagge aan Liefd ' zijn toewijden , En dus het geheug ' vinden haten moeten heden zijn mijden .	Emotion_Hatred_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.1	Neen Camoeni , ik haten gaan nimmer uiten ik zin , ik harden weten even sterk te haaten alles te min : En het loten , om te doel zieden hoe velen het op ik vermogen , Voldoed aan mijn haten en Liefd ' op een dagge !	Emotion_Hatred_BodyPart_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.2	Ik minnen in Hassan , moede , en eer , en zuiver zede doen gaaf vinden zijn geest , zijn ziel's hoedanigheid ; ons hart zijn vereend rijden vinden wij eerst jeugd , En d ' achting zijn wederzijds vermeerderen door doen deugd : mare ik minnen in Hassan ook zijn haten voor die tiran , Die ik , en hij , wel haasten uiten Indien zullen ban , zode zij kwaadwilligheid geren hinderpaal bereiden In Agons wijsheid vinden , en Hassans dapperheid .	Emotion_Hatred_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.3	Batavia hebben weder Tartassa's muitelingen , Door Hassan's zwaarte verstrooid , tot hun plegen zieden dwingen , En het dempen vinden een vuur , mede rijden zode vrezen , zijn voor ik minnaar hand het werken vinden een maand wezen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.4	Camoeni , ik zien zijn roemen verspreiden aan al zijden En Java vol vinden hopen die hij zij zullen bevrijden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.5	ik weten die Batavia in ongerustheid leven , En die op Hassan's naam doen raden vinden Indien beven .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1778.s.1	mare wild doen sultan dus uitdeeld zijn beide kronen , En geven een machtig rijk aan ieder vinden zijn ' zoon , zijn ik wel zeker hier die Abdul zonder smarten zien in zijn broeder delen Fathema's hand en harden ?	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1778.s.2	Te zamen opvoeden in het groeien vinden u jaar hebben ik altijd gemeend die beid ' u minnaar waar .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1786.s.1	doen Liefde zijn geren drift die ooyt in Abdul vallen , doen Heersch-zucht stralen allee mare door in syne ziel .	Emotion_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1803.s.1	mare schonen Fathema's rijk nu niet zijn in zij ' hand , zijde brengd te huwelijk zij recht op die land : Europa's Staatkund ' zullen niet gaarne zieden te zaam Maccassars Erfgenaam , en Hassans groot naam ; doen raden vinden Indien schynd voor Abdul sterk te wees wij weten vinden zij besluiten wat gei nog hebben te vrees , Batavia misschien ...	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1808.s.1	ik verachten zij Raad's gebied En vrezen mede Hassans hand geheel Europa niet .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.head.1812.s.1	Tweede bedrijf	None
hare003agon01_01.TEI.2.text.body.div.div.head.1814.s.1	eerst toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1816.s.2	Hassan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1824.s.1	hebben zijn zeer zijn , Hassan , die ik beginnen te vrees die Fathema alhier doen laatst zullen wees Die uw betuigen zij zij ' vreugde , die u hand doen rusten weder hebben herstellen op Java's Wester-strand !	Fear_Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1826.s.1	hassan	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1869.s.1	ik eerst werken naar ik hier weder wassen komen , zijn wezen , die ik hebben naar Fathema vernemen : En , naar dus d ' eerst zorgen vinden ik harden wassen voldoen , hebben ik volvoeren doen plegen vinden zoon en onderdaan ; ik Vader en sultan geeerd , en in het begroten , ik zegeteekenen leggen aan syne voeren , Tartassa's rijk buit stellen in syne macht , En haar sleutel voor syne troon brengen .	Worry_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.sp.1869.s.2	Ik zijn door hij lassen t ' aanbieden deze pand Aan doen toekomen vorstin vinden die land ; hij willen die u gezag en weten , bij d ' onderdaan Geeerbied , en volgen zullen zijn , vinden nu af aan : En ik , die rijden zo langen leven onder uw weten , Ik komen ik aan hebben hoofd de onderdaan zet , mede zij ik ' huld ' en trouwen ' uw voor altoos aanbien , En ik loten in u ogen , en nu , en altoos , zieden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.1	Hassan , u zijn bekennen , die vinden all ' mijn staat , het Noodlot hebben allerminst aan ik niet hebben gelaten , die ik aan ik Gemaal , tot mijn groot smarten , geren scepter , mare allee aanbieden kunnen ik harden ; mare zo doen Hemel ik het rijk ' Oosten hebben geven , zo ik gans Asien zien aan ik voeren beven , zo ik all ' zij ' koning naar mijn hand zien staan , geren een ' , die in ik harden zij boven Hassan gaan : ik keuren zij hij tot Vorst over heen al kronen , En ik doen eest ' aan zij het voorbeeld vinden eerbied toon !	Fear_Emotion_BodyPart_BodilyProcess_Love_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.2	mare , Hassan , hebben u harden wel ernstig overdacht Wat al hebben loten hebben op Fathema's huis brengen ?	None
