hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. hoofd GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.5	zonder te denken , die in het kruid dikwijls slang gladden vinden huid zijn verhalen , lopen ghij dool , mare nochtans hoe zeer ghij vlieden , die ghij ik haten , en dunken ik niet .	Emotion_Hatred
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.6	wan doen wijden laatst vinden zijn avond laat Songen tot de dageraedt , mede elckander , En uiten d'ander , Tot de dans ik uw verkiezen , Bloosden u wang alles een roos .	BodyPart_BodilyProcess_Love_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.7	Mompelen hoord ' ik op die passen , die die geren kwaad tekenen wassen , En wanneer , , jck helen begeerlijk kus komen u mondtjen teder , reppen u lipjes , denken ik , weer . het weigeren , en d'afkeericheit voegen zo wel niet , alsmen zeggen Voor doen vrouw , het kan haar rouw , Die gebod dienst versmaden , Wenschter wel om alles het zijn te laat .	EmotionalAction_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.8	zus , zus , wat of ik daar mogen horen Ritselen inde hagedooren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.9	zijn zijde het , zijde zullen ik niet ontvlien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.10	Neen , Dorilea al gezien , Nu suldij hier mede geren een kusjen of , , raak .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1328.s.1	Daifilo zeg ik , gij zullen hebben te grof , , manen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1328.s.2	Daifilo , laat ik staan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1328.s.3	Daifilo , laat ik gaan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1338.s.1	mare Dorilea , moochdij zo afkerich , , zijn vinden het geren daar al mens na begerich , , zijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1338.s.2	En vlijen stuurs vinden zin ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1344.s.1	Wat doch ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1348.s.1	doen zoet minnen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1365.s.1	Ghij noemen hebben zoet minnen , en zeggen die gene lied behalve ik allee , doen zoet min vlijen , voor horen ik vinden doen minnen zo velen kwaad , die ik gruwen , vinden ieder een , en die geloven ik goed alles uw .	BodilyProcess_Disgust
hoof001gran01_01.TEI.2.text.body.div.div.sp.1365.s.2	Dus Daifilo , vinden nu , laat ik voortaan te vrede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.1	Ach suldij dan dus schuwen u groen jeugd besteden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.2	deze teder schoon lid En zijn uw niet gunnen , die ghijse zonder vriend Afgunstich soudt verslijten , En een te laat becrijten , die ghij , om niemand gunst , of wellust te doel aen , Versuimelijcken hebben uw zelf te kort gedaan .	BodilyProcess_Sadness_Remorse
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.3	wild rekening manen die deze rose-kaken , En deze lip vers , Die gloeien alles een kers , Die nu een ieder wensen te kus en te strook , zulle vinden ouderdom verwelken , en verschroocken .	EmotionalAction_BodyPart_BodilyProcess_Love_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.4	deze effen voorhoofd netten doen diep rimpel mede te tijd zulle ontslechten ; En deze welig vlecht , Die mede velen strik gail , zo dartel zijn vertuien , zulle haar gouden ruk allensgens trek uiten ; En het geren ghij voor fijn goud mogelijck houden voor deze , Suldij bevinden mare zilver vergulden te wees .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.5	deze wakker oog blij , verleren zulle zijde haar lodderlijcke treek , Die zo velen brandts ontsteken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.6	deze vlug gauwicheit , daar grijs ' aelwaricheit goed zonder reden op gnorten , die zullen de ouderdom Die het al maken suffen , en loom , zijn vleugel dapper kort .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.7	Dan komen onnut berouw , alles beteren tijd ontbreken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.1	Daifilo ' ik weten niet vinden wie schoonheid die ghij spreken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.2	na die ik kan bevinden En zijn niet vanden mijn , wan onlangs hebben ik die Inde fontein gezien ; En het beeld in't water stillen ik op die passen verscheiden , komen mede u zeggen niet al te wel overeenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.3	mare siedij het groen woud , hoe lustig die hebben staat , Hoordij doen vogel die voor de dageraad Danckbaerder sijnd ' alles d'onvernoechelijcke mens , doen welkom zon mede zang goemorgen wensen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.4	Siedij deze heuvel blond , en hebben begraasd dal mede bloempjes veelerly marmeren overal , het wellustig banket vinden doen ruisen bij ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.5	Hoe vrolijk lachen hebben al in deze somer-tijen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.6	mare alles doen guiren herfst komen mede zijn bui aen zullen deze ding al haar vrolijckheit vergaan , En deze bloeyende jeugd de wereld , zullen verkeren In dor ouderdom , en haar sieraad ontberen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.7	Nochtans indien die al doen bouwlien spanden t'samen , En mede een groots geschal , doen god bidden komen die donderen , bliksem , wind , en hagel groots geweld mogen komen metter ijl vrijbuiten over het veld , Beroven d'Aerde vinden haar gespikkeld rok , doen berg vinden haar kruin , doen boom vinden haar lok , Om dieswil , die doch een d'aenstaende winter wreed hebben aardrijk plaag zij mede dergelijk leed ; Soudij niet zeggen , het wassen haar nut die zijde bad Om redelijk verstand ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1515.s.1	ja , trouw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1538.s.1	Soudij rad die ik door minnen , een bui mede zonneschijn vermommen , Die lichtelijk vernielen wij die zijde overkomen , Dan krenken zullen ik jeugd , om dieswil die doen jaar deze schoonheid ik ( nemen dat waar gelijk alles ghijse maken ) ik zullen manen kwijt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1538.s.2	Soud ' ik doen schade de tijd gaan zoeken voor de tijd ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.1	deze doedij vasten , wan ik , nul Dorilea , rekenen doen lelijckheit zo goed alles schoonheid onbekeken ; En al bekijken , onbelonckt ; en al belonckt nog ongenoten vinden de minnaar die zijde ' ontfonckt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.2	Wat's jeugd zonder minnen vol onbeweechde koudheid Doch goed alles versuft ' en stijf bevriezen oudheid ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.3	En die doen zoet minnen vinden uw beschuldicht worden alles die doen schoonheid krenken , daar doedij hij te kort : wan nooit en sachmen hij hebben suivere besmetten , mare wel rechte ander , het geren die saluw wassen , blanketten , En liggen blozend rood op teder wang bleek , En het haar verguld , die te voorn vaal gelijken : En gene sachmen ooit , hebben geren die zijde beminnen , Lelijker dan hebben wassen , mare wel velen schoon vinden .	BodyPart_BodilyProcess_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.4	mare , segdij , ieder een beklagen hij mede geween , Over doen minnen vol swaerheit ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.5	zijde spreken buit waarheid ; Al worden doen minnen bescheldt , het zijn onmin die haar kwellen , Onmin vinden lief verkiezen ; wan komen haar minnen te voorn vinden haar beminnen zijde , zijde worden het een mede ik , En zullen ras bekennen die min niet kan schenden , mare die gebrek vinden minnen allee de minnaar krenken , Die minnes honing zoet mede bitter gal mengen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.6	Dus Dorilea , denken die minnen vinden beide zien , Niet ander voor en brengen alles wellust en verblijden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.7	daarom in deze tijd , schijnen die doen wereld dus blijgeestig opgepronckt In het hart minnen voelen , en t'eenemael verjongen .	Emotion_BodyPart_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.8	de Hemel schijnen verliefd ; doen vis in doen stroom , doen dier in hebben kruid , ' tgevogelt inde boom , doen Nymphen in hebben bos naturen vinden doen minnen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.9	die vogeltjen , die nu vliegen uiten de den , in de boeckeboom , en schijnen onmoglijck om vermacken , Dan uiten de boeckeboom weder inde myrte-tacken , En hippelen quelende zo liggen , zo wild , zo wuft , waar het vinden natuur begaafd mede menselijk vernuft , hebben soud zeggen :  ik branden vinden minnen - ik branden vinden min  , tjilpen door hebben woud ; mare wel branden hebben vinden binden , En zingen in zijn taal op lijfelijk maat , die hebben zijn zoet lief , zijn lief lusten verstaan .	Emotion_BodilyProcess_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.10	En lustre , juist of zijde het om uw te lederen doen , antwoord zijn lief lusten :  vinden min branden ik met .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.11	 doen minnen hebben al verwinnen , Hemel en aarde mindt , zullen Dorileas ziel min kracht groots vinden waarde alleen weerstaan , in hemel , en op aarde ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.12	Neen ; wan een ieder mens worden vinden doen minnen geraken , En diese jong ontgaan , bejaard zijn kracht smaken : doen min willen doch een doel blijk in wij hart Hoe velen die hei vermogen : dus vrezen hij vrijen te tarten , En weten die groot smarten nooit iemand overkomen , alles jeuckering vinden minnen in oud lid stram .	Emotion_BodyPart_Love_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.13	hebben jong harden , die hei kwetsen , genezen doen min weder , En hopen hellept hebben op alles het liggen vinden pijn neder : mare d'oude minnaar zijn plagen mede dobble rouw , Die willen niet en mogen , en mogen niet en willen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.14	droog houden ontsteken , branden fel alles groen spruit .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.1	Ghij ander vrijer kennen deze praat al vinden buit , En brengt'er velen in't netten ; mare ik hebben wel letten Op het gene die ghij zeggen die alles doen minnen vinden beide doen zijden zijn planten , zo vallen hebben zoet branden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.2	of ik die schonen toestonde , verklaren ik , mede wat vinden Soud ' ik doch kennen ik verzekeren , die dij doen vlam het hart blaken , Die ghij ik diets wild maken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.3	Of alles die al zo wassen , die ghij niet soudt , zo ras Ghij weermins gunst mogen voelen , verkeren , of verkoelen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.4	gelijk wijden vrouw slechten vaak worp uitgerecht , Dewijl geveinsd minnen , en licht wispeltuiricheit wij tronen mede hebben zoet , en loon mede doen zurigheid .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.1733.s.1	daifilo , granida , dorilea	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1739.s.1	nimf , mare .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1752.s.1	schoon nymph ' , en hebdij niet gezien mede breidelloos rennen , hier enig edellien Vervolgen een wild zwijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1752.s.2	weten ghij niet of zijde het vingen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1752.s.3	Of werwaerts reden zijde op ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1769.s.1	jager , nog hoveling En aanzien wijden gezien , mare wel horen gerucht : Dan het scheiden zo ver vinden hier te wees die ik duchten , edel maagd , ghij zullen haar swaerlijck rijden en ; Sijdij een aertsche maagd , en ander geren godin , u aanschijn nog u stemmen geenszins doen mens slachten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1786.s.1	zo groot eer voorwaar ik ik niet waardig achten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1786.s.2	ik zijn Granida ' , indient uw lien bekennen zijn , hoemen - te hof ' horen doen prinses , de Coninx dochter , noemen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1786.s.3	Dewijl zijn geselschaps spoor uw niet en zijn bekennen , zo bidden ik , wijzen ik doch waar die ik hier omtrent Om zijn heten middachs branden een weinig te verfrissen , uiten koelie beek , of bron , ik droog dor mogen lessen , die Ceres u gewas , en paan u vee behoe .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1836.s.1	hebben bidden laat voor wij , het gebieden komen uw toen , Alderheuste prinses , zien hier om uw t'ontladen : Diana , moegejaecht , en zullen nietversmaden deze suivere fonteyns cristallinige vloot .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1836.s.2	Al zijn wijden herder slechten , eenvoudig opvoeden , nog ons zorg laag , door hoog vluchten te kies , wij aangeboren bos uiten haar gezicht verlezen : wijden weet lijckewel die wijden deze groen laan , die wijden doen schaduw koel vinden deze dienstig blad , deze vrolijk heuvel , deze helder water vliet , En al wij leven lusten vinden zijn Coninx handen genieten . het en waar die het wijselijk al te verzorgen weten , het verwoeste metter haasten , door verkwistend twisten . het zijn hei , die doen begeerte vinden zijn ondersaten matigen bescheydelijck in zo verscheiden maat , die niemandts minder list zijn meerder iets ontruck , - die niemandts meerders macht zijn minderen en verdrukken . het zijn hei die zorg dracht alleen voor wij al , die vreemdeling wreed wij niet en overval mede vernielende crijch en schenden in een uur doen dracht vinden menig jaar door het ijzer en hebben voeren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1836.s.3	dankbaar behoortmen voor een aertschen god te eren die het lusten , om ander lusten , zijn eigen lusten t'ontbeeren : mare wij eerbieden zijn te laag na zijn waerdij .	Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.1	beleefd herder , nooit enig wijn ik Boven de fris dauw vinden deze fontein gevielen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.2	Ach geluckige rusten vinden licht-vernoechde ziel , Die nijd nog spijt de hof verstoren haar zoet vrede !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.3	wie zorg wijd niet en weiden dan haar vee .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.4	doen lust daar zien het hof mede moeite om beslommert , werpen uw natuur toen en zijn voor uw bekommeren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.5	Ghij trekken door hongeren , en door dor uiten drank , en spijs , doen lusten vinden het hof lokken door zo velen leckernijs ; hebben hof door drinken dor , en hongeren zoeken door het eten En jaecht doen lust voor , uw sijnse toesmijten ; het lustsoeckend hof ontvlien doen lust daar het om slooft ; Ghij volgen doen natuur , wijden zien haar over het hooft .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.6	Eer zullen deze lichaam in een duister graf vernachten beleefd herder , alles ik gaan uiten doen gedachte u weltepasse dienst , en of het gebeurden , die - ik helpen uw nut mogen zijn in het hof , of inde stad , vertrouwd , die ik geren zaak zo wichtig zullen verletten , Of ik en salse ' om uw wel aen een zijden zetten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.7	Nu voegen ik wederom te kern daar ik achten die ik het gezelschap vinden ik staetdochters verwachten , welk ik gebieden , vinden haar vermoeyde tal , neder Te zitten in hebben gras , tot die ik keren weder ; Dewijl ik niemand vinden haar al volgen mogen , En ik doen lusten de jachts niet te verzuimen denken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.8	de hemel die bedauwen u jaar menich-vuldich mede geduirige rusten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.1	wijden zijn het uw al schuldig , Alwaerdige prinses .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.2	Helas !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.3	hoe leed zijn ik die wij vermogen minnen alles wij begeerte zijde !	Emotion_Sadness_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.4	de hemel willen u staat in eeuwicheit behouden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1905.s.1	vaart eeuwelijcken wel .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1913.s.1	zijn onder d'aertsche vrouw Dan een , die waardig zijn die om haar dienst allee Al d'ander ik verzweren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.1	Hoe koel goed hei daar heen zonder die hei vinden ik zijn afscheid hebben nemen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.2	goed volgen ik hij , en zien wat hij mogen overkomen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.3	Hoe vrolijk zijn doen geren die danckbaerlijcken leven Bij d'ondanckbare mens die geren vernoeging hebben !	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.4	deze herder tonen meer dancks voor noot vinden bos , en boom , Dan menig edelman voor schenken vorstendom , Die vaak zijn prins danken mede oproer of verraden , En achten mare elcke staat , een trappen tot hoog staat .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.5	mede welckeen ijver komen ik deze zijn dienst bieden ?	None
