stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.330.s.1	Nadir , Nasser , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.332.s.1	Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.338.s.1	ik vorst , uiten zijn vijand heir zijn twee Mogolsche vrouw Hier aankomen : zijde , na het schijnen vinden hogen rank , begeren uw te zieden ; een zaak vinden groots belang , Die al spoed vereischt , aan uw bekennen te manen .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.338.s.2	Ik doen zij , op zij bede , tot aan u tent genaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.343.s.1	Gelei doen vrouw hier .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.346.s.1	Nadir vervolgen , terwijl Malek vertrekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.348.s.1	Wat ongemeen geval !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.1	Verwonderd , weten ik niet wat ik vermoeden zullen .	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.2	Wat staan wij , heil of ramp , uiten deze komst te wacht ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.3	Twee vrouw in u heir !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.4	het verbijsterd ik gedachte .	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.head.356.s.1	Derde toneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.358.s.1	Nadir , Nasser , Milko , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.360.s.1	Milko .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.1	o Nadir !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.2	op het gerucht vinden u grootmoedigheid , Niet minderen dan u moede door Azie verbreiden , durven zien een teder vrouw een ' toeleggen onderwinden , die ieder waerelddeel zullen zonder weerga vinden ; Een ' toeleggen , die welhaast ik dierbaar vaderland te vallen rukken , of herstellen in zijn ' alouden staan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.3	gei zullen , hoe oog roemen door steeds te zegepraal , o Held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.4	op deze dagge de groot lof behalen , Indien u zelfbelang voor uw deugd zwichten ; zode gij iets bestaan , die nooit een koning hebben verrichten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.5	hebben Indostansche heir hebben , voor ontelbaar mond , Gebrek aan spijs ; het worden vinden hongersnood verslinden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.6	ik slachten , ( o yslykheen ! ) ik slachten verwoed elkaer ; Elk krygsknecht worden , uiten node , zijn ' spitsbroeder moordenaar , Daar het ros , daar doen elefant wij moeten te voedsel strekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.7	ik durven hebben nodig aan de keizer zelv ' onttrekken ; Ja , onder het muit vinden eerbiedigheid ontbloten , alles hij misnoegen tonen , hij dreigen mede doen dood .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.8	doen keizerin , voorlang door wanhopen aandrijven , brengen , ondank ons zorgen , in het heimlyk zien om het leven .	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.9	In wanorde , in gebrek , in woede , in moordgekerm , zullen haasten , het en zijde u gul zien over wij erberm ' , doen zwaar hongersnood wij gans heir vernielen .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.10	weder , weder die onheil ; tonen wat deugd uw bezielen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.1	Mevrouw , u stout bestaan verbaasd ik : gei allee beschamen en vorst en volk : u moede zijn ongemeen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.2	gei nopen ik , die ik uw doen groot gul bewyze , ik staatzucht overwinn ' , ik ' vijand sparen en spyze !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.3	gei vrezen hier geren gevaar !..	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.4	Door u heldinnedaad Bewyst gij u zuiver trouwen voor u ' gedreigden staan , terwijl een talryk heir zichzelf geren ' wegge durven baan Door minderen bende heen , zien schandlyk baden in traan .	Emotion_BodyPart_BodilyProcess_Loyalty_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.5	Indien gei waarheid spreken , dan tonen ik u verhalen , die ik , zodra het ik lusten , onfeilbaar zegepralen , En dus verhinderen die ontelbaar legerschaar , Door hogen node persen , door het stalen zien het leven sparen : gei stellen , zode gei niet veinzen , grootmoedig in ik hand de ondergang en het heil vinden vorst en vaderland , verwachten een wonderdaad , en tonen ik een gaadlooze achten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.6	ik zij , tot mijn eer , misschien voldoen aan die verwachting , uw toon die ik deugd voor ik belang niet zwichten , Ja iets bestaan , die nooit een koning hebben verrichten ; Indien een vijandin , die , ver ' vinden ik te vrees , ik het groot geheim betrouwen , ik niet verdenken moeten wees .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.7	ik verdiend , in plaatsen vinden roemen , door lichtgeloovigheid , doen schande , die een vrouw mijn eerzucht hebben misleiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.1	ik vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.2	kunnen zij verhalen uw achterdocht verwekken ?	Suspicion_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.3	Hoe !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.4	zij een logen zij tot voordeel kunne strekken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.5	Gyzelf hebben ik gemeld , die zijn vijand legermacht , beroven vinden toevoer , zijn tot hongersnood brengen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.6	vergeven ik , die ik uw te stout durven tegenspreken , En uiten meedoogendheid voor een vijand smeken , wie hoogmoed zijn vernederen , en die , door uw behoeden , uw doen eis toen zullen staan , die gei rechtmatig doen .	Worry_Emotion_EmotionalAction_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.1	doen traan , loods storten uiten twee bekoorlijk oog , Verwekken in u ' geest een spoedig mededogen !	Emotion_BodyPart_BodilyProcess_Compassion_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.2	Een schoon hebben op uw velen magts door veinzerij !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.3	Bedwing u drift , prins ; betrouwen doen zaak aan ik .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.4	Mevrouw , die gij inderdaad uw zullen een gul beloven , Die nimmer weerga vinden , gaan ik begrip te boven : ik vleien zien niet zode liggen : gei durven te velen bestaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.5	ik zij aan u ' hongersnood in het minst geren twijfel slaan , Ja , zonder die ik het melden , u groots gevaar vermoeden , doen u verhalen ik niet hebben tegendeel bevroeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.6	zullen gei , betrouwende op ik goedheid , onbedacht ik melde , die u volk elkaer wanhopend slachten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.7	Dus , mede een wis hopen op u bederven , ik strelen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.8	moeten gei , u ' vorst getrouw , niet voor een ' vijand helen die u rampzalig heir , door deze omkeer , doen macht benemen zijn tot al tegenweer ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.9	Vergeefs verbergen gij ik de grond vinden u gepeins : u list bedriegen ik niet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.10	Waartoe dan meer te veinzen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.11	zeggen , die u leger , door geren ' hongersnood ontrust , vinden woede , binnenkryg , nog doodsgevaar bewust , ik hopen mede meer geluk te weer , dan voordezen , zode u gewaand node ik zorgeloos doen wees .	Emotion_Hope_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.12	Op welk een ' zwak grond u hopen ook steune , ik vinden die gij op die voeden allee uw het veinzen onderwind .	Emotion_Hope
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.13	mare denken niet die ik ooit , door minnen voor ik te wak , Myzelven krachteloos , u ' keizer sterk zullen manen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.2	zijn gei Nadir , door gans Azie vermaard , wie edelmoedigheid alom verwondering baard ?	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.3	gei , die uw menigwerf in bloeden , in traan baadde , gaan mede u zelfbelang , niet mede u deugd te raden , Ja tonen lafhartigheid , terwijl gij ik betigt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.4	de minst krygsknecht zij , waar ons node verdichten , het verbreden vinden die mare ' velen meer dan ik betamen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.5	doen groot Nadir moeten de veinzerij zien schamen .	Emotion_Shame
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.6	gei hout ik niet verdenken : u oogmerk blijken ik klaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.7	bedienen uw schandlyk vinden wij jammerlijk gevaar ; Bestry een weerloos heir ; verdubbelen ons ellende ; voldoen u ' wreed lusten ; moord ons legerbenden ; vernielen gans Indostan door u bloeddorstig stalen ; veinzen geren geloven te slaan aan ik oprichten verhalen ; Bedek u schande dus ; zorgen die u moord de lustre vinden u geveinsd deugd niet t'eenemaal verduister '; Opdat doen wereld wanen ' die gei door heldenmoed , Niet uiten lafhartigheid , op het weerloos leger woeden .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.8	Rampzalig vaderland ! ik hebben uw , uiten roekeloosheid , Om u behoudenis , leveren aan doen boosheid , uw al hopen ontrukken vinden ooit door heldendaen , uiten eedle wanhopen , vinden u ' vijand uw te ontslaan .	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.9	ik gevoelen , door deze daad , een knaging ik bestrijden , Die , in u ' zwaar druk , ik fel smarten doen leiden .	Emotion_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.1	Wat hatelijk verwijten !	Emotion_Hatred
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.2	gei achten ik wreed en laf !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.3	gei honen ik !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.4	Deze talen verdiend een zwaar straffen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.5	mare , zijn ik laf en wreed , ik zullen het voor uw niet wees : vinden ik gevoeligheid staan uw geren ramp te vrees .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.6	ik zullen Nizamelmoluk uiten zijn keizer heir ontbien : zien , zien dan hoe ik ik vinden u gevaar bedienen ' .	None
stee033tham01_01.TEI.2.text.body.div.div.head.491.s.1	vieren toneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.493.s.1	Milko , Nasser , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.1	Mevrouw , wezen niet beducht : u groot moede bevredigen de vorst niet minderen dan u argwaan hij beleedigt : zijn edelmoedigheid , die gei in twijfel slaan , te zwaar toetsen stellen door u heldinnedaad , zij minderen in zijn ziel voor u belang spreken , zode hij , zelf door het verwijten , u moede niet zijn ' blijken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.2	zijn aard zijn ik bekennen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.3	begeren gij die zijn zode mede u rampzalig rijk meedoogendheid betoon ' ?	Emotion_Compassion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.4	hebben staan aan uw allee : gebie : ik zullen uw vernoegen ; uiten ijver voor u heil ik bede bij doen uw vroeg ; u vorst , u legermacht , u schreijend Indostan , Zolang het ik glorie duld , beschermen zijn ik kunnen .	BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.5	mare eer ik iets verrichten ' , verwachten ik , tot beloning vinden ik beloftenis , een klein gunstbetooning : betrouwen ik een geheim ; ontdekken u ' naam aan ik : het zijn billijk die ik weten ' voor wij ik bijstand zijde .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.1	gei tonen u deugd , prins , door edel mededogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.2	u bijstand zullen , voor wij , bij Nadir velen vermogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.3	mare u grootmoedigheid , die ik verwonderd maken , Die uw in yvervuur zelf voor u ' vijand blaken , zij , zode ik weigering vinden uw ik ' naam te ontdekken uw enigszins weerhouden , uw tot geren glorie strekken .	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.4	Ik eisen niet voor myzelve een overtuigend blijk vinden edelmoedigheid , mare voor het Mogolsche rijk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.5	Ik zullen , op u bevel , ik ' naam voor uw niet helen , Zodra gei waardig zijn in ik geheim te deel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.535.s.1	Mevrouw , indien u rank u fierheid evenaren , Dan worden gans Indostan misscheen om uw sparen , En , door een huwelijk vinden twee dierbre vredepanden , Aan Persie verknopen mede onverbreekbre band .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.535.s.2	Ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.535.s.3	zode uw het vaderland na eisen te hart gaan , verbergen ik geren geheim , waarin ik hopen bestaan .	Worry_Emotion_Hope_BodilyProcess_Loyalty
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.1	ik hebben uw verstaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.2	gei pogen doen deerniswaarde ellende uiten enkel baatzucht vinden wij leger af te wonen .	Emotion_Greed
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.3	zijn deze meedoogendheid ?	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.4	doen hopen op heldenvreugd , Op eeuwigdurende eer , op het waardig lot de deugd , die aan een groot ziel onfeilbaar zijn beschoren , behoren uw voor wij rijk tot bijstand aan te sporen .	Joy_Emotion_Pride
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.5	Ach , prins !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.6	zode uw doen deugd na eisen te hart gaan , ontzeggen ik dan geren helpen , waarin ik hopen bestaan .	Worry_Emotion_Hope_BodyPart_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.1	u driftig achterdocht , mevrouw , zijn onrechtvaardig : ik plicht zijn ik velen meer , dan ik belang , waardig .	Suspicion_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.2	Ik zullen u ' eisen voldoen ; en al doen minnesmart , Door u bekoorlykheen veroorzaakt in ik harden , Kloekmoedig weerstaan , ja trachten te overwinnen , Totdat u rank ik blyke , en ik uw mag beminnen .	Emotion_BodyPart_Love_Sadness_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.3	ik hebben rijden genoeg bespeuren : u fier weigering , Die hooggeboornen voegen , verbannen ik twijfeling .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.4	Vaarwel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.5	Ik zullen niet weer voor u zichten verschijnen , Eer doen ijver , die ik blaken , u wantrouwen doen verdwijnen .	Suspicion_Emotion
stee033tham01_01.TEI.2.text.body.div.div.head.562.s.1	vijfde toneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.564.s.1	Milko , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.566.s.1	Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.577.s.1	Prinses , wie zieden eerlang , misleiden ik hopen ik niet , Door zijn vijand deerenis een einde aan wij verdrieten , wij heir vinden hongersnood , vinden onverdraagbre plaag , hebben weerloos vaderland vinden oorlogswoede ontslaan , te eenemale in rusten , in macht , in eer herstellen , En uw in echt vereend mede deze janhen held .	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.577.s.2	zode zullen wij ongeval uw tot geluk verstrekken , uw aan doen minnedrift vinden Alikan onttrekken , uw paar mede een ' prins , die , door een eedle daad , Zoveel u minnen verdiend , alles Alikan u ' haten .	Emotion_Hatred_BodilyProcess_Love_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.1	Ja , zijn keizer gunsteling , Semire !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.2	doen ik gruwen : doen vorst pogen ik vergeefs aan Alikan te huwen , Aan het yslyk vloekgedrocht , die , mede een trouweloos feit , mede ryksverraad betigt , arglistig vrijpleiten , Op zijn betigters , weer getrouwheid zijn blijken , zien fel wreken hebben door zijn verwoed treek .	Emotion_Disgust
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.3	mare spreken ik vinden geren liefde : in deze droef staan behagen ik niets , dan het heil vinden het kermen vaderland , o Ongelukkig vorst !	HeavyHeartedness_Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.4	o kwijnen onderzaten !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.5	o Dierbaar Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.6	mogen uw ik bijstand baat !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.7	Ik zijn geheel voor uw : ik zij , in u doodsgevaar , Kloekmoedig meer bestaan , indien het ik mogelijk zijn ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.600.s.1	doen nicht vinden Mahomet , uiten keizerlijk loot , uiten Tamerlans slachten , uiten Aurengzeb spruiten , Rechtaarde Milko geven , door onnavolgbren moede , Een overtuigend blijk vinden zij doorluchtig bloeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.1	ik hebben geren gevaar ontzien , om heimelijk te vlucht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.2	zijn heen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.3	na zijn vijand heir , daar het all ' ik staan te duchten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.4	Wat kunnen een vrouw bestaan door klacht , door geween ?	Emotion_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.5	ik moede zijn groots genoeg ; mare ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.6	ik macht te kleed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.614.s.1	gei zullen door fier deugd op Nadir meer vermogen , Meer winden op zijn ' zode door twee bekoorlijk oog , Tot heil vinden het zuchten rijk , dan ooit , door wapenkracht , wij heir verrichten kunnen op zijn vijand legermacht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.1	Ik weten , schonen Nadir , tros , vermetel , ongenadig , Door dol wraken vervoeren , afgrijselijk wreed , moorddadig , Wanneer zijn gramschap woeden niets in hebben leven sparen ; die echter menigwerf zijn edelmoedig aard zijn grimmigheid weerhouden ; die hij , door deugdbetooning , de scepter meer verdiend dan zijn onttroonde koning : zijn wreed oploopendheid , zijn misdrijf baard hij smarten ; mare doen edelmoedigheid zijn eigen aan zijn harden .	Emotion_Sadness_Anger_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.2	geren ' snood Alikan , afkerig vinden doen wreed , Ontbied hij , in zijn heir , uiten ons legerstede ; mare Nizamelmoluk , een ' loffelijk ' onderdaan , Die , Mahomet getrouw , hebben rijk niet zullen verraen .	None
