hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. hoofd speld vinden  Achilles en Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.4	Achilles vallen , zeg ik , en door Achilles sterven de griek ondergang en endelijck bederven !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.5	Tgemeene volk , die dag mede arbeijt zijn bezwaren , ontlasten doen nacht , die ik doen groot onrust baard .	Worry_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.6	doen god , moede gedanst , zijn langen te rusten gaan ; elk naar zijn lusten , behalve doen verliefd manen , Die , bleek door groot minnen , onmoghlijck te verkouden , Stilswijgent treuren mede haar vergulden staetjoffrouwen .	Emotion_EmotionalAction_BodilyProcess_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.7	doen Griexse prins slaap zonder achterdacht , En stout crijsluij , iae , een groots delen vinden doen wachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.8	Achilles kan allee op bed nog bulster duren ; Achilles moeten allee dag en de nacht bezuren doen groot kracht de min .	Emotion_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.9	zijde ghij doen zelf manna , Die corts Neptunus zoon in enen slag verwinnen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.10	Ghij , die nu goed bij nacht t ' troijaense vellen door wandelen , Niet een te lid op doen wachten en t ' svijandts handelen , Niet om t ' voornaam vinden haar helper te bespieden , lijken een Capijteijn betamen staechs toen te zien , waar Troijens muur swackst en licht zijn om te krenken , mare om doen schoonheijt vinden uw , juffrouw , t ' overdenken !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.11	Achilles , t ' zijn een schant ; ghij , die woerd corteling vinden Troijen meer ontzien dan enich ander dingen ; Die t'svijants bloedig heijr en Hector doen grouwe , Wijct die voor een , voor een , voor een Troijaense vrouw ?	Fear_Emotion_Disgust
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.12	Polyxena , k ' hebben noijt uw broeder ijet achten , mare uw manier hoog zijn vinden een ander kracht , uw teder schoonheijts glans , een oorsprong vinden ik smarten , uw edel hues gelaat , bespringen doen hoog harten Gans op een ander wijze alles t ' manlijk geweld de stout crijsluij doen in hebben bestuiven vellen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.13	Lichamelijcke crijch , verwin vinden volk en rijk , En d ' oorloch vinden gemoed malcander niet gelijk .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.14	wij doen de Hercules oijt nut weerstand ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.15	Omphale komen en nemen zijn wapen uit doen hand , Die mette vrouw kunst doen spil draaien leren , Die ganse rijk corts hebben onderst boven keren !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.16	mare als uw wil wassen , Cupido , groot Ghodt , die ik ook worden mos in uw minnen verzot , Hoe onderwerpen ghij niet aen zulk vrouw ik zin , Die ' ck zonder achterdeel de griek mogen min ?	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.17	waarom maken ghij ik slaeff vinden mijn vijandin , Die ik zo dootlijck haten alles ik haar hertlijck minnen ?	Emotion_EmotionalAction_Hatred_BodyPart_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.18	In wat manier zullen nu Achilles troosten verwerven , Die , zo hijt niet en krijgen , moeten troost-gebreckich sterven ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.19	Wat zullen ik dan ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.20	Te helpen aen die vinden Troijen gaan ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.21	doen prins , die ik zweren , verlaat en verraden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.22	wan hoe zullen Pyramus zijn dochter kunne geven Aen een , die hij staat naar eer , na land , na leven ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.23	doen god gunnen wij wat beter .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.24	Hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.25	daar zijn Wel ander middel , niet oneerlijk voor ik .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.26	Automedon !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.862.s.1	Automedon	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.864.s.1	ik heer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.1	terstond moeten ghij gaan binden doen stad de outsten zoon vinden Priamus gaan vinden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.2	En zeggen hij uit ik nader : Achilles wensen hij , die hei langen voorspoedig leeff tot welvaart vinden zijn stad .	Emotion_Benevolence
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.3	daar na verhalen hij , wat ik om zijn zuster lei .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.4	Indien hei in de node ik daar mede willen verblijden , ik zullen doen griek vinden hebben oorloch aff doel staan , doen prins en hebben volk altsaemen schip doel gaan , En t ' Argos tot haar vrouw en klein kind karn , Die , t ' zijn al negen jaar , haar wedercoompst begeren .	Joy_Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.5	Indien hei ik voldoen en laat ik wens geschien , Op deze manier allee zijn t ' ongeluk te vlijen , die Troijas hovardij vinden god hebben te verwachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.6	uw boodschap wel wild doel , en ras te kern trachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.7	En brengen ik twijfelachtig antwoord in ik tent .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.1	ik gaan terstond , ik heer , daar ghij ik heen zenden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.2	tas wonder , die d ' aldergroothertichst capitaijnen , doen mannelijckste man , zij zelf zo verkleijnen , die zijde haar edel vernuft en overgrote geest , Die vinden een ieder wereld verwonderen en gevreesd , dik onderwerpen aen een vrouw slechten en teder .	Fear_Emotion_Wonder
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.3	Bryseis wassen hebben laatst , Polyxena ' zijn nu weder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.4	doen kloek jongeling , die nu hebben aardrijk dracht , wassen slaeff vinden zijn slavin ; nu zijn hijt vinden een maagd , Die hij voorzeker mede meer plaag wensen beladen alles Xanthus vis hebben en t ' bus vinden Ida blad .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.5	hebben daecht te mede en ik zijn aen doen muur schier .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.1	1 .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.2	Handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.3	2 .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.4	Wtcomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.958.s.1	wachten op doen muur	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.960.s.1	wachten	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.962.s.1	wassen daar ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.971.s.1	doen koning vinden Tessalijen zenden ik hier , En moeten ik boodschap niet dan Hector zelf uitleggen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.978.s.1	Indien ghij wat vertoeven , ik zullen hij aen doel zeggen .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.979.s.1	Automedon tot Hector op doen muur .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.1	grootmoedig Prins , die zijde uw ' svaders rijk pilaar , zonder wie recht hand doen stad langen t ' onder waar , doen zoon vinden Thetis , die snel lopen al hebben hei wijecken , Die zenden ik uit hebben heijr vinden doen geleersde griek , En wensen uw , die ghij lang leven en tegelijck Geluckelijck beschermen uw oud toecomend rijk .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.2	t ' sinds die uw moer laatst doen god vinden Delos eren mede kostel offerant , en Troijens heijl begeren , En die Polyxena mede haar te outaer komen , ontsteken de held zijn hart mede zulk heten vlammen , die lijeft tot jachten en crijch , die hei te voorn eren , Altsaem in teder lijefd ' vinden deze prinses verkeerd .	Emotion_BodyPart_BodilyProcess_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.3	Al ander oefening slaan uit zijn zin , doen niet dan maal in zijn ongemeeten minnen , In welk lijefd ' hei wensen genietend te volharden Tot die vinden lichaam zullen zijn ziel scheiden worden , lonen hij Polyxena mare mede gelijk branden .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.4	Nu staat hebben gans geluk vinden Troijen in uw hand : Indien gh ' Achilles niet vinden haar en goed versteken , hei zullen doen griek vinden doen muur op doel breken ; zo blijven uw vader oud en broeder in haar lof , En achter het tiend jaar zullen edel rijk hoff vinden Pryamus in fluer nog blijven en verblijden , die swaerlijck wereld gedraeijcht vinden veel prophesijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1065.s.1	Hector	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.1	ik wens de Mirmidoischen Prins groots vinden moeten Sijns lijffs genieting tot vergelding vinden zijn groeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.2	Achilles ik beloven ik zuster te vereren , Indien hei het griexse heijr niet willen terug doel karn , mare levrent in wij macht en helpent zelf verslaan , die niemand over blijff dijen mogen vertrekken gaan , die griek nimmermeer deze aenslach en mogen prijzen ; Off Atreus neef zelf de weg te hel wijze .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.3	Die doden mede zijn hand , tot voorstant vinden wij zaak , En eren troijen mede een hoog verdiend wraak .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.4	Indien hei een voldoen vinden beide deze ding , zo goed hei al die oijt troosten vinden Lieffd ontvangen Te boven in geluk , en krijgen ik zuster cuijs , Laomedons slachten , vinden oud en edel huijs vinden Dardanus uit Jovis goddelijk zate spruiten .	Emotion_Happiness
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.5	Aldus zijde worden mogen vinden hij allee genieten , mare op geren ander wijze winden hei deze teder maagd .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.6	Dies tot zijn tint keren , en hij deze antwoord dracht .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1125.s.1	spreken hebben goed binden Hector .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.1	Spijtijge tijding zullen deze voor Achilles wees .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.2	doen wond enten t ' hoog hart zijn zo niet te genezen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.3	Die nummer t ' winden zoeken dan ridderlijk , soud ' hei zijn lusten zoeken te boete door verraderij ?	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.4	ik weten wel , deze smaad vinden Hector zullen hij kwellen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.5	ik zullen hij niettemin hebben gans stuk vertellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1148.s.3	3 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.1	Automedon , wat nieuw ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.2	brengen ghij wij god geluk ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.3	Wat antwoord Hector ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.5	vertellen ik t ' ganse stuk !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1182.s.1	Hector , een oorzaak meest vinden alder griek schade , willen , die ghijt laag off doen prins zout verraden : zij levren t ' ganse heijr , en helpent moord fel , Off zenden mede uw hand d ' Atrijden na de hal .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1182.s.2	En doen ghij geren vinden bei , en slaan zijn eis geren achten , Ghij zullen Polyxena tot uw lot verwerven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1182.s.3	Dan , doen ghij geren vinden bei , en slaan zijn eis geren achten , zo zetten zijn zuster vrijen ( zeggen hei ) uit uw denken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.1	Hoe nu verwaand Prins ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.2	doen moedichts vinden doen griek Durfft ghij die vinden verraden ( o zot hovaert ) aanspreecken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.3	verwaandheid ongegront schaden niemand dan haar heer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.4	ik ongemeten hart , die niet en achten dan eer , Soud ' die stillen te neder , en laat zien verwinnen vinden Venus blind kind , en t ' onversichtich min ?	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.5	In geren manier , al mos ik durven schonen ik vrow !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.6	Voor wellust goed ik eer , ik eer hand aen ik trouw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.7	deze hand ( ik zwaard doen god ) zullen uw te hel storen , deze hand ( ik zwaard doen god ) vernielen zullen uw muur , deze hand ( ik zwaard doen god ) zullen binden kort tijd Gevancklijck leiden t ' pand , daar ghij dus tros mede zijde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.8	zijde ghij vinden goddelijk zate , gelijk ik goed versieren , Die minnen dan menschlijck zijde , en meer gelijct doen dier , vinden laag gemoed , niet woerd nog datment achten off eren ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.9	Hoement meer heusheid doen , hoe die hebben meer begeren .	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.10	Een edel hoog gemoed meer dan gemeensche zin Laetet hij nummermeer in heusheid overwinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.11	nul vreemd branden de min !	Emotion_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.12	zo lichtelijk ik wel spreken vinden uw te bluschen uit , gelijcmen uw onsteect , mare zwaar zijn inder daad uw uit hebben hart te scheiden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.13	En t ' zwaar die ghij hebben in uw zijn langen verbeiden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.14	nul , die mede uw gezicht beschaamd doen zon klaar , elk uier t ' sinds ik uw zien dunken ik wel duizend jaar .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.15	o Venus !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.16	geven ik raad in ik verward zin .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.17	verschonen indien ik zot laster doen wijze min !	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.18	Jivoren aangezicht , zo ghoddelijck telen , ja schoon alles hebben schoon , die schoonheijt zien voorbeeld , allee vinden god slachten , sieraad vinden ons tijd , Cupidoos hoogst roemen , al Venus hoverdie !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.19	Achilles , wel , hoe nu ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.20	zijn deze die uw betaempt ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.21	Ghij droecht een vrouw cleet , alles ghij te oorloch quaempt , Door uw moeder vrezen , die ghij alhier zij blijven .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.22	Nu gh'lijckt ghij niet enten cleet , mare enten gemoed doen wijf .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.23	Tot nog toen hebdij dan enten oorloch kloek werken En menig strijdbaar held gewapend ombrengen , Ontallick volk gedoot , en na de crijchs manier de hal vinden burger , en vinden spijs verzien doen dier .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.24	Tot nog toen hebdij dan meer na t ' verhard gevecht Dan enich kapitein winteeckens oprichten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.25	Tot nog toen dan uw nader verzekeren voor hebben sterven Om mede een zotternij die al te bederven ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.26	d ' Onsterfflijckheyt ws naems , daar ghij zo velen om leed , mede moeite en arbeijt street , bestuiven en besweet !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.27	Hoe sijdij dus verkeerd ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.28	al t ' beestelijck leijt boven En het goddelijk vinden uw aard verwinnen en verschuiven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.29	Achilles nader , daar elk mede zulk ontzag vinden sprect , zullen die nu worden mede verraderij bevlect ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.30	ik zwaard : in geren manier , mare zullen gaan openbaar Hectors verwaentheijt zot , en het ganse stuk verklaren Aen Atreus neef bei , dijen allermeest goed aen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.31	zo vallen doen trots stad , en blijven ik eer staan .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1345.s.2	handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1345.s.3	4e Wtkomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1347.s.1	koor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.1	koor 1 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.2	nul wonderlijk strijd in ieuchdelijcke zin , moeilijk eergiericheijt , en zacht branden vinden min !	Emotion_BodilyProcess_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.3	wij vinden uw beijden hier doen groot zijn vinden kracht , besluiten noijt sterfflijck mens wel vasten in zijn denken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.5	zeer dickmaels wind doen minnen , en dicmael , zijn niet wonder , brengen d ' eest verwinnen eer weder zijn verwinner t ' onder .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.6	doen eer beloven een lusten , daar niemand aff en grijzen , En t ' geren doen minnaar lieft , allee doen minnaar prijzen .	Emotion_BodilyProcess_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.8	die al doen wereld prijzen , kan niet velen waardig wees .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.9	Meer dunken ik t ' geren die een off twee prijzen woerd prijzen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.10	Ghewoont bedriechter velen , en ander reden schijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.11	d ' oprecht oordelaar te wereld zeldzaam zijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.12	4 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.13	doen prins groot , waar in doen volk haar vertrouwen , waar aen doen wereld hand , altsaem aan d ' eer haar houden , En acht die velen meer dan al haar rijk en staat .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.14	mare welk Prins wassen noijt Cupidoos ondersaet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.15	5 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.16	Gheluckich zijn hei dan , dijen hij niet laat verdriet Te strijd voor zijn eer , en lijckwel mogen genieten doen gaaf vinden doen Min. mare zijn geluk zijn kwaad , dijen nodig zijn die hijt een om t ' ander laat .	Emotion_Happiness_Love
hoof001achi01_01.TEI.2.text.body.div.div.head.1435.s.2	handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1435.s.3	5e. Wtcomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1436.s.1	Menelaus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1436.s.2	Agamemnon .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1436.s.3	Achilles .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1438.s.1	Menelaus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1448.s.1	dat Autumedon te kennen geven , wel god zijn , Hoe wel die Thetis zoon eerlijk en hoog vinden moeten zijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1448.s.2	wan wij weten niet , wat dik doen min doen bestaan .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1450.s.1	Agamemnon	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1457.s.1	maken niettemin geenszins hier vinden bij hij vermanen , wan twijfelen vinden zijn trouwen grootlijxs de Prins zullen kwellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1482.s.1	daar zijn doen broeder baij , ik goed haar nu vertellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1482.s.2	geluk ion uw Jupijn en een langen leven tijd , Ghij , die vinden griexse heijr veldheer kiezen zijde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1482.s.3	doen vreemd hoverdij en smadelijck begeren , die Hector op ik doen , die doen ik tot uw karn .	Emotion_Greed_Pride_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1490.s.1	Wat zotternij zijn nu , daar in wij vijand dwaelt ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.1	doen kracht vinden Venus kind onnodich zijn verhalen , Die hei goed al dag in volk en prins toon : Hoe weinig hei doen god de hemel goed verschonen , Hoe klein ontzag hei voor zijn eijgen moer hebben .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.2	de ghoden koning zelf , voor wieden hebben aartrijck beven , doorschieten hei , en goed hij daar in niet meer bezwaren , Off maiestaijts kwetsuur gans geren misdaad en waar .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.3	Gheen wonder zijn dan , zo doen Peruicque blond , T ' welriekent zij , getoijt mede een wtheemsen vinden , daar bij Polyxenaes snede witten en teder hand , Achilles zin en hart leiden in vasten band , Ghelijck gh ' altsaemen weten , wan wijzen ik doch de manna , dijen t ' heten verteren vieren bekwaam verbergen kan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.4	Door last vinden deze minnen , vinden wieden ik zijn binden , hebben ik Autumedon tot aen doen stad zenden mede al eerbiedigheid , en huesheyt onverdient , Ghelijck een Prins beleefd soud ' zenden aen zijn vriend , Om Hector uit ik nader na deese maagd te vlaag .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.5	de welken zo hei zand , ik loven Troijas plaag Te weer vinden haar muur , en eindigen de twisten , daar negen iaren in alreede zijn verkwisten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.6	mare wat doen Hector ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.7	hei , in plaats vinden te bekennen doen weldaad dieck hij doen , goed ik de antwoord zenden ( ik razen , o groot schant !	BodilyProcess_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.8	): Achilles moeten verstaan , die hei doen prins , en zijn crijsluij zullen verraden !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.1	grootmoedig koning , hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.2	zijn Hector niet gezworen wij vijand tot dootc goed ghij uw daar aen storen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.3	trachten na een wreed wraak ; troosten daar ik t hoog moeten ; wijden zien , hopen ik , wel haasten doen stad onder doen voeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.4	laat Hector dan allee zijn zuster uw onthouden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1603.s.1	Polyxena mede al d ' ander troijaense vrouw zullen binden kort tijd wel val in wij hand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1603.s.2	waar toen hebben smeken dan , of ruim slechten mede schant ?	None
