ross006zing01_01.TEI.2.text.body.div.head.278.s.1	doen zingen kraamer , kamer speld .	None
ross006zing01_01.TEI.2.text.body.div.sp.459.s.4	of een laten om te drinken : Ha , ha , ik zien gei knikken , en knik zijn te zeggen ja ,	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.461.s.1	Een vinden doen heer geven hij een glas wijn zijn of bij zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.472.s.1	welkom , welkom , Wyntje , laten , laten , welkom , welkom , Wyntje , laten , laten , welkom Wyntje , Al zijn hebben een Pyntje , welkom , welkom Wyntje , ei gade ,	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.474.s.1	hij drikt hebben glas uit en zeyd .	None
ross006zing01_01.TEI.2.text.body.div.sp.479.s.1	hij Musjeurs wij doen ik die zode naar ?	None
ross006zing01_01.TEI.2.text.body.div.sp.479.s.2	Ik zijn een Liefhebber vinden drinken , die moeten gei weten , En ik zijn ook graag te plaats daar braaf wat vallen te vreten .	None
ross006zing01_01.TEI.2.text.body.div.sp.479.s.3	doch wij horen ooyt die iemand die gezond wassen hebben eten verdrieten ?	None
ross006zing01_01.TEI.2.text.body.div.sp.492.s.1	brengen brood , het zijn node , In deze aanval groots , acht , neege pond , nemen vorst tot lond , En strijd tot in de dood .	None
ross006zing01_01.TEI.2.text.body.div.sp.498.s.1	Ja hebben heugen ik nog , doel ik laatst een in doen node , Hier op de Amstel wassen , daar vallen niet velen te bikken , alles zomtyds een aan een boere meid zij mond te likke .	None
ross006zing01_01.TEI.2.text.body.div.sp.516.s.2	zoet meisje zonder gal , Hoe staan hebben al mede jouw muyse , muyse , muizen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.516.s.3	o , zoet meisje zander gal , Hoe staan hebben al mede jouw muyseval ?	None
ross006zing01_01.TEI.2.text.body.div.sp.516.s.4	Ik hebben een muysje , klein alles een luysje , Gund hij een plaatsje al in uw poezel huysje ;	None
ross006zing01_01.TEI.2.text.body.div.sp.521.s.1	zoet , die deunen zijn al te lichtvaardig , zode hebben ik wel horen , En daarom zijn het goed die reeuw mare smoren ,	None
ross006zing01_01.TEI.2.text.body.div.sp.530.s.1	halen mikkel , te dybel , en ik moeten voor , zode doen minnen ik zin bekoren , doch evenwel bon kouragie ,	BodilyProcess_Love
ross006zing01_01.TEI.2.text.body.div.sp.536.s.1	die horen ik zingen , op doen Bootermarkt , vinden Klaas Klomp , en Spring int-Velt op zij Stillagie , En de zode stellen ik die gek deunen al mede aan een zijde .	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.1	laatst zien ik een in doen wei , Een helen liefelijk gevly , Al vinden een herder knaapje , Die door doen minnen ; zijn Harderin , bekoren o die aapje !	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.2	hij roepen stadig schoon maag , Die in uw voorhoofd dragen , Twee volmaakt keykertjes , ach !	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.3	ach !	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.4	ik harden , zijn zeer verwarren , Door het straale vinden die preykertjes .	None
ross006zing01_01.TEI.2.text.body.div.sp.580.s.1	En daar met zien hij een einde vinden zijn verdrieten , Hoe , leggen gei Musjeurs ?	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.580.s.2	of geloven gei hebben niet ?	None
ross006zing01_01.TEI.2.text.body.div.sp.580.s.3	doch zode hier imand zijn die het niet geloven , vragen hebben aan ik besje die zalder niet om liegen , Ja zij woord gaan zode vasten alles een hand vol vlieg ; doch dat's tot daar aan toen , een loog op zijn passen , zijn voor doen uw lieden een Spinnewiel mede vlas , En magge zijde zomtyds op doen Straat een labbekakken , Dan gaanse in grasduyne , doch om hier helen langen op te snak , vinden doen uw lieden , die lijken ik hoogheid niet , Ik willen mare bekennen maake vriend , doen manna die gei hier zien , zijn altijd vrolijk vinden Geest , wanneer hij mede zijn kramer winkel komen in een herberg	Joy_Emotion_BodyPart
ross006zing01_01.TEI.2.text.body.div.sp.591.s.1	Iantje roepen zijde , kinkel , o Iou lang scharreminkel , Wat doen gei vinden hebben bed ?	None
ross006zing01_01.TEI.2.text.body.div.sp.591.s.2	komen nog een in het Paardewet .	None
ross006zing01_01.TEI.2.text.body.div.sp.599.s.1	Blieft'er ook iemand dienen te wees ?	None
ross006zing01_01.TEI.2.text.body.div.sp.599.s.2	mede een brillen voor een scheel pagedet ?	None
ross006zing01_01.TEI.2.text.body.div.sp.599.s.3	Ik heb'er nog twee mede schoon vergroten glas , Spreekt'er niemand , wel wat zijn jeluy maf baas , hebben zijn haasten niet te peynewaard die ik hier komen mede ik goed .	None
ross006zing01_01.TEI.2.text.body.div.sp.610.s.1	ik Grootvaar dragen een hoog hoeden , Twee Schoene zonder zool , hij hebben velen hemmen , helen en goed , zode witten alles doof kool .	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.1	mare ik hebben byme kriek al slim moet dolen , doel ik voor vieren jaar , bij doen lap in vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.2	landen wassen verzeyld , o bloeden !	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.3	wat hebben ik daar al menigmaal myu Kraamerytje uit geveyld , doch niet een vinden die ezel kop wouw wat vinden ik koop , Dan gaan ik een een dagge of teen op de boer lopen , En spelen , boer geefme een stuc , of ik veegje door doen smoel .	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.4	Ik reizen naar Luylekkerland , daar wassen een groots kriejoel , Vermits een dood paren , die duivel dol wassen , mede een Waafel Kraam aan zijn mars die avond aan doen hol wassen , mede een Waafelkraam aan zijn mars , die avond aan doen hol wassen , doch ik zetten ik Marsje neder en grijpen hebben bij de tomen .	None
ross006zing01_01.TEI.2.text.body.div.sp.635.s.1	Daar voeren de een Scheepje voor winden , en stroom , Daar voeren de een Scheepje voor winden , en stroom , hebben stellen zijn koers naar d'Overtoom .	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.1	mare hebben scheiden ik zode zeper wel een dromen , wan hebben Schip hebben zeilen roeren nog mast , En zijn verzien mede zeven drol'ge gans , Een zonder arm , een zonder been , een zonder Kop , En al watze zingen zijn niet ander , alles o wede !	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.2	wij gelden zijn op .	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.3	o man ?	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.4	roepen ik wederom , vaart gei zonder Scheyven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.5	Dan magje wel mede die Schip uit doen wareld-dreyven , En daar op beginnen ik te lollen , blauw gaare , en kooperdraat , ik gelden zijn op , ik weten geren raden .	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.6	Hier over weer deze voorgenoemde zode drommel kwaad ; Om die ik zulk een deunen op zij beginnen te zingen , die die venten zonder Kop , voor wouw in het water spring , doch ik lagten zij uit , en gaan weder landwaarts in , En doel krijgen ik zulk verbruyde lust tot doen minnen , die ik vinden binden verbranden alles een Bakkers oven .	Emotion_BodilyProcess_Love_Anger
ross006zing01_01.TEI.2.text.body.div.sp.668.s.1	Wat gans zijn daar boven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.668.s.2	Vrouw rekenen , Vrouw rekenen , Vrouw reekend wij niet .	None
ross006zing01_01.TEI.2.text.body.div.sp.677.s.1	En doen meid daar ik naar uit vrijen gaan , wassen genaamd scheel tiet , zijde hebben een ingeval neuzen , en een pokkig bakkes , En zij oog waar alles doen brillen vinden Momus kakhuys , mare zijde vlucht voor ik liefde alles Dafne voor Apol ; zode die ik schier ik brein verliezen , en lopen gelijk een zot bal , Ja ik slachten Flip in ' - Laasrishuys , en hebben mare twee vinden ik zin .	None
ross006zing01_01.TEI.2.text.body.div.sp.684.s.1	Al wat ik doen , ik kunnen geren ' Iuffrouw winden , het Scheynd die doen Liefde helen verbannen zijn .	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.1	doch Musjeurs , ik worden wel haasten weder fris , Door zweet drankjes , purgaasjes , en zulk gril , mare al deze bab'len , en praten , zetten ik geren vet aan doen bil , wild ook imand kam ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.2	Tonteldoosjes , of een stukje Lak ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.3	potlood pen , Pypedooze ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.4	of een almanak ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.5	wij roepen daar ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.6	gei borsje ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.7	wat zijn vinden uw begeren ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.8	Een Speesie boekje , om hebben M [ ... ] t de Scheyven te lederen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.9	die kosten een goed Schelling , zien zode die zijn een beginnen , wij willen nog wat ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.10	hier hebben ik knoopjes vinden hebben seynste tinne , Die jouw bij ik zoole voor zilveren aan jouw broek kunnen dragen .	None
ross006zing01_01.TEI.2.text.body.div.sp.709.s.1	En hebben zijn al rijden aan het dagen , kijk wat schoon Morgestond ; Ik zien hoe voor Febus waag , trekken Dianaa's zwarte binden .	None
ross006zing01_01.TEI.2.text.body.div.sp.718.s.1	Wat hebben mog een stront , Febus zijn nog bij Tetis , om Mossele te vreten , doch hebben zijn een foutje vinden ik zichten , die moeten gei weten , Ik worden al god ouder , en en omtrent zestig Jaar , wij wild ?	None
ross006zing01_01.TEI.2.text.body.div.sp.718.s.2	wij zelder ?	None
ross006zing01_01.TEI.2.text.body.div.sp.718.s.3	Pennemesse , of een seyne Schaar , Scheermesse voor doen Snotschraapers , om met te schaar .	None
ross006zing01_01.TEI.2.text.body.div.sp.732.s.1	heer , zijden zijde heer , hij weten wel vinden te voor , die doen Kelder hebben een scheur , hij roepen : hebben wassen mare niet mede al , hij weten die hij ' et wel stoppen zullen .	None
ross006zing01_01.TEI.2.text.body.div.sp.741.s.1	Zoet Kraamer worden niet mal , laten doen mens lief verstaan wat gei hebben onder vinden , En hoe gei veertig jaar hebben zwerven voor doen hond , gelijk doen Musjeurs al een weinig hebben verstaan , En om datje liefhebber vinden wat nieuw bende , zullen ik al vorder verhaale gaan .	None
ross006zing01_01.TEI.2.text.body.div.sp.750.s.1	Een die zijn avontuur vertellen , behalen zomtyds velen lof , schonen hij een mager keuken kweld .	None
ross006zing01_01.TEI.2.text.body.div.sp.769.s.1	houden , alles ik al in orde vehalen zullen , moeten eest ik geboorte plaatsen vermelden ; En om tot doen zaak te komen , zode weten ik zijn een Boere zode , in Amsterveen geboren , En ik komen zode dikmaals in die Dorp te horen , vinden varen naar Janstinje , of na de Oorlog , Ik duwden op , mede nog een buur knecht vinden ik genaamd Jilles zonder bedrog Een Persoon die met zeer genegen wassen om voor het Vaderland te sterven , nu , wie gaan na Amsterdam , daar zijn ik bezig om Volk te werf , Die mede doen eerst Scheepe naar doen Batavise Kermis het zeil zouwe gaan , ik Maat raken te eerst klaar , mare ik moeten , hopeloos blijven staan , wan maken ik enig voortgang om binnen te komen , zode komen doen geweldieger mede zijn rotting , en roepen , zijn heen oom ?	Emotion_Benevolence
ross006zing01_01.TEI.2.text.body.div.sp.769.s.2	Ik denken lopen voor duyzend nikkers , en ik lopen bij ik goed , vinden het Oostinjes huis naar het prins Hof , daar worden ook Volk pressen , wan doel ik daar komen stond bij ik keel , wel twintig schreyvers op doen plaatsen bij die ronden Lantaaren , En al wat ik roepen die wassen .	None
ross006zing01_01.TEI.2.text.body.div.sp.782.s.1	wij willen met te Oorlog varen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.782.s.2	mede hebben Scheepje vinden Rynuyt ?	None
ross006zing01_01.TEI.2.text.body.div.sp.782.s.3	Die moeten hij terstond verklaren , Eer die ik de Oorlog sluiten , Aan boord , aan boord , aan hoord .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.784.s.1	hij spreken	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.1	En ik hebben nauwelyks die rijden horen , Of ik gaan dadelyk bij die opgepronkte Kadetten , En spreken , maat Schreyver , wild ik met voor Matroos op doen zeel zet , zijde keeke ik een onder doen oog , en vroeg hoe ik naam wassen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.2	Ik antwoord ik heten Krispyn , wel Rieper doel weder een zijn oefenen in hebben Kompas ?	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.3	Ja , roepen ik wederom ik wilje al doen streek vinden doen winden wel opnoeme , zonder daar in te dwaalen , god antwoord ik een vinden doen Schreyvers , komen dan dadelyk uw geld mare halen .	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.4	Ik springen driema l an , wan ik denken hebben zijn goed een half ei alles een laag dop , En daar met gaan ik aan het zingen , en zet doen vreugde oog in toppen .	Joy_Emotion_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.811.s.1	Wat zijn ' er goed leven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.811.s.2	alles te wees een Matraos , geren staan zode buigen verheven , t ' zijde vinden prins , of graven altoos , wij vervelen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.811.s.3	Deze weelde .	None
ross006zing01_01.TEI.2.text.body.div.sp.817.s.1	Ik krijgen elf gunnen op hand , daar ik braaf mooi weder met spelen , doch geren twee dagen daar naar , of doen Trommel slaan en ik moeten naar Boord , mare zode draa alles wie op Zee kwame , doel wassen hebben .	None
ross006zing01_01.TEI.2.text.body.div.sp.828.s.1	Moord , moord , moord , wie raken voor aan het slaanen , Tege die verbruyde haan , mare zijde vlucht voor .	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.1	wan wie hebben een Kapiteyn die zijn nooit bang voor zijn agterpoort , mare roepen tonen datje liefhebber bende om voor het Vaderland te steyden , die zijn recht , roepen al hebben Volk , zijn gei wij wild geleiden Daar waak wie voor uw , mede Argus snel zichten , Twee dag na hebben gevecht , zegge wie snags een groots liggen , Loeverd vinden wij af , hij roepen doen vent die aan het roeren staan te waken , Ik geloven die ik daar Trooye zien brand , om die verbruyde schaken , vinden Heleen , doen schoon die Paris ooyt Liefde bewijzen ?	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.847.s.2	Wat roepen ik zij die Trooye wees ?	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.3	hebben mogen een uw bullepees , want Trooye hebben al negehondert Jaar in doen as liggen , En ik willen wel wedde , die die vermaard Griek Held Achilles zijn deeg , Al door doen roesten tot pulfer , en gruis zijn verteren , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.4	spreken doen venten , praten gei vinden Achil ?	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.5	die hebben bij ik vader Bestevaar , doen Krygs-oeffening leren ; die zijn een manna , die kennen op doen kanten vinden een gunnen schieten .	None
ross006zing01_01.TEI.2.text.body.div.sp.854.s.1	En hij houden ook velen vinden gieten , Bagchus hebben hij in doen vallen .	None
ross006zing01_01.TEI.2.text.body.div.sp.872.s.1	nu , wie zeilen op hebben liggen aan , en hebben wassen bij ik keel een uw Paardestal ; Die in doen branden zijn , bij Heyn doen woerd tot Schevelingen , in doen drie gekroond Bulhonden , het zijn Gloria , Victoria , zode langen tot doen stelen wassen verslinden , wan niemand waarde zich velen tot ned'ring vinden de branden , wie stakke weder in Zee , en zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.872.s.2	wegge mede hebben landen , gei held die doen baar , mede een god verstaan , Stoutmoedig overvaren .	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.1	Blieft'er ook imand Broekveeters ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.2	Kloskoort , of fijn garen , blikken veerkykers ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.3	Halsbande , of enig and're Snuyzery , Ik geloven gei liede hoord lief vinden ik avontuur spreken , alles vinden ik Kraamery ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.4	zijn die mede zijn Musjeurs ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.5	nu ik zullen al vorder vertellen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.895.s.1	ei !	None
ross006zing01_01.TEI.2.text.body.div.sp.895.s.2	willen ik niet kwellen , schonen ik ' er wat malen , hebben zijn al geren jellen , die ik hier verbaal .	None
ross006zing01_01.TEI.2.text.body.div.sp.895.s.4	willen ik niet kwellen , hebben zijn al geren jellen .	None
ross006zing01_01.TEI.2.text.body.div.sp.906.s.1	wie kruysten een dagge of vijf om : doen Noord , en doel beginnen Eool zode drommel doen pijp te stillen , En sturen Boreas op wij lossen , of aars zeggen doen Noorde winden , die wie al de brui menen te vergaan , ja ieder schreyden alles een kind , het wassen kappen doen groot Mast , of wie raake al om hebben leven , Og !	Fear_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.906.s.2	alles ik nog om die stormen denken , staan ik te zidderen en te beven , Dan bidden ik een aan Neptunus om genaaden , en roepen o lief Zee Godje !	Fear_EmotionalAction_BodilyProcess
ross006zing01_01.TEI.2.text.body.div.sp.906.s.3	ik zijn in dood gevaar , Dan denken ik weder aan die Lietje .	None
ross006zing01_01.TEI.2.text.body.div.sp.923.s.1	al uur verwachten gei daar .	None
ross006zing01_01.TEI.2.text.body.div.sp.923.s.2	donderen , bliksem , zuur bui , Kermen , klaage , hoord gei na , zwaard Orkaane , doen dood Klok lui , Hemel hoog baar stijf , ik Kryg'er vinden een schrik op het lijf , ik Blyf lief thuis bij ik wijf .	Fear_Emotion_BodilyProcess
ross006zing01_01.TEI.2.text.body.div.sp.937.s.1	mare of ik bidden , of zingen , doen winden blazen al eeve steyf , En hebben Schip die slingeren alles een wieg , die vinden een dol wijf worden trekken , En het roep wassen ander niet alles na boove jouw honde , of ik zullen jouw mede een dagge op doen lende knok , Ik springen over hals , over kop in doen bieden , mede nog een manna of teen , En wie laten ons Kapiteyn , mede al hebben and're Volk , wij vinden agt'ren hebben laatst zieden , mare nieuw zool doen heer liggen vraag , hoe Krispyn ?	None
ross006zing01_01.TEI.2.text.body.div.sp.937.s.2	dor jeluy die zo stout beginnen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.937.s.3	Ja voor zeper , wie swurve zes dag op Zee , en komen doel tot Zeeland binden , En daar verkoste wie doen bieden , en dielde mede elkander doen buit , doch ik gaan wel haasten aan het Zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.952.s.1	o Verbruyd !	None
ross006zing01_01.TEI.2.text.body.div.sp.952.s.2	o verbruyd !	None
ross006zing01_01.TEI.2.text.body.div.sp.952.s.3	Hier zode hand hebben vilmes uit , wan al ik ronden duyten , Die vlooge daar op eonen nacht , Ik worden nog lalyk uit lachen ; vinden velen ontaarde guit .	None
ross006zing01_01.TEI.2.text.body.div.sp.959.s.1	Ja ik wouw Bagchus wel voor zijn bek gegooyt aanzien mede al doen Zeelandse sluiten , doel ik daar al ik kostelijk gelden moeten laten , voor zode weinig genot , En al doen Vrouluy verwensten ik op Plutoos akker , in zijn alder groot Doofpot , En dan vervloeken ik Venus , en roepen : die zijde doen oorzaak wassen vinden al ik bedreeve lusjes .	None
ross006zing01_01.TEI.2.text.body.div.sp.976.s.1	Viva , doen Zeuwze susjes , Die scheyne wonder god , zijde bouwen wel vinden Kusjes , hebben smaakt'er al zoet , En wanneer gei het zij mare doen , zode zynse voor geneege , tot gei vatten wel wat ik menen .	Emotion_Benevolence
ross006zing01_01.TEI.2.text.body.div.sp.987.s.1	Of een die zulks niet begreype kunnen , dikklareer ik voor een zot die geren reden verstaan , wan Venus snuiten doen beurs , en maken velen ziek lichaam , En Bagchus doen ' er meenig aan het pootje kwyne , en mede rooye neus lopen , die het zijn zelf moeten schamen , doch deze overgeslaage , ik verhuurde ik in Zeeland te Kaap op een drommel dootje aan , Ik denken een Eys' ree Ketting , of een Gouwe , hebben moeter nu met door gaan , Ook zode doen ik doen hongeren al meenigmaal naar een stukje Brood watertanden , En aan Boord gekoome zijn , zingen ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.996.s.1	Ha die Hollanden , Ha die zeeland , hebben zijn geren schande .	None
ross006zing01_01.TEI.2.text.body.div.sp.1005.s.1	wan een die te Kaap vaart , moeten roven , en brand , hak , en houwen , of hij waard zeer weinig geagt , bloeden !	None
ross006zing01_01.TEI.2.text.body.div.sp.1005.s.2	wie kreege doen eerstemaal een Fransvaarder , die wassen niet ander alles mede wijn bevragt , die lijken wij wonder wel , om een weinig ons droog keel te smeren , En doel mogen het wij gebeuren zonder een duit te verteren , nu wie spelen ook wel te deeg .	None
ross006zing01_01.TEI.2.text.body.div.sp.1013.s.1	Lik , en vegen , Drink mare ledig ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1025.s.1	Ik zuipen die ik bij ik keel in doen kombuis neder zijgen , Zoet ik willen zeggen in doen kajuit , wan daar lach een Vaatje , die de Kapiteyn voor zijn Provizie houden , vermits die jong maatje , geloven ik weinig denken op ons Rovery hebben , god !	None
