weye002holl01_01.TEI.2.text.body.div.head.158.s.1	doen hollands zinnelijkheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.340.s.1	Tut tut , die worden keren die staan ik nimmer toen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.340.s.2	ei , het zullen nog mooi komen , In plaatsen vinden zoet gezang , zode zouje stadig droom vinden koperen vijzel , die uitgalmen door de node En smarten de kranken , het hels muziek vinden graf en dood , In stede vinden uw Salet galant te zieden behangen mede leren of schonen tapijt , zode zouje draak en slang , Egdissen , pad , krokodillen , na gespens Rondom doen muur zieden , het geren sidd'ren doen een mens ; Die Spadulano ( ha ! ik zij uiten ik vellen schier spring , uitschreeuwen voor wonderen en uitheems raar ding ; gei zullen een Circe zijn bij al die vuil gebroed .	Fear_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.340.s.3	Neen Juffrouw geren apotheek , die keuren ik nimmer goed .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.346.s.1	mare hoe zijn deze bui zij doch in het hoofd stijgen vinden doen oud apotheker , die zich nooit of ooit geneegen Betoonden voor wij sekse ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.346.s.2	vertellen ik het Antonet Indien j'er iets vinden weten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.369.s.1	Precysjes en helen netten zijn ik het geheim bewust , ik weten hebben op ik duimtje , het wassen Zusje feniks die hebben bloemtje en hebben schuimtje vinden properheid zich noemen , die vinden d'Apteker spreken Hoe die geheel zijn huis , ja zelf hebben klein gemak , blinken alles een diamant , hoe duizend fijn kopjes Vercierden het Kabinet , hoe velen japans popjes uiten amber , zeekraal , en roosverf , parelmoer , vervullen het groots Zalet ; ja die doen planke vloer zode glad geboend wassen , die ik tafel kennen doel glijden vinden het een tot het ander einde , deze kennen Mevrouw niet leiden ; mare roepen helen wat'rig , spannen doen koets in Bastiaan ; wippen mede wij drie daar in , en zode na Spadulaan , kwansuis om Salvolaat , grauw Amber , Kreeftenoogen , Etretra , op te doel , d'Apteeker komen vliegen Op het vreselijk schelm vinden Matantes ongeduld , Die straks brengen worden in het zalet , het geren fraai vullen wassen mede een kampanje vinden Juffren en twee heer ; D'een wassen Heer Klatergoud , die zesmaal dag zijn kleed veranderen , en altoos blinken alles een goud tor .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.372.s.1	En doen ander ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.376.s.1	Wel een gek , ik noemen hij Jonker snor , Om twee Moustaches , die zijn mal bakkes sieren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.383.s.1	die groot raasbol , die altoos doen uitheems zwier En nieuw snufjes volgen , vergulden lang al kanten , gelijk doen koets vinden staan , vinden Vrankryks afgezant ; Die hand en vinger mede manchet toen gaan dekken , Op die geren mistig weder zijn mooijering zij vlek	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.1	Dezelve : nevens hij zitten Juffrouw Suikerriet , Mevrouw Pistache en Roos ... mare zeker het zijn ik niet doen pijn een waard elk naam en toenaam uiten te liggen , Ik zullen alleenlyk vinden hebben thee-banket iets zeggen : In het mijden vinden doen zadel daar staan een Gueridon , Op het zelf een keteltje , zode blank gelijk een zinnen ; het Trekpotje wassen bekleden mede zuiveren zilveren laken , Op die geren vocht hebben gouden vinden het lofwerk zij mismaaken zijn meed hebben wassen beleggen ; doen schoteltjes in het ronden vinden onder netten beplakt mede zacht stukjes bonten , uiten vrezen die het porselein hebben lakwerk mogte schaarde vinden het lief japans blad , het geren rusten op drie pilaar vinden sakerdaan , kaneel , en pikzwart ebbenhout ; hebben schenk vinden doen thee worden Juffrouw Roos vertrouwd , Die evenwigtig thee en water weten te mengen , schonen dodelijk ongerust , uiten schrik vinden iets te plengen , het geren doch per ongeluk nog toekomen , elk worden blijken ; doen vrome Spadulaan , die vreselijk sober kijken , roepen : o !	Fear_HeavyHeartedness_Worry_Emotion_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.2	wat ongeluk , wat onbarmhertig storten , ik zij graag een derdendeel ik leven af zieden kort Indien het niet wassen geschieden , wat ongeluk zijn die !	Emotion_Unhappiness
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.3	die zijn zo zeggen Jonker Snor , ik zien al zo lief een gat alles zulk vlek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.4	Daar op laten doen apotheker halen Een flesjen Aqua vitten , mede lelytjes vinden dal , Om doen arm Roosje , die alles aan een slingeren hangen , En uiten zij boenziek vellen , door schrik en schaamte springen , Te laven .	Fear_Emotion_BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.5	Hier op zeggen Mevrouw doen verder vriend Adieu , ook Spadulaan , die nauw kennen woord vinden , mare stillen en zedig brengen Madame aan zij karos , doen wassen hebben , o !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.6	wat manna , doen worden doen tong eest lossen , wild Zusje feniks mond meer rammelen alles doen rad're Of hoef vinden het gespan , zijn netheid hebben doen ader Deurkroopen vinden Matant , ja zelf zij ziel bezetten , t'Wyl ik uw voor het offeren kiezen , die aan het Rubarber bed zij worden opgeveild : dit's doen oorsprong vinden zij kennis .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.7	Juffrouw daar hebben al .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.429.s.1	Alfonso zullen die schennis pareren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.429.s.2	ik hebben zijn woerd , hij komen vinden avond hier .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.429.s.3	Daar zijn een brief die flus , ja naaulyks een kwartier Geleen , ik worden bestellen door doen ordinair bieden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.stage.433.s.1	zijde lezen doen Brief .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.458.s.1	laten Seneca zijn les , moraal snapster d'uur die naderen , het slaan daar zes , Ik wachten de Held die het zwart gespook haasten zullen verwinnen : d ' apotheek en het porselein bezwijken voor trouwen min .	Emotion_Love_Loyalty
weye002holl01_01.TEI.2.text.body.div.div.head.460.s.1	vieren toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.461.s.1	ALFONSO , JAN , beide kleden alles reiziger .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.462.s.1	ALFONSO .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.1	alles een ontstellen klok , te langzaam of te ras gaan uw de bek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.2	gans bloeden hoe komen deze nu te passen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.3	wij die doen weelde smaken , moeten doen armoede ook verdragen ; hebben gelden zijn op : fiat , al het kroggen en hebben klagen doen niets tot ons zaak .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.4	Wanneerje in rome zitten , En meer in een malen alles een Abt of Bisschop vreten , Meer wijn verslinden alles een volwasse walvis , water , zijn beven torn Katoos les ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.5	nog een , houden toen doen snater , Of ander ... neen het kredyt raken gantschlyk mede uw uiten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.474.s.1	JAN .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.481.s.1	zo zijn het al langen wezen , geren Jood die wij een duit Meer toebetrouwt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.481.s.2	die ik ik Heer tragt t ' onderregten , zijn louter liefde , wan ( het krakeel en hebben vechten mare uitgezonderd ) wat voor ijver tonen ik niet doen ik Don Andreas vrouw , die tot zijn huis uw laten , En om een bevaart gaan , zelf in uw bed beschikten ?	Emotion_EmotionalAction_Love_Loyalty_Annoyance
weye002holl01_01.TEI.2.text.body.div.div.sp.484.s.1	zwijgen snapper .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.485.s.1	JAN	None
weye002holl01_01.TEI.2.text.body.div.div.sp.489.s.1	doel ik geven doen schonen mede gouden gestikten En zijden fijn das uw Spagnolette pop , Hoe dikwijls denken ik , ach !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.489.s.2	veranderen in een strop .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.492.s.1	Schelm !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.497.s.1	doen het huis beklimmen vinden het Paduaans Doctoortje , En het maagdelijk vort vinden het jong Leonoortje bestormen , wassen ik niet verloren sentinel ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.500.s.1	zwijgen langtong .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.504.s.1	doen laatst krijgen ruzie om hebben speld , mede Don Bernardo , worden ik niet half dood geslagen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.507.s.1	Poltron !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.513.s.1	het zijn wonder die ik hals het nog hebben ondragen , Wanneer ik doen oud Jood een vals diamant verkopen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.516.s.1	Bedrieger .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.522.s.1	doel wij huis lang al kanten omringen mede hapschaars wassen , om uw te apprehenderen , Wat groot helbaart-storm moeten torn ik rug niet karn , zijn vinden doen meest helft wassen uw gerecht part .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.531.s.1	Morbleu !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.531.s.2	daar liegje schelm , zo gei ik gramschap tarten , zullen deze een borstel zijn om uw de rok te vegen , zwijgen ; eertijds wassen hebben huis , geloven ik , hier liggen vinden ik Klarinde : ja , o !	Emotion_EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.sp.531.s.3	ja deze zijn doen poort ; Jan , wijken geren voeden vinden hier , al wierdje half vermoorden ; ik zullen in ik Logement deze reis-tuig gaan veranderen , In zes minuut Jan , zo zieden wie weder malkandren .	None
weye002holl01_01.TEI.2.text.body.div.div.head.533.s.1	vijfde toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.546.s.1	deze zijn helaas hebben lot vinden al dienstbre geest , hebben eerst compliment zijn vagebond of schelm , En na een lang reeks , poltronnen , schurke en beest , zode bruid menze op de kop , al dragen ik een staal helm : wegge papegaais-coleur vinden fulpe passement .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.546.s.2	Ik lach voortaan mede levery , wan ik zien Confraters dicht bij , Die rol nu alles braaf vent , In koetzen bij de akrementen !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.546.s.3	En ik hebben zo velen verstaan alles zijde .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.549.s.1	ANTONETTE , JAN .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.550.s.1	ANTONETTE maskeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.1	ei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.2	wat een Postiljon , ik zij Ronduiten bouw Op zulk een lichaam : Heer !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.3	hoe cierlyk zijn vouwen Die grauw leersjes , alles blaasbalken vinden een smet , hebben hoedje blinken alles krijten , zijn lobbetjes alles git .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.4	die pruikje moeten gewis een paarde-kam friseeren , En het pluimtje die zo netten passen bij zijn ander veren , geloven ik die een haan zijn staren ontstelen zijn : die zy-geweer komen vinden Kastieljes Veldheer gewis ; En het Reis-kapotje mede die regenboogsche kleur , schijnen wel een uithang-bord , het geren opgaan mede twee deur ; het Postuurtje kennen ik , of ik zijn geren Antonet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.1	die stukje lijken wel een bordeeltje vinden Biset .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.2	Zulk soort vinden duifjes kunnen ik mede een daalder wenk : Ik kennen die vinkje ; ik moetme daar een opbedenken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.3	bloeden zijn die nygen !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.4	Wel ik toonme meed beleefd .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.572.s.1	het zijn Jan ; ik moeten een zieden , wat knijpen die hij hebben .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.576.s.1	Wel aan , ik zullen deze kind een zwierig courtiseeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.576.s.2	Juffrouw wat isser nieuw ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.579.s.1	groen erte en suikerpeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.582.s.1	hebben haken ... wel apropo , het zijn een betrekken lucht .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.585.s.1	Die worden mala propo , misschien bij uw zoeken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.588.s.1	hebben waaien hier vreselijk kouten ... ik hebben nog rijk vriend .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.591.s.1	het waaien gek hier te landen , en die mede al wind .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.594.s.1	Ik hebben een groots verstand , mare tamelijk onbekend .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.597.s.1	ik geloven alsje stillen zwijgen , datje zeer wel-spreekend zijn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.603.s.1	die stuit ... komen , komen , ik moeten hebben blaadje ander karn : u duistre schoonheid , Lam , braveren doen zwart veren vinden raaf en Bontekraai , en flikkeren in doen nacht gelijk een stalkaars .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.607.s.1	Onder die faveur zo tragt hebben Heerschap mogelijk zich wat te diverteren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.613.s.1	Indien ik door het barrier vinden het masker speculeren mogen , u lief oogjes ... zij deze tong een compliment uw schenk , niet naar die	None
weye002holl01_01.TEI.2.text.body.div.div.sp.619.s.1	zijn het mogelijk , Heer jouw zijn Een zoet Kortisaan , lopen puikje vinden doen gek , klimmen op een duivenkot , daar kenje trekkebekken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.619.s.2	doen olyf kleur-prys die daald : ei !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.619.s.3	staan wat uiten doen zinnen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.624.s.1	Indien ik door het behulp vinden twee paren zesjes kennen lang Venus ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.624.s.2	Casimat ... naar waard nooit gepreezen : mede uw verlof Juffrouw , hoe laten zij het mogelijk wees ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.630.s.1	Ik worden bewegen door u zesjes en gebeen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.630.s.2	Een sterk beezemsteel , leggen op arm en been , deze vaak repeteren , zij die uw minnevlagen Niet aanstonds helpen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.630.s.3	he , wat hebben doen klok slaan ?	None
weye002holl01_01.TEI.2.text.body.div.div.stage.632.s.1	zijde nemen zij masker af .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.636.s.2	Toveresje lief , bekoorlijk Antonet : Nu mede autoriteit .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.638.s.1	hij willen zij kus .	EmotionalAction_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.643.s.1	Neen zoetjes Jantje , zetten Al die gemeenzaamheen een beetje vinden te zijden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.643.s.2	Hoe varen Alfonso ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.647.s.1	Wel de drommel zijn die rijden In minderen alles een wijken vinden Napels hier te stede .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.651.s.1	die luid wat apokryf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.657.s.1	mare Cupido komen mede .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.657.s.2	Ik zitten op d ' een wiek , en het Heerschap zitten op d ' ander , die gongje pos a pos : wie huilden mede elkander .	BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.657.s.3	hij denken op Spadulaan , en ik op Herbamuf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.1	zetten gek aan een zijden , uw talmen maken ik suffen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.2	Hoe zullen uw Heer die bui op het besteden nu ontwyken ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.3	wan Spadulano zullen gewis mede doen buit gaan strijken vinden juffrouw gild vlies .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.4	Madame Keizers-thee zijn vreselijk koppig , en zij oud Aptheker mede .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.5	hij hebben Mevrouw zij woerd , die zijn wat nieuw het geren zijn zijn , En het wachten mare naar het contract , welk dubbel de Notaris , Die ook een lid zijn vinden Matantes maatschappij , zullen krabb'len .	None
