rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.340.s.1	wie moet al waag Om wij in deze muur te vasten mede beleggen ; Daar het Eiland , door zijn ' staan en welgelegenheid , wij zo velen voordeel geven , alles het Spanje schae zullen wees , En nog deklip kennen zijn , daar zijn Konings macht , nadeezen , zien op te barsten stoten en gans verbryslen zullen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.340.s.2	Oranje , braaf Held !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.340.s.3	gei die geren ongeval Of lyfsgevaaren vrezen , om Neerland te bevrijden , u onverwelkbre roemen zullen het meest voor wij strijd , En overwinnen doel !	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.340.s.4	u naam allee doen meer Dan Lumeys woest Gevolg en al wij krygsgeweer .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.342.s.1	vieren toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.344.s.1	Treslong , Koppestok ,	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.349.s.1	Wat zijn ' er vinden u ' dienst ?...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.349.s.2	mare wat komen gei hier mijnheer Treslong ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.353.s.1	gei zien die schip wel ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.358.s.1	Watraaken Die schip uw of ik ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.363.s.1	zo zij onder ik bevel behoren raken zij uw liggen meer ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.370.s.1	Wel hoe !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.370.s.2	Ik tellen vinden ver in deze vlieden wel zesentwintig kiel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.370.s.3	denken gei Toledoos macht te water te vernielen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.370.s.4	Of hebben gij iets ander voor ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.376.s.1	Ja .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.376.s.2	lustre een , ik vriend : wie komen door het geval , door stroom , weer en winden , Of zijn hemel willen veeleer , aan deze kussen drijven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.380.s.1	gei komen uiten Engeland ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.388.s.1	oJa .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.388.s.2	Aldaar te leven alles balling en vinden roven , vallen wij te zuur en wrang , En daarom nemen wie te samen , rijden voorlang , hebben eensgezind besluiten , iets vinden gewicht te waag , gelijk wie nu gaan doel op Brielle .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.394.s.1	Ik moeten uw vragen Of deze gans vlieden mede Krygsvolk zijn bevrachten ,	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.398.s.1	Zelf overladen vol .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.404.s.1	doen Stad zijn in u macht , zo gei doen waarheid spreken , en ik uw de wegge willen wijze .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.404.s.2	zijn all ' die schip vol !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.415.s.1	mare twee zijn Spaansche prijzen , Door wij , bij Tessels rijden , gelukkig opdoen ; Doch doen ander zijn zeer wel mede dapper Volk beladen , mede Krygslien , die de staan en het Stamhuis vinden Oranje Getrouw zijn , ook meteen zijn Majesteit vinden Spanje Erkennen voor hunn ' Vorst ; mare schriklyk zijn verstoren Op Alva , Perenot , en ander , die , door moord , Door bloeden - en gouddorst , wreed , doen vrijheid ondermijnen .	Emotion_Loyalty_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.419.s.1	die Volk zijn na ik ' smaken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.424.s.1	Dus zij het bijna wel schijn die gei doen goed zaak waard toedoen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.430.s.1	ik Heer , Ik die ik Vaderland , en stellen daarin mijn eer die ik doen goed zaak doen hand zullen mogen leen .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.432.s.1	vijfde toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.435.s.1	Vander Mark , Entes , Treslong , doen rijk , Koppestok , Gevolg vinden edel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.438.s.1	Treslong , Vander Mark tegengaande .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.441.s.1	Die Veerman zullen mede wij zien op hebben naauwst verenen , En trouwen behulpzaam zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.448.s.1	die hij mede al spoed , uiten ons al naam , dan staks een boodschap doen Aan zij die het Eiland Brielle en zijn Stad bestieren .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.451.s.2	tegen Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.453.s.1	zullen gij u kloekmoedigheid die tomen wel durven vier ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.458.s.1	Ja tocht ; hier zijn geren mens die uw durven tegen gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.458.s.2	Wat wild gei die ik zeggen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.471.s.1	die u regering aan , die uw graven vander Mark , Treslong en ander heer , ontmoeten zijn , aan wieden gei , op zij volstrekt begeren , uw zelf verbinden moeten te treden in doen Stad , Om vinden zij ' vol raden terstond te vergen , die zijde twee Gemagtigden uiten heen na buit zenden Tot wij , om al kwaad voorzichtig af te wonen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.471.s.2	verklaren zij , voor doen resten , die wie hier zijn landen , Om heen vinden het Spaansche juk te ontheffen , Ferdinand Testuiten in zijn woeden , en om zijn Landsrecht te staven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.477.s.1	Ach !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.477.s.2	zien ik het Schip vinden staan een die gewenst have Bezeilen , het bang geween de droef burgerij verkeerd ras in vreugde !	Fear_Joy_Emotion_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.482.s.1	Op welk een wijze zullen hij Tochtoonen , aan de raden , die wie hij zulks gebooden ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.488.s.1	hij hebben bewijs , nog blijk , nog volmagts-brief vinden nood .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.488.s.2	die elk , die hij mistrouwen , hebben ogen na Brielsche Hoofd Slechts kaar ' , doen schip zien , en hij alsdan geloven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.492.s.1	Ik kunnen hij , te bewijs , voor een ' Geloofsbrief schrijven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.497.s.1	u Zegel en Geschrift zij weinig goed bedrijf ; Die teken zijn aldaar tot nog toen niet bekennen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.503.s.1	geven hij die Ring , zijn door u ' Vader wassen gewennen , alles Hoofdbaljuw die Stad , zijn orde te doel geld .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.512.s.1	die uitstel , en die schromen , vervelen ons held .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.512.s.2	wie , zijn Dwinglands dwinger , zijn rijden al regelmaat En weten vinden wij volk , die thans in kluister gaan , Ontwassen : zullen wie hier na bepaling horen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.512.s.3	Neen , slaaf voegen die band ; wie , wyzyn vrijen geboren : wie haaten slaaverny .	Emotion_Hatred
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.515.s.1	Treslong , de Ring aan vander Mark geevende .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.518.s.1	Daar , dapper Admiraal , aanvaarden ik ' Zegelring .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.521.s.2	geven de Ring , naar hij beschouwen te aanzien , aan Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.524.s.1	volvoeren nu altemaal , Wat ik uw hebben zeggen ; wie zullen het uw belonen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.527.s.1	Koppestok , heengaande .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.532.s.1	En ik , Heer Admiraal , zullen ik gehoorzaam toon .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.532.s.2	mare zo ik op het Stadhuis ik een gevangene hout ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.530.s.1	wederkeren .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.538.s.1	Hoe , daar gij uiten eigen willen uw nergens toen verstouten , mare , alles pressen Boo , vinden wij en ons weg .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.538.s.2	allee een boodschap doen , zijn zijn gei voor verliggen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.545.s.1	Ik zullen dan derwaards gaan , op u bevel , en kaar mede stad gemagtigden , willen zulks doen raden , straks weer ; Doch hout ik ik daar vasten , ik zullen het geduldig leiden , Op hopen die gei welhaast ik moedig zullen bevrijden .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.547.s.1	Zesde toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.576.s.1	doen Stad thans onbezet , weer Krygsvolk het , Utrechts stichten , Op uitdrukken lassen , geweldig plagen , verlicht wij werken in zwaarte , indien doen Brielenaars besluit , Door tegen weder , wij volk voor hun veest te sluiten ; zijde zijn nu velen te zwak dan die zij burgerij deze ondernemen zij ; die dwaaze raazerny Gedyde tot zij straffen ; zijde moet wij vertrouwen alles vriend , of voortaan alles vijand aanschouwen ; zijde kies een vinden twee : geren lang weiffeling moeten wij meer stillen doel staan : hebben Egmonds staal klink minnen weiffelend wezen , hij dus geren brug liggen Waarover wie hier het eest doen spanjaard binden krijgen , hij wassen nooit schandelijk onthoofd op het Hofschavot .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.576.s.2	die elk die voor wij zijn zien zelf niet schuil houden ' tot wie bij hij komen , neen , nu moeten ik zien verklaren Voor Prins of Hertog ; wan ik dulden geren weiffelaaren ; Die het mede de eerst hout woord ons lotgenoot , En met een vryheidstut ; mare die zien af en snood , Voor Alva wapen laten , zijn het leevenslicht onwaardig , En groot schelm dan hij .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.576.s.3	ik vriend die ik vaardig de Dwing landen tegen gade : Menspaar ' zijn ' aan hangen niet , Daar hij in wij geren deugd of edelheid ontzien .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.591.s.1	laten wij doen geestelijkheid , geren Kastiljaan en , sparen , ik broeder schim komen zijn nacht gestadig om ik waar , En zetten ik tot doen wraken op zijn moorders aan .	Emotion_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.591.s.2	Deedt hij Toledo het hoofd vinden het edel lichaam slaan , En voorts zijn bloedig lijk en overschot vertonen , ik zullen die geweldenaar zijn moordery belonen , En , vallen hij in ik hand , hij martlen door doen koord , Of door nog wreed straffen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.591.s.3	ik moeten aan hij de moord de eedle Batenburgs , en die vinden ander , wreken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.591.s.4	geren mens moeten te behouden ' vinden een ' die beul spreken , Of hij woord straks verdenken zij deelgenoot te zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.596.s.1	achten gij ieder Kastiljaan strafwaardig , mede wat schijn zijn doen Geloofsgenoot die schelm dan onschuldig ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.598.s.1	doen rijk	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.604.s.1	u haten hout perk nog paal ; gei tonen uw te ongeduldig , Te zeer op het rooms geloven bijten : wij geweer moeten al zielendwang , en vryheidschennis , meer bestrijden dan het gevoelen ' vinden ander braaf mens , Die , eveneens alles wie , herstellen vinden vrijheid wensen .	Emotion_Hatred
rivi001vero01_01.TEI.2.text.body.div.div.sp.608.s.1	wij zijn geloven belijden zijn even goed alles hij .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.617.s.1	velen rooms haaten ook doen vreemd dwingelandij ; zijde zullen nevens wij de grond de vrijheid liggen , verbitteren wie heen niet door schamper doel en zeggen ; zij medehulp zullen wij doel zegevieren : wan Tweehonderd vijftig manna zijn niet in staan om het landen Te redden en daaruit doen spanjaard te verjagen .	Emotion_Hatred_Anger_Spitefulness
rivi001vero01_01.TEI.2.text.body.div.div.sp.637.s.1	wie moet vinden het wellen de vreemd wij beklagen , En nood ieder een tot zijn behoudenis .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.637.s.2	ik weten hebben groot delen de volk gehoorzaam zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.637.s.3	Om die hebben nog geren ' wegge te uitkomst zien liggen ; Duszal , wennen Brielle en Voorndoor wij woord in gekreegen , En zijn vijand over macht mare eenmaal afweren , Al het nederland volk doel zieden hoe minnen hebben dwang begeren , terwijl doen vryheidszucht de oud Batavieren , zullen blinken uiten zij doel en laten ; dus bestieren wie al tot wij goed .	Emotion_Other_Desire
rivi001vero01_01.TEI.2.text.body.div.div.sp.637.s.4	Daar het Utrechts volk alree Bossu en Ferdinand weerstreeven , durven met doen kloek Brusselaars doen tiend Penning weigeren : geschieden deze heden rijden , hoe willen hunn ' moede dan steigeren Wanneer wie door hebben zwaarte die schatting tegenstaan , En wie alhier doen zinnen de vrijheid op doel gaan , zijn elk , voor Alvaas woeden , dan kunnen een wijkplaats vinden ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.661.s.1	ik moeten vinden nu af aan rechte werkzaam zijn , ik vriend , En brengen het volk aan landen , die in doen schip wachten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.661.s.2	bezetten hebben hier omtrent , mede ons klein macht , zo groot alles het mogelijk zijn ; doen tromp en trommel razen , Om doen Afgezondenen de Stad dus te verbazen , die zij wij velen duizend geloven sterk te zijn .	Fear_Emotion_Wonder
rivi001vero01_01.TEI.2.text.body.div.div.sp.661.s.3	Wat aan het getal ontbreken vervull'men door de schijn , Voor het ogen , en , inderdaad , mede rapheid , moede en kracht .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.661.s.4	wie plant hier nu het eest doen Vryheids vaan , en wachten Vermeerdering , in kracht , in aanzien en getal , zo dra wie meest zijn vinden Eiland , Stad en waal ; deze zullen wij dagge aan dagge al meer doel zegepralen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.661.s.5	Wanneer doen gild zinnen zij flikkeren straal Aan deze gewest onttrekken , zijde keur - en Misgewaad , Kassuiffel , kappen en Stool , Altaar en Kerksieraad , plunderen , en te buiten vinden wij en ons held .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.661.s.6	die ieder , die wij durven voor watergeuzen schelden , Verstomd staan , en , mede schrik , beschouwen ' hoe Nederland Hierna , door Nassauws zorgen , mede zulk een vastenband vinden Een dracht , tot geluk zijn burger , blijven binden , Die voor doen dwing landy , onbreekbaar woord bevinden .	Fear_Emotion_BodilyProcess_Wonder
rivi001vero01_01.TEI.2.text.body.div.div.stage.663.s.1	Einde de eerst bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.head.667.s.1	Tweede bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.stage.671.s.1	Vander Mark , Entes , Treslong , doen rijk , Duivenvoorde , Gevolg vinden edel , Bootsvolk en soldaat ; week laatst , gedurende deze toneel , allerbande Krygsbehoeftens , alles uiten doen schip baalende , achterwaarts en zijdelings overbrengen : ook zien ik enig standaard , vaandel , vlag en wimpel zwier ; zijn in de grond , te wederzyden vinden hebben toneel , planten .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.673.s.1	Duivenvoorde .	None
rivi001vero01_01.TEI.2.text.body.div.sp.677.s.1	gei heer , wat zijn deze , die gei uw hier op het stranden Tot een aanval schikken ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.677.s.2	Wat eisen maken gei op het landen En Volk ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.707.s.1	wie komen hier bij uw alles vriend land , Om dus gesaamentlyk , hebben scherp vinden Alvaas tand Te stomp , wennen hij uw tot op het gebeente knagen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.707.s.2	u recht die hij schenden , doen schatting die hij vragen , En zijn geweldnaary , doel wij te samen komen , Om hij te karn .	None
rivi001vero01_01.TEI.2.text.body.div.sp.707.s.3	wie , wie aanzien voornemen , uiten Held oranje lassen , voor Hollands vrijen staan , Kloekmoedig het hoofd te bieden aan hij , die , door verraad , wij meer de drukken dan ooit zijn ' Koning hebben gebooden Te mogen doel ; waarom wie uw op het vriendelykst nood te opening uw Poort ; het zijn tij die gij wij ontvangen , Om uw Landgenoot , door boeien en band prangen , Verlossing , ademtocht en vrijheid te bezorgen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.707.s.4	gei zien doen tirannie , mede moord en verworgen , vinden dagge tot dagge , al meer en meer , in bezigheid , Daar doen arm burgerij en weduwe wezen vastschreidt , Om het droevig verliezen vinden vriend , bloeden verwant , vinden manna en Vader !	BodilyProcess_Sadness
rivi001vero01_01.TEI.2.text.body.div.sp.707.s.5	ja , gei horen , aan al kant , Hoe het klagen Gemeen om doen onderdrukking zuchten , Waarvan doen ryksten lien , doen kneevlaary ontvluchten , uiten deze verdrukken Gewest , zien elders nederzaten : Dus woord door duizend deze vruchtbaar landen verlaat En vinden zijn volk ontbloten : deze kunnen ik tegengaan ; Indien gei mare mede wij doen hand aan het werken wild slaan , Dan zullen gei vinden alom wij helper toen zieden vloeien , En , uur op uur in macht , in moede en aanzien groeien .	HeavyHeartedness_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.sp.721.s.1	wie weten al te wel die Alva , buit rechte , de tiend Penning hechten , en een belasting liggen Die wij te moeilijk vallen ; mare wie zijn onderdaan de Konings die daarom in het minst niet mogen wanen Ontrokkenen te zijn aan het Graaffelyk gezag .	None
rivi001vero01_01.TEI.2.text.body.div.sp.721.s.2	wie worp wel drukken ; doch kunne wij beklag doel geld voor de tronen , daar wij doen Vorst zullen horen ; Aldus woord nederland rechte mede eer en roemen herbooren , Door Koningklyke gul , zo ik verzoekend ' blijven , Toledo streng beklagen , en ander niets bedryft Tot nadeel vinden hebben Hof of vorstelijk vermogen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.725.s.1	doen Koning en zijn Hof zieden Alva zelf na doen oog .	None
rivi001vero01_01.TEI.2.text.body.div.sp.729.s.1	Waarom dan Vorst en Hof en Alva niet weerstaan ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.733.s.1	Om die ik in een ' kaar nooit al te ver mogen gaan .	None
rivi001vero01_01.TEI.2.text.body.div.sp.742.s.1	naar zijn keizer overdracht vinden zijn heerschappij Op zijn zode Philips , zijn al muiterij , Die tegen deze zode , door wij alles Vorst erkennen , mede welk schijn het ookzy , ooit worp aangewendt , te hoogst straffens woerd .	None
rivi001vero01_01.TEI.2.text.body.div.sp.747.s.1	Die zode zweren wij mede eed , die hij wij billykrecht nooit zij mede voeren treden .	None
rivi001vero01_01.TEI.2.text.body.div.sp.751.s.1	treden dan doen Koning zelf u recht mede de voeden ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.755.s.1	hij zijn aan spraakelyk voor het geren zijn ' Landvoogd doen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.759.s.1	klagen dan zijn ' Landvoogd aan .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.762.s.2	mede drift .	BodilyProcess_Anger_Annoyance
rivi001vero01_01.TEI.2.text.body.div.sp.771.s.1	Hoe kunnen ik lang zwijgen !	None
rivi001vero01_01.TEI.2.text.body.div.sp.771.s.2	Daar zijn geren rechte aan het Hof vinden Spanje te verkrijgen ; deze zien gei zelf , mijnheer , al zwijgen gei zulks nog stillen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.771.s.3	doen Landvoogd doen hier niets dan mede de vorstin willen , schonen d ' eest daar allee doen schuld vinden dienen te dragen , Tot zolang die ik Vorst en Landvoogd kunnen verjagen ; te zijde doen Koning zien , in tijd , gezeggen laten , En spoedig het rechte herstellen vinden deze vrijen staan .	None
rivi001vero01_01.TEI.2.text.body.div.sp.779.s.1	gei wild dan die ik uw doen poort zullen ontsluiten En binden laten om dus doen Spaansche macht te stuiten ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.779.s.2	mare zijn gei sterk genoeg , indien het uw woord vergunnen , die gei doen Kastiljaan , vinden hier verdrijven kunde , Wanneer hij d'aanval wagen gans razend en verbolgen ?	Offended_Emotion_BodilyProcess_Anger
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.781.s.1	vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.1	wie kennen wij in staan die Landaart te vervolgen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.2	Prins Willem , die allee op goed tijding wachten , zullen straks , uiten Dillenburg , mede Duitsche Leger macht , mede Paltzer , Sax en Hes , doen nederland naadren : graven Lodewyk doen rijden in Vrankryk volk vergadren : doen Brusselaar verlangen na uitkomst : Utrechts volk .	None
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.3	mede die vinden Zeeland , wensen , mede zijn scherp dolk , Op het minst goed gerucht , hebben yzerjuk te breken , die elk mede weerzin dragen : oranje Legerteeken , zijn vorstelijk beleid , de volk getergde wraken , En zijn hemel onderstand , bevordren ons zaak .	Emotion_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.4	wij volk , nog inschepen , vol ijver en verlangen , branden om aan landen te treden en het laatst bevel te ontvangen te storming op de muur , die liggen woord overheerd , Waardoor doen burgerij zij leiden ; dies begeren Oranje , door ik ' mond , die zien doen Brielenaaren mede wij verenigen , om allerlei gevaar Aldus , gelykerhand , te kaar te kunne gaan .	Emotion_BodilyProcess_Desire
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.5	gei , heer , moeten deze straks doen Vroedschap doel verstaan .	None
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.6	wie eis korten beraden en wil uw schade , zijn het wees kunnen , verhoen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.808.s.7	wie geven tot beraden allee twee uur tijd ; wan zo alsdan het besluiten Nog weiffelbaar mogen zijn , zullen deze Stad te buiten Voor ik soldaat en ik moedig Zeevolk wees ; Doch zo ik wij ontvangen hebben niemand iets te vrees .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.811.s.1	duif voorde , naar de Edelman , door hij medegebragt , stillen spreken te bebben .	None
