vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.596.s.1	Wat zucht hij in zijn ' boezem dragen zijn vaak aen hij gebleecken : Die het heyr op zijn vijand bodem wagen , En dan vinden vrede willen spreken : Die veinzen , en sluypt , en onderkruipen Al d'opperste de griek .	None
vond001pala01_01.TEI.2.text.body.div.sp.611.s.1	Aen hij , wie tong vinden Nectar dout , En dragen vergif inwendig , worden eer deze ' schalckheyd toevertrout , En wat achten voor schendig : Die hof , en zadel , mede logentael Stofferen kunnen behendig .	None
vond001pala01_01.TEI.2.text.body.div.sp.611.s.2	wij vorst zoeken op geren ledikant Mycenen te beschermen : hij ploegen niet aen d'onvruchtbre stranden , Op die hij mogen verwarmen zijn ' bedgenoot : die in haar ' schieten hij kussen , en nemen in arm .	EmotionalAction_BodyPart_Love
vond001pala01_01.TEI.2.text.body.div.sp.619.s.1	hebben log slachten vinden Ithaca , die achter liggen gekroopen , zijn niet zo vurig nergens naar , Om hoplien op te lopen , gelijk u Heer , die mede zijn ' speer komen achter aen druipen .	None
vond001pala01_01.TEI.2.text.body.div.sp.627.s.1	Wat Palamedes durven bestaan die bleek , doel hij in het land hebben volk doen in slagorde staan , En redden vinden verbranden , En strandens node , wij ' trots vlieden , alles het leger week mede schande .	None
vond001pala01_01.TEI.2.text.body.div.sp.635.s.1	het zijn waar , wie kennen zijn man bedrijf , hebben berg vinden doen kiel , wassen het berg vinden zijn eigen lijf , doel zo veel held vallen : doel hij doen dood de rug bieden , mede wiek aen zijn hiel .	None
vond001pala01_01.TEI.2.text.body.div.sp.643.s.1	Hoe d'onverbiddelijcke Tracx hij lenen gunstig oor bleek , doel hij het heyr vertrooste straks mede graan , en weeldigh koren : daar hij het u ' Vorst , ontzeggen dor , doel het leger scheiden verliezen .	None
vond001pala01_01.TEI.2.text.body.div.sp.652.s.1	Ulysses droeghmen geren ontzag , Wat wassen aen hij bedrijven : Die niet uit Argos schatkist mogen zijn ' paard voeder geven : noch aen de dis de veldheer zijn gezien en oog verheffen .	None
vond001pala01_01.TEI.2.text.body.div.sp.660.s.1	hij zijn te wreed mede zijn erve , En zijn Heer vader leen , Al goed alles hij , die rome durven Op Ithaca vinden steen , En kleppen woest , en groots , wie oogst zijn slecht alles wie menen .	None
vond001pala01_01.TEI.2.text.body.div.sp.668.s.1	mare waarom stoffen deze volk aldus Op zijn erf-Koninckrijcken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.668.s.2	hebben niet doen Vader Nauplius Voor prins moet wijken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.668.s.3	En tot zijn heil , doen vlag , en het zeil Voor minder moet strijken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.676.s.1	het wassen Nauplius wie wijsheid vaak velen ' koning verzoeken , En houden mede al vorstin spraak , Op velen ' manhafte tochten : doel zijde wel eer , vinden heynd en ver , geschenk tot hij brengen .	None
vond001pala01_01.TEI.2.text.body.div.sp.684.s.1	waar het vreemd die Palamedes dan ons heyrkraght gaan verraden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.684.s.2	vermits hij muil stal kunnen mede schat zwaar laden ; gelijk doen stam daar hij af komen , geren gift kosten versmaden .	None
vond001pala01_01.TEI.2.text.body.div.sp.699.s.1	verdiend hij een brandteecken , die Tot onzes staat verkleinen , ik meest verrijken mede gift zien : markt deze niet , mare gene : wie goudsucht boos , en Goddeloos , vinden zijn gelijk ' niet een .	None
vond001pala01_01.TEI.2.text.body.div.sp.699.s.2	steil Neritos vol kleppen hebben nooit woest die ontvangen alles hij , die schelms en onbeleefd betrouwen zijn ' slim gang : Die liegen , en stout zijn ' verf behouden , schonen hy'r in worden gevangene .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.707.s.1	Ulysses die op Calches steunen , En wij ' gebroederheeren , zien deze laster niet bekreunen : zijn ' vroomheid zalm eren ; mare wij de helm , voeren alles een schelm , die zullen doen tijd wij lederen .	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.1	Drael lang , nul blond Phoebus !	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.2	drael , schouwen eeuwig ons kim : D'ondanckbre Grajen niet bestralen , Die lang hoe meer verslimmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.3	waar vlijen wie ?	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.4	wat razernij komen uit de affront klimmen ?	None
vond001pala01_01.TEI.2.text.body.div.head.718.s.1	doen tweede handelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.721.s.1	SISYPHUS .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.721.s.2	MEGEER .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.1	waar zijn ik SISYPHUS , matten vinden op te stijgen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.2	Nu scheppen ik weder lucht , nu kunnen ik ademen krijgen .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.3	waar zijn ik ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.4	in wat nacht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.5	Megeere die ik jagen , Nachtmerri , oud Kol , hoe hebben gij wij plagen , mede u ' bebloede zweep en peckstock onderweg , Eer ik een ' doorgang hebben , na'et boven volk krijgen .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.7	in de dag , of in een ' blydre nacht , alles d'onderaerdsche poel ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.8	waar mogen ik dolen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.9	zeggen .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.10	waar vinden ik Hecate ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.11	waar flonckeren doen ster ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.12	Wanschepsel , die geren ' grijns behoeven , nog kunde ontwarren Vw ' pruik : die gruwelijk krielen vinden zwarte slang , zeggen waar dwaal ik ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.13	op wat spoor ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.14	waar liggen wij deze weg ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.15	ik dunken ik horen geblaf vinden hond , die wij ruiken .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.16	Swygt rekel , luisteren .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.17	zus , helpen Cerberus ! het zijn griek .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.18	ik zijn in Pelops rijk , of in ik oud gebied , t'Ephyren , die goed wel .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.19	Momaensicht horen gij het niet ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.20	wij zijn t'Ephyren : daar doen mens vinden ik ' treek , En boevestucken , mede een groots afgrijzen spreken , En Minos vloek , alles zijde horen die ik ' straffen Niet zwaar wegen , alles het wight een steens bergen op bergen af Te wentelen , natten vinden zweet , in d'onderaerdsche kelder .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.21	Kolryster raden ik rechte ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.22	zeggen op , of zijn wie elders .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.747.s.1	ik .	None
vond001pala01_01.TEI.2.text.body.div.sp.755.s.1	In Troas staenwe , niet in Isthmos : in het gezicht vinden Ilium , daar nu hebben Dorisch Leger liggen , In het vlek , en openen veld : vinden waar wie koorts vernemen Die bleek schim , die wij treurig tegen komen , besprenkelen vinden velen bloeds , houwen , en kappen , mishandelen , en mismaakt , zengen , kwetsen , gekrabt .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.757.s.1	SI .	None
vond001pala01_01.TEI.2.text.body.div.sp.759.s.1	Wat zijn d'oorzaeck vinden het geschil ?	None
vond001pala01_01.TEI.2.text.body.div.sp.767.s.1	Een Vorst , door geil min , hebben tot zijn boedel schaken doen bruid , en koningin vinden Menelaus : die zo zeer niet op doen deugd alles op doen schoonheyd vlammen , en het bloeysel haerer jeugd , En hoog die waarderen alles veeler prins leven .	None
vond001pala01_01.TEI.2.text.body.div.sp.772.s.1	Een slim Sisyphus zijn nog naar ik blijven , Wat uitkomst of wij staat te wacht vinden het gevecht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.786.s.1	ik zullen effenen zien , en tot de grond slechten het Hof vinden Laomedon , en deze ' benyde vasten : alles Inachus slachten , die het Krygsvolck geven te goed , die overwinnaar nog , de tiend zomer , zullen doen god verschrikken mede zo ysselijck een ' vallen .	None
vond001pala01_01.TEI.2.text.body.div.sp.786.s.2	Dan zullen hebben overschot de vluchtig Trojaenen , mede hand wringen , en afbiggelende traan , Beschelden Paris : die , zo schandeloos , onkuysch , veroorzaken hebben het bederven vinden zijn doorluchtig huis , En lief hebben zijn ' faam , en glorie uit te wis , alles boels aenminnigheyd , en kitteling te mis .	EmotionalAction_BodyPart_BodilyProcess_Sadness_Despair_Anger
vond001pala01_01.TEI.2.text.body.div.sp.810.s.1	gij en u ' zuster , alles hij Venus hebben verlokken , hebben ver een groot daad spinnen , en berockt , alles gij de dooier vlieden doen Zee gingt over voer , En om een ' licht vrouw gans Asien beroeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.2	Eumenides , welaan , rechte yligh over einde Vw slingerslangigh haar , en branden , en blaken , en schenden , En schuimbekken , razen , en moord : daar sietmen het Leger kriel ; daar laedmen Charons schuit , tot zinken toen , mede ziel ; hebben isser druk aen het ver .	EmotionalAction_BodilyProcess_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.810.s.3	zo wreeckeressen , voor , spoken door doen bende heen , verzadigen uw mede moord , doen mesten zijn op wetten , en scherp slijpen , beschilderen u ' gewaad mede bloeden , en paars streep .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.4	bevlekken u aangezicht mede brein vers uitspatten .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.5	zien toen , gij sneuvelen liggen , hebben isser slipperglad .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.6	zo dochter vinden doen nacht , mare alles gij hier mede lijk doen stroom hebben dammen .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.7	en d'overzeesche rijk Tot puin , en gruis verpletten , en uit hunn ' plaats bewegen , de adeldom , en het puik de vorstin uitvegen : zullen dan doen wraak vernoeght , door het bloeden zo veeler held , mede woeden staken ?	Emotion_EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.818.s.1	Neen , dan wild Europe geld , gij Grajen huilen , en grayt , u ' doodvarw zetten .	None
vond001pala01_01.TEI.2.text.body.div.sp.818.s.2	worden bang .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.818.s.3	wie komen , om de weg tot uw ondergang Te banen , zwanger vinden voordachte schellemstucken , En hecht Argos ramp aen Trojens ongeluk .	None
vond001pala01_01.TEI.2.text.body.div.sp.822.s.1	Wat middel isser om te rockenen deze kwaad ?	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.1	de feniks , daar zij heil en zegenen in bestaan , Te helpen aen d'een ' zijde ': op datze mede zijn sterven ook zijn ' manhaftigheyd , en raad , en wijsheid durven , En val over hopen , wraakgierig vinden gemoed , En voer Borger-krijgh om zijn onschuldig bloeden .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.862.s.2	ik zien doen vorstin al gespouwen , en verbolgen , doen volk vinden een ' stam elkander vervolgen ; D'eylanden in het geweer , en het vasten landen in roeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.3	Hier wordmen vlammen gewaer , daar hoortmen een rumoer vinden stellen tegen stad , vinden vloot tegen vloot .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.4	D'een ' ramp uit d'andre wassen , wat wordter bloeds vergeten .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.5	Euboea lopen het delen Peloponnesus af , vinden Scyros Ithaca .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.6	Thessalien tot straffen vinden Locres Krijgsvolck liggen .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.7	doen Cyclades die slijpen Hunn ' speer , om onderling malkandren aen te grijpen .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.8	doen zonde klimmen op , d'een dragen de ander schuld , de vorstin hof zijn mede gruwel vervullen .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.9	mede bloedschande , overspel , mede moord , mede vuiligheid .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.10	ik luisteren nog ' naar rechte , naar billickheyd , nog ' rijden .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.11	doen Koninginnen , en prinses zijn bykans All ' schuldig aen doen moord , en neerslag haerer man : En eer en trouweloos .	Honor_Emotion_Loyalty
vond001pala01_01.TEI.2.text.body.div.sp.862.s.12	elk zijn om het zeer verwoed .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.862.s.13	doen zode de Vader wreken , doen dochter wreect haar ' moer .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.862.s.14	het vertwijfelen aen doen stam , en wettig afkomst splitsen hebben volk , en voeden de veede , en endeloosen twisten , En het woeden : die zo langen beschreyelijck zullen duren , Tot datmen zien in het einde doen stellen zonder muur , doen stroom onbezeylt , doen kamp onbeploeght , En d'onderaerdsche Styx bevolken , en vernoeght .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.15	rampzalig spook , gij zijn tot ik behulp verkiezen Voor ander ziel : gauw nopen uw neef mede sporen : VViens schalckheyd haperen , om bedrieglijk , en vals , de zoon vinden Nauplius te brengen om de hals .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.16	hij sluymert : in zijn ' dromen en slaap zullen hij uw horen , En wat u geest erdicht , die vezel hij in d'ooren ; gade heen rampzalig spook .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.1	zijn ik doen besteden dan die d'afgrond tot deze snood bedrijf uitbraken kunnen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.2	zijn niemand hebben bekwaam tot schelmerij vinden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.3	deze zijn mijn afkomsts tent , ik moeten zijn hart doorgronden .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.4	hij hebben doen leus al weg .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.5	Megeere het zijn beschikken .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.6	alles hij ik ' geest vernemen , doel wassen zijn geest verschrikken ; zijn zweet brak uit vinden angst , zijn haar schielijk resen ; ik hebben hij naar zijn wensen de kort weg wijzen .	Fear_Emotion_BodyPart_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.882.s.1	zo zijn hebben reyzens tij .	None
