stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin vinden Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.4	gei , die ik zwakheid weten , moeten gei ik drift tergen , Opdat ik teder harden , na u begeerte , in het einde ' mijn eer , ik ' kinderpligt , ik ' vader glorie schenden ' ?	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.318.s.5	ik boezem voelen een ' strijd vinden vijandelijk tocht : mijn eerzucht hebben voor ik doen zege rijden bevechten , Indien u bijstand voor doen liefde , die ik blaken , mijn overwinning niet bezwaarlijk hebben maken .	Honor_Emotion_Hatred_Greed_BodyPart_BodilyProcess_Love_Anger
stee033adag01_01.TEI.2.text.body.div.sp.318.s.6	zien , zien uw Ada voor u voeren neerbuigen ; Betoon ik zwak jeugd een gunstig mededogen ; geven ik bewijzen vinden een moederlijk gemoed ; Hernieuw in ik doen kracht vinden het vorstelijk heldenbloed .	Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.sp.318.s.7	die bloeden , in ik vloeien uiten uw en uiten ik ' vader , bewegen u straf ziel voor hij en ik te gader !	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.8	zode blijk ' die gei zijn ' willen , zijn ' laatst willen ontzien !	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.9	herdenken zijn minnen tot uw ; verdrukken zijn dochter niet ; laten af meer voedsel aan ik ' liefdegloed te geven .	Emotion_BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.sp.318.s.10	Indien gei wreed volharden , beroven gij ik vinden het leven .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.1	Wat gaan uw aan ?	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.2	rijs op .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.3	ik toeleggen zijn een blijk de moederlijk zuchten .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.4	Ik wachten hier Lodewyk : hij spreken uw .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.5	zij zijn minnen u glorie niet betrachten ?	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.sp.326.s.6	hij delen in ons rouw , en zullen u ' druk verzachten .	None
stee033adag01_01.TEI.2.text.body.div.sp.333.s.1	Neen ; Hollands erfgravin , onkreukbaar in zij ' plicht , ontwijken mede bitter smarten voor eeuwig zijn zichten .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.333.s.2	geven hij geren hopen , vorstin ; gei zullen vergeefs hij vleien .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.sp.333.s.3	hebben voegen geren droef wezen te huwen , mare te schreien .	Emotion_BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.head.334.s.1	Tweede toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.336.s.1	Adelheide , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.1	hebben deren ik , Hildegaard , in zij ' gepasten rouw , En in ik zwaard verliezen , tot die bestemmen trouwen ik enig huwlykspand zode wreed te moet nopen : mare buit het echtverbond hebben Ada niets te hopen .	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.2	uiten Amstels ydlen schromen spruiten al zij tegenstand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.3	Ik vrezen , in het nut bestaan , nog ongeval nog schande ': doen graven , voor Diedriks kroos tot bruigom uitlezen , Begaafd mede moede en deugd , zijn woerd ' ik zode te wees : deze billykt , in het gevaar , ik zeldzaam heldenstuk ; deze moedigt , deze vertroosten een weduwe in zij ' druk ; En nopen ik ziel , in spijt vinden Adaas angstig smeken , vinden Willems trots haten op het vinnig ik te wreken .	Fear_Emotion_EmotionalAction_Hatred_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.4	Wat zijn ik velen verplichten aan het hoofd vinden Utrechts kerk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.5	Die bisschop , ik getrouw , voor Willem velen te sterk , leren ik wat meest betamen aan moederlijk zin .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.6	hij zullen doen onnut vrezen in Adaas geest verwinnen .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.357.s.1	Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.1	Mevrouw , het zijn uw bekennen hoeveel doen minnen vermogen .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.2	zijde werken in doen erfgravin voor het wettig landgezag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.3	doen liefde vinden u kroos zullen wonder verrichten , Op deze groot dagge de ydlen rouw doel zwichten , En , Willems wrok te spijt , doen vorstelijk bruid doel stem , zonder dwang , in het heilryk echtbesluit .	Emotion_Love_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.4	Ik hebben , zin Diedriks krankte uw voor zijn erve doen vrees , vinden u geheim bewust , ik ' bijstand uw bewezen , mede list een nut zege op Adaas harden behalen , de janhen Lodewyk behaaglijk afmalen , En , deelende in zij smarten , in zucht , traan , klacht , Een hevig minnevuur verwekken in zij gedachte .	Fear_Emotion_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.376.s.1	u helpen , ik Hildegaard , u list komen ik te stae .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.376.s.2	Verzel ik dochter ; sterk doen ontvonkte liefde ; gade .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.head.378.s.1	Derde toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.380.s.1	Adelheide ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.1	Ik zullen , nu meer dan ooit , op Willem triomferen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.2	Hier moeten een machteloos graven door Adaas echt regeren , En , tot zij veiligheid in al ik getrouw , zijn ' naam verlenen aan doen weten vinden een vrouw .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.3	Ik willen , om niet in schande en slavernij te leven , Aan ik beschroomde kunne een loffelijk voorbeeld geven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.4	ik deugd , door schijn misleiden , hebben rijden te langen gestreen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.5	o Diedrik !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.6	zij die daad ik ' roemen verduistren ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.7	Neen ; u fier weduwe moeten , om zij gezag te schraag , Tot heil vinden kroos en landen een ' stout toeleggen waag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.8	Al eisen ik Adaas echt , nog schreien ik om u dood : ik harden vergeten uw niet : zijde huwe uiten hogen node !	BodyPart_BodilyProcess_Dedication_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.9	Hoe kunnen uw Adelheide u ' laatst willen volbrengen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.10	Hoe kunnen zij Oostvrieslands graven in het oog bestieren gehengen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.11	Die wrevel strijden weleer onwettig om het gebied ; En ik , die hij verjagen , zwichten nog voor Willem niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.12	o Staatzucht !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.13	voeden ik ' haten , om het graaflyk huis te dekken ...	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.14	mare Lodewyk genaken ; ik zullen het besluiten voltrekken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.382.s.1	allee .	None
stee033adag01_01.TEI.2.text.body.div.div.head.404.s.1	vieren toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.406.s.1	Adelheide , Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.408.s.1	Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.1	Mevrouw , hebben uw zorgen doen droevig erfgravin , na u beloven , alree verzekeren vinden ik minnen ?	Emotion_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.2	Wat zeggen zij schoon mond ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.3	zullen ik gelukkig wees ?	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.4	Wat hebben ik blaken harden te hopen ?	Emotion_Hope_BodyPart_BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.5	wat te vrees ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.6	Hoeveel een vers rouw zij teder ziel beklemm ' , Hoe node u droef spruiten tot huwlyksblydschap stemm ' , u zeldzaam staatsbesluit zijn echter niet te doemen ; ik moeten , in het landgevaar , u nut voorzorg rome .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.7	zullen gei , indien uiten node geren staatsheil worden bedoelen , zullen gei , graven Diedriks weeuw , die het zwaarst verliezen voelen , voor Diedriks uitvaart wel een plechtig huwelijk vier ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.8	mare zullen Oostvrieslands graven alles voogd deze landen bestieren , die die staatzuchtige begeren in eigendom ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.432.s.1	Neen ; Holland zijde voor uw , voor Adaas bruidegom !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.432.s.2	hopen al , Lodewyk : u bruid , niet onverschillig Voor u doorluchtig minnen , zullen deze dagge vrijwillig , Tot heil vinden hof en volk , na het huwlyksouter treden : Ja , schonen zij onmatig kwynt in zucht , in geween , En , voor ik aanzoek doof , zichzelf bestrijden in het min ; verwachten een wis zege op haar ontstellen zin .	Emotion_Hope_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.437.s.1	zijde minnen ik !..	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.437.s.3	wat baten die neiging vinden zij harden , Indien zij u ' aanslag doemen in doen overmaat vinden smarten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.1	Nu ik doen wreed slag hebben waard pand doen mis , Nu gei door heldenmoed ik traan af moeten wis , maken uw doen onnut rouw de zwak bruid bevreesd !	Fear_Emotion_BodyPart_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.2	Hoe !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.3	deren ik het onheil minst ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.4	trest Diedriks dood zij meest ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.5	Ik treuren , mare poog meteen ik ' vijand voor te komen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.6	Ik hebben , in het groots verliezen , geren ' toeleggen ondernemen , Indien natuur , bezorgen voor het erfrecht vinden ik bloeden , geren sterk poging doen op ik beklemd gemoed .	HeavyHeartedness_Worry_Emotion_BodyPart
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.7	mare uw , die het landgezag alles graven worden opdragen , mede Adaas hand en harden , uw voegen hebben niet te klagen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.1	ik waarderen die landgezag , ik waarderen zij hart hand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.2	denken echter die zij druk hebben zoet de minnen verbannen , En zij beletten zij in ik geluk te stem , Indien doen hoogst node uw echtkeur niet doen klimmen .	Emotion_Happiness_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.3	u moede zijn groots , vorstin : gei redden zij erfgebied , En zwijgen , in all ' u ' rouw , de schimp die gei voorzien .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.4	haar eer , het zijn ik bekennen , kunnen het nodigen huwelijk leiden ; mare zullen doen onnoozle bruid doen lastertaal vermijden ?	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.5	Ik voeden , in die denken , een pijnlijk voorgevoel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.6	zijde zullen , aan wreed smaad en bitsen honen te doelen , Al smelten zij om zij verliezen in ongeveinsd traan , Misdadig zijn in het ogen vinden rusteloos onderdaan .	BodyPart_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.7	Ik noemen u die geschenk doen bron vinden ik geluk ; mare doen oorzaak vinden ik heil zijn doen oorzaak vinden ik ' druk .	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.478.s.1	uw Ada zullen niet langen bij het volk misdadig wees .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.478.s.2	ik hebben in het nut bestaan geren ' hinderpaal te vrees , Nu Willems afgezant , mede rechte bij ik verdenken , naar het heimlyk huwen eest in Holland worden verwachten .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.478.s.3	beminnen zij glorie vrijen ; tonen uw zij liefde waardig , Opdat u groot ziel ik keuren alom rechtvaardig ' , En all ' doen hart vinden uw onderdaan winn ' !	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.head.480.s.1	vijfde toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.482.s.1	Adelheide , Lodewyk , Reinoud .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.486.s.1	Hoe , Reinoud !	BodilyProcess_Love_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.486.s.2	storen gei wij ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.489.s.1	Reinoud .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.493.s.1	Op Amstels bede , vorstin .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.493.s.2	hij schijnen in het heimelijk vinden zorg innemen , En wensen op het spoedig uw te spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.497.s.1	laten hij komen .	None
stee033adag01_01.TEI.2.text.body.div.div.head.499.s.1	Zesde toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.507.s.1	hij waken , o Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.507.s.2	voor u aanstaand gezag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.507.s.3	gei , die omzichtig uw , voor deze huwlyksdag , In Holland houden bedekken , kennen nog niet all ' u vriend .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.512.s.1	ontzien zien Amstel niet die stuc zien te onderwinden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.512.s.2	durven hij zijn openen landen zode waag ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.512.s.3	hoe , mevrouw !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.522.s.1	Ik hebben een ' wis bergen voor zijn verdacht trouwen : zijn leenheer , die hij nopen in wij belang te deel , Die hij in dwang hout door belofte en bevel , hebben geestelijk hoofd vinden het stichten verzekeren wij vinden hij .	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.522.s.2	gei weten de bisschop helpen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.522.s.3	hij geven ik ' toeleggen klemmen , bedoelen mede ik het behouden vinden Adaas veeg slaten , En het zijn geluk de zeeuws en hollands onderzaten .	None
stee033adag01_01.TEI.2.text.body.div.div.head.524.s.1	Zevende toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.526.s.1	Adelheide , Lodewyk , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.531.s.1	treden nader , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.531.s.2	zien , in Adaas bruidegom , Een deugd , die zij verdiend mede al zij eigendom .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.533.s.1	Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.539.s.2	mogen zijde nooit , mijnheer , mede uw zij ' vallen bewenen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.539.s.3	Oostvrieslands afgezant , vorstin , zijn rijden verscheiden ; hij zijn deze ogenblik gesneld in Dordrechts waal .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.539.s.4	wachten fluks zijn aanzoek om gehoor .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.543.s.1	Wat ongeval !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.548.s.1	Wat doen die afgezant zode driftig herwaarts spoed voor zijn ' bestemmen dagge ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.548.s.2	deze baard ik een vreemd vermoeden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.552.s.1	zij hij verwittigen zijn vinden het heimlyk echtbesluit ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.558.s.1	Verraad een vals tong doen vorstelijk bruid ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.558.s.2	moeten ik , nu Diedriks dood ik doen alles weduwe zucht , bedekken vijand en oproerstichters duchten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.571.s.1	hebben zijn nog tij , vorstin , vinden het opzetten af te staan , het vermijden landbestier vinden Willem te ondergaan , Te zorg die geren twisten hebben graaflyk erve vernielen , doen burger , ophitsen , de burger niet ontziele , Ja die hebben woest wellen , die geren gezag erkennen , u eigen hoofd niet treffen in algemeen elend ' , En Adaas dierbaar bloeden bij het uw niet doen stroom : hebben zijn nog tij , mevrouw , die ramp voor te komen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.571.s.2	vrezen minnen graven Willem in bepaald landvoogdy , Dan het onbedwingbaar volk in dol muiterij .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.580.s.1	schonen ik geren laf schrik in het groots bestaan doen vrees , Ik zonder Adaas echt niet kunnen gelukkig wees , En het groeijend minnevuur een onverdraagbre smarten , bij het mindren vinden ik hopen , verwekken in het jeugdig harden ; Ik zij , tot heil de bruid , ik liefde en staatzucht wraak , Indien wij trouwen verbinden zij zij rampzalig manen .	Fear_Emotion_Happiness_Hope_BodyPart_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.584.s.1	Ik weten nog midlen tot verhindring vinden het verraad .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.595.s.1	ik kennen u ' moede , vorstin , uiten menig dapper daad : gei hebben de toeleggen vinden graven Willem doel verdwijnen , torn hij , die het heilige landen in het bloeden de Sarazynen Zeeghaftig hebben verven , moeten vlucht voor u stalen : Heldin , de landzaat heugen u groot zegepralen : mare doen adel , torn verenen om Willem af te karn , zullen in het voogdyrecht nu zij eigen rechte verweren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.599.s.1	Niet al .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.605.s.1	Ada beve , indien ik het erfdeel stellen In doen eensverwonnen macht vinden die getergden held !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.605.s.2	worden die staatzuchtige ooit , vorstin , mede uw bevredigen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.1	wie acht wederzijds te vinnig wij beledigen .	Offended_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.2	vermetel vijand !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.3	worden Oostvriesland niet te lid ' Door Diedrik uw vergunnen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.4	voldoen hebben uw ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.5	o Neen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.6	En zij doen landvoogdy uw meer voldoening geven ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.7	dingen weer na doen oppermacht ; ik zullen eeuwig uw weerstreven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.8	doen leus Hugo zijn Oostvrieslands afgezant : schonen hij nooit hier verscheiden , ik kennen zijn scherp verstaan .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.9	hij kunnen , door logentaal , hebben wuft volk doel muit , Indien hij weten waartoe doen node ik doen besluit .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.10	mare het weinig oorlogsvolk , leggen in Dordrechts waal , beveiligen wij genoeg voor nadrend ongeval , Zolang doen hoofd vinden die bende en vinden ik wacht , Door logen niet misleiden , hunn ' dier eed betrachten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.11	ik willen zijn die ik fluks alom het geheim ontdekk ' , En in deze eigen uur hebben echtverbond voltrekk ': ik lusten de afgezant vinden Willem voor te komen , Opdat soldaat en wachten , niet snood vooringenomen , Niet blind voor het zijn belang vinden hof en onderdaan , Volharden het graaflyk huis in tweespalt bij te staan !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.12	intussen die ik hier op het plegtigst Hugo leiden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.633.s.1	gei geven ik het leven weer , heldhaftige Adelheide !	None
