meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	doen verloofd koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.2	ik dwingen gheen edel gemoed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.3	Dies voegen uw , eer hebben leven Daar in te schieten : dan , dus eerloos , de Tiran Te dulden op u ' tronen , te hullen tot u ' manna .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.4	Nu hebtghe vuil bevlekken doen ghlorie uw ouder , Door u ' lafhartigheidt ; en u ' , en mijn schouder deze smaadelijke juk de Dwinglandts opgheleidt : Ik draagh het geduldig , en ik tonen ghehoorzaamheidt .	Fear_Emotion
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.5	Doch porren uw het naberouw vinden u verghrijp te wreken u ' neerghevelde stam , en de Tiran te steker naar het hart , en uw kroon ; verschonen , Mevrouw , ik ' dolk , En voeren u ' wraakzucht uiten , mede deze ghewapend volk .	Emotion_Vindictiveness_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.2661.s.1	hebben eisen een manna tot hoofd , die het anvoere , en bescherrem ; En zijn Ghrootvaars bleek schim doen wraken vinden uw arm .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2664.s.1	ik Ghrootvaars schim ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2667.s.1	Zijn geest , die stadig om ik zweven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2670.s.1	hij rusten in vrede , en uw gheen stof vinden kwelling gheeft .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2689.s.1	Ach !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2689.s.2	al te velen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2689.s.3	Wanneer doen droef nacht zij ' schim Strooit door doen luchten , en zoomt mede schaduw ons kim , verschijnen ik meermaals die ghrootachtbaar aanghezicht , Niet alles het , verheerlijken mede hebben eerentfeste liggen de oppermajesteit , ontzagh'lijk plegen te zetten te hoog zeeteltroon de wijdtberoemde brit : mare ( laas ! ) beklonterdt , mede hebben kladd'righ inghewandt de bekkeneels , begruist mede bloedig stof , en zand , En onghezien , door wond op wond , die stadig druipen .	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.2693.s.1	het Zijn yd'le droom , die u ' hersenen bekruipen , En het maalende verstand beschertsen , in de slaap .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2697.s.1	het zijn waarheid , en gheen dromen , zijn aan ik ik verghaap : het gemoed ik wakend , en ik zien het , mede open oog .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2702.s.1	ik Ghrootvaars schaduw zullen an ik zien wel vertoog ; Indien hij wraken eisen , op de moorder , vinden ik ' handen , En , uiten zijn rijk zeeteltroon , schoppen de dwingeland .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2703.s.1	Velleede te zijde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2710.s.1	Nu zijn het oog tijd , om ik ' besteeken rol te spel , En proef , of bedrogh deze vruchteloos krakeel Niet brengen kunnen te einde , en licht , dan ik reden , die kop vermurruwen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2713.s.1	Wat preevelt gij allee ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.1	Ik smeken de Heemel , wij verschillen te wil eend , En , uiten hebben zalig dal de ziel , opwaarts zenden uw Ghrootvaars geest .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.2	hij knikken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.3	doen maan suizebolt , In het onderghaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.4	het Ghestarnt zijn ' doodtverw zetten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.5	Daar rolt doen donderen , door doen luchten ; en braken , uiten vuur'ghe kaak , Een sterk bliksemghloedt , die berg , en toorn kraken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.6	doen Teems , door schrik ontbloten vinden zijn ghlazen tomen , stout , aarz'ling bronnewaarts , doen gholven zijner stroom .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.7	hebben koninklijk paleis bezwijmen , alles vinden zien zelf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.8	doen pijler sidderen , door het waggh'len de ghewelven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.9	doen vloer steigeren , steil om oog ; en loeien vasten helen schor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.10	doen zolder , mede een naar weerghalm , bassen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.11	doen ghlazen rinkelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.12	doen wand yz'lijk huilen , mede hees ghejank .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.13	Daar ploffen , door het zwijken vinden doen zuil , hebben schaliedak te neder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.14	Oey ik ! ik zijn t'einde raadts !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.15	zijn vluchten , zijn berg ik ik ?	Fear_EmotionalAction
meij001verl01_01.TEI.2.text.body.div.div.sp.2748.s.1	het Hof staan noch op zijn plaatsen , Mevrouw ; bedaar .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2751.s.1	Daar barsten , en splijten doen korst de aard .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2754.s.1	helpen Ghoon !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2754.s.2	wat zijn deze ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2754.s.3	Gheen schrik ik ooit zode zeer vervaren .	Fear_Emotion
meij001verl01_01.TEI.2.text.body.div.div.sp.2759.s.1	Daar wellen een zwavelghloedt , doorvlamdt mede gholven smooks , te spleete uiten ; en bezwalkt doen luchten , vol stanks en rooks ; hebben voorspellen zijner komst .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2761.s.1	II .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2761.s.2	toneel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.2762.s.1	Velleede , Fastarad , rijden vinden wapenen Dienaars , Ottomar in doen schijn vinden een geest .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2768.s.1	zien hoe , vinden lief leed , hij opzweeft , uiten hebben logh ; en herwaarts aan komen treden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2771.s.1	wij ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2771.s.2	wat , Mevrouw ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2774.s.1	doen schim uw Ghrootvaars .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2777.s.2	ik wijken ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.1	ik houden stelen , ik zode .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.2	deze afghemarteldt lijk strekken uw te prikkel , om zijn ' wreed moorden te wreken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.3	Anschouw zijn ' trotse barsten , zode jammerlijk doorsteken , mede menig doodtwondt , daar nog het reutelen bloed uiten druipen , En lanks hebben deeluwbleek de doods lid kruipen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.4	Hoe deerelijk zien die gheraamt ' , mede scherp schinkelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.5	Hoe staan zijn ' blik , diep ghedooken in hunn ' winkel , Te flonkerbranden , mede karbonkelroode ghloedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.6	horen toen ; hij spreken : en prenten zijn ' stemmen in u gemoed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2795.s.1	Ottomar	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.1	Hoe langen , ontaarde neef , zultghe uw moer weigheren ik ' dood te wreken , en te zeeteltroon te steigeren ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.2	Hoe langen , voor zijn Dwinglandts juk , zullen uw doen minnevlam Verdwaasdt doel bukken , en verloochenen u ' stam ?	BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.3	Kontghe uw herinneren doen moorden vinden ik , vinden Vader , En Oom , en die , op de moordtdaadighen verrader , Verwaareloozen streng te wreken , zode het betamen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.4	zode zijtghe een bastaardtrank , wie zien ik ' stamboom schamen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.5	Wat pooghtghe althans mede ghlimp vinden plichtschuldt , te blanketten u ' minnevlammen , die daar teeghen zien verzet ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.6	Doof uiten die laf vuur , en eed'ler vuur vinden wraken Ontsteeke u ' boezem , tot handthaaving ons zaak : Of slaan ghyze in de wind , zode zullen ik , mede doen ziel uw oom , en vader , uw fluks zetten op doen hiel , En niet aflaaten , voor u ' handen wij wraken bestellen ' .	Fear_Emotion_BodyPart_BodilyProcess_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.7	Dies schafze wij nu , en komen die voor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.8	Ik gha .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.9	varen wel .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2821.s.1	III .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2825.s.1	Wel nu : kunnen deze bedroefdt gezicht uw overtuigen ?	Emotion_BodyPart_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.2832.s.1	Ik staan verzetten : ik harden beghint allengs te buighen , naar Ghrootvaars weeklaght , en tot u ' ghehoorzaamheidt : doen opening , hoe gij de aanslagh hebben beleid .	BodyPart_BodilyProcess_Wonder
meij001verl01_01.TEI.2.text.body.div.div.sp.2836.s.1	ik zullen , aleer doen zinnen de nanacht komen verdrijven , de Dwinglandts tweelingzoons , op het ledikant , ontlyven ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2840.s.1	Zijn ' tweelingzoons , Mevrouw ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2840.s.2	hoe , die zijn immers an doen moorden onschuldig ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2844.s.1	zijde zijn kroos vinden de Tiran , En die zijn ghenoegh , om heen daar schuldig aan te maken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2850.s.1	mare , zijn het niet raadzaamer , vinden hij te eerst wraak Te nemen , en een sloeghs zijn ghang naar het koningdom ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2855.s.1	Och ja , het zijn raadzaamst , zode zijn ' lijfwacht , die rondom Zijn ' leegherplaats , bij nacht , bij dag , t'aller stad , hout scherp wachten , die weg wij niet houden afghesneeden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2858.s.1	ik wachten ' gheleeghenheidt , en schorten ' zode langen die werken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2864.s.1	hebben lijden gheen lunderen ; doen nood nijpen velen te sterk : gij hebben voorheen te vaak ik ' voorslag afgheslaaghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2867.s.1	Wat drijven uw dan , deze zode voorbarig voor te jaaghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.1	uw zijn bewust , hoe die Mathilde , Koningin vinden Kaledonien , door lassen zij zijn vader , in Zijn sterven goed uitghedrukt , alles zijde , te huwb're jaar Volwassen waar , in echt zijn opgheleghdt te paar mede hij , die hier , alles Vorst , de rijksstaf zwaaien zij .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.2	gij weten ook , hoe zijde , tot voltrekking haarer trouwen , mede een wijdtlufte slepen vinden Ghraaven , ridder , heer , En Vrouwentimmer , om zij ' bruiloft te vereren , Hier onlanks zijn ghelandt , en inghehaaldt mede plegen : En hoe doen dwingeland deez ' Koningsbruidt nu trachten de eerstgheboor'nen vinden zijn ' tweelingzoons te gheeven ; Daar zijde beschooren worden u ' Oom .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.3	wan torn deze leven zij Vader afley , praald ' hier op de zeeteltroon doen mijn , u Ghrootvaar ; op wie hooghbeghaafden zode hij het oog hebben , alles hij kroon , en Dochter , voor zijn sterven , bespreken de gheenen , die doen Britsche kroon moeten erf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.4	vinden uw Oom vervallen doen staf op ik , en uw ; die het dies allee toekomen , die mede Mathilde hu ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.5	hij echter hebben , vinden daagh ' de oudsten zijn zoon ( het geren hij steedts houden bedekken ) tot wettig oor de kroon Bestemdt te noemen , en , verheerlijken mede die rechte , Voorts aan Mathilde te verknochten in de echt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.6	deze moetghe , uiten al u ' macht , verhind'ren ; hier mede lijf En ziel fluks teeghen zijn : wan , zode deze werken beklijve , En zijn Dwinglandts zode , daar door , een voeden krijghe op de tronen ; gij mogen , voor eeuwig , wel weghschrijven uw kroon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2913.s.1	Wat draayboom schutten een werken , zode oog reeds opghesteeghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2923.s.1	de Dwinglandts zoon te vernest'len mede de degen , Op hun slaapkoets , eer doen dag anbreekt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2923.s.2	Hunn ' dood , of hunn ' kwetsuur zijn verlets ghenoegh , deze ghroot voornemen plotseling te rug , ofte om te stoten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2926.s.1	het zijn ghoedt , Mevrouw : mare hunn ' slaapkamer staan sluiten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2929.s.1	ik lopen ' doen deur , en al , wat weer bieden , op doen vloer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.1	Welaan ; gheen euveldaad , zode stout , die ik niet volvoeren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.2	trawant , tonen u moed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.3	Een ieder trekk ' vinden leed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.4	Nu mede ghelijker handen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.5	Daar liggen doen door te needer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.6	die ghaat uw voor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2938.s.1	En ik an het hart , en naar de zijn .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2940.s.1	IV .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.2941.s.1	Velleede , Ottomar in de schijn vinden een geest .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2947.s.1	zode krijgen , in het einde ' , ik ' wraken zijn langghewenscht begin , de Dwinglandts kroon een krak , ik zode zijn rechte in hand , En mijn onterfde vuist de breidelen deezer land .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2947.s.2	zijn zijn gij , Ottomar ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2950.s.1	Alhier , Mevrouw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.1	ik vriend , Die mijn anslagh hebben , vinden passen , te steunen ghediendt , Gheen eeuw zullen , uiten hebben boek vinden ik ' ghedachtenissen , doen dankbaarheidt , en het lot voor zulk een weldaad , wis .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.2	u ' helpen ik heilig zijn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.3	mare ik hebze goed vinden doel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.4	doen tweelingbroeders , die ik zode bespringen , zijn koen En rap ; en zullen mede hunn ' dienaars , door het gerommel de neergebonsde door ghewekt , hij , en zijn ' drommel Een hard weerstandt bieden ; deez ' passen hebben bij te staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2967.s.1	mare zacht ; ik horen ghedruis .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2974.s.1	Och ja , daar komen hij aan Al aarzelende ; ik bidden , verzuim niet hij te helpen , Eer batser onheil wij all ' t'zaam koome overstelpen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2977.s.1	Ik zijn bereiden , Mevrouw ; zijn berg ik deze ghewaadt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2987.s.1	Neen , houwen hebben aan , en tonen een ysselijk ghelaat .	None
