focq001mini02_01.TEI.2.text.body.div.head.227.s.1	doen minnen in het Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.15	Hoe dikmaals doen ik serenade Op zien , voor een zot sloor ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.16	Die , spijt courant , en Ballades , Al liggen te ronken op een Oor ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.17	Hoe dikmaals doen ik haar , en lok , besmeuren , beplakt , en stijf vinden Gom , Of uitvallen door doen pok , Bewaren voor een Heiligdom ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.18	Hoe vaak hebben ik een partij dwazen , Tot teken vinden zij zot branden , Een tal vinden fluit en vinden glas , doel kakken naar zij ingewand ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.19	Hoe vaak hebben ik een Zot bevelen , stijven door dwaas Minne-vlam , Te zuipen uiten gelaan pistool , Op doen gezondheid vinden Madam ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.351.s.20	terwijl een ander , meenigmalen , alles hij die zelfde drift bekruipen , uiten Pispot en uiten urinaal , Een zot sloof gezondheid zuipen : Een ander , zijn Matres te eren , smijten door een al-te-dulle kuur , zijn Wambuis , Broek , en hoed , en kleed , En al de Preutel op hebben vuur .	Emotion_Desire
focq001mini02_01.TEI.2.text.body.div.sp.351.s.21	Een ander maken weder ander geur ; Die liggen doen rijmer vinden deze speld , ( Vermits zijde al daag gebeuren ) zij kunnen noemen , buit tellen .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.22	gelijk , wanneer ik bij doen vriend Hier liggen een om vragen bij doen rijden , ik liggen hier wel zij ziel vinden , Die het goed weet nog alles hij .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.23	Dies zijn om deze fraai zaak , ( zijn vinden hij ik alles Baas uitscheldt ) die hij ik hebben deze stoel doel maken , En hier in het Laasrus-huis stellen ; Om uw al t'zamen te doel weet , Of hij mede rijden spreken , of niet , torn hij ik Gek , en Zot dor heten , mede al die leven in ik gebied .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.24	Of ik deze vod dan niet pas , En al die Lasarus-livrey , alles of ik ' er wassen in opwassen , die tonen hij uw voor eest in ik , terstond , zullen , om uw te vernoegen , hij uw doel zieden , mede vreemd gedruis , Hoe zien doen Minneryen vroeg In doen Messieurs vinden het Laasrus-huis .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.25	Vermits hij voor hebben , uw te toon , die nooit doen minnen in goed plaatsen , Dan in hebben Gekken-huis kunnen wonen , En bij een tal vinden zot maat .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.26	Nadien doen Zotheid , en hebben min , zode vasten aan een koppelen zijn , die hij beroven moeten zijn vinden zin , Of voor hebben minst zot in schijn , Die zien tot min gaan begeven ; wan , of in schijn , of in de daat , zijn , en doen minnen , en het minnaar leven , Slechts puur Zotheid , op een draad .	None
focq001mini02_01.TEI.2.text.body.div.p.353.s.1	uit .	None
focq001mini02_01.TEI.2.text.body.div.head.356.s.1	eerst bedrijf .	None
focq001mini02_01.TEI.2.text.body.div.head.357.s.1	eerst toneel .	None
focq001mini02_01.TEI.2.text.body.div.stage.359.s.1	Ferdinand , Valerius .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.361.s.1	Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.sp.363.s.1	zode even komen ik eest , gelijk gei zien , in Stad .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.365.s.1	Valerius .	None
focq001mini02_01.TEI.2.text.body.div.sp.368.s.1	mare ik bidden uw , zeggen ik , wat verandering , en wat verbleken en doods Verf bespeuren ik in u wees ?	None
focq001mini02_01.TEI.2.text.body.div.sp.373.s.1	Ach ! het schijnen gei uiten ik ogen ik onluk weten te lezen .	Emotion_BodyPart_Unhappiness
focq001mini02_01.TEI.2.text.body.div.sp.373.s.2	Helaas !	None
focq001mini02_01.TEI.2.text.body.div.sp.373.s.3	Valerius !	None
focq001mini02_01.TEI.2.text.body.div.sp.373.s.4	ik lijf staan in u hand .	None
focq001mini02_01.TEI.2.text.body.div.sp.377.s.1	Hoe die ?	None
focq001mini02_01.TEI.2.text.body.div.sp.383.s.1	ik waard Vriend !	None
focq001mini02_01.TEI.2.text.body.div.sp.383.s.2	die mede zode waarde band vinden broederlijk trouwen , steeds waard aan ik verbond , Ik hebben , helaas !...	None
focq001mini02_01.TEI.2.text.body.div.sp.387.s.1	spreken op .	None
focq001mini02_01.TEI.2.text.body.div.sp.391.s.1	Ik hebben ....	None
focq001mini02_01.TEI.2.text.body.div.sp.395.s.1	Wel nu ?	None
focq001mini02_01.TEI.2.text.body.div.sp.400.s.1	zenden te affront , een ...	None
focq001mini02_01.TEI.2.text.body.div.sp.404.s.1	wij tocht ?	None
focq001mini02_01.TEI.2.text.body.div.sp.408.s.1	zacht , horen ik wij hier niet ?	None
focq001mini02_01.TEI.2.text.body.div.sp.413.s.1	Ik zien geren mens , spreken uiten .	None
focq001mini02_01.TEI.2.text.body.div.sp.418.s.1	Ach !	None
focq001mini02_01.TEI.2.text.body.div.sp.418.s.2	tot ik leed , doorstiet Ik gisteren zeker Heer , die ik ...	None
focq001mini02_01.TEI.2.text.body.div.sp.423.s.1	verlaten deze vrees , Hier zijn geren mens omtrent die uw verdenken kunnen wees .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.sp.428.s.1	ik angst , Valerius , verbaasd ik zode , die ik Voor het ruissen vinden doen winden , ja voor ik schaduw , schrik .	Fear_Emotion_BodilyProcess_Wonder
focq001mini02_01.TEI.2.text.body.div.sp.432.s.1	Ik bidden , zeggen ik zijn Naam , laten ik u voorval horen .	None
focq001mini02_01.TEI.2.text.body.div.sp.437.s.1	ik vrezen die ik overal ik stap naar zullen sporen : zode die ik , zijn ik zijn , beducht zijn in ik node .	None
focq001mini02_01.TEI.2.text.body.div.sp.443.s.1	gei schijnen ik door deze schrik reeds doder dan doen dood .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.sp.443.s.2	zeggen ik , wij zijn hebben doch ?	None
focq001mini02_01.TEI.2.text.body.div.sp.443.s.3	laten ik zijn Naam tocht weet : Wat zijn hij ?	None
focq001mini02_01.TEI.2.text.body.div.sp.443.s.4	Edelman of niet ?	None
focq001mini02_01.TEI.2.text.body.div.sp.447.s.1	het zijn ik vergeten .	None
focq001mini02_01.TEI.2.text.body.div.sp.453.s.1	o Twyffelmoedig harden !	Suspicion_Emotion_BodyPart
focq001mini02_01.TEI.2.text.body.div.sp.453.s.2	voorwaar ik zien in het einde , die gei doen trouwheid vinden u vriend niet meer en kennen , Of die gei mede ik spotten .	None
focq001mini02_01.TEI.2.text.body.div.sp.458.s.1	Wel aan nu , ik zullen spreken : weten die ik Reynoud hebben in zijn Gravenhaag doorsteken .	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.1	Hoe !	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.2	Reynoud , zeggen gei ?	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.3	ach !	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.4	wat droever ongeluk !	None
focq001mini02_01.TEI.2.text.body.div.sp.469.s.1	Te zwaar slag , helaas !	None
focq001mini02_01.TEI.2.text.body.div.sp.469.s.2	te vol vinden smarten en druk : zode braaf Edelman , die ik zelf nooit te voorn zien hebben , dus bedroeven , en deerlijk te doel smoren In het bloeijenst vinden zijn tij !	HeavyHeartedness_Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.sp.477.s.1	u onluk zijn te klaar !	None
focq001mini02_01.TEI.2.text.body.div.sp.477.s.2	Gewis deze toeval , vriend , dreigen uw mede velen gevaar ; Mits gei doen vriend vinden u vijand hebben te vrees , wie macht en groots gezag uw dodelijk zullen wees .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.sp.487.s.1	Ach ! het schijnen die ik doen Ziel uiten schrik en angst begeven ; En zode zijde nog doen macht vinden uw te spreken hebben , zijn door u Vriendschap , die ik hopen nog hout in het leven , vinden die gei in deze node ik niet en zullen begeven .	Fear_Emotion_Hope_BodyPart_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.sp.487.s.3	vriend Valerius , bergen ik hebben leven dan , Of zonder uw zijn ik gewis een lyfloos manna .	None
focq001mini02_01.TEI.2.text.body.div.sp.487.s.4	mare hoe !	None
focq001mini02_01.TEI.2.text.body.div.sp.487.s.5	gei antwoord niet .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.1	ik staan op u staan te denken : geren lastigheid zullen ooit ik plegen vinden Vriendschap krenken .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.2	o Neen !	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.3	ik staan allee te peinzen wat voor raad ik in deze ongeval aan uw te geven staan .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.4	hebben feit die zijn geschieden , en zijn niet te herhalen .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.5	Voorzichtigheid allee , die zijn het , die menigmaalen doen sterk vijand door zij list hebben verheert , Die door doen Dapperheid vergeefs zij zijn keren .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.6	deze zijn het dan boven al die wij hier helpen moeten geven : mare , hoe , en om wat reden benaamt gei hij hebben leven ?	None
focq001mini02_01.TEI.2.text.body.div.sp.533.s.1	naar die ik gisteren een god delen vinden doen nacht hebben bij ik Leonoor in wellust doorbrengen , Die ik ( gelijk gei weten ) al over langen beminnen , komen ik , in het uitgaan vinden zij door , een manna te vinden ; Die , naar ik merken , mede een knechten twee drie verzelt , zien mijden op doen straat tot ik verspieder stellen : het geren Leonoor doen door doen sluiten , en vertrek , En het geren ik jalouzy zode hevig op komen wekken , die naar velen woord , tot verdubbeling vinden spijt , mede hebben ontbloten stalen doen resten worden afgepleyt .	Emotion_Envy_Desire_Remorse
focq001mini02_01.TEI.2.text.body.div.sp.533.s.2	deze wassen Heer Reynoud ; mits ik hij mede zijn eigen woord , ( Op het vlaag wij hij wassen ) zich zelf zode noemen horen : deze Naam , ik wel bekennen , doch door doen Faam allee , ( Vermits ik Reynoud zelf nooit hebben zien voorheen ) kennen niet beletten , spijt zijn staan en groots vermogen , die ik hij gaan te kaar .	None
focq001mini02_01.TEI.2.text.body.div.sp.533.s.3	Doch wild doen nacht ons oog Zodanig houden bedekken , die eerder bij het gevoelen , Dan het liggen vechten worden , zode treffen in deze gewoel , Doch tot ik ongeluk , deze klink ik vijand leven , Die , door ik razernij te boezem indrijven , hij mede een naar schreeuw te aard storten doen .	Emotion_EmotionalAction_BodyPart_Anger
focq001mini02_01.TEI.2.text.body.div.sp.533.s.4	Ik hier door gans ontroeren , vermits ik perikel lee vinden , door zijn knecht persen , ik leven met te laat , begeven ik op doen vluchten , en door verscheiden straat , Geraak ik in het Voorhout , en zode voor Boswaart in , En eer doen morgenstond deze dagge nog geven beginnen , hebben ik reeds zeel mijl door bus en duin lopen : zode kunnen doen doods vrezen een mens mede spoor nopen : In het einde zien gei ik hier dus vluchtig t'Amsterdam .	Fear_Emotion_Moved
focq001mini02_01.TEI.2.text.body.div.sp.555.s.1	o dol jalouzy !	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.sp.555.s.2	o zot Minne-vlam !	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.555.s.3	doen schuld vinden het meest bloeden die daag'lyks worden vergieten , zijn uiten u koker , en u zot drift spruiten .	Emotion_Anger
focq001mini02_01.TEI.2.text.body.div.sp.555.s.4	mare ach !	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.5	ik waard vriend !	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.6	zijn lopen , zijn vluchten gei goed Voor u vervolger ?	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.7	die zode wel in het oogst , alles West , ( Vermits het onmoog'lyk zijn doen wraakzucht te bepalen ) uw door zij groots gezag zijn machtigen t'achterhalen .	Emotion_Vindictiveness
focq001mini02_01.TEI.2.text.body.div.sp.555.s.9	Vriend !	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.10	u dapperheid , en het edelmoedig vieren , die in u ader leven , die staan uw al te die .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.11	ik geest staan duizend vinden vinden t'overwegen , Ik denken , en overpeyns vasten honderd duizend weg , Om uw te helpen , mare ik vinden slechts ijdelheid .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.12	wan hoewel die gei rijk , en groots vinden vriend zijn , zode zijn het onmogelyk uw zelf te bewaren Voor zij , die in gezag schier prijs evenaren .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.13	mare zacht , daar schikken ik iets , naar die ik dunken , in het zijn : doen besteden raden die vallen zomtyds hebben eerst in .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.14	zullen gei wel machtigen zijn een zot Rol te spel ?	None
focq001mini02_01.TEI.2.text.body.div.sp.559.s.1	Of zot of wijze te zijn , kunnen ik thans weinig scheel .	None
focq001mini02_01.TEI.2.text.body.div.sp.572.s.1	het zijn nodig die gei uw stellen in zode zot schijn , die ieder die uw zien uw wanen puur zot te zijn ; En zode zullen gei u staan voor ieder ogen bedekken .	None
focq001mini02_01.TEI.2.text.body.div.sp.572.s.2	die huis zijn , alles gei weten , een Gasthuis , daar doen gek herbergen worp , in zij zot razernij : Indien gei het waag durven , en bij aldien die gei , alles een onzinnige , uw durven daar in begeven , zode achten ik uw bevrijden vinden hebben gevaar vinden het leven : wan , en deze zotheid , en hebben Lazarus habijt , zullen nooit doel denken die gei Ferdinandus zijn .	None
focq001mini02_01.TEI.2.text.body.div.sp.579.s.1	u raden behagen ik zeer .	None
focq001mini02_01.TEI.2.text.body.div.sp.579.s.2	Om dan ik dood te ik de , gade ik ik vinden deze uur tot Zot te zijn bereiden : En zweren , die ik ik zelf gade veinzen zode ontzind , die gei zelf geren verschillen in schijn en waarheid vinden .	None
focq001mini02_01.TEI.2.text.body.div.sp.584.s.1	ik geloven schier het geren gei zeggen ; mits hier in , naar ik oordelen , Een Minnaar doen Natuur niet weinig hebben tot voordeel .	None
focq001mini02_01.TEI.2.text.body.div.div.head.585.s.1	Tweede toneel .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.587.s.1	Isabella , Leonard , Valerius , Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.589.s.1	Leonard .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.596.s.1	Hier zien gei , Isabel , die machtigen Amsterdam : deze zijn doen Poort , wie naam vinden sinds Antony komen , Gints zien gei lang doen straat doen steil Zuider toorn : In het korten , deze zijn die Stad , die , uiten Moeras geboren , Aan heel wereld bijna doen weten stellen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.598.s.1	Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.601.s.1	Ik vinden die schoon nog dan ik ik hebben vertellen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.601.s.2	ik bekennen , ik staan verbaasd , door velen verwonderingen .	Emotion_Wonder
focq001mini02_01.TEI.2.text.body.div.div.sp.605.s.1	gei zien hebben slecht delen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.609.s.1	deze schijn vreemdeling .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.616.s.1	ik dunken hebben ook : het zijn goed hier niet te blijven staan ; mare laten wij dadelyk wij speld beginnen gaan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.616.s.2	treden wie in het Lasrus-huis , om de regenen te spreken , En om uw mede de varen in het Gekke-kleed te steker .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.621.s.1	Wel aan , wild het wees moeten , treden dan te deur in ; En zode nemen vinden deze uur ik zotheid een beginnen .	None
focq001mini02_01.TEI.2.text.body.div.div.head.623.s.1	Derde toneel .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.625.s.1	Isabella , Leonard .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.629.s.1	hebben zijn een schoon stad .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.633.s.1	ik zien goed nooit ik leven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.1	doen Hemel , Leonard , hebben wij velen lukken geven , vinden voor doen nacht nog hier in stad geraken te zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.2	mare , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.3	hoe zwemmen ik harden nog tussen vrezen en pijn : wild ik mede uw ontvluchten ik landen , en huis te gader ; wan laas !	Fear_Emotion_BodyPart_BodilyProcess_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.4	wat of uiten spijt ik overoud Vader Nu niet wel vloeken , en zeggen ?	Emotion_EmotionalAction_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.651.s.1	Al het geren een Edelman In bloeden , en eer kwetsen , uiten gramschap zeggen kunnen : ik dunken ik zien hij al uiten dolheid lopen razen , En lang doen straat hebben volk door zijn gezicht verbazen , uw noemende doen honen , en smaad vinden zijn slachten , En ik een trouweloos knechten , die uw tot oneer brengen .	Emotion_EmotionalAction_Wonder_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.657.s.1	zode hij doen dwaasheid ooit hebben vinden ik minnen weten , het zijn zeker die hij ik wel Zot , en dol zullen heten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.668.s.1	schonen die hebben Zotheid wassen in u verdolen zijn , Een ongelijk portuur te kies door u minnen ; zode willen ik daarom nu , in het minst niet verachten , nog stoten ik nieuw geluk niet om , in u gedachte ; Vermits doen Liefde , die ik nu u bruidegom maken , doen , die mede een ik staan zode oog alles d ' uw raken , En schonen ik , alles uiten niet , zijn tot deze lukken rijzen , denken die ik nu niet meer zijn die ik plegen te wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.673.s.1	Wat rijden hebben gei tocht , ik waard Leonard , die gei door deze reden , op nieuw , ik ziel benard ?	Fear_Emotion_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.677.s.1	u woord , Isabel , doel ik verandering vrees .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.681.s.1	En wat verandering kunde g ' uiten ik woord lezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.686.s.1	ik merken die gei ik verachten , en uw deze vlucht berouwen .	Emotion_Dissapointment_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.686.s.2	Mits ongelijk minnen nooit vasten staan en houden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.692.s.2	zijn gei minderen nu , dan torn ik uw ik leven , Ja torn ik uw ik Eer komen in u hand geven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.692.s.3	woerd gei ik Dienaar niet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.696.s.1	Wel ja .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.1	Wat ongelijk kunnen uw die Eer dan doel zijn met ik uw verryk ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.2	vinden uiten die staan uw tot ik bruidegom te verhogen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.3	mare neen , gei hebben ik zelf , naar die ik zien , bedriegen : u inborst veinzende , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.4	in mede ik wegge te vlieden : Helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.5	ik merken hebben wel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.1	hebben gei die kunne zieden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.2	En weten gei zelf niet die hebben uw zij berouwen ?	Emotion_Remorse
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.3	En die ik die berouw zij voor verachting houden ?	Emotion_Disgust_Remorse
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.4	Gewislyk , Isabel gei haten ik .	Emotion_Hatred
focq001mini02_01.TEI.2.text.body.div.div.sp.717.s.1	zijn gei Zot ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.723.s.1	Ik zijn wel Zot wezen , door het zamen-spannen tot deze schandelijk vluchten , verleggen door u gebeeden , zijn door ik dagelijks ik vinden vinden uw bestrijden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.1	Een teken , die ik uw beminnen , boven hij , Die door ik vader willen , en zijn geven stemmen , Ik zonder deze vlucht , te trouw wassen dwingen : mare het schijnen , die enkel woerd , die ik flus zijn ontspringen , ( torn ik ik zelf Zot dor noemen door ik minnen ) die kwetsen uw hebben verstaan , en spelen uw in de zijn .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.2	noemen gei dan Leonard verachting uw te min ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.3	En door doen minnen allee beroven te zijn vinden zin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.4	Gewis , die naam komen mede ik harden niet overeen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.739.s.1	u harden zijn ik bekennen , spijt deze versieren reden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.748.s.2	wij zij ik harden ooit goed kunne weet , Dan gei , die door doen minnen daar vasten zijn in zitten ; mare neen , vriend Leonard !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.748.s.3	hebben schijnen die gei mede list , kwansuis een oorzaak zoeken vinden opgeworpe twisten , Om onder deze schijn ik schandig te verlaat : mare , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.748.s.4	wat rijden zijn het , die uw ik dus doel haten .	Emotion_Hatred
focq001mini02_01.TEI.2.text.body.div.div.sp.762.s.1	ontrouw ! het blijken genoeg , hoe die gei ik versmaat , En steeds verachten hebben , om het verschillen vinden ons staan : zijn door gei ik u minnen onwaardig denken te wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.762.s.2	wan zode u liefde wassen zode oog in toppen rijzen , Gelykerwys gei veinzen , hoe zullen g ' op ik begeren , ik kunne weig'ren die , hebben geren gei noemen u eer ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.762.s.3	mare neen , onbuigbaar voor ik smecken , en bidden , blijven gei steeds even koelen , en hout verstaan , en rijden , zijn die ik ander , in een Ziel , die rechte beminnen , nooit zode velen achterdocht , en zode velen oordelen vinden .	Suspicion_Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.1	weten gei niet die doen deugd doen drift moeten verwinnen , Wanneer zijde twist om doen heerschappij de zin ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.2	En die ik , eer doen trouwen wij ' liefde wettig maken , doen Kuysheid eren moeten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.3	o Leonard !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.4	gei laken , het geren in ik , alles een deugd , velen eerder zijn te prijzen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.5	Wat kunnen ik ander , dan mede woord uw bewijzen , die ik uw minnen ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.6	gewis hebben ik ik zelf zode bloot , En uw hebben geil genot geven vinden ik schieten , ik weten die lichtvaardigheid , hebben reeds in u gedachte , naar die genieten gul , ik doel vinden uw verachten .	Emotion_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.7	Vermits ik in het gemeen , naar het Wetteloos genot , vinden wieden ik worden beminnen , verachten worden en bespotten .	Emotion_Love_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.786.s.1	Een schonen , die voor het genot , hebben macht wij te doel blaken , zullen , naar het genot , velen eer wij ' vlam heet manen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.786.s.2	mare neen , o Isabel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.786.s.3	deze u wantrouwigheid spruiten uiten deze oorzaak niet daar gei u deugd met vleid : mare uiten iets ander , het geren ik zieden doen uiten u oog , die ik vinden uw verachten , bespotten zijn , en bedriegen .	Emotion_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.790.s.1	o onverstandig !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.790.s.2	sparen deze woord tocht .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.794.s.1	zeggen ongelukkig velen eer , door u bedrog .	None
