hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	Persoonen	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1111.s.1	Uw wil is door myn mond verkondigd aan de Grooten , En uw last is gebragt aan d ' eerste Hof genooten : Een ieder zal hier zyn , gelyk vereischd syn plicht , Op de bestemde tyd , en 't uur daar toe gericht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1111.s.2	Schoon deze dag reeds lang voor Bantam was te wagten , Wyl gy zoo menigmaal geuit had uw gedagten , Heeft elk van haar niet min getoond de droeve smart , Die 't komen van dees ' dag , verspreid in ieders hart .	Emotion_BodyPart_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1113.s.1	agon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1118.s.1	Die smart , hoe groot die zy , zal niet veel langer duuren , Als tot dat morgen 't licht beschyne Bantams muuren : Een oude Vorst verdwynd , gelyk de Maan , voor 't oog , Wanneer de jonge Vorst klimd , als de Son , om hoog .	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1142.s.1	Sy wagten zekerlyk een Heer van uwe handen Die ook , gelyk als gy de Vader deezer Landen , Haar welvaard houden zal voor syne grootste zorg , d ' Opvoeding van uw ' Soons is hier voor haare borg : Maar zoo ik uit haar naam de waarheid u mag zeggen , En 't geen hier ieder denkt vrymoedig openleggen , Hoe veel men van uw Soons , met reden , ook verwagt , De onderdaan verlangd te blyven in uw magt ; Te meer dewyl men ziet Natuur u mildlyk geeven De aangename vrugt van een gematigd leeven , En dat de ouderdom , die elk met reeden vreest , Niets afneemd van de kragt en vlugheid van uw geest .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1153.s.1	Sy hebben niet gezien myn slaapelooze nachten Terwyl sy die in rust , en stille vreê , doorbrachten , Sy hebben , zoo als ik , den arbeid niet gevoeld , Die by der Vorsten Throon , en om haar slaap-plaats woeld !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1158.s.1	Sy weeten dat d ' eerbied aan hen belet te vragen 't Geheim 't geen hare Vorst kan in syn boezem dragen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.1	Myn gunst voor u , Sinan , heeft my nog nooyt berouwd , En 'k weet dat myn geheim is by u wel vertrouwd : Lees dan in Agons ziel , die zal aan u vertonen Wat bittre zorg hem geeft de tweedracht van syn ' Sonen .	Worry_Emotion_Sadness_Remorse
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.2	Ik heb dit Ryk gehaald als uit een donkre nacht En Bantams roem en magt ten hoogsten top gebracht ; Maar met welk glans myn naam dit Ryk nu doê verschynen , Ik zie , door hun tweedragt , die macht in 't kort verdwynen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.3	Batavia heeft lang 't oog op Bantam gehad , En dingd reeds na de naam van Java's eerste Stad : En 'k zie de Hollanders met ongeduld verwagten , Dat een van myn twee Soons te hulp roep ' hare kragten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.4	Sy zoeken , zedert lang , een middel , om 't bestier Gelyk in 't verdrê Oost , zoo ook te krygen hier : Schoon haare heerschzugt twist verwekt in alle Landen , Haar Staatkund ' zoekt voor al 't Gebied van Java's stranden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.5	De koud ' Europeaan , schoon hy syn Land verlaat , Bewaard syn koelheid nog in dit verzengd Climaat , Haar ziel door heete drift , als d ' onze niet omvangen , Verliesd nooit uit het oog hun wezendlyk belangen , Haar grootheid is gegrond op d ' Indiens tweedracht , En ons hartstogten zyn de oorsprong van haar macht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.6	Het is om deeze reên , dat ik heb voorgenomen , Om zoo ik kan die ramp aan Bantam voor te komen : Ik weet wat na myn dood alhier te vreezen staat , Zoo ik niet voor die tyd voorkomen kan dat kwaadt ; En 'k denk , ( ik hoop ten minst ) dat zoo ik by myn leeven , Aan ieder van myn Soons een Scepter heb gegeeven , Dat elk zyn heerschzugt ziet voldaan eer hy 't verwagt , Ik tusschen hen wegneem all ' oorzaak van tweedracht ; En dat , zoo ' er in 't eerst , eenig verschil mocht rysen , Natuur hen zal na my , en niet na Holland , wysen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1242.s.1	Maar wyl uw voorzorg vreesd der Nederlanders macht , Waarom niet liever zaam gehouden Bantams kracht ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1242.s.2	Tartassa's Ryk , geheel gekomen in uw handen , Vermeerderd nog de sterkt ' en rykdom van uw Landen , Laat een van uwe Soons alleen hier Koning zyn , Of wel dat d ' Oppermacht in alle beyd ' verschyn .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.1	Myn hart verbied het eerst : het tweed ' kan hier niet wesen , En zou het allermeest voor Bantam zyn te vreesen : Wat maatregels ik neem , welk paalen ik ook set , D ' een zal van d ' ander nooyt ontvangen eenig wet .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.2	Die hier geen slaav ' wil zyn moet om den scepter stryden , En d ' Oppermacht in 't Oost kan geen verdeeling lyden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.3	'k Heb in Abdul bespeurd veel meer heerschzugtigheid , En Bantams ryke strand daarom voor hem bereid : Tartassa's minder Ryk zal aan den ander komen Zonder dat ik van hem misnoegen heb te schromen ; Ik weet dat Hassan is te vreeden met dat Land , Mits dat ik by zyn deel ook voeg Fathema's hand : Haar Vader is wel eer , beroofd van syne Ryken , By my , syn boesemvriend tot Bantam komen wyken .	Fear_Emotion_Shame
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.4	Ik heb myn stervend Vriend beloofd dat myne Soon Fathema plaatzen zou met hem op Agon's Throon .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.5	En 'k zie nu met vermaak , dat deese teed're banden , Niet zullen zyn de vrucht van eenig menschen handen , Maar dat de Liefd ' alleen sterker als myne macht Haar Vaders wensch , en myn beloften , heeft volbracht .	Joy_Emotion_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.6	Sinan , 't is tyd dat gy ook kiest tusschen myn Soonen Aan wien van bey ' gy wilt die zelve trouwe tonen Die in uw hart altoos voor haare Vader blonk , En u , uw Meestersgunst en syn vertrouwen schonk .	Emotion_BodyPart_Loyalty
hare003agon01_01.TEI.2.text.body.div.div.sp.1307.s.1	Ik heb voor alle gunst van haar en u te vraagen Dat ik mag in uw rust verslyten myne daagen : Ik vraag nog ik verwagt op Aard ' geen andre vreugd Als die ik scheppen zal uit 't voorbeeld van uw deugd .	Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.1	De eenzaamheid is niet gemaakt voor jonge lieden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.2	Hy die de stilheid zoekt , en arbeid wil ontvlieden , Moet voelen zyne kracht door jaaren uitgeput , Of door een zwak gestel aan 't menschdom zyn onnut , Dan alleen mag men zig ontrekken aan de menschen , En zig vernoegen met voor 't Vaderland te wenschen ; Maar zo lang lighaams kracht gepaard is met verstand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.3	Zyn beide , kracht en geest , aan 't Vaderland verpand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1334.s.4	'k Sta uw toe om met my te blyven d ' eerste daagen Gy zult het allerlaatst uit myn dienst zyn ontslaagen ; Maar welk van myne Soons uw vrye keur ook diend , 'k Heb hen te lief om haar t ' onthouden zulk een vriend .	None
hare003agon01_01.TEI.2.text.body.div.div.head.1338.s.1	Derde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1340.s.2	Fathema .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1340.s.3	Camoeni .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1372.s.1	FAthema , 'k had gewenscht , voor 't einde van myn dagen , Aan uw Maccassars Kroon en Scepter te zien dragen , Dat Indien door tweedracht in Hollands macht geraakt , Door 't misbruik van die macht zou wakker zyn gemaakt ; Dat ieder Vorst in 't Oost verzaam'lende syn krachten , Maccassar ons zou zien met zaamgevoegde machten , De wettig ' erfgenaam herstellen op den Throon , En in het Westens bloed , uitwisschen 't Oostens hoon !	Emotion_Hope
hare003agon01_01.TEI.2.text.body.div.div.sp.1372.s.2	Maar 't Noodlot , welkers wet niemand kan wederstreeven , Heeft my tot deezer uur dien troost niet willen geeven : Ontvang van myne hand , 't geen myn hand geeven kan , Ontvang Tartassa's Kroon en myn Soon voor uw man !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1372.s.3	Ik zal Fathema dus myn Dogter mogen noemen , En wie in 't Oost zal op deugdzamer Dogter roemen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1374.s.1	fathema	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.1	Sulthan , wanneer het Lot , voor myn Geslacht zo wreed , Maccassar's bloeijend Ryk voor Holland wyken deed , Wanneer Samboepo's Strand 't Maleysche Bloed zag vlieten , En Rovers uit het West dat Edel Bloed vergieten , Dat hare woeste hand verdreef den wettig Heer , Bleef aan myn Vader nog syn Dogter , en syn ' Eer .	Emotion_BodyPart_Anger
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.2	Hy bragt die beide hier : Gy zyt in 't gansche Oosten De enigst ' die een Vorst kund helpen of vertroosten , De enigste nog groot , de enigste nog vry , De and're zyn gekeet ' in Hollands slaverny '; En elk van haar moet in syn Ryk de wet gehengen , Die hem een Indisch Raad , of Opper-Coopliên , brengen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.3	Myn Vader vond alhier , door uw grootmoedigheid , Een schuilplaats in syn lot voor hem , en my , bereid : Maar schoon Agon alhier hem diende tot behoeder , Syn hart kon niet doorstaan 't verlies van myne Moeder , En midden in uw gunst , verloor hy in 't verdriet Syn leven , en de hoop van 't Maccassaarsch Gebied !	Emotion_BodyPart_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.4	Hy Stierf , hy liet my Wees : vergeef indien myn traanen Zig tegen myne wil , een weg in d ' oogen banen , Zoo een gedeelte spruit uit syn gedagteniss ' Het ander vloeit voor u , en uit erkentenis .	BodyPart_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.5	Myn hart altyd bevreesd de dankbaarheid te krenken , Kan zonder aandoên nooyt aan uw weldaden denken ; Sy ryzen dag aan dag , sy klimmen boven maat , Gy geeft nu , 't geen by my ver boven Kroonen gaat .	Fear_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.6	't Zal my geoorlooft zyn , wanneer ik tot u nader , Wanneer ik u begroet , om u te noemen , Vader !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1434.s.7	'k Vind weêr die teedre naam , die my de dood benam Kort na ik moederloos in Bantam's wallen kwam !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1447.s.1	Ik weet wel dat uw hart en groot ' hoedanigheeden Zyn even boven prys als uw ' bevalligheeden , Maar zoo Fathema's hand 't loon van de Liefde is , Hoop ik dat Hassans hart is van haar hand gewis .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.1	'k Ontvang Hassan , op hoop van hem aan u te toonen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.2	Syn hoofd en 't myn ' vercierd met all ' Celebes Kroonen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.3	Wanneer syn dapprê hand bestierd door uwe raad Bevryden zal van 't juk den Maccassaarschen Staat , En de roofzugtig ' hoop van Westers Vreemdelingen Te rug na Java's strand , of na Holland , zal dwingen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.4	Zo maar haar ' moed en macht niet groeyd van dag tot dag , Indien Gy nog volhard t ' afleggen uw gezag : Wat Mogendheid in 't Oost zal voor haar zyn te vreesen ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1474.s.5	Zo ras Agon in 't Oost zal geen Monarch meer weesen ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1515.s.1	Fathema myne rêen zyn van het grootst gewicht , En voor 't gemeene nut van Indien ingericht : Maar boven al voor 't best van beide myne Soonen , Zo ik de Eendracht hier kan , zamen met haar , kroonen , Zo ik , gelyk ik hoop , daar door de Tweedracht ban , En wegneem 't geen daar toe aanleiding geeven kan , Zo elk van haar , syn Ryk in Vreê zoekt te doen bloeyen En tot de zelve macht , als voortyds te doen groeyen , Eer dat d ' Europeaan met woon in Indien bleef , En 't Westerse Moesson syn Vloot na Java dreef .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1515.s.2	't Belang van myne Soons , en dat van uwe Ryken , Is , om een korte poos voor 't Lot en tyd te wyken , Tot dat Batavia selv ' in haar ' schoot verdeeld , Verwyfd door 't heet Climaat ; en dronken in de Weeld ' , De driften van het Oost in 't Hollands hart voeld zweven , En 't Oost in dartelheid en lafheid overstreeven : Dan is het tyd voor wraak ; tot daar toe is de rust Het eenigst ' , dat nog kan behouden deze Kust .	Emotion_BodyPart_BodilyProcess_Other_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1531.s.1	Na zo veel hoon en smaad als myn Huis moest gehengen , Is 't hard de tyd voor wraak nog zo verr ' te zien lengen , En dat gehaate Volk zo lang te moeten zien In 't bezit van myn Erf , en in myn Ryk gebiên .	Emotion_Hatred_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.1	Myn afkeer voor dat Volk kan uw haat eevenaaren !	Emotion_Hatred_Disgust
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.2	Maar de Voorzigtigheid , de vrucht van hoge jaaren , Leerd my , dat men vooral moet kennen 's Vyands macht Wanneer men tegen hem wil toetzen syne kracht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.3	Die macht der Hollanders , nu zo voor ons te vreesen , Heb ik voorheen gekend in hand der Portugeesen ; Maar Portugal , 't geen 't eerst , door Gama's heldenmoed , Ons Zeën heeft geverfd met Indiens eigen bloed , 't Geen langs een nieuwen weg na ons bestond te zeylen , En 't Mallabaarsche strand met Lisbons dieplood peylen , Heeft in het derd ' geslacht syn kinderen gezien Voor 't zwaard van Nederland , en Indien's wraake vliên .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.4	Maar Indien , meer bedagt om zig van haar te wreeken , Als door Europa's twist , Europa's macht te breeken , In plaats van weder vry te worden , als wel eer , Heeft voor prys van syn bloed gekogt een nieuwen Heer .	Emotion_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.5	Batavia ziet nu reeds groeijen in haar wallen , Een derd ' geslacht , 't geen ook voorzeeker staat te vallen , Zo ras wêer uit het West een nieuw gebroedzel koomt , Het geen nog Portugals nog Hollands waap'nen schroomt .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1601.s.6	Gy kund met klein geduld dit binnen kort verbeiden ; Hoe verr ' Natuur ons heeft van hare kust gescheiden Haar gierigheid zoekt geld , waar ook Natuur 't verhool , Van daar de Son verschroeyd , tot in 't ys van de Pool .	None
hare003agon01_01.TEI.2.text.body.div.div.head.1605.s.1	Vierde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1624.s.1	DE beide Princen zyn reeds op het Hof gekomen , En hebben na uw ' wil en welbehaag vernomen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1624.s.2	Sy schynen van malkâer te myden het gesprek , En wachten uw bevel , ieder in een vertrek .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1627.s.1	agon , aan Fathema	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1640.s.1	Myn voorneem ' is om nu aan elk van haar te zeggen Het deel van 't Ryk 't geen ik aan hem meen toe te leggen : Voldoen , zo veel ik kan , Abduls eergierigheid , En vullen Hassans hart met vreugd ' en vrolykheid .	Joy_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.head.1643.s.1	Vyfde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.1	CAmoeni , myn geluk gaat all ' geluk te boven !	Emotion_Happiness
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.2	Gy , die zo langen tyd verkeerd hebt aan de Hoven , Waar hebt gy ooyt gezien een eenige Vorstin , Die koos haar Echtgenoot , of trouwde na haar zin ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.3	Slachtoffer van haar plicht , en van de Staatsbelangen , Vorstin alleen in naam , midden in pracht gevangen , Gezonden zonder Liefd ' , aan dien haar weinig agt , Verzuimd van ieder een , vervreemd aan haar Geslacht , Veragtende haar man , verboôn iemand te minnen , Benydende het lot dikwyls van haar Slavinnen ; In koude Staatlykheid verloopt haar ' levenstyd !	Emotion_Love_Disgust
hare003agon01_01.TEI.2.text.body.div.div.sp.1672.s.4	Zie daar het droevig lot 't geen uw Princes vermyd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1674.s.1	camoeni	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.1	Ik zie met zeer veel vreugd , na zo veel ongelukken , Voor welk ' Maccassers Huis , en uw jeugd moesten bukken , Dat 's Hemels zagter gunst bestralende uw hoofd , Een Kroon ten minsten geeft , voor die uw zyn ontroofd .	Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.2	'k Wensch dat de Kroonen die wel eer uw wieg vercierden , En , door 't lot van een dag den prooy des Vyands wierden , In 't kort door uw Gemaal gebragt in uwe hand , Vergroten 't nieuwe Ryk op Java's Wester kant !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.3	Dat ik de blyde dag , de dag haast zal beleven , Wanneer 'k Hassan en u zal zien de wetten geeven Van daar Celebes strand na 't koude Zuyden ziet , Tot daar de zee het scheyd van 't Ternataansch Gebied !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.4	Dat ik met u de Wraak die Kust mag zien betreeden En straffen 't Hollandsch Volk van haar onmenschlykheden , Als haar Barbaarsche Vloot vervuld met Rovers , kwam , En 't donderend metaal uw Moeder 't licht benam ; Sonder dat schand ' of eer , die moorders kon beletten , Haar zeegeteekenen met Vrouwe bloed te smetten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1727.s.5	Maar 'k vergeet dat dees ' dag aan Liefd ' is toegewyd , En dus 't geheug ' van haat moet heeden zyn gemyd .	Emotion_Hatred_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.1	Neen Camoeni , myn haat gaat nimmer uit myn zinnen , Myn hart weet even sterk te haaten als te minnen : En 't Lot , om te doen zien hoe veel 't op my vermag , Voldoed aan myne haat en Liefd ' op eene dag !	Emotion_Hatred_BodyPart_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.2	Ik min in Hassan , moed , en eer , en zuiv're zeeden De gaven van syn geest , syn ziel's hoedanigheden ; Ons' harten zijn verêend reeds van ons eerste jeugd , En d ' agting is weerzyds vermeerderd door de deugd : Maar 'k min in Hassan ook syn haat voor die Tirannen , Die my , en hem , wel haast uit Indiën zouden bannen , Zo haar kwaadwilligheid geen hinderpaal bereid In Agons wysheid vond , en Hassans dapperheid .	Emotion_Hatred_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.3	Batavia heeft wêer Tartassa's muitelingen , Door Hassan's zwaard verstrooyd , tot hunne plicht zien dwingen , En 't dempen van een vuur , met reden zo gevreesd , Is voor myn Minnaars hand 't werk van een maand geweest !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.4	Camoeni , 'k zie syn roem verspreid aan alle zyden En Java vol van hoop dat hy haar zal bevryden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1763.s.5	'k Weet dat Batavia in ongerustheid leeft , En dat op Hassan's naam de Raad van Indiën beeft .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1778.s.1	Maar wyl de Sulthan dus uitdeeld syn beide Kroonen , En geeft een magtig Ryk aan ieder van syn ' Soonen , Is men wel zeeker hier dat Abdul zonder smart Ziet in syn Broeders deel Fathema's hand en hart ?	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1778.s.2	Te zamen opgevoed in 't groeijen van uw Jaren Heb ik altyd gemeend dat beid ' uw Minnaars waren .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1786.s.1	De Liefde is geen drift die ooyt in Abdul viel , De Heersch-zucht straalt alleen maar door in syne ziel .	Emotion_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.1803.s.1	Maar schoon Fathema's Ryk nu niet is in haar ' handen , Sy brengd ten huwelyk haar rechten op die Landen : Europa's Staatkund ' zal niet gaarn zien te zaam Maccassars Erfgenaam , en Hassans groote naam ; De Raad van Indiën schynd voor Abdul sterk te wezen Wie weet van haar Besluit wat gy nog hebt te vreezen , Batavia misschien ...	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1808.s.1	'k veragt haar Raad's gebied En vrees met Hassans hand geheel Europa niet .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.head.1812.s.1	Tweede bedryf	None
hare003agon01_01.TEI.2.text.body.div.div.head.1814.s.1	Eerste toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1816.s.2	Hassan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1824.s.1	HEt is zeer waar , Hassan , dat ik begon te vreesen Dat Fathema alhier de laatste zoude weezen Die u betuigen zou haar ' vreugde , dat uw hand De rust weer heeft hersteld op Java's Wester-strand !	Fear_Joy_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1826.s.1	hassan	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1869.s.1	Myn eerste werk na ik hier weder was gekomen , Is geweest , dat ik heb na Fathema vernomen : En , na dus d ' eerste zorg van myn hart was voldaan , Heb ik volvoerd de plicht van soon en onderdaan ; Myn Vader en Sulthan geëerd , en in 't begroeten , Myn zegeteekenen gelegd aan syne voeten , Tartassa's ryke buyt gesteld in syne macht , En hare sleutelen voor syne Throon gebracht .	Worry_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.sp.1869.s.2	Ik ben door hem gelast t ' aanbieden deeze panden Aan de toekomende Vorstinne van die Landen ; Hy wil dat uw gezag en wet , by d ' onderdaan Geëerbied , en gevolgd zal zyn , van nu af aan : En ik , die reeds zoo lang leef onder uwe wetten , Ik koom my aan het hoofd der onderdaanen zetten , Met haar myn ' huld ' en trouw ' u voor altoos aanbiên , En myn lot in uw oog , en nu , en altoos , zien .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.1	Hassan , uw is bekend , dat van all ' myne Staaten , 't Noodlot het allerminst aan my niet heeft gelaaten , Dat ik aan myn Gemaal , tot myne groote smart , Geen Scepters , maar alleen aanbieden kan myn hart ; Maar zoo de Hemel my 't ryk ' Oosten had gegeeven , Zoo ik gansch Asien zag aan myn voeten beeven , Zoo 'k all ' haar ' Koningen na myne hand zag staan , Geen een ' , die in myn hart zou boven Hassan gaan : Myn keur zou hem tot Vorst over hen alle kroonen , En ik de eerst ' aan haar 't voorbeeld van eerbied toonen !	Fear_Emotion_BodyPart_BodilyProcess_Love_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.2	Maar , Hassan , heeft uw hart wel ernstig overdacht Wat al het Lot heeft op Fathema's Huys gebracht ?	None
