vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.10	De Kermerlander had met Waterlander dier Gezworen duizentwerf , dat hy met zwaert en vier Vernielen zou eerlang de menschen , en de daecken , En tot een kerreckhof en asch en puinhoop maecken Mijn out , mijn wettigh erf , en delven al mijn eer In eenen poel , tot wraeck van Floris hunnen heer : Om wiens vervloeckte doot ick lijde zoo onschuldigh , Als yemant lijden magh , doch draegh mijn kruis geduldigh : Of zoo ick schuldigh ben , en heeft het my gemist , 't Is uit onnozelheit , en zonder ergh of list .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.11	Neef Velsen , lang geterght , van eige wraeck geprickelt , En Woerden hebben my hier listigh in gewickelt , En 't schoonste voorgestelt , en eerst de zaeck verbloemt Met wonderbaeren glimp : maer 'k heb hun wit verdoemt , Zoo dra als ick verstont , hoe grof zy zich vergreepen , Met den gevangen graef naer Engelant te scheepen , En sloeg dien voorslagh af , ten beste van 't gemeen , En riedt de ridderschap en al de groote steên Te roepen , om den vorst zijn ' moedtwil te besnoeien , En geene uitheemsche maght noch koningen te moeien , Noch overzees gewelt te haelen in het lant ; Veel min het hooft des lants te helpen aen een ' kant : Waer uit een springvloet is van zwarighêen gesproten , Die over steden ging en vast geboude sloten , En dorpen zonder endt , en menschen zonder tal , Van allerhande staet , dien 't eeuwigh smarten zal .	Emotion_BodilyProcess_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.12	Noch hiel de wraek geen ' stant , en gaf zich noit te vrede ; Al had zy uitgeroit , ten negensten gelede , Wat Velzens stam bestont , of van zijn maeghschap scheen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.13	De nieuwe ridderschap en steden in 't gemeen Verbonden zich wel streng , met diergezworene eeden , Handtastinge en geschrift , dat zy bezeglen deden , Van nu in eeuwigheit , met onverzoembren haet , Aen Woerden , Velzens bloet , en Aemstel , dezen smaet Te wreecken , en van zoen te reppen noch te roeren .	Emotion_Hatred
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.14	Ons maeghschap zit verdruckt , durf schilt noch wapen voeren , En geeft gewilligh schot en lot , om zoo gerust Te leven , en de glans des adels blijft gebluscht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.15	Hier holp geen tusschen spraeck van koningen en heeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.16	Men wou mijn trouwe stadt noch 't onderst boven keeren , Met burgery met al , wat my is houw en trouw .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.17	De hoop was , dat de tijt allengskens slyten zou De bitterheit des volx , en d'oude wrock versterven : Waerom ick my getrooste in ballingschap te zwerven Veel jaeren achter een .	Aquiescence_Emotion_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.18	Of immers toen de zoon Van Floris wert gehaelt in aller zielen troon , Verhoopte ick , zonder last van deze burgerije , Te keeren in 't bezit en d'erref heerschappye Van Vecht en Aemstelstroom : dan laes : 't is al om niet .	Emotion_Hope
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.19	En was 't om my alleen , het waer een klein verdriet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.20	Ick liet my zelf van lidt tot lidr in stucken zaegen , En nam op my alleen de gruwelyxte plaegen , Die oit tyran bedacht ; was dan de schult geboet , En sprack men daer meê vry mijn al t'onnozel bloet , Mijn lieve gemalin , en willige onderzaeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.21	Ick wou , om hunnent wil alleen , mijn leven laeten , Of springen in een ' poel , en stoppen deze wel , En dempen met een ' sprong de nimmerzatte hel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.22	Dat weet hy , die het al bezichtight uit den hoogen , En wat in duister schuilt met zijn doorzichtige oogen Ontdeckt tot op den gront , en alle harten kent ; Waerom hy oock mijn recht gehanthaest heeft in 't endt , En met den zegekrans my heerlijck begenadight , En tegens al de maght der vyanden verdaedight ; Die licht slaen in den wint van outs genote deught , Waer aen wy volck en vorst verplichten van ons jeught , Zoo yvrig , zonder oit van trouwe te veranderen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.23	Mijn vader heeft gestreckt een hooft van Waterlanderen , En Kennemer in 't velt , en met gewelt alom ( Hoewel door noot geperst ) vervolght den adeldom , En aller vyantschap op zijnen hals geladen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.24	De koning Willem zou getuigen van zijn daden , Indien hy eenmael moght verrijzen uit het graf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.25	Ick heb Graef Floris trouw gehanthaeft by zijn ' staf , Zoo lang hy zat vervooght , en niet een woort kon spreken , 'k Heb hem zijn vaders doot rechtvaerdigh helpen wreken , Het koninglijck gebeente ontdeckt , den Vries getemt , En , als geheimen raet , in al zijn heil gestemt , Met Brero voor de vuist het Vlaemsche heir geslaegen , En in Kazant met kracht den standaert wech gedragen ; Toen Guido nijdigh was , dat Floris , al 't uitheemsch Gezint , zijn ' erfgenaem wou huwen aen den Teems , En Vlaendren , Walchren zocht te trappen met zijn rotten .	Emotion_Envy
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.26	Oock voer ick over zee , om hem de kroon der Schotten Te zetten op het hooft , hoewel het anders viel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.27	Ick stont den graef en 't volck ten dienst met lijf en ziel , En noch verzaemelt men in 't harnas zoo veel troepen , Die over Amsterdam en Aemstel wraecke roepen , En brullen nacht en dagh , en zien niet hoe de vlam Van dezen fellen brant haer ' eersten oirsprong nam Uit Floris geile borst , en 't schandelijck omhelzen , Het schennen van mijn nicht , die schoone bloem van Velzen , 't Verongelijcken van den adel , in zijn recht , Bezworen met zijn ' mont , verblinde menschen , zeght , Indien geen wrock en wraeck uw oogen dus verblinden , Zoudt ghy niet stofs genoegh tot Aemstels onschult vinden ?	Emotion_EmotionalAction_BodyPart_BodilyProcess_Vindictiveness_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.28	Hoe zocht men hem van outs te maecken tot een slaef !	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.29	Wat leedt hy niet al leeds van bisschop en van graef !	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.30	Men wou zijn loflijck bloet in 't bisdom niet gedoogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.31	d'Aertsbisschop aen den Rijn kon met zijn nijdige oogen Niet aenzien ons geluck , gaf Gozewijn de schop , En zetten zijnen neef den hoogen myter op .	Emotion_Envy_BodyPart
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.32	Wy streeden om den staf , tot datze my en Woerden , Aen weêrzy van zijn paert , tot een triomfe voerden In Uitrecht , met veel smaets , van veder aengehoort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.33	Men heeft my 't Vrelantsch slot ontweldight , hem Montfoort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.34	'k Beken het slot was my met voorwaerde opgedragen ; Maer nergens om gebouwt , dan om mijn landt te plagen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.35	'k Heb 's graeven vangenis wel zeven jaren lang Bezuurt , en Zwaenenburgh noch afgestaen door dwang , Mijn erf in leen verkeert , en manscbap moeten zweeren ; Daer ick eerst Godt alleen , en anders geene heeren Oit kende in mijn gebiet , noch rekeninge gaf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.36	Noch dringt men evenwel op my zoo stijf en straf : Doch Haerlem draeght met recht de grootste schult van allen , Dat om zijn voordeel wrockt , en wenscht mijn sterke wallen Te slechten tot den gront , in schijn van 's graeven zaeck , En weet zijn baetzucht loos te decken met de wraeck , Misbruickt hier toe den Zeeuw , de Hollanders , en Vriezen , Om door mijn grootheit niet aen eere te verliezen .	Emotion_Greed
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.37	Zoo leght de zaeck by my , en daer op gae ick aen , En heb in 't zwaer belegh de stormen uitgestaen , En dagh en nacht voor aen geworstelt op de wallen , 't Vermoeide volck gesterckt , en rustigh uitgevallen , Mijn ' broeder Ot gequetst zien sterven in mijn ' schoot : Krackeelen neêrgeleght in brant , in hongers noot , Gelijck een vader , my voor 't algemeen gedraegen : En noit bezweeck mijn moedt in droeve nederlaegen : Noch 'k blies my zelven op in voorspoet , noch zocht roem In 's vyands ondergang : hoe noode ick vyant noem , Die onverzoenelijck zich tegens my verzetten , En wenschen met mijn bloet hun blanck geweer te smetten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.38	'k Vergeef hun deze feil , en domme onwetenheit , Beveel my in zijn hant , die recht van onrecht scheit , En streckt in 's hemels stoel der onderdruckten trooster .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.39	Maer 'k zie den vader daer van ons Katuizers klooster Genaecken van ter zy , op dat hy my begroet ' .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.40	Hy schijnt om ons geluck verheught en wel gemoedt .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.41	'k Zal best verstaen uit hem , die nimmer was besproken , Waerom het leger is dus schichtigh opgebroken .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.468.s.1	Willebord .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.1	MYn welgeboren heer , de zoete Jesus zy Met u en uwe stadt , en sta u eeuwigh by , In allerhande noot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.2	de broeders van onze orden , En ick , zijn zoo verblijdt , als ofwe levend worden Getrocken in den troon van Godts volmaeckte vreught .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.3	Ons klooster zingt , en klingt , en is niet meer verheught Op 't allerhooghste feest en heiligh jaer getije , Geviert van al de kerck , ter eere van Marije , De zuivre moedermaeght , en Christus , haren zoon , Die ons verloste aen 't kruis , en droegh een doornekroon , Als nu om uwent wil , die van de wreede plaegen Des goddeloozen krijghs verlost zijt en ontslagen : Nu al uw vyanden verbaest zijn doorgegaen , En laeten tenten , tuigh , en hunne hutten staen , En alles , wat zy meer uw volck ten beste geven .	Joy_Emotion_EmotionalAction
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.4	'k Geloof Godts engel heeft den vyant wechgedreven , Als 't heir des Assyriers , die zijn vermeetle stem Hiskia hooren liet , tot voor Jeruzalem , Het welck in eenen nacht zoo wonderlijck verkeerde , Toen een , die 't al regeert , dat stoffen hem verleerde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.5	Hoe menigh dreigement , en vloeck heb ick gehoort !	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.6	Wat heeft men gift en gal gebraeckt , en brant en moort Getiert , en 't gansche jaer gescholden , en gekreeten , Niet anders , of zy u met tanden wouden eeten !	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.7	d'Een zette u levende en geketent op een radt : Een ander rolde u naeckt in Velzens spijckervat : Een ander wou uw hooft , uw beckeneel , vergulden , En vatten het in gout . 't was byster hoeze brulden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.8	Zy deelden bloet voor wijn , uw vleesch voor voedsel uit , Krackeelden om 't geraemt , en dongen naer uw huit , En wouden die get out op eenen ketel spannen , Tot endeloozen schrick van schelmen en tyrannen : Maer Godt zy eeuwigh danck die hunne boos heit schut .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.505.s.1	Gys .	None
vond001gysb04_01.TEI.2.text.body.div.sp.517.s.1	Dien d'opperste beschermt , heeft eene vaste stut .	None
vond001gysb04_01.TEI.2.text.body.div.sp.517.s.2	Godtvruchte vader , dat u Godt en Christus loonen , Naerdien de broeders zich met u zoo gunstigh toonen Te my waert , ick vertrouwe uw vierige gebeén Die hebben dagh en nacht voor mijne stadt gestreên , De stormen afgekeert , en 't vier van onze daecken ; Want wapens zijn onnut , zoo d'engelen niet waecken , En 't yverigh gebedt van 't geestelijcke volck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.517.s.3	Wat hing u over 't hooft een droeve en donckre wolck Van zwarigheên , terwijl hier 't leger heeft gelegen : Gy zijt niet misgedeelt in 's oorloghs milden zegen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.519.s.1	Wil .	None
vond001gysb04_01.TEI.2.text.body.div.sp.526.s.1	Geen hair is ons gekrenckt , geen overlast gebeurt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.526.s.2	Men heeft het klooster noit in zijnen dienst gesteurt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.526.s.3	Wy hebben staêgh volhardt in onzen ouden yver : De boomgaert leed geen scha aen vruchten , noch de vyver Aen visschen , noch de kerck aen d'alderkleenste ruit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.531.s.1	Wie heeft dan des soldaets baldaedigheit gestuit ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.531.s.2	Wat hiel zoo kort in dwang die breidelooze gasten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.539.s.1	Met geen inlegering wou Egmont ons belasten : Behalve dat hy zelf en zijne lijfwacht meê , Die altijt tuchtigh is , hier nam zijn legersteê , En boven onze poort , liet aenslaen 's graeven wapen , Daer wy in zekerheit gerust op moghten slaepen .	Aquiescence_Emotion_Trust
vond001gysb04_01.TEI.2.text.body.div.sp.548.s.1	Dat doet my wel , gelijck een lieffelijcke lucht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.548.s.2	Ick zelf en al de stadt was meest om u beducht , En vreesde ofge lang verjaeght waert , en geplondert .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.548.s.3	Maer vader , zegh my eens ; een yeder is verwondert , Waerom 't verbittert heir zoo onverziens vertrock , En liever niet volharde in 't opzet van zijn ' wrock .	Emotion_Vindictiveness_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.552.s.1	Verwonder u niet eens , de noot heeft hen gedrongen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.556.s.1	Mijn burgers lagen stil , en 't leger onbesprongen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.564.s.1	Van buiten wel , maer niet van binnen dat gy 't weet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.564.s.2	Het wintert fel , wanneer een wolf den andren eet : Zoo ging in 't leger toe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.564.s.3	belieft het u te hooren , Al 't geen ick heb gehoort met dees mijn eigene ooren , En met mijne oogen zelf gezien noch dezen dagh ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.568.s.1	Eerwaerde vader , spreeck , ick luister naer 't verslagh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.1	Na dat ick d'oversten een wijl had hooren mompelen Van Amsterdam , al stil , by duister t'overrompelen , Rees tusschen Diederick en Egmont een krackeel , Dat uitborst meer en meer : een yeder trock een deel Van 't krijgsvolck op zijn zy , en zocht het stuck te stijven , En naer zijn eigen hooft den aenslagh door te drijven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.2	Veel Hoplién yverden te slissen het geschil .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.3	Maer Diedriek , hardt van hooft , die nimmer luistren wil Naer reden , noch bescheit , en 't velt behoudt met krîjten , Wert trotser , overmits de lange Klaes van Kyten , De Sparrewouwer reus , zoo onbeschoft als groot , In alles wat hy dreef hem hulp en bystant boodt , En Egmont met zijn klock en grove stem vervaerde , Hem dreef met eene vuist , dat hy een wijl ter aerde In zwijm lagh en voor doot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.4	die moetwil en die hoon , Den veltheer aengedaen , ging veelen aen hun kroon , En zonder het ontzagh des reuzen , fel gebeeten , Men had elckanderen terstont in 't hair gezeten , En onder een banier wraeckgierigh aengerant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.5	Men raesde een heele weeck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.6	de twist , het misverstant , En misvertrouwen wies .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.7	daer sporrelden de zinnen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.8	Men vreesde min de stadt , en meer verraet van binnen ; Tot dat al d'oversten verzaemelden heel stil In 't klooster , dezen dagh , tot slechting van 't geschil : Doch al vergeefs : men was veel eer gezint te vechten , En deze onesfenheit met degens te beslechten , Dan recklijck , en bedaert , te luistren naer verdragh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.9	Ick tradt'er in den hoop , gelijck ick zomwijl plagh , En sprack hen toe , en broght aldus hen aen 't bedaeren : Manhafte hopliên , Godt wil 't leger lange spaeren , In onderlingen pais , het eenigh dat'er magh Uw vyant , wie 't oock zy , gedijen tot ontzagh .	Emotion_Awe
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.10	De tweedracht is een pest , die allen staet te schroomen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.11	Gedenckt dat u de stadt , die 't rieckt , op 't lijf zal komen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.12	Wat middel is ' er , om den Aemstel 't hooft te bien , Nu elck , wantrouwigh , d'een naer d'ander om moet zien ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.13	Gy zijt , eer 't iemant gist , geslagen of gevangen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.14	Wanneer de herder dwaelt , wat padt , wat rechte gangen , Kan d'arme kudde gaen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.15	dus maeckt een kort besluit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.16	Verdraeght het scheel , of schort den krijgh , en scheit'er uit , En keert van waer gy quaemt : waer toe veel werx begonnen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.17	Berockent zoo veel spels , als 't niet werd afgesponnen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.18	Ick merckte dat mijn raet niet weinigh hier vermoght .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.19	Men nam mijn woorden in .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.20	zy kreegen achterdocht , En zorge voor gevaer van uw gesteurde wallen , En dat de burgery en lantzaet uit moght vallen .	Suspicion_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.21	Daer liep een klein gerucht , gy waert al op de been .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.22	De dootschrick quam'er in .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.23	men ruckte 't heir by een .	None
vond001gysb04_01.TEI.2.text.body.div.sp.623.s.24	Men brack al heimlijck op , en zonder eenigh teken Van horen en trompet , of hut in brant te steecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.629.s.1	Gy hebt de stadt , en my geen ' kleinen dienst gedaen ; Een deught die nimmer zal uit mijn gedachten gaen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.629.s.2	Gedenck my in 't gebedt voor uw altaer ten goede .	None
vond001gysb04_01.TEI.2.text.body.div.sp.633.s.1	De lieve Jesus neeme u eeuwigh in zijn hoede .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.635.s.1	Arent zan Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.635.s.2	Gysbrecht van Aemstel : Vosmeer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.637.s.1	HEer broeder , zijt gerust , en luit van vreugt de klocken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.641.s.1	Waer is het heir ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.641.s.2	hoe verr ' waert gy het nagetrocken ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.643.s.1	Ar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.645.s.1	Omtrent een booghscheut weeghs aen geen zy Slooterdijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.649.s.1	Hoe gingh 't u op den toght .?	None
vond001gysb04_01.TEI.2.text.body.div.sp.658.s.1	Zy stoven al gelijck Voor uit , als voor den wolf een kudde onnoosle schapen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.658.s.2	Mijn volck hoefde op dien toght geweer noch eenigh wapen , En keert met rijcken buit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.658.s.3	de Kermers scheenen stom : Want hoe men 't vechten zocht , zy zagen niet eens om , En reckten vast hun padt , van dootschen schrick bezeten .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.665.s.1	Noit kraeide haen , als hem de kam was afgebeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.665.s.2	Noit baste een dogh , maer droop heel stil , als hy 't verloor , Met ingetrocken staert , en hangende ooren , door .	None
vond001gysb04_01.TEI.2.text.body.div.sp.665.s.3	Wat vogel brengtge dus geknevelt , en gevleugelt ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.672.s.1	Het is een uit de vlucht van 't vluchtige geveugelt , Gegrepen buiten dijx , daer stack hy in het slick .	None
vond001gysb04_01.TEI.2.text.body.div.sp.672.s.2	Hoe beeft hy ! 't aengezicht ziet doots en bleeck van schrick .	Fear_Emotion_BodyPart_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.672.s.3	Hy is gesleipt , gesleurt , en heeft veel smaets geleden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.1	Een woedende gemeente en staet in recht noch reden , Wenze iemant over magh .	Emotion_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.2	men brengh hem hier voor my .	None
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.3	Wie zijt gy ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.678.s.4	uit wat lant ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.680.s.1	Vos .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.1	Heer Gijsbrecht , strafme vry .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.2	Ick ben van 's vyants volck , en waerdigh om te sterven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.3	'k Heb meê gezocht uw stadt en burgers te verderven , En duizentmael verdient een schandelijcke doot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.4	Ick geef my in uw hant , geperst door hoogen noot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.690.s.5	Mijn ramp wil Kennemer en Waterlant behaegen : Maer 'k zal de doot van u met minder smert verdraegen Dan van mijn eigen volck , dat zich ondanckbaer toont , En mijn ' getrouwe dienst zoo onrechtvaerdigh loont .	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.695.s.1	Wat zijtge voor een gast ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.695.s.2	of in wat lant geboren ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.1	Ick ben een Goyers kint , vervallen in Godts tooren , Te Laren opgevoedt . 'k ontliep mijne oudren vroegh .	Emotion_Anger
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.2	Mijn vader vielme hardt , want ickme paslijck droegh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.3	'k Heb al mijn leven langh gevolleght vreemde heeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.4	En buiten moeten 't geen ick t'huis niet woude leeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.5	De bittere armoe heeft mijn herssenen gewet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.6	'k Heb menigh stuck verziert , en 't lijf daer na gezet , Om door een braeve daet of aenslagh op te raecken , En door een anders scha eens mijn fortuin te maecken !	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.7	Maer altijt heeftze my den rugge toegewent ; Doch noit zoo dwers als lest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.8	Godts schickinge , ick beken 't Is stercker dan de mensch , of zijn geboortestarre : En of ons brein iet bouwt , zy stoot het al om verre , En gaet een andren gangk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.9	met wat een listigheit , Met wat een ' rijpen raet was d'aenslagh aengeleit , Om te vermeesteren uw lang bestormde muuren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.10	Zoo Vosmeer naar zijn ' zin dat schip had mogen stuuren , Gelijck het by hem lagh , zy hadden , het is waar , Gewonnen in een uur door list , dat in een jaer Door uiterlijck gewelt noch stormen wert verovert .	None
vond001gysb04_01.TEI.2.text.body.div.sp.719.s.11	Het schijnt dat d'oversten verblint zijn en betovert .	None
vond001gysb04_01.TEI.2.text.body.div.sp.723.s.1	Sta op en heel my niets van alles wat gy weet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.1	Nu ben ick immers vry van Hollants dieren eedt , En Egmont kan my hier niet heeten of verbieden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.2	Hy dreigtme met de doodt , en perstme hier te vlieden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.3	Mijn aenslagh is misluckt , en ydel en onnut .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.4	Heer Gyzelbrecht , gena .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.5	ick geef my in uw schut .	None
vond001gysb04_01.TEI.2.text.body.div.sp.735.s.6	Gy kuntme , wiltge slechts , een vrient en vader strecken , Naerdien ick u 't verraet volkomen wil ontdecken , En hoe 't geschoren lagh , in 's krijghs geheimen raet , Tot ondergang van u , en uwen heelen staet .	None
