hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. Hoofts spel van ‘ Achilles en Polyxena ’	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.13	Lichamelijcke crijch , verwin van volck en rijcken , En d ' oorloch vant gemoedt malcander niet gelijcken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.14	Wie deet den Hercules oijt nutte wederstant ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.15	Omphale compt en neempt sijn wapens wt de hant , Die mette vrouwen const de spille draijen leerde , Die ganse rijcken corts het onderst boven keerde !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.16	Maer alst u wille was , Cupido , grote Ghodt , Dat ick oock werden most in uwe min versot , Hoe onderwerpt ghij niet aen sulcken vrou mijn sinnen , Die ' ck sonder achterdeel der Griecken mochte minnen ?	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.17	Waerom maect ghij mij slaeff van mijne vijandin , Die mij so dootlijck haet als ick haer hertlijck min ?	Emotion_EmotionalAction_Hatred_BodyPart_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.18	In wat manier sal nu Achilles troost verwerven , Die , soo hijt niet en crijcht , moet troost-gebreckich sterven ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.19	Wat sal ick dan ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.20	Te hulp aen die van Troijen gaen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.21	De Princen , die ick swoer , verlaten en verraen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.22	Want hoe sal Pyramus sijn dochter kunnen geven Aen eenen , die hem staet na eer , nae lant , nae leven ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.23	De Goden jonnen ons wat beters .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.24	Hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.25	daer sijn Wel ander middelen , niet oneerlijck voor mijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.26	Automedon !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.862.s.1	Automedon	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.864.s.1	Mijn heer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.1	Terstont moet ghij gaen binnen De stat den outsten soon van Priamus gaen vinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.2	En segt hem wt mijn naem : Achilles wensch hem , dat Hij lang voorspoedich leeff tot welvaert van sijn stat .	Emotion_Benevolence
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.3	Daer nae verhaelt hem , wat ick om sijn suster lije .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.4	Indien hij in den noot mij daer mee wil verblijen , Ick sal de Griecken van het oorloch aff doen staen , De Princen en het volck altsaemen scheep doen gaen , En t ' Argos tot haer vrou en clene kinders keeren , Die , t ' sijn al negen iaer , haer wedercoompst begeren .	Joy_Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.5	Indien hij mij voldoet en laet mijn wens geschien , Op dees manier alleen is t ' ongeluck te vlien , Dat Troijas hovardij van godt heeft te verwachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.6	U bootschap wel wilt doen , en ras te keren trachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.912.s.7	En brengt mij twijffelachtig antwoort in mijn tent .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.1	Ick gae terstont , mijn heer , daer ghij mij heenen sent .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.2	Tes wonder , dat d ' aldergroothertichst capitaijnen , De mannelijckste mans , hun selven soo verkleijnen , Dat sij haer eel vernuft en overgrote geest , Die van een ijder wert verwondert en gevreest , Dick onderworpen aen een vrouwe slecht en teeder .	Fear_Emotion_Wonder
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.3	Bryseis was het laetst , Polyxena ' ist nu weder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.4	De cloeckste jongeling , die nu het aertrijck draecht , Was slaeff van sijn slavin ; nu is hijt van een maecht , Die hem voorseker met meer plagen wenscht beladen Als Xanthus visschen heeft en t ' bos van Ida blaeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.955.s.5	Het daecht te met en ick ben aen de mueren schier .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.1	1 .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.2	Handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.3	2 .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.957.s.4	Wtcomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.958.s.1	Wacht op de Muer	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.960.s.1	Wacht	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.962.s.1	Wies daer ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.971.s.1	De Coning van Tessalijen sent mij hier , En moet mijn bootschap niet dan Hector selfs wtleggen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.978.s.1	Indien ghij wat vertoeft , men salt hem aen doen seggen .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.979.s.1	Automedon tot Hector op de muer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.1	Grootmoedich Prins , die sijt u ' svaders rijck pijlaer , Sonder wiens rechter hant de stat lang t ' onder waer , De soon van Thetis , die snel loopt al hadt hij wijecken , Die sent mij wt het heijr van de geleersde Griecken , En wenscht u , dat ghij lange leeft en tegelijck Geluckelijck beschermt u out toecomend Rijck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.2	t ' Sint dat u moeder laest de godt van Delos eerde Met kostel offerant , en Troijens heijl begeerde , En dat Polyxena met haer ten outaer quam , Ontstack den helt sijn hert met sulcken heten vlam , Dat lijeft tot jacht en crijch , dien hij te voren eerde , Altsaem in teeder lijefd ' van dees Princes verkeerde .	Emotion_BodyPart_BodilyProcess_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.3	Al ander oeffening geslagen wt sijn sin , Doet niet dan maelen in sijn ongemeeten min , In welcke lijefd ' hij wenscht genietend te volharden Tot dat vant lichaem sal sijn siel geschieden werden , Loont hem Polyxena maer met gelijcke brant .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1062.s.4	Nu staet het gans geluck van Troijen in u hant : Indien gh ' Achilles niet van haer en gaet versteecken , Hij sal de griecken van de mueren op doen breecken ; So blijft u vader out en broeders in haer loff , En achter 't tiende jaer salt edel rijcke hoff Van Pryamus in fluer noch blijven en verblijen , Dat swaerlijck wert gedraeijcht van vele prophesijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1065.s.1	Hector	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.1	Ick wens den Mirmidoischen Prins groot van gemoet Sijns lijffs genieting tot vergelding van sijn groet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.2	Achilles ick beloof mijn suster te vereeren , Indien hij 't griexse heijr niet wil terug doen keeren , Maer levrent in ons macht en helpent selfs verslaen , Dat niemant over blijff diet mach vertrecken gaen , Dat Griecken nimmermeer dees aenslach en mach prijsen ; Off Atreus neven selffs den wech ter hellen wijsen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.3	Die doden met sijn hant , tot voorstant van ons saeck , En eeren troijen met een hooch verdiende wraeck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.4	Indien hij een voldoet van beyde dese dingen , Soo gaet hij alle die oijt troost van Lieffd ontfingen Te boven in geluk , en crijcht mijn suster cuijs , Laomedons geslacht , vant out en edel huijs Van Dardanus wt Jovis godlijck saet gesprooten .	Emotion_Happiness
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.5	Aldus sij werden mach van hem alleen genooten , Maer op geen ander wijs wint hij dees teeder maecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1124.s.6	Dies tot sijn tente keert , en hem dit antwoort draecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1125.s.1	Gesproken hebbende gaet binnen Hector .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.1	Spijtijge tijding sal dit voor Achilles wesen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.2	De wont int t ' hoge hert is so niet te genesen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.3	Die nummer t ' winnen socht dan ridderlijck , soud ' hij Sijn lust soecken te boeten door verraderij ?	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.4	Ick weet wel , dese smaet van Hector sal hem quellen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.1146.s.5	Ick sal hem niettemin het gansche stuck vertellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1148.s.3	3 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.1	Automedon , wat nieus ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.2	brengt ghij ons goet geluck ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.3	Wat antwoort Hector ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1153.s.5	vertelt mij t ' ganse stuck !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1182.s.1	Hector , een oorsaeck meest van alder griecken schaden , Wil , dat ghijt leeger off de Princen sout verraden : Hun levren t ' ganse heijr , en helpent moorden fel , Off senden met u hant d ' Atrijden nae den hel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1182.s.2	En doet ghij geen van beij , en slaat sijn eijsch geen acht , Ghij sult Polyxena tot uwen loon verwerven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1182.s.3	Dan , doet ghij geen van beij , en slaat sijn eijsch geen acht , So set sijn suster vrij ( seyt hij ) wt u gedacht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.1	Hoe nu verwaende Prins ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.2	de moedichts van de greecken Durfft ghij die van verraet ( ô sot hovaert ) aanspreecken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.3	Verwaentheyt ongegront schaet niemant dan haer heer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.4	Mijn ongemeten hert , dat niet en acht dan eer , Soud ' die stellen ter neer , en laten sich verwinnen Van Venus blinde kindt , en t ' onversichtich minnen ?	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.5	In geen manier , al most ick derven schoon mijn vrow !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.6	Voor wellust gaet mijn eer , mijn eer hangt aen mijn trow .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.7	Dees hant ( ick sweert de goôn ) sal u ter hellen stueren , Dees hant ( ick sweert de goôn ) vernielen sal u mueren , Dees hant ( ick sweert de goôn ) sal binnen corten tijt Gevancklijck leijden t ' pandt , daer ghij dus trots mee sijt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.8	Sijt ghij van godlijck saet , gelijck men gaet versieren , Die min dan menschlijck sijt , en meer gelijct de dieren , Van laech gemoedt , niet waert noch datment acht off eert ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.9	Hoement meer heusheyt doet , hoe dat het meer begeert .	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.10	Een edel hooch gemoedt meer dan gemeensche sinnen Laetet hem nummermeer in heusheyt overwinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.11	O vreemde brant des Mins !	Emotion_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.12	so lichtlijck men wel spreect Van u te bluschen wt , gelijcmen u onsteect , Maer swaer ist inder daet u wt het hert te scheijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.13	En t ' swaerste dat ghij hebt in u ist lang verbeijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.14	O , die met u gesicht beschaemt de Sonne claer , Elck wr t ' sint ick u sach dunct mij wel duijsent iaer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.15	ô Venus !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.16	geeft mij raet in mijn verwarde sinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.17	Verschoont indien ick sot laster de wijse minne !	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.18	Jivoren aengesicht , soo ghoddelijck geteelt , Jae schoonder als het schoonst , dat schoonheijt sich voorbeelt , Alleen van godts geslacht , cieraet van onse tijen , Cupidoos hoochste roem , al Venus hoverdie !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.19	Achilles , wel , hoe nu ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.20	ist dit dat u betaempt ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.21	Ghij droecht een vrouwen cleet , als ghij ter oorloch quaempt , Door uwe moeders vrees , dat ghij alhier zou blijven .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.22	Nu gh'lijckt ghij niet int cleet , maar int gemoedt de wijven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.23	Tot noch toe hebdij dan int oorloch cloeck gewrocht En menich strijtbaer helt gewapent omgebrocht , Ontallick volck gedoot , en nae des crijchs manieren Den hel van borgers , en van spijs versien de dieren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.24	Tot noch toe hebdij dan meer nae t ' verhart gevecht Dan enich capiteijn winteeckens opgerecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.25	Tot noch toe dan u naem verseekert voor het sterven Om met een sotternij dat alles te bederven ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.26	d ' Onsterfflijckheyt ws naems , daer ghij so veel om leet , Met moeijt en arbeijt street , bestoven en besweet !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.27	Hoe sijdij dus verkeert ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.28	al t ' beestelijck leijt boven En 't godlijck van u aert verwonnen en verschoven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.29	Achilles naem , daer elck met sulck ontsich van sprect , Sal die nu werden met verraderij bevlect ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.30	Ick sweert : in geen manier , maer sal gaen openbaren Hectors verwaentheijt sot , en 't ganse stuck verclaren Aen Atreus neven beij , diet aldermeest gaet aen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1343.s.31	Soo valt de trotse stadt , en blijft mijn eere staen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1345.s.2	Handelingh .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1345.s.3	4e Wtkomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1347.s.1	Chooren	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.1	Choor 1 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.2	O wonderlijcke strijt in ieuchdelijcke sinnen , Moeijlijck eergiericheijt , en sachte brant van minnen !	Emotion_BodilyProcess_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.3	Wie van u beijden hier de grootste sijn van cracht , Besloot noijt sterfflijck mensch wel vast in sijn gedacht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.5	Seer dickmaels windt de Min , en dicmael , ist niet wonder , Brengt d ' eerst verwonnen eer weer sijn verwinner t ' onder .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.6	De eer belooft een lust , daer niemandt aff en grijst , En t ' geen de minnaer lieft , alleen de minnaer prijst .	Emotion_BodilyProcess_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.8	Dat al de werrelt prijst , can niet veel waerdich wesen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.9	Meer dunct mijn t ' geen dat een off twee prijst waert gepresen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.10	Ghewoont bedriechter veel , en ander redens schijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.11	d ' Oprechte oordelaers ter werrelt selsaem sijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.12	4 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.13	De Princen groots , waer in de volcken haer vertrouwen , Waer aen de werrelt hangt , altsaem aan d ' eer haer houwen , En achten die veel meer dan al haer rijck en staet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.14	Maer welcke Prins was noijt Cupidoos ondersaet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.15	5 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1432.s.16	Gheluckich is hij dan , diet hem niet laet verdrieten Te strijden voor sijn eer , en lijckwel mach genieten De gave van de Min. Maer sijn geluck is quaet , Diet nodich is dat hijt een om t ' ander laet .	Emotion_Happiness_Love
hoof001achi01_01.TEI.2.text.body.div.div.head.1435.s.2	Handelinge .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1435.s.3	5e. Wtcomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1436.s.1	Menelaus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1436.s.2	Agamemnon .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1436.s.3	Achilles .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1438.s.1	Menelaus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1448.s.1	Dattet Autumedon te kennen geeft , wel goet is , Hoe wel dat Thetis soon eerlijck en hooch van moet is .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1448.s.2	Want wie weet niet , wat dick de minne doet bestaen .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1450.s.1	Agamemnon	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1457.s.1	Maeckt niettemin geensins hier van bij hem vermaen , Want twijfel van sijn trouw grootlijxs den Prins sou quellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1482.s.1	Daer sijn de broeders baij , ick gaet haer nu vertellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1482.s.2	Geluck ion u Jupijn en een lang levens tijt , Ghij , die vant griexse heijr veltheer gekozen sijt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1482.s.3	De vreemde hoverdij en smadelijck begeeren , Dat Hector op mij doet , die doet mij tot u keeren .	Emotion_Greed_Pride_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1490.s.1	Wat sotternij ist nu , daer in ons vijant dwaelt ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.1	De cracht van Venus kindt onnodich is verhaelt , Die hij gaet alle daechs in volck en Princen tonen : Hoe weijnich hij de goôn des hemels gaet verschonen , Hoe cleijn ontsich hij voor sijn eijgen moeder heeft .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.2	Der ghoden Coning selfs , voor wien het aartrijck beeft , Doorschiet hij , en gaet hem daer in niet meer beswaren , Off maiestaijts quetsuer gans geen misdaet en ware .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.3	Gheen wonder isset dan , soo de Peruicque blont , T ' welriekent haar , getoijt met een wtheemsen vont , Daer bij Polyxenaes snee wit en teder handen , Achilles sin en hert leyden in vaste banden , Ghelijck gh ' altsaemen weet , want wijst mij doch den man , Diet t ' heet verteerend vier bequaem verbergen can .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.4	Door laste van dees Min , van wien ick ben gebonden , Heb ick Autumedon tot aen de stat gesonden Met al eerbiedicheyt , en huesheyt onverdient , Ghelijck een Prins beleeft soud ' senden aen sijn vrient , Om Hector wt mijn naem nae deese maecht te vragen .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.5	Den welcken soo hij sant , ick loofde Troijas plagen Te weren van haer muer , en endigen den twist , Daer negen iaren in alreede sijn verquist .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.6	Maer wat doet Hector ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.7	hij , in plaets van te bekennen De weldaet dieck hem doe , gaet mij den antwoort sennen ( Ick raes , ô grote schant !	BodilyProcess_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.1568.s.8	): Achilles moet verstaen , Dat hij de Princen , en sijn crijsluij sou verraen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.1	Grootmoedich Coning , hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.2	is Hector niet gesworen Ons vijandt totter dootç gaet ghij u daer aen storen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.3	Tracht nae een wreede wraeck ; troost daer me t hooch gemoet ; Wij sien , hoop ick , wel haest de stat onder de voet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1590.s.4	Laet Hector dan alleen sijn suster u onthouwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1603.s.1	Polyxena met al d ' ander troijaense vrouwen Sal binnen corten tijt wel vallen in ons hant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1603.s.2	Waer toe het smeecken dan , oft ruijmen slecht met schant ?	None
