stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of De verovering van het Mogolsche ryk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.sp.252.s.1	De dartle Mahomet , verschrikt , van laffen aart , Door vleijers dwaas bestierd , des legerstafs onwaard ' , Veel meer in weelde dan in oorlogskunde ervaren , Weêrstreeft my met een heir van moedelooze scharen ; Ik toog den Industroom , zelfs zonder tegenstand , Reeds over ; Lahor is verwonnen ; 't gantsche land Met 's vyands bloed bedekt : maar om myn legervanen Een ' weg rot in het hart van Indostan te banen , Word kloek beleid verëischt , niet min dan krygsgeweld .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.252.s.2	De roekeloosheid is geen kenmerk van een ' held .	None
stee033tham01_01.TEI.2.text.body.div.sp.252.s.3	De keizer , in zyn heir begraven met zyn grooten , In zyn verschansing door myn benden ingesloten , Beroofd van toevoer , word , hoe listig hy 't verbloemt , Van hongersnood gedrukt ; hy is ten val gedoemd : Maar eer myn strydbaar volk , door ons met wisse schreden Op 't glibbrig spoor van eer stoutmoedig voorgetreden , Die laffe menigte in haar sterkte zal verslaan , Moet haar de hongersnood ten deele doen vergaan : Of zo de vyand zelf , tot weering dier elenden , Een ' aanval durft bestaan op onze legerbenden , Dan wacht , in 't open veld , het Persiaansche staal Op 't onbedreven heir een vroeger zegepraal .	None
stee033tham01_01.TEI.2.text.body.div.sp.264.s.1	Gy zult u hier , niet min dan op de Agwanen , wreken .	None
stee033tham01_01.TEI.2.text.body.div.sp.264.s.2	De vorst van Indostan , die zyn verbond durft breken , Die door hoogmoedig schrift u eerst vermetel hoont , Die thans , in 't midden van zyn krygsmagt , vrees betoont , Wien veel geringer tal van benden kan vertsagen , Die eerelooze vorst verdient de wreedste plagen : Ja , in zyn laf bestaan , is 't hem te groot eene eer , Dat hy zyn straf ontfang ' door 't Persiaansch geweer .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.300.s.1	Uw drift , uw jeugdig hart voert u van 't spoor der reden : De keizer Mahomet heeft roemenswaarde zeden : Verächt hem niet te veel ; beklaag zyn ' tegenspoed .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.2	Indien ik ware , als hy , in wellust opgevoed , Gewoon in wulpsche pracht , in dartelheid te leven , En aan een vleijend hof een dwaas gehoor te geven ; Ik zou , niet min dan hy , hoogmoedig , ontrouw , laf , Een zwak beschermer zyn van kroon en legerstaf .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.3	Zyn voorspoed is te groot , en maakt hem onvermogend .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.4	Die ryksbestierder , hoe verbasterd , is meêdoogend , Tot weldaên steeds geneigd en tot vergiffenis , Zoverr ' zelfs , dat zyn hart hierin te deugdzaam is .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.5	Geen snoode wraakzucht heeft vermogen op zyn zinnen : Hy poogt door dwinglandy geen schatten aan te winnen : Hy zou min keizer zyn , dan vader , op zyn ' troon , Indien hy , min geluks , meer tegenspoeds gewoon , Zich had geöefent in 't bestieren van zyn staten , En min vermogen aan zyn vleijend hof gelaten .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.sp.300.s.6	De vleitaal baart den val van 't volkryk Indostan , Schoon Nizamëlmoluk , in spyt van Alikan , Uit zucht voor Mahomet , voor 't heil der onderdanen , Dien dwazen keizer in oprechtheid durft vermanen , Hem toonen dat zyn magt , hoe groot , niet kan bestaan , Indien hy weigert op zyn staten acht te slaan , En dat , hoe meer hy is in waardigheid verheven , Hoe meer hy is verpligt voor land en volk te leven .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.7	Dien vorst , met al zyn heir , alsöf hy feestdag viert , In blinkend praalgewaad uitsporig opgesierd , Aan 't krygsvuur ongewoon , verzeld van all ' zyn vrouwen , Dien vorst moet Indostan den legerstaf betrouwen ; Den lafsten opperheer , die door onwetendheid Ontelbre benden hier ter slagting heeft geleid .	None
stee033tham01_01.TEI.2.text.body.div.sp.309.s.1	Uw Persianen , die , door heldenmoed bewogen , Ter wisse zegepraal in 't krygsveld zyn getogen , Bedreven in den stryd , ten oorloge opgevoed , Verwachten meer geluks van uw beleid en moed .	None
stee033tham01_01.TEI.2.text.body.div.sp.309.s.2	Wy zien uw dappre vuist , gewoon te triomferen , Welhaast met weinig volks gantsch Indostan verheeren .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.1	'k Had met dit kleene heir myn ' toeleg niet bestaan , 't En zy myn vyand door zyn grooten waar ' verraên , Die , toen myn arm zich op de Agwanen had gewroken , My noopten in dit ryk het oorlogsvuur te stoken .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.2	Zy hebben trouwloos my hunn ' bystand aangeboôn , Opdat ik Alikan verhieve op 's keizers troon .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.3	Die snoode voorwaarde is door my niet aangenomen : 'k Heb echter hen misleid , om tot myn wit te komen .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.4	Uit schandlyk zelfbelang heeft trouwlooze Alikan , Arglistig ondersteund van al zyn vloekgespan , Zyn ' keizer , om 't verraad door myn beleid te styven , De grootste feilen van een ' veldheer doen bedryven .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.5	Maar de aanslag is vergeefs : 't Mogolsche ryksgebied , Al baat my de ontrouw , is voor dien verrader niet .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.6	Zyn gruwzaam wanbedryf zal hem in 't kort berouwen .	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.head.328.s.1	Tweede tooneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.330.s.1	Nadir , Nasser , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.332.s.1	Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.338.s.1	Myn vorst , uit 's vyands heir zyn twee Mogolsche vrouwen Hier aangekomen : zy , naar 't schynt van hoogen rang , Begeeren u te zien ; een zaak van groot belang , Die allen spoed verëischt , aan u bekend te maken .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.338.s.2	Ik deed haar , op haar beê , tot aan uw tent genaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.343.s.1	Gelei de vrouwen hier .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.346.s.1	Nadir vervolgt , terwyl Malek vertrekt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.348.s.1	Wat ongemeen geval !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.1	Verwonderd , weet ik niet wat ik vermoeden zal .	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.2	Wat staat ons , heil of ramp , uit deze komst te wachten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.3	Twee vrouwen in uw heir !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.354.s.4	't Verbystert myn gedachten .	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.head.356.s.1	Derde tooneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.358.s.1	Nadir , Nasser , Milko , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.360.s.1	Milko .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.1	ô Nadir !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.2	op 't gerucht van uw grootmoedigheid , Niet minder dan uw moed door Azië verbreid , Durft zich een tedre vrouw een ' toeleg onderwinden , Dien ieder waerelddeel zal zonder weêrgaê vinden ; Een ' toeleg , die welhaast myn dierbaar vaderland Ten val rukt , of herstelt in zyn ' alöuden stand .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.3	Gy zult , hoe hoog geroemd door steeds te zegepralen , ô Held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.4	op dezen dag den grootsten lof behalen , Indien uw zelfbelang voor uwe deugden zwicht ; Zo ge iets bestaat , dat nooit een koning heeft verricht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.5	Het Indostansche heir heeft , voor ontelbre monden , Gebrek aan spyzen ; 't word van hongersnood verslonden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.6	Men slagt , ( ô yslykheên ! ) men slagt verwoed elkaêr ; Elk krygsknecht word , uit nood , zyn ' spitsbroêrs moordenaar , Daar 't ros , daar de elefant ons moet ten voedsel strekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.7	Men durft het noodige aan den keizer zelv ' onttrekken ; Ja , onder 't muiten van eerbiedigheid ontbloot , Als hy misnoegen toont , hem dreigen met de dood .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.8	De keizerin , voorlang door wanhoop aangedreven , Bragt , ondanks onze zorg , in 't heimlyk zich om 't leven .	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.9	In wanörde , in gebrek , in woede , in moordgekerm , Zal haast , 't en zy uw gunst zich over ons erberm ' , De zware hongersnood ons gantsche heir vernielen .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.386.s.10	Weer , weer dat onheil ; toon wat deugden u bezielen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.1	Mevrouw , uw stout bestaan verbaast me : gy alleen Beschaamt en vorst en volk : uw moed is ongemeen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.2	Gy noopt my , dat ik u de grootste gunst bewyze , Myn staatzucht overwinn ' , myn ' vyand spare en spyze !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.3	Gy vreest hier geen gevaar !..	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.4	Door uw heldinnedaad Bewyst ge uw zuivre trouw voor uw ' gedreigden staat , Terwyl een talryk heir zichzelf geen ' weg durft banen Door minder benden heen , zich schandlyk baad in tranen .	Emotion_BodyPart_BodilyProcess_Loyalty_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.5	Indien gy waarheid spreekt , dan toont my uw verhaal , Dat ik , zodra 't my lust , onfeilbaar zegepraal , En dus verhinder dat ontelbre legerscharen , Door hoogen nood geperst , door 't staal zich 't leven sparen : Gy stelt , zo gy niet veinst , grootmoedig in myn hand Den ondergang en 't heil van vorst en vaderland , Verwacht een wonderdaad , en toont me een gaadlooze achting .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.6	'k Zou , tot myne eer , misschien voldoen aan die verwachting , U toonen dat myn deugd voor myn belang niet zwicht , Ja iets bestaan , dat nooit een koning heeft verricht ; Indien een vyandin , die , verr ' van my te vreezen , My 't grootst geheim betrouwt , my niet verdacht moest wezen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.411.s.7	'k Verdiende , in plaats van roem , door lichtgeloovigheid , De schande , dat een vrouw myne eerzucht had misleid .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.1	Myn vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.2	kan haar verhaal u achterdocht verwekken ?	Suspicion_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.3	Hoe !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.4	zou een logen haar tot voordeel kunnen strekken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.5	Gyzelf hebt my gemeld , dat 's vyands legermagt , Beroofd van toevoer , is tot hongersnood gebragt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.422.s.6	Vergeef my , dat ik u te stout durf tegenspreken , En uit meêdoogendheid voor eenen vyand smeeken , Wiens hoogmoed is verneêrd , en die , door u behoed , U de eischen toe zal staan , die gy rechtmatig doet .	Worry_Emotion_EmotionalAction_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.1	De tranen , loos gestort uit twee bekoorlyke oogen , Verwekken in uw ' geest een spoedig mededoogen !	Emotion_BodyPart_BodilyProcess_Compassion_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.2	Een schoone heeft op u veel magts door veinzery !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.3	Bedwing uw driften , prins ; betrouw de zaak aan my .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.4	Mevrouw , dat ge inderdaad u zoud een gunst beloven , Die nimmer weêrgaê vond , gaat myn begrip te boven : Men vleit zich niet zo licht : gy durft te veel bestaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.5	'k Zou aan uw ' hongersnood in 't minst geen twyfel slaan , Ja , zonder dat men 't meldde , uw groot gevaar vermoeden , Deed uw verhaal my niet het tegendeel bevroeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.6	Zoud gy , betrouwende op myn goedheid , onbedacht My melden , dat uw volk elkaêr wanhopend slagt ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.7	Dus , met een wisse hoop op uw bederf , my streelen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.8	Moest gy , uw ' vorst getrouw , niet voor een ' vyand helen Dat uw rampzalig heir , door dezen ommekeer , De magt benomen is tot alle tegenweer ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.9	Vergeefs verbergt ge my den grond van uw gepeinzen : Uw list bedriegt my niet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.10	Waartoe dan meer te veinzen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.11	Zeg , dat uw leger , door geen ' hongersnood ontrust , Van woede , binnenkryg , noch doodsgevaar bewust , My hoopt met meer geluks te weeren , dan voordezen , Zo uw gewaande nood my zorgeloos doet wezen .	Emotion_Hope_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.12	Op welk een ' zwakken grond uw hoop ook steune , ik vind Dat ge op dien voet alleen u 't veinzen onderwind .	Emotion_Hope
stee033tham01_01.TEI.2.text.body.div.div.sp.452.s.13	Maar denk niet dat ik ooit , door min voor my te waken , Myzelven krachteloos , uw ' keizer sterk zal maken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.2	zyt gy Nadir , door gantsch Azië vermaard , Wiens edelmoedigheid alöm verwondring baart ?	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.3	Gy , die u menigwerf in bloed , in tranen baadde , Gaat met uw zelfbelang , niet met uw deugd te rade , Ja toont lafhartigheid , terwyl ge my betigt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.4	Den minsten krygsknecht zou , ware onze nood verdicht , 't Verbreiden van die maar ' veel meer dan my betamen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.5	De groote Nadir moest der veinzery zich schamen .	Emotion_Shame
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.6	Gy houd my niet verdacht : uw oogmerk blykt my klaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.7	Bedien u schandlyk van ons jammerlyk gevaar ; Bestry een weerloos heir ; verdubbel onze elenden ; Voldoe uw ' wreeden lust ; moord onze legerbenden ; Verniel gantsch Indostan door uw bloeddorstig staal ; Veins geen geloof te slaan aan myn oprecht verhaal ; Bedek uw schande dus ; zorg dat uw moord den luister Van uw geveinsde deugd niet t'eenemaal verduister '; Opdat de waereld waan ' dat gy door heldenmoed , Niet uit lafhartigheid , op 't weerloos leger woed .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.8	Rampzalig vaderland ! 'k heb u , uit roekeloosheid , Om uw behoudenis , gelevert aan de boosheid , U alle hoop ontrukt van ooit door heldendaên , Uit eedle wanhoop , van uw ' vyand u te ontslaan .	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.480.s.9	'k Gevoel , door deze daad , een knaging my bestryden , Die , in uw ' zwaren druk , my feller smart doet lyden .	Emotion_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.1	Wat hatelyk verwyt !	Emotion_Hatred
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.2	Gy acht my wreed en laf !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.3	Gy hoont my !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.4	Deze taal verdient een zware straf .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.5	Maar , ben ik laf en wreed , ik zal 't voor u niet wezen : Van myn gevoeligheid staat u geen ramp te vreezen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.489.s.6	'k Zal Nizamëlmoluk uit 's keizers heir ontbiên : Zie , zie dan hoe ik my van uw gevaar bedien ' .	None
stee033tham01_01.TEI.2.text.body.div.div.head.491.s.1	Vierde tooneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.493.s.1	Milko , Nasser , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.1	Mevrouw , wees niet beducht : uw groote moed bevredigt Den vorst niet minder dan uw argwaan hem beleedigt : Zyne edelmoedigheid , die gy in twyfel slaat , Ten zwaren toets gesteld door uw heldinnedaad , Zou minder in zyn ziel voor uw belangen spreken , Zo hem , zelfs door 't verwyt , uw moed niet waar ' gebleken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.2	Zyn aart is my bekend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.3	Begeert ge dat zyn zoon Met uw rampzalig ryk meêdoogendheid betoon ' ?	Emotion_Compassion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.4	Het staat aan u alleen : gebie : 'k zal u vernoegen ; Uit yver voor uw heil myn beê by de uwe voegen ; Uw vorst , uw legermagt , uw schreijend Indostan , Zolang 't myn glorie duld , beschermen waar ik kan .	BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.513.s.5	Maar eer ik iets verricht ' , verwacht ik , tot belooning Van myn beloftenis , een kleine gunstbetooning : Betrouw my één geheim ; ontdek uw ' naam aan my : 't Is billyk dat ik weet ' voor wie myn bystand zy .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.1	Gy toont uw deugden , prins , door edel mededoogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.2	Uw bystand zal , voor ons , by Nadir veel vermogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.3	Maar uw grootmoedigheid , die my verwonderd maakt , Die u in yvervuur zelfs voor uw ' vyand blaakt , Zou , zo myn weigering van u myn ' naam te ontdekken U eenigzins weêrhield , u tot geen glorie strekken .	Emotion_Wonder
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.4	Ik eisch niet voor myzelve een overtuigend blyk Van edelmoedigheid , maar voor 't Mogolsche ryk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.526.s.5	Ik zal , op uw bevel , myn ' naam voor u niet helen , Zodra gy waardig zyt in myn geheim te deelen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.535.s.1	Mevrouw , indien uw rang uw fierheid evenaart , Dan word gantsch Indostan misscheen om u gespaard , En , door een huwlyk van twee dierbre vredepanden , Aan Persië verknocht met onverbreekbre banden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.535.s.2	Ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.535.s.3	zo u 't vaderland naar eisch ter harte gaat , Verberg my geen geheim , waarin myn hoop bestaat .	Worry_Emotion_Hope_BodilyProcess_Loyalty
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.1	'k Heb u verstaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.2	Gy poogt de deerniswaarde elenden Uit enkle baatzucht van ons leger af te wenden .	Emotion_Greed
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.3	Is dit meêdoogendheid ?	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.4	De hoop op heldenvreugd , Op eeuwigdurende eer , op 't waardig loon der deugd , Dat aan een groote ziel onfeilbaar is beschoren , Behoorde u voor ons ryk tot bystand aan te spooren .	Joy_Emotion_Pride
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.5	Ach , prins !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.546.s.6	zo u de deugd naar eisch ter harte gaat , Ontzeg my dan geen hulp , waarin myn hoop bestaat .	Worry_Emotion_Hope_BodyPart_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.1	Uw driftige achterdocht , mevrouw , is onrechtvaardig : Myn pligt is my veel meer , dan myn belangen , waardig .	Suspicion_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.2	Ik zal uw ' eisch voldoen ; en al de minnesmart , Door uw bekoorlykheên veröorzaakt in myn hart , Kloekmoedig wederstaan , ja trachten te overwinnen , Totdat uw rang my blyke , en ik u mág beminnen .	Emotion_BodyPart_Love_Sadness_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.3	'k Heb reeds genoeg bespeurt : uw fiere weigering , Die hooggeboornen voegt , verbant myn twyfeling .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.4	Vaarwel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.560.s.5	Ik zal niet weêr voor uw gezigt verschynen , Eer de yver , die my blaakt , uw wantrouw doe verdwynen .	Suspicion_Emotion
stee033tham01_01.TEI.2.text.body.div.div.head.562.s.1	Vyfde tooneel .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.564.s.1	Milko , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.566.s.1	Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.577.s.1	Prinses , wy zien eerlang , misleid myn hoop my niet , Door 's vyands deerenis een einde aan ons verdriet , Ons heir van hongersnood , van onverdraagbre plagen , Het weerloos vaderland van oorlogswoede ontslagen , Ten eenemale in rust , in magt , in eer hersteld , En u in echt veréénd met dezen jongen held .	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.577.s.2	Zo zal ons ongeval u tot geluk verstrekken , U aan de minnedrift van Alikan onttrekken , U paren met een ' prins , die , door eene eedle daad , Zoveel uw min verdient , als Alikan uw ' haat .	Emotion_Hatred_BodilyProcess_Love_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.1	Ja , 's keizers gunsteling , Semire !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.2	doet my gruwen : De vorst poogt my vergeefs aan Alikan te huwen , Aan 't yslyk vloekgedrocht , dat , met een trouwloos feit , Met ryksverraad betigt , arglistig vrygepleit , Op zyn betigters , wier getrouwheid is gebleken , Zich fel gewroken heeft door zyn verwoede treken .	Emotion_Disgust
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.3	Maar spreek my van geen liefde : in dezen droeven stand Behaagt my niets , dan 't heil van 't kermend vaderland , ô Ongelukkig vorst !	HeavyHeartedness_Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.4	ô kwynende onderzaten !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.5	ô Dierbaar Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.6	mogt u myn bystand baten !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.593.s.7	Ik ben geheel voor u : 'k zou , in uw doodsgevaar , Kloekmoedig meer bestaan , indien 't my mooglyk waar ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.600.s.1	De nicht van Mahomet , uit keizerlyke looten , Uit Tamerlans geslacht , uit Aurengzeb gesproten , Rechtäarde Milko geeft , door onnavolgbren moed , Een overtuigend blyk van haar doorluchtig bloed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.1	'k Heb geen gevaar ontzien , om heimelyk te vluchten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.2	Waar heen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.3	Naar 's vyands heir , daar 't all ' my staat te duchten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.4	Wat kan een vrouw bestaan door klagten , door geween ?	Emotion_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.5	Myn moed is groot genoeg ; maar ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.607.s.6	myn magt te kleen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.614.s.1	Gy zult door fiere deugd op Nadir meer vermogen , Meer winnen op zyn ' zoon door twee bekoorlyke oogen , Tot heil van 't zuchtend ryk , dan ooit , door wapenkracht , Ons heir verrichten kan op 's vyands legermagt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.1	Ik weet , schoon Nadir , trots , vermetel , ongenadig , Door dolle wraak vervoerd , afgryslyk wreed , moorddadig , Wanneer zyn gramschap woed niets in het leven spaart ; Dat echter menigwerf zyn edelmoedige aart Zyn grimmigheid weêrhoud ; dat hy , door deugdbetooning , Den scepter meer verdient dan zyn onttroonde koning : Zyn wreede oploopendheid , zyn misdryf baart hem smart ; Maar de edelmoedigheid is eigen aan zyn hart .	Emotion_Sadness_Anger_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.2	Geen ' snooden Alikan , afkeerig van de vrede , Ontbied hy , in zyn heir , uit onze legerstede ; Maar Nizamëlmoluk , een ' loflyk ' onderdaan , Die , Mahomet getrouw , het ryk niet zal verraên .	None
