weye002holl01_01.TEI.2.text.body.div.head.158.s.1	De Hollandsche zinnelykheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.5	Dat was een scheur ( als of m'er pruimen op zou enten ) Die 't beste Kabinet kreeg door zyn helsch rapier , Op 't laatste nog een sprong na d'alamode zwier : Daar viel een Gardefeu ; gins bey de Gerridonnen , Chineesche Goodjes ...	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.7	wie zou het noemen konnen Wat smaad en schaade ik van Mejonker heb geleen : Men zette schier geen voet , of 't was ter halver been In slyk en poeder , daar de vloer mee was betrokken , Als of een Maartsche buy van sneeuw en wintervlokken Daar neer gestort was : maar 't en zal niet meer geschien , 't Uur van acces is uit ; ook zal me in 't kort u zien Een wettige Huisvrouw van een deftige Apotheeker .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.8	Hier is het vonnis Nigt .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.9	't Is vast .	None
weye002holl01_01.TEI.2.text.body.div.sp.230.s.1	Neen 't is onzeker , Neen 't is onmooglyk zelfs , dat zweer ik u Mevrou : 't Is zeker dat ik eer van hertzeer sterven zou Als dat te stemmen : Ag !	BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.sp.230.s.2	hoe zal ik my begeeven , Om met dien steene Antyk in 't houte juk te leeven , Ik , die steeds van de bloem der jongheid word geëert .	None
weye002holl01_01.TEI.2.text.body.div.sp.230.s.3	Myn Oom heeft dan vergeefs zyn penn'gen gespendeert Aan Juffrouw Spadulaan : ik zal tot 't uiterst komen Eer ik Alfonso derf .	None
weye002holl01_01.TEI.2.text.body.div.sp.234.s.1	Tut tut , al Meisjes droomen ; Weet dat u Capitaal hier onder my berust .	None
weye002holl01_01.TEI.2.text.body.div.sp.238.s.1	Mevrouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.248.s.1	Myn Heer u Oom , die naar de Spaansche kust Zig voor twee jaar begaf , is dood naar apparentie ; Hier is zyn laatste wil , die strekt tot een sententie En toom aan 't hollent paard van Juffrouws zotte drift .	BodilyProcess_Anger
weye002holl01_01.TEI.2.text.body.div.sp.248.s.2	't Is tyd dan zoetert , datje eens 't goed van 't quaade schift .	None
weye002holl01_01.TEI.2.text.body.div.sp.248.s.3	Kies 't wis voor 't ongewis , nooit zal 't u wel gelukken , Ten zy je ootmoedig u genegentheen doet bukken Naar Spadulano .	None
weye002holl01_01.TEI.2.text.body.div.sp.248.s.4	Hoe !	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.250.s.1	KLARINDE met een flaauwe stem .	None
weye002holl01_01.TEI.2.text.body.div.sp.252.s.1	Onpasselykheid , Mevrouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.258.s.1	Daar is geen zwarigheid , kom Antonette gouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.258.s.2	Ha , 'k zie door 't masker van geraffineerde traanen De ligte Alfonso , die de wegen ende baanen Van Nigjes eerbaarheid onveilig heeft gemaakt .	BodyPart_BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.sp.261.s.1	Ik zweer Matante .	None
weye002holl01_01.TEI.2.text.body.div.sp.269.s.1	Ja dat poppezweeren raakt My niet op 't alderminst : ik ken die sex haar kermen .	BodilyProcess
weye002holl01_01.TEI.2.text.body.div.sp.269.s.2	Kom vliegens Antonet , of 't schaap stikt in myn ermen .	None
weye002holl01_01.TEI.2.text.body.div.sp.269.s.4	Juffre traanen , waarje opregt zo wel als fyn , Gy zoud als beendren van Santinnen by 't dozyn Miraklen werken .	BodyPart_BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.sp.269.s.5	Hey !	None
weye002holl01_01.TEI.2.text.body.div.sp.269.s.6	kom lustig Antonette .	None
weye002holl01_01.TEI.2.text.body.div.div.head.271.s.1	Tweede toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.272.s.1	M. KEIZERS-THEE , KLARINDE , ANTONETTE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.273.s.1	ANTONETTE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.1	Hier ben ik .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.2	Heer Mevrouw is dat een brandklok zetten , Ik schrik , ag Juffrouw , ag !	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.3	wie heeft dat lam verstoort ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.4	Mevrouw 't is zeker zonde en schande , gy vermoort Uw Nigt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.281.s.1	Foey Spadulaan !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.282.s.1	ANTONET .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.286.s.1	O my , dat doet haar stikken , Dat gy dat brokje naamt , gy zoud u niet verslikken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.286.s.2	Mevrouw uw keel is , naar ik denk , niet half zoo naauw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.293.s.1	Wel onbeschaamde duif , en geile spinhuis-paauw ; Dat kooitje zal nog eens uw stouten bek beteuglen , 't Is regt een plaatsje pop voor ligtgehielde veuglen ; Want 't is u voorbeeld 't geen dien indruk in haar hert Gemaakt heeft , spinnekop .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.294.s.1	ANTON .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.297.s.1	'k Worde appelgraauw en zwert Uit eerbre schaamt .	Emotion_BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.303.s.1	Uw schaamt , zwygt aangebrande panne ; Uw dronke Jan en was nog de eerst , nog laatste , hanne , Die zig verstrikten in u geile spinneweb .	Emotion_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.306.s.1	Wie eerlyk is Mevrouw ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.307.s.1	M. KEIZERS-TEE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.1	Zwyg Basilikus Neb .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.2	Saffraan met thee verfrist .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.3	Dees flaut ' zal haar verdwynen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.4	Adieu tot wederziens , gehoorzaame Cozyne .	None
weye002holl01_01.TEI.2.text.body.div.div.head.313.s.1	Derde toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.314.s.1	KLARINDE , ANTONET .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.321.s.1	't Was ruim zo goed dat gy in 't kooitje liep als ik ; Het spinhuis seldrement , 't is wonder zo 'k niet stik .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.321.s.2	Neen dat apartement zoud u veel beter passen , Want veegen , schrobben , het geboen en 't morssen , wassen , Zyn zaak en daar Mevrouw zig steeds me diverteert .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.324.s.1	Ag , Antonet de Apteek !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.340.s.1	Tut tut , dat word gekeert Dat sta ik nimmer toe .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.340.s.2	Ey , 't zal nog mooijer komen , In plaats van zoet gezang , zo zouje stadig droomen Van kopre vyzels , die uitgalmen door den nood En smert der kranken , 't helsch muzyk van graf en dood , In stee van u Salet galant te zien behangen Met leer of schoon tapyt , zo zouje drake en slangen , Egdissen , padden , krokodillen , naar gespens Rondom de muuren zien , 't geen sidd'ren doet een mensch ; Die Spadulano ( ha ! 'k zou uit myn vel schier springen , Uitschreeuwt voor wond'ren en uitheemsche raare dingen ; Gy zoud een Circe zyn by al dat vuil gebroed .	Fear_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.340.s.3	Neen Juffrouw geen Apteek , dat keur ik nimmer goed .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.346.s.1	Maar hoe is deze buy haar dog in 't hoofd gestegen Van de oude Apteeker , die zig nooit of ooit geneegen Betoonden voor ons Sex ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.346.s.2	Vertel my 't Antonet Indien j'er iets van weet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.369.s.1	Precysjes en heel net Is my 't geheim bewust , ik weet het op myn duimtje , 't Was Zusje Fenix die het bloemtje en het schuimtje Van properheid zig noemt , die van d'Apteker sprak Hoe dat geheel zyn huis , ja zelfs het klein gemak , Blonk als een diamant , hoe duizend fyne kopjes Verçierden 't Kabinet , hoe veel japanse popjes Uit amber , zee-koraal , en roosverf , paarlemoer , Vervulden 't groot Zalet ; ja dat de planke vloer Zo glad geboend was , dat men tafels kon doen glyden Van 't een tot 't ander end , dit kon Mevrouw niet lyden ; Maar riep heel wat'rig , span de koets in Bastiaan ; Wip met ons drien daar in , en zo naar Spadulaan , Quansuis om Salvolaat , grau Amber , Kreeftenoogen , Etretra , op te doen , d'Apteeker kwam gevloogen Op 't vreeslyk schellen van Matantes ongeduld , Die straks gebragt wierd in 't zalet , 't geen fraay gevuld Was met een compagnie van Juffren en twe Heeren ; D'een was Heer Klatergoud , die zesmaal daags zyn kleeren Veranderd , en altoos blinkt als een goude tor .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.372.s.1	En de ander ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.376.s.1	Wel een gek , men noemt hem Jonker snor , Om twee Moustaches , die zyn malle bakkes cieren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.383.s.1	Dien grooten raasbol , die altoos de uitheemsche zwieren En nieuwe snufjes volgt , verguld langs alle kant , Gelyk de koets van Staat , van Vrankryks afgezant ; Die hand en vingers met manchetten toe gaat dekken , Op dat geen mistig weer zyn mooijering zou vlekken	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.1	Dezelve : nevens hem zat Juffrouw Suikerriet , Mevrouw Pistache en Roos ... maar zeker 't is my niet De pyn eens waart elks naam en toenaam uit te leggen , Ik zal alleenlyk van het thee-banket iets zeggen : In 't midden van de zaal daar stond een Gueridon , Op 't zelve een keteltje , zo blank gelyk een zon ; 't Trekpotje was bekleed met zuiver zilver laken , Op dat geen vogt het goud van 't lofwerk zou mismaaken Waar meed het was beleid ; de schoteltjes in 't rond Van onder net beplakt met zagte stukjes bont , Uit vrees dat 't porcelein het lakwerk mogte schaaren Van 't lief Japansche blad , 't geen ruste op drie pylaaren Van sakerdaan , kaneel , en pikzwart ebbenhout ; Het schenken van de thee wierd Juffrouw Roos vertrouwt , Die evenwigtig thee en water wist te mengen , Schoon doodlyk ongerust , uit schrik van iets te plengen , 't Geen dog per ongeluk nog toequam , elk wierd bleek ; De vroome Spadulaan , die vreeslyk sober keek , Riep : ô !	Fear_HeavyHeartedness_Worry_Emotion_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.2	wat ongeluk , wat onbarmhertig storten , 'k Zou graag een derdendeel myns leevens af zien korten Indien 't niet was geschied , wat ongeluk is dat !	Emotion_Unhappiness
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.3	Dat 's zoo zey Jonker Snor , 'k zag al zoo lief een gat Als zulke vlekken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.4	Daar op liet de Apteker haalen Een flesjen Aqua vit , met lelytjes van dalen , Om de arme Roosje , die als aan een slinger hong , En uit haar boenziek vel , door schrik en schaamte sprong , Te laaven .	Fear_Emotion_BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.5	Hier op zey Mevrouw de verdre vrinden Adieu , ook Spadulaan , die naauw kon woorden vinden , Maar stil en zedig bragt Madame aan haar karos , Doe was het , ô !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.6	wat man , doe wierd de tong eerst los , Wyl Zusje Fenix mond meer rammelde als de rad're Of hoeven van 't gespan , zyn netheid hadde de ad'ren Deurkroopen van Matant , ja zelfs haar ziel bezet , t'Wyl me u voor 't offer koos , dat aan 't Rubarber bed Zou werden opgeveild : dit's de oorsprong van haar kennis .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.423.s.7	Juffrouw daar hebjet al .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.429.s.1	Alfonso zal die schennis Pareeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.429.s.2	'k Heb zyn woord , hy komt van avond hier .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.429.s.3	Daar is een brief die flus , ja naaulyks een quartier Geleen , my wierd besteld deur de ordinare bode .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.stage.433.s.1	Zy leest de Brief .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.458.s.1	Laat Seneca zyn les , Morale snapster d'uur die nadert , 't slaat daar zes , Ik wagt den Held die 't zwart gespook haast zal verwinnen : d ' Apteek en 't porcelein bezwykt voor trouwe minne .	Emotion_Love_Loyalty
weye002holl01_01.TEI.2.text.body.div.div.head.460.s.1	Vierde toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.461.s.1	ALFONSO , JAN , beide gekleed als Reizigers .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.462.s.1	ALFONSO .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.1	Als een ontstelde klok , te langzaam of te ras Gaat u den bek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.2	Gants bloed hoe komt dit nu te pas .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.3	Wie dat de weelde smaakt , moet de armoede ook verdraagen ; Het geld is op : fiat , al 't kroggen en het klaagen Doet niets tot onze zaak .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.4	Wanneerje in Roomen zat , En meer in een maal als een Abt of Bisschop vrat , Meer wyn verslond als een volwasse walvis , water , Waar bleef toen Katoos les ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.473.s.5	nog eens , hou toe de snater , Of anders ... neen 't kredyt raakt gantschlyk met u uit .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.474.s.1	JAN .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.481.s.1	Zoo is 't al lang geweest , geen Jood die ons een duit Meer toebetrouwt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.481.s.2	Dat ik myn Heer tragt t ' onderregten , Is loutre liefde , want ( 't krakkeelen en het vegten Maar uitgezondert ) wat voor yver toonde ik niet Doe 'k Don Andreas vrouw , die tot zyn huis u liet , En om een bevaart ging , zelfs in u bed beschikten ?	Emotion_EmotionalAction_Love_Loyalty_Annoyance
weye002holl01_01.TEI.2.text.body.div.div.sp.484.s.1	Zwyg snappert .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.485.s.1	JAN	None
weye002holl01_01.TEI.2.text.body.div.div.sp.489.s.1	Doen ik gaf de schoon met goud gestikten En zyden fynen das u Spagnolette pop , Hoe dikwils dagt ik , ag !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.489.s.2	verander in een strop .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.492.s.1	Schelm !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.497.s.1	Doeje 't huis beklom van 't Paduaans Doctoortje , En 't maagdelyke Fort van 't jonge Leonoortje Bestormden , was ik niet verloore sentinel ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.500.s.1	Zwyg langtong .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.504.s.1	Doeje laatst kreeg rusie om het spel , Met Don Bernardo , wierd ik niet half dood geslaagen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.507.s.1	Poltron !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.513.s.1	't Is wonder dat myn hals 't nog heeft ondragen , Wanneer ik de oude Jood een valsche diamant Verkogt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.516.s.1	Bedrieger .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.522.s.1	Doen ons huis langs alle kant Omringt met hapschaars was , om u te apprehenderen , Wat grooter helbaart-storm moest toen myn rug niet keeren , Waar van de meeste helft was u geregte part .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.531.s.1	Morbleu !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.531.s.2	daar liegje schelm , zoo gy myn gramschap tart , Zal dit een borstel zyn om u den rok te veegen , Zwyg ; eertyds was het huis , geloof ik , hier gelegen Van myn Klarinde : ja , ô !	Emotion_EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.sp.531.s.3	ja dit is de poort ; Jan , wyk geen voet van hier , al wierdje half vermoord ; 'k Zal in myn Logement dit reis-tuig gaan verandren , In zes minuten Jan , zoo zien wy weer malkandren .	None
weye002holl01_01.TEI.2.text.body.div.div.head.533.s.1	Vyfde toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.546.s.1	Dit is helaas het loon van alle dienstbre Geesten , Het eerste compliment is vagebont of schelm , En naar een lange reeks , poltronnen , schurke en beesten , Zo bruid menze op den kop , al droeg me een staalen helm : Weg papegaais-coleur van fulpe passementen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.546.s.2	Ik lag voortaan met levery , Want 'k zie Confraters digte by , Die rollen nu als brave venten , In koetzen by den akrementen !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.546.s.3	En 'k heb zoo veel verstand als zy .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.549.s.1	ANTONETTE , JAN .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.550.s.1	ANTONETTE gemaskert .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.1	Ey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.2	wat een Postiljon , men zou Ronduiten bouwen Op zulk een lighaam : Heer !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.3	hoe çierlyk zyn gevouwen Die graauwe leersjes , als blaasbalken van een smit , Het hoedje blinkt als kryt , zyn lobbetjes als git .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.562.s.4	Dat pruikje moet gewis een paarde-kam friseeren , En 't pluimtje dat zoo net past by zyn andre veeren , Geloof ik dat een haan zyn staart ontstoolen is : Dat zy-geweer komt van Kastieljes Veldheer wis ; En 't Reis-kapotje met die regenboogsche kleuren , Schynt wel een uithang-bord , 't geen opgaat met twee deuren ; 't Postuurtje ken ik , of ik ben geen Antonet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.1	Dat stukje lykt wel een bordeeltje van Biset .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.2	Zulk soort van duifjes kan ik met een daalder wenken : Ik ken dat vinkje ; 'k moetme daar eens opbedenken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.3	Bloed is dat nygen !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.568.s.4	Wel ik toonme meed beleeft .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.572.s.1	't Is Jan ; ik moet eens zien , wat kneepen dat hy heeft .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.576.s.1	Wel aan , ik zal dit kind eens zwierig courtiseeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.576.s.2	Juffrouw wat isser nieuws ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.579.s.1	Groene erte en suikerpeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.582.s.1	Het haakt ... wel àpropo , 't is een betrokke logt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.585.s.1	Die word malà propo , misschien by u gezogt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.588.s.1	Het waait hier vreeslyk kout ... ik heb nog ryke vrinden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.591.s.1	't Waait gekken hier te Land , en dat met alle winden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.594.s.1	Ik heb een groot verstant , maar tamelyk onbekent .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.597.s.1	'k Loof alsje stil zwygt , datje zeer wel-spreekend bent .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.603.s.1	Dat steuit ... kom , kom , ik moet het blaadje anders keeren : Uw duistre schoonheid , Lam , braveert de zwarte veeren Van Rave en Bontekraai , en flikkert in de nagt Gelyk een stalkaars .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.607.s.1	Onder dat faveur zoo tragt Het Heerschap mogelyk zig wat te diverteeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.613.s.1	Indien ik door 't barrier van 't masker speculeeren Mogt , uw lieve oogjes ... zou dees tong een compliment U schenken , niet na dat	None
weye002holl01_01.TEI.2.text.body.div.div.sp.619.s.1	Is 't mogelyk , Heer je bent Een zoete Kortisaan , loop puikje van de gekken , Klimt op een duivekot , daar kenje trekkebekken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.619.s.2	De olyf kleur-prys die daald : ey !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.619.s.3	sta wat uit de zon .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.624.s.1	Indien ik door 't behulp van twee paar zesjes kon Langs Venus ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.624.s.2	Casimat ... na waarde nooit gepreezen : Met u verlof Juffrouw , hoe laat zou 't mooglyk wezen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.630.s.1	Ik word bewogen door uw zesjes en gebeen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.630.s.2	Een sterke beezemsteel , gelegt op arm en been , Dit vaak gerepeteert , zou dat u minnevlagen Niet aanstonds helpen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.630.s.3	hê , wat heeft de klok geslagen ?	None
weye002holl01_01.TEI.2.text.body.div.div.stage.632.s.1	Zy neemt haar masker af .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.636.s.2	Toveresje lief , bekoorlyke Antonet : Nu met authoriteit .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.638.s.1	Hy wil haar kussen .	EmotionalAction_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.643.s.1	Neen zoetjes Jantje , zet Al die gemeenzaamheen een beetje van ter zyden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.643.s.2	Hoe vaart Alfonso ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.647.s.1	Wel der drommel is dat ryden In minder als een week van Napels hier ter stee .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.651.s.1	Dat luid wat apokryf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.657.s.1	Maar Cupido quam mee .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.657.s.2	Ik zat op d ' eene wiek , en 't Heerschap zat op d ' ander , Dat gongje post à post : wy huilden met malkander .	BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.657.s.3	Hy dagt op Spadulaan , en ik op Herbamuf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.1	Zet gekken aan een zyde , u talmen maakt my suf .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.2	Hoe zal u Heer die buy op 't beste nu ontwyken ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.3	Want Spadulano zal wis met de beuit gaan stryken Van Juffrouws gulde vlies .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.4	Madame Keizers-thee Is vreeslyk koppig , en haar oude Aptheker mee .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.668.s.5	Hy heeft Mevrouw haar woord , dat is wat nieuws 't geen waar is , En 't wagt maar na 't contract , welks Dubbeld den Notaris , Die ook een lit is van Matantes Maatschappy , Zal krabb'len .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.681.s.1	Geen gevaar , het Regt kiest onze zy .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.681.s.2	Ik zal Matant doen zien , in spyt van d'Apotheken , Dat vaak 't verstand logeert in ongeleerde Leeken .	None
