huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.16	Ik zuchtte om zyne wonden , En heb Patroclus , om te zien wie 't zy , gezonden Naar 't slagveld , rookende van 't Grieksche en Troische bloed .	BodilyProcess_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.17	'k Verwachtte hem straks weer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.18	Nu zucht myn bang gemoed , En vreest , of hy , misschien geraakt in 's vyands handen , Die boodschap met zyn bloed betaald heeft .	Fear_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.990.s.1	Zucht ge , ô schanden , Alleenig om 't gevaar van éénen vriend , één man , Die zelfs , naar allen schyn , noch levende is ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.990.s.2	en kan Uw oog de nederlaag van 't gansche heir aanschouwen , En blyven onvermurwd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.990.s.3	Hoe zal het u berouwen , Dat gy , die Troje alleen kost winnen door uw zwaard , Het zelve in tegendeel alleen behoudt en spaart ; Als 't droevig Grieken u , dien 't eertyds plagt te roemen , Den eengen oorsprong van zyn ondergang zal noemen ; U vloeken , om de dood van menig dappren Held , Dien Hector , moedig door uw afzyn , heeft geveld !	Emotion_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.1	'k Verdien , 'k beken het , dit verwyten ; ja noch slimmer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.2	Maar 'k heb het Godendom gezwooren , dat ik nimmer Weer tegen Hector , en zyn volk , ten stryd zou gaan , Zo lang zy hunnen klaauw niet aan myn ' schepen slaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.3	Myn ' hand , wel eer zo graag naar 's vyands bloed te storten , Vreest thans het leeven van één Trojer te verkorten , Sint Agamemnon , die ontaarde en trotse , my Zo wreed mishandeld , en zo fel gehoond heeft .	Fear_Emotion_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.4	Gy , Gy zelve hebt gezien , hoe hy me , ô smaad , ô schanden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.5	Brizeïs met geweld gerukt heeft uit de handen , Met welke bitse reên hy me , in den vollen raad , Onteerd heeft en gehoond , als waar ik een soldaat , Die Griekenland noit dienst gedaan hadt , onder 't stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.6	O neen , Achilles ziel kan zulk een hoon niet lyden , En trachten naar geen ' wraak .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.7	't Is my de grootste vreugd , Die ik te wachten had na zo veele ongeneugt , Dat ik de Grieken op het moordveld zie verslaagen , En Agamemnon zelf zyn noodlot hoor beklaagen .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.8	Ik ben het niet , hy is 't , die Grieken bragt ten val , Op wien ons Vaderland zyn onheil wreeken zal .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.1	Wilt gy den roem niet noch bevlekken uwer daaden , Zo laat u , 't is noch tyd , laat u in 't eind noch raaden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.2	't Is elk genoeg bekend , hoe hy u heeft gehoond .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.3	De groote nederlaag van 't Grieksche leger toont Elk klaar , dat Peleus zoon van hem is afgevallen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.4	Wy zien dien wreeden reeds gevloekt , gehaat van allen .	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.5	Men geeft de schuld aan hem , en ieder spreekt u vry .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.6	Men zucht , men wenscht naar u , en haat zyn ' dwinglandy .	Emotion_Hatred_BodilyProcess_Desire_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.7	Wilt ge u dan van het volk volkomen doen beminnen , Zo moet ge , ô braave Held , voor eerst u zelf verwinnen , Uw toorn vergeeten , en de Grieken door uw ' magt Herstellen , die door hem ter slachtbank zyn gebragt .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.8	Met welk een luister zultge uw naam niet doen herleeven , Wat eer , wat glorie zal de nazaat u niet geeven , Als gy uw ' gramschap hebt verwonnen , den Trojaan , Thans zegepraalende , uit het oorlogsveld zult slaan , En dryven in de Stad , en 't Grieksche heir ten lesten Verwinnaar maaken van de vyandlyke vesten !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1064.s.1	Neen , randt de vyand my in myne tent niet aan , 'k Zweer noch , dat ik myn ' hand niet weer aan 't zwaard zal slaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.1	De zeventiende dag ryst thans met nieuwe straalen , Sint ik u 't laatste 't zwaard zag uit de schede haalen , Toen gy gereed stondt , om de smet van zulk een hoon Te zuiveren in 't bloed van Atreus oudsten Zoon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.2	En mooglyk waar 't geschied , waart gy niet wederhouden Door d'ongeveinsden raad en rede van den ouden En wyzen Nestor .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.3	Hoe gelukkig is die man , Die toen meer won , als ik , na zo veel dagen , kan Verkrygen op uw hart !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.4	Zie ook myn ' gryze hairen ; Herroep de moeite , die ik van uw ' kindsche jaaren Voor u heb aangewend ; met welk een lust en vreugd Ik u geweezen heb naar 't pad der heldendeugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.5	Herdenk in 't eind , met welk een iever , met wat traanen , En tedre kinderliefde , uw Vader , de Trojaanen , Als de eenige oorzaak , dat gy scheidde van hem af , Vervloekende , u aan my met droefheid overgaf .	Emotion_BodilyProcess_Love_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.6	Wist ik u oit myn pligt en iever klaar te toonen ; Uw ' deugd te roemen , en uw ' zwakheid te verschoonen ; In 't kort , verdiende ik oit den naam van Voesterheer Van Held Achilles ; 'k werp my voor uw ' voeten neer : Laat u myn smeeken , laat myn zuchten u beweegen , Verjaag den vyand , geef uw Vaderland den zegen , Dien 't heeft verlooren , die gehegt is aan uw ' kling , En dien 't weleer zo vaak van uwen arm ontving .	Emotion_EmotionalAction_BodilyProcess_Moved_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1113.s.1	Rys op : maar geen Trojaan zal my in 't veld ontmoeten , Voor 'k Agamemnon zie , als u , aan myne voeten .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.1116.s.1	Tweede tooneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1118.s.1	Achilles , Phenix , Alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1122.s.1	WAt tyding brengt gy ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1122.s.2	Is Patroclus weergekeerd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1125.s.1	alcimus	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1136.s.1	O neen , myn Heer : maar 'k zie uw ' hateren verneerd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1136.s.2	De schrandre Ulysses , en held Ajax , bei verheven Door hunne dapperheid , en onbesproken leeven , Verzoeken , kan het zyn , een korten tyd , gehoor , Uit Agamemnons naam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1140.s.1	Waar wachten ze antwoord ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1146.s.1	Voor Uw ' legerplaats , daar zy niet binnen willen treeden , Voor gy hun zulks beveelt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1154.s.1	Welaan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1154.s.2	hoor hunne reden , Beroemde Held !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1154.s.3	en gy , ô Goden , kan het zyn , Laat deeze dag het eind meêbrengen onzer pyn !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1158.s.1	Gaa , haal hen .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.1161.s.1	Derde tooneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.1	VLei u niet , ô Phenix , dat myn harte Door hunne klagten , of door de algemeene smarte Vermurwd zal worden .	BodilyProcess_Benevolence
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.2	neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.3	Ik zal hen hooren ; maar Alleenig om my te verheugen in 't gevaar , Waar in de Grieken zich gebragt zien door het woeden Van Agamemnon .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.4	Laat hy zelf die schaê vergoeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.5	Myn ' ziel onschuldig aan den ramp , dien hy ons brouwt , Wenscht reeds , myn Vader weer te aanschouwen , daar hy oud En afgeleefd te Phthie in vrede zyne dagen Ten einde brengt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.6	Geen stryd kan my thans meer behaagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.1	Ulysses , hoop ik , zal uw ' ziel door zyne reên Beweegen ; toonen u door zyn ' voorzigtigheên , Dat zulk een ' gramschap , hoe gegrond en hoe rechtvaardig , Uw land verraadt , en Held Achilles is onwaardig .	Emotion_Hope_BodyPart_BodilyProcess_Compassion_Moved_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.2	Terwyl de dappre zoon van Telamon , wiens vuist Gy zelf zo vaak met bloed der Trojers zaagt begruist , De gloriezucht weer in uw hart zal doen herleeven .	Honor_Emotion_BodyPart_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.3	Mogt ik myn hoofd ten zoen van uwe gramschap geeven , Ik stierf gewillig , tot vermindringe uwer schand , En tot behoudenis van 't bange Vaderland .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.4	Ik zie hen nad'ren .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.1206.s.1	Vierde tooneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1208.s.1	Achilles , Ulysses , Ajax , Phenix , Alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1210.s.1	ulysses	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.1	ZOon van Peleus , roem der Helden , Wiens daaden den Trojaan voor deezen meer ontstelden , Dan wy al t ' zaamen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.2	zyt gegroet uit aller naam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.3	Wy beide waren u wel eertyds aangenaam , En hadden de eer , dat ge ons aanschouwde als uwe vrienden , Schoon wy die mogelyk noch niet genoeg verdienden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.4	Thans komen wy , belaên met droefheid in het hart , U kennis geeven van onze algemeene smart : Hoe onze vyanden met hunne bontgenooten , Die gy , zo lang gy streedt , hieldt in hun wal beslooten , De vest verlieten , ons in onze legerplaats Thans zelfs belegeren , tot droefheid des soldaats ; Die , vol van wanhoop , in het midden dier gevaaren , Noch even magt heeft , om zyn ' schepen te bewaaren .	Emotion_BodyPart_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.5	De vyand , moedig op die zege , vliegt steeds voort , Zaait overal den schrik , en droeve wanhoop , moordt Al wie hem tegenstaat , terwyl hem zelfs de Goden , Door duizend tekenen , tot zulk een ' woede nooden .	Fear_Emotion_Despair_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.6	De dolle Hector , met den sabel in de vuist , Gemoedigd door de gunst van Jupiter , vergruist Den muur met storm op storm , om eindlyk zelfs de schepen Der vlamme te offeren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.7	De Griek , in 't hart benepen Van doodschen schrik , weet niet , wat hy in deezen nood Beginnen zal , en zucht om zyne aanstaande dood , Die hem reeds zeker schynt .	Fear_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.8	Wat hand weêrhoudt , na 't breeken Der ketenen , een leeuw , die , woênde om zich te wreeken , Al , wien hy vindt , verscheurt , geen vyand heeft , die hem Weerstaan kan , die niet schrikt en beeft voor zyne stem ?	Fear_Emotion_EmotionalAction_BodilyProcess_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.9	Zo woedt de dapperste van alle de Trojaanen .	BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.10	Hy staat alreeds gereed , om zich een weg te baanen Tot aan de schepen zelfs , daar hy met eige hand ( O Hemel , keer dien slag ! ) noch deezen dag den brand In zoekt te steeken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.11	Waar , waar zullen uwe vrinden , O onverbidlyke , dan eene schuilplaats vinden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.12	Wie zal het bange volk , in dien bedroefden stand , Verlosschen konnen van des Overwinnaars hand ?	Fear_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.13	Wie overblyven , om de maar naar huis te draagen , Dat al de Grieken door de Trojers zyn verslaagen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.14	Keer , weergaêlooze Held , keer wederom ten stryd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.15	Gy ziet uw ' wraak volbragt ; wy allen zien den tyd , Dat gy alleen ons kunt verlosschen , en den zegen Weergeeven door uw ' magt .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.16	Ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.17	laat u toch beweegen ; En denk om 't naberouw , dat u ontstellen zal , Als gy te laat zult zien , dat gy alleen den val Der Grieken hebt verhaast , en zonder mededogen U zelf verraên hebt , tot vermeerd'ring van 't vermogen Van uwe vyanden .	Emotion_Compassion_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.18	Als 't kwaad is uitgevoerd , Zien we onze schuld eerst , die ons dan te laat ontroert .	Emotion_Compassion_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.19	Voorkom die wroeging dan van uw ontrust geweeten : Wil eindelyk uw toorn , hoe wel gegrond , vergeeten .	Emotion_BodyPart_Anger_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.20	Geef , geef ons 't leeven weer , en toon , in deezen staat , Dat de eer uws Vaderlands u noch ter harte gaat .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.1	Hier in alleen ben ik aan hem verpligt , myn ' Heeren , Dat hy my noch met uw ' bezending wil vereeren , Twee Helden , my zo waard .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.2	Maar , wyl de vriendschap my , Noch u , hier spreeken doet , myn ' vrienden ; 't staa my vry , Dat ik u ronduit zegg ' , dat niets my zal beweegen ; Schoon Agamemnon zelf , bekommerd en verlegen , Verzeld van 't gansche heir , my aanbadt .	Worry_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.3	neen , myn ' ziel Gedenkt noch aan dien hoon , die haar zo pynlyk viel .	Offended_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.4	Wat dank bewyst men my voor myn geduurig stryden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.5	Voor al de moeite , die 'k met vreugd heb willen lyden ?	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.6	Die zich bedekt houdt in den nood , en naauwlyks uit Zyn ' tent komt , heeft nochtans zyn deel ook in den buit .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.7	De dapperste ziet om een bloodaard zich versmaaden : Sleept stervende den roem van zyne Heldendaaden Met zich in 't graf , terwyl een ander wordt beschreid , Die nimmer blyk gaf van de minste dapperheid .	EmotionalAction_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.8	Wat schiet my over , van het geene ik , door gevaaren En duizend moeilykheên , wel eer wist te vergaêren ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.9	Niets .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.10	Ik ben 't evenwel , die zo lang achter een , Met zulk een iever , voor de Grieken heb gestreên , Die twintig steden rondom Troje heb verslaagen , En uit de zelve zo veel schatten weg gedraagen : Die schatten nochtans , 't loon van myne dapperheid , Heb ik met eerbied voor de voeten neergeleid Van Agamemnon zelf , die , in zyn ' tent gebleeven , Het minst gevaar niet hadt geloopen van zyn leeven ; Die al den buit kreeg , my en mynen volke een deel , Ten pryz ' van onze deugd , vereerde van 't geheel , En d'een en d'ander ook daar na iets heeft geschonken , Wiens vroomheid in den stryd vooral hadt uitgeblonken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.11	Elk heeft den prys noch , dien hy van zyn ' hand ontvong .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.12	Ik ben 't alleenig , dien de bitse nyd hem dwong 't Gegeeven wederom te ontneemen , ja te ontrooven Met schennis en met kracht .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.13	Dus is 't , dat hy my boven Alle and'ren heeft gesteld .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.14	dus is het , dat hy toont , Hoe hy de dapperen naar hun verdiensten loont .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.15	Maar wat is de oorzaak , dat wy Troje dus bestryden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.16	Dat wy het Grieksche volk al hier zo veel doen lyden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.17	Is 't niet , om Helena aan Menelaüs weer Te geeven , hem ontroofd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.18	Vondt hy hier door zyne eer Beledigd , en mag ik me ook niet van hem beklaagen , Dat hy my al myn ' vreugd en wellust heeft ontdraagen , Toen hy Brizeïs uit myne armen heeft gerukt ?	Offended_Joy_Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.19	Wordt Troje , om 't schaaken van een ' Vrouw , dus onderdrukt Van hem , die my de myne , ô smaad !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.20	zelf heeft ontnomen , En hy , die andren straft , heeft die zelf niet te schroomen ?	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.21	Ik acht haar , schoon slechts myn ' gevange , als myne Vrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.22	Nu heeft hy my van doen ; en zendt u vol van rouw , Om my , is 't mooglyk , te beweegen door uw smeeken .	Emotion_EmotionalAction_BodilyProcess_Moved_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.23	Neen , zyn ' trouwloosheid is my ééns genoeg gebleeken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.24	Ik ken hem al te wel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.25	het is vergeefsch , dat hy My weer te winnen zoekt door list of veinzery , Dat hy met andren thans de middelen bedenke , En maake , dat de vlam de Grieksche vloot niet krenke .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.26	Hadt hy my niet gehoond , hy zou my den Trojaan Zien dryven in de stad , of op het veld verslaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.27	'k Zou hem meer dienst doen , als zyn ' gracht of muur , verheven , Om weer door Hectors arm ter aard te zyn gedreeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.28	Maar waar toe zo veel reên ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.29	gaat , myne Vrienden , gaat , En zegt hem , dat ik noit myn degen of myn raad Voor hem besteeden zal .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.30	Hy heeft my eens bedroogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.31	De tweedemaal zal 't hem mislukken . 'k sluit myne oogen Voor 't medelyden .	Emotion_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1390.s.32	Dat hy sterve , en gaa ten grond , Die , my ten spyt , zo groot een gruwelstuk bestondt !	Emotion_Remorse_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1392.s.1	ajax	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.1	Uw ' gramschap steunt op reên .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.2	Maar kan noch Hectors zegen , Noch 't uiterste gevaar der Grieken u beweegen ; Laat hy dan zelve , die uw toorn dus wist te voên , U weer bevredigen , nu hy u wil voldoen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.3	Hy wil zich eindlyk voor de reden nederbuigen ; En biedt u aan , voor al het leger te betuigen , Dat gy gehoond zyt , en dat hy u heeft misdaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.4	Hier by biedt hy u zelf noch veel geschenken aan , Die waard zyn uit de hand van zulk een Vorst te komen , En van Achilles zelf te worden aangenomen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.5	Verscheiden ' vaazen , schoon en kostelyk van stof , Maar schooner door de konst des meesters , die zyn lof Door zulk een werkstuk deedt tot aan de starren ryzen : Een ' gift , die zelf Jupyn niet van de hand zou wyzen : Met twalef paarden , wit als de eerst gevallen sneeuw , In snelheid als een wind , in moed elk als een leeuw , Die honderdmaal de zorg van hunnen Heer betaalden , Wanneer zy in het perk den eersten prys behaalden : Met zeven maagden , schoon van leest en van gezigt , In 't frischste van haar ' jeugd , wier oogen , als het licht Der heete middagzon , de fierste harten blaaken : Brizeïs , die uw ' ziel voor andren kan vermaaken , Brizeïs , de eedle vrouw , aan wie die bitse hoon Geschied is , u ten spyt , door Atreus fieren zoon , Zal haar geleiden , waar Achilles 't zal begeeren .	Offended_Emotion_BodyPart_BodilyProcess_Desire
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.6	Maar denk niet , dat de Vorst haar oit bestondt te onteeren : O neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.7	tot zulk een ' smet was noit zijn ' ziel bekwaam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.8	Ja zulks zal hy u zelf betuigen , in den naam Van 't gansche Godendom , wiens klaare en alziende oogen Zyn zeggen en zyn doen aanschouwen uit den hoogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.9	Dit alles , zo hier door uw ' gramschap wordt verzacht , Wordt aanstonds , op zyne orde , in uwe tent gebragt .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.10	Dit is voor deez ' tyd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.11	Na 't veroveren der wallen Van 't moedig Ilium , zal hy u onder allen Noch twintig maagden zelf aanbieden , die alleen In schoonheid zwichten voor de aanminnige Heleen , Uit Vorstelyken bloede , en die haar ' schoonheid paaren Met deugden zonder vlek , in 't bloeyen van haar ' jaaren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.12	Noch niet vernoegd door deez ' voldoening van dien hoon , Biedt hy u zelf noch aan den naam van zynen zoon Te aanvaarden , als wy weer in Argos zullen komen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.13	Wat kan hy meer doen , om uw ' gramschap in te toomen ?	Emotion_Anger
