vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes Oft Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.12	En daer aen twijfel slaet ; of Goden en Godessen , In 't grouzaem moorden van geheylighde Princessen Behagen namen oyt ; gelijck der Goden tolck Dees grove logens veylt voor waerheyd aen het volck ; Dat voor hem nedervalt , en feest maeckt van 't vernielen , En 't ommebrengen van zoo veel ' gedoemde zielen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.13	Men stroyt om 's Veldheers haet te scharpen tegens my ; Dat ick besnoeyen wil de wettige vooghdy Der twee gebroederen , en d'opperste der Griecken Treck op Achilles zijde , en tracht bedeckt hunn ' wiecken Te korten , waer ick mach ; 't welck uytbarst langs hoe meer , Midts ick met hengsten van 't verovert Lesbos keer , Met Hooren-beesten , en een ' hoop geboeyde slaven ; Maer 't goud verlochen , om behendigh t'ondergraven Het steunsel hunner macht ; dewijl elck , als zyn ' God , Dien aenbid , die hem streckt tot voordeel , en genot .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.557.s.14	Dan om die laster plaets te geven , ick de Vorsten Hou t'edel van gemoed ; en geen ' doorluchte borsten Gevoelen dit van my , die Menelaus , met Syn ' oudren Broeder , heb gemerckt , en uytgeset Tot hoofden van den toght , als 't veelen heeft verdrooten , En droegh hun op 't beleyd van ons ' beroemde vlooten ; Doen Chalches op hen smaelde , en uytspoogh vier en vlam , Om datse daelden van zoo Goddeloos een ' stam .	Emotion_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.557.s.15	Dat ick gebrandmerckt wort met soo een onrijp oordeel , Als die den roof misbruyck tot een bysonder voordeel , En Chirons voesterling soeck voor te trecken : neen , Ick kan , en danck 't den Goon , 't bysonder van 't gemeen Voorsichtigh schiften , en elck een het zyn verschaffen : Ick handhaef yeders recht , en pas op niemands blaffen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.16	Elcx vryheyd is de mijn ': die weegh ick in een ' schael : Wie hier uyt vreese deyst , ick sta gelijck een pael .	Fear_Emotion_EmotionalAction
vond001pala01_01.TEI.2.text.body.div.sp.557.s.17	Dreygt Palamedes vry te moorden , en te priemen , Hy blyft de selve man , al sneed ghy hem aen riemen : En draegt sich na zyn ' plicht getrou , oprecht , en kuysch : Men soecke hem waer men wil , hier leyt d'Euboeër t'huys .	Emotion_Loyalty
vond001pala01_01.TEI.2.text.body.div.sp.557.s.18	Voorts dat ick Thestors zoon so vaeck heb doorgenomen : 't Is waer , my docht 't was tyd sijne hoovaerd te betoomen : Om dat hy verder als de Kerck en 't Outer gaet , En snuff'len komt , uyt baet , en staetsucht in den raed .	Emotion_Greed_Pride
vond001pala01_01.TEI.2.text.body.div.sp.557.s.19	Hy is een vreemdeling , ja een Trojaen geboren , Noch kent de seden niet die tot ons land behooren .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.20	Noch wat ons welvaert eyscht .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.21	Hy wette zyn verstand In 't geen zyn ampt betreft , en kruype in 't ingewand Der dieren met zyn ' geest , en staere op 's Hemels lichten : Hy lette op voglenzang , op droomen , en gesichten , Op Godspraeck , en geheym , en hang'er niet wat by Van 't zyn , of lust'et hem , elck hebb ' zyn oordeel vry .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.22	Maer 't is te schandeloos , en strijd met al mijn daden , Dat ick ben omgekocht , om 't leger te verraden : Dat Paris , om met my te hand'len van die moord , Lagh 's nachts met een Galey , met goud gelaen , aen boord .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.23	Dat ick den oorlogh schorste , en uytstel nam tien dagen , Om ons t'ontwapenen , en dan het stuck te wagen , Met meerdre sekerheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.24	Apollo die uw ' troon , En zetel hebt gebout in 't midden van de Goon , En met uw ' klaerheyt bluscht de Goddelijcke lampen , En van het aertrijck veeght de nevelen , en dampen : Ghy siet in dese nacht , en voor uw ' Majesteyt , Der sulcker schennis stuyt op mijne onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.25	Dits mijn ' besolding dan , voor dat ick met beswaeren Tot der Argiven heyl geslaeft heb soo veel jaeren : Met wijsheyd , raed , en daed 't bouvalligh rijck gestut : De stormen afgeweert , en op mijn ' borst geschut : Dẽ boef vermomt met schijn van Godsvrucht en van heyligheyd : Ontdeckt , en Pelops hof , en 't Land herstelt in veyligheyd : Wtheemsche ballingen van Have , en huys berooft , Gelockt , gewellekomt , en in mijn ' schoot gestooft : Vergroot der steden kreyts , en ommeloop der muuren : Tot Grieckens hulp verplicht gekroonde nagebuuren : Met kielen ingesleept den oegst die 't oosten las : Ia daer de naelde swijmt , gestaen na vryen pas : Ulysses achterhaelt : het heyr , als 't scheen verlaten , Door hongers nood , gespijst : geoeffent ons soldaten : De deught des Peleaens verstaelt met kloeck beleyd : D'eylanden , en de steén , aen Helles strand , ontseyd : Steenrotsen uytgehoolt , en stucken lands vergraven : Nu hier een schans geleyd , dan gins gediept eene haven : t'Abyde in doodsgevaer mijn vromigheyd gebracht : Daer ick gewond werd op den aenslagh in der nacht : Daer doen Achilles weeck , als 't naulijcx was begonnen , Noch voor den morgenstond de vesting werd gewonnen : En had ick d'ongunst van ons Princen niet gevreest , Lyrnes voor mijn vertreck verovert waer geweest .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.557.s.26	Maer wat beschuldig ick een wuft , en dom gepeupel , Dat na den voortgang van zyn Heer gaet recht , of kreupel : Daer doch Laërtes zoon , die op een grootren bout , My met 's rijcx wichelaer , al dese moeyten brout , En na mijn leven staet , en gaet zijn ' sinnen spitsen , Om 't Krijghsvolck tegens my dolkoppigh op te hitsen , Sy brullen langs hoe meer .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.27	Waer of ick best verschuyl ?	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.28	Wie blijft die lijd gevaer : wie vlught dien schoutmen vuyl .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.29	My docht , den jongsten nacht , dat ick voor andre radder , Beklom des schaeckers burgh , en vechtende op een ladder Opgaf den Geest , daer ick den vyand besigh hiel , En met een groot stuck muurs geplet ter aerde viel ; Doen schoot ick op , en schoon ick niet op d'ydelheden Van spock , of droomen pas , noch leyd my op de leden Of d'eene of d'andre ramp , mijn ' strenge dwaelstar oock Voorlang te Troje in 't veld mijn beyde oogappels loock .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.30	De wichelaers my niet als ongelucken spellen ; Doch een manhafte ziel moet dit ter zyden stellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.31	Heer Vader , die my erft den segen van uw ' Kroon , Het ga met my zoo 't wil ; ick blijf uw echte Soon Van bloed , en van gemoed , en zal u niet ontaerden In vroomigheyd , in trou , in 't midden van de swaerden , In 't midden van de nijd , en lasteringen : daer Mijn goede naem , en faem me word bedruckt zoo swaer .	Emotion_Hatred_BodyPart_Loyalty
vond001pala01_01.TEI.2.text.body.div.sp.557.s.32	Ick weet waer op ick steun , mijn ongekreuckt geweten En is niet quaeds bewust , noch heeft sigh noyt vergeten Aen eenigh schendigh feyt ; en zoo ick daerom ly , Soo wasch mijn edel bloed eens anders schelmery .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.558.s.1	REY van EVBEERS .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.558.s.2	REY van ITHAKOISEN .	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.1	VVy Krijslien passen op ons beurt Rondom Neptunus muuren ; Terwijl den Hemel starloos treurt , En telt de slepende uuren .	Sadness
vond001pala01_01.TEI.2.text.body.div.sp.572.s.2	De naere lucht nu schreyt en sucht .	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.3	Hoe lange zal het duuren ?	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.4	De middernacht herhaelt haer scha Met dick're duysternissen : Slaghregens decken Cynthia , Dies wy haer aenschijn missen .	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.5	Wiens vroomheyd sal , met Trojens val , 't Begonnen Oorlogh slissen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.573.s.1	R.V.I.	None
vond001pala01_01.TEI.2.text.body.div.sp.580.s.1	d'Euboeër afkomst zal met dwang Mars teugelen ten lesten : Maer niet met Trojens ondergang , En 't storten van dees ' vesten ; Maer met dese Aerd , door Hectors swaerd , Van lijcken vet te mesten .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.581.s.1	R.V.E.	None
vond001pala01_01.TEI.2.text.body.div.sp.588.s.1	Die swanger gaen van guytery Ons' Prins hier me betighten : Om datze minder zyn als hy , En niet voor uyt en lichten .	None
vond001pala01_01.TEI.2.text.body.div.sp.588.s.2	Dus tracht de nijd zyn ' faem van spijt , Veel ' logens op te dichten .	None
vond001pala01_01.TEI.2.text.body.div.sp.596.s.1	Wat sucht hy in zyn ' boezem draeght Is vaeck aen hem gebleecken : Die 't heyr op 's vyands bodem waeght , En dan van vree wil spreecken : Die veynst , en sluypt , en onderkruypt Al d'opperste der Griecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.611.s.1	Aen hem , wiens tong van Nectar dout , En draeght vergift inwendigh , Word eer dees ' schalckheyd toevertrout , En watmen acht voor schendigh : Die hof , en zael , met logentael Stofferen kan behendigh .	None
vond001pala01_01.TEI.2.text.body.div.sp.611.s.2	Ons vorst soeckt op geen ledekant Mycenen te bescharmen : Hy ploeght niet aen d'onvruchtbre strand , Op dat hy magh verwarmen Sijn ' bedgenoot : die in haer ' schoot Hem kust , en neemt in d'armen .	EmotionalAction_BodyPart_Love
vond001pala01_01.TEI.2.text.body.div.sp.619.s.1	Het log geslacht van Ithaca , Dat achter leyd gekroopen , Is niet zoo vierigh nergens na , Om hopliên op te loopen , Gelijck uw Heer , die met zyn ' speer Koomt achter aen gedroopen .	None
vond001pala01_01.TEI.2.text.body.div.sp.627.s.1	Wat Palamedes derf bestaen Dat bleeck , doen hy in 't landen Het volck dede in slaghoorden staen , En redde van verbranden , En strandens nood , ons ' trotse Vloot , Als 't leger weeck met schanden .	None
vond001pala01_01.TEI.2.text.body.div.sp.635.s.1	't Is waer , wy kennen 's mans bedrijf , Het bergen van de kielen , Was 't bergen van zyn eygen lijf , Doen zoo veele helden vielen : Doen hy de dood den rugge bood , Met wiecken aen zyne hielen .	None
vond001pala01_01.TEI.2.text.body.div.sp.643.s.1	Hoe d'onverbiddelijcke Tracx Hem leende gunstige ooren Bleeck , doen hy 't heyr vertrooste stracx Met graen , en weeldigh kooren : Daer hy 't uw ' Vorst , ontseggen dorst , Doen 't leger scheen verlooren .	None
vond001pala01_01.TEI.2.text.body.div.sp.652.s.1	Ulysses droeghmen geen ontsagh , Wat was aen hem bedreven : Die niet uyt Argos schatkist magh Syn ' paerden voeder geven : Nocht aen den disch des Veldheers is Gesien en hoogh verheven .	None
vond001pala01_01.TEI.2.text.body.div.sp.660.s.1	Hy is te vrede met zyn erf , En zyn Heer Vaders leenen , Al bet als hy , die roemen derf Op Ithaca van steenen , En klippen woest , en groot , wiens oegst Is slechter als wy meenen .	None
vond001pala01_01.TEI.2.text.body.div.sp.668.s.1	Maer waerom stoft dit volck aldus Op zyne erf-Koninckrijcken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.668.s.2	Heeft niet de Vader Nauplius Voor Princen moeten wijcken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.668.s.3	En tot zyn heyl , de vlagh , en 't zeyl Voor mindre moeten strijcken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.676.s.1	't Was Nauplius wiens wijsheyd vaeck Veel ' Koningen versochten , En hiel met alle Vorsten spraeck , Op veel ' manhafte toghten : Doen zy wel eer , van heynd en veer , Geschencken tot hem brochten .	None
vond001pala01_01.TEI.2.text.body.div.sp.684.s.1	Waer 't vremt dat Palamedes dan Onse heyrkraght ging verraden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.684.s.2	Vermids hy muylen stallen kan Met schatten swaer geladen ; Gelijck de stam daer hy af quam , Geen giften kost versmaden .	None
vond001pala01_01.TEI.2.text.body.div.sp.699.s.1	Verdient hy een brandteecken , die Tot onzes staets verkleenen , Ick meest verrijckt met giften sie : Merckt dezen niet , maer genen : Wiens goudsucht boos , en Goddeloos , Vind zyns gelijck ' niet eenen .	None
vond001pala01_01.TEI.2.text.body.div.sp.699.s.2	Steyl Neritos vol klippen heeft Noyt woester dier ontfangen Als hy , die schelms en onbeleeft Betrout zyn ' slimme gangen : Die liegt , en stout zyn ' verw behout , Schoon hy'r in word gevangen .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.707.s.1	Ulysses die op Calches steunt , En ons ' gebroederheeren , Sich deze laster niet bekreunt : Syn ' vroomheyd salmen eeren ; Maer wie den helm , voert als een schelm , Dat sal de tydt ons leeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.1	Drael lange , o blonde Phoebus !	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.2	drael , Schou eeuwigh onze kimmen : D'ondanckbre Grajen niet bestrael , Die langs hoe meer verslimmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.3	Waer vlieden wy ?	None
vond001pala01_01.TEI.2.text.body.div.sp.715.s.4	wat rasery Koomt uyt den afgrond klimmen ?	None
vond001pala01_01.TEI.2.text.body.div.head.718.s.1	De tweede handel .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.721.s.1	SISYPHUS .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.721.s.2	MEGEER .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.1	WAer ben ick SISYPHUS , gemat van op te stygen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.2	Nu schep ick weder locht , nu kan ick adem krygen .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.3	Waer ben ick ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.4	in wat nacht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.5	Megeere die my jaeght , Nachtmerri , oude Kol , hoe hebt ghy ons geplaeght , Met uw ' bebloede sweep en peckstock onderwegen , Eer ick een ' doorgang heb , na'et boven volck gekregen .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.7	in den dagh , of in een ' blydre nacht , Als d'onderaerdsche poel ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.8	waer magh ick doolen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.9	sacht .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.10	Waer vind ick Hecate ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.11	waer flonckeren de starren ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.12	Wanschepsel , die geen ' grijns behoeft , noch kunt ontwarren Vw ' pruyck : die groulijck krielt van swarte slangen , segh Waer dwael ick ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.13	op wat spoor ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.14	waer leyd ons deze wegh ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.15	My dunckt ick hoor geblaf van honden , die ons riecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.16	Swygt rekels , luystert .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.17	sus , help Cerberus ! 't zyn Griecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.18	Ick ben in Pelops rijck , of in mijn oud gebied , t'Ephyren , dat gaet wel .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.19	Momaensicht hoort ghy 't niet ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.20	VVy zyn t'Ephyren : daer de menschen van mijn ' treken , En boevestucken , met een groot afgryzen spreecken , En Minos vloecken , als zy hooren dat mijn ' straf Niet swaerder weegt , als 't wight eens steens berg op berg af Te went'len , nat van sweet , in d'onderaerdsche kelders .	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.21	Kolryster rade ick recht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.745.s.22	segh op , of zijn wy elders .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.747.s.1	ME .	None
vond001pala01_01.TEI.2.text.body.div.sp.755.s.1	In Troas staenwe , niet in Isthmos : in 't gesicht Van Ilium , daer nu het Dorisch Leger light , In 't Vlacke , en open veld : van waer wy korts vernamen Die bleecke schimmen , die ons treurigh tegen quamen , Besprenckelt van veel bloeds , gehouwen , en gekapt , Mishandelt , en mismaeckt , gesengt , gequetst , gekrabt .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.757.s.1	SI .	None
vond001pala01_01.TEI.2.text.body.div.sp.759.s.1	Wat 's d'oorzaeck van 't geschil ?	None
vond001pala01_01.TEI.2.text.body.div.sp.767.s.1	Een Vorst , door geyle minne , Heeft tot zyn boel geschaeckt de Bruyt , en Koninginne Van Menelaüs : die zoo zeer niet op de deughd Als op de schoonheyd vlamt , en 't bloeysel haerer jeughd , En hooger die waerdeert als veeler Princen leven .	None
vond001pala01_01.TEI.2.text.body.div.sp.772.s.1	Een slimmer Sisyphus is noch na my gebleven , Wat uytkomst of ons staet te wachten van 't gevecht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.786.s.1	Men zal geëffent sien , en tot den grond geslecht 't Hof van Laömedon , en dees ' benyde vesten : Als Inachus geslacht , die 't Krygsvolck geeft ten besten , Dat overwinner noch , den tienden somer , zal De Goon verschricken met zoo ysselijck een ' val .	None
vond001pala01_01.TEI.2.text.body.div.sp.786.s.2	Dan sal het overschot der vluchtige Trojaenen , Met handen wringen , en afbiggelende tranen , Beschelden Paris : die , zoo schandeloos , onkuysch , Veroorzaeckt heeft 't bederf van zyn doorluchtigh huys , En liever had zyn ' faem , en glory uyt te wissen , Als boels aenminnigheyd , en kitteling te missen .	EmotionalAction_BodyPart_BodilyProcess_Sadness_Despair_Anger
vond001pala01_01.TEI.2.text.body.div.sp.810.s.1	Ghy en uw ' zusters , als hem Venus had verlockt , Hebt verre een grooter daed gesponnen , en berockt , Als ghy der Doren vloot de Zee gingt over voeren , En om een ' lichte vrou gants Asien beroeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.2	Eumenides , welaen , recht yligh over end Vw slingerslangigh hayr , en brand , en blaeckt , en schend , En schuymbeckt , raest , en moord : daer sietmen 't Leger krielen ; Daer laedmen Charons schuyt , tot sinckens toe , met zielen ; Het isser drock aen 't Veer .	EmotionalAction_BodilyProcess_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.810.s.3	zoo wreeckeressen , voort , Spoockt door de benden heen , verzadight u met moord , De messen zynder op gewet , en scharp geslepen , Beschildert uw ' gewaed met bloed , en paersse strepen .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.4	Bevleckt uw aengesicht met breyn versch uytgespat .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.5	Siet toe , ghy snevelt licht , het isser slipperglad .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.6	Soo Dochters van de nacht , maer als ghy hier met lijcken De stroomen hebt gedamt .	None
vond001pala01_01.TEI.2.text.body.div.sp.810.s.7	en d'overzeesche rijcken Tot puyn , en gruys verplet , en uyt hunn ' plaets beweeght , Den adeldom , en 't puyck der Vorsten uytgeveeght : Sal dan de wraeck vernoeght , door 't bloed zoo veeler helden , Met woeden staecken ?	Emotion_EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.818.s.1	Neen , dan wilt Europe gelden , Ghy Grajen huylt , en grayt , uw ' doodvarw set .	None
vond001pala01_01.TEI.2.text.body.div.sp.818.s.2	word bang .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.818.s.3	Wy koomen , om den wegh tot uwen ondergang Te baenen , swanger van voordachte schellemstucken , En hechten Argos ramp aen Trojens ongelucken .	None
vond001pala01_01.TEI.2.text.body.div.sp.822.s.1	Wat middel isser om te rockenen dit quaed ?	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.1	Den Phoenix , daer hun heyl en segen in bestaet , Te helpen aen d'een ' zy ': op datze met zyn sterven Oock zyn ' manhaftigheyd , en raed , en wijsheyd derven , En vallen over hoop , wraeckgierigh van gemoed , En voeren Borger-krijgh om zyn onschuldigh bloed .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.862.s.2	Ick sie de Vorsten al gespouwen , en verbolgen , De volcken van een ' stam malkanderen vervolgen ; D'eylanden in 't geweer , en 't vaste land in roer .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.3	Hier wordmen vlam gewaer , daer hoortmen een rumoer Van steden tegens steên , van vlooten tegens vlooten .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.4	D'een ' ramp uyt d'andre wast , wat wordter bloeds vergoten .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.5	Euboea loopt 't gedeylt Peloponnesus af , Van Scyros Ithaca .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.6	Thessalien tot straf Van Locres Krijgsvolck licht .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.7	de Cyclades die slypen Hunn ' speer , om onderling malkandren aen te grypen .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.8	De sonden klimmen op , d'een draeght des anders schuld , Der Vorsten hoven zyn met grouwelen vervult .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.9	Met bloedschande , overspel , met moord , met vuyligheden .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.10	Men luystert noch ' na recht , na billickheyd , noch ' reden .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.11	De Koninginnen , en Princessen zyn bykans All ' schuldigh aen de moord , en neerslagh haerer mans : En eer en trouweloos .	Honor_Emotion_Loyalty
vond001pala01_01.TEI.2.text.body.div.sp.862.s.12	elck is om 't seerst verwoeder .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.862.s.13	De zoon den Vader wreeckt , de dochter wreect haer ' moeder .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.862.s.14	't Vertwyflen aen de stam , en wettige afkomst splist Het volck , en voed den veede , en endeloosen twist , En 't woeden : dat zoo lang beschreyelijck zal duuren , Tot datmen siet in 't end de steden zonder muuren , De stroomen onbezeylt , de kampen onbeploeght , En d'onderaerdsche Styx bevolleckt , en vernoeght .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.15	Rampsaligh spoock , ghy zijt tot mijn behulp verkooren Voor andre zielen : gaeu noop uwe neef met spooren : VViens schalckheyd hapert , om bedriegelijck , en valsch , Den Soon van Nauplius te brengen om den hals .	None
vond001pala01_01.TEI.2.text.body.div.sp.862.s.16	Hy sluymert : in zyn ' droom en slaep zal hy u hooren , En wat uw geest erdicht , dat vezel hem in d'ooren ; Ga heen rampsaligh spoock .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.1	Ben ick de beste dan Dien d'afgrond tot dit snood bedrijf uytbraecken kan ?	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.2	Is niemand het bequaem tot schelmery gevonden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.3	Dit is mijne afkomsts tent , ick moet zijn hert doorgronden .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.4	Hy heeft de leus al wech .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.5	Megeere 't is beschickt .	None
