vond001jose05_01.TEI.2.text.body.div.head.163.s.1	Joseph in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.sp.353.s.1	Het hupplen , Judas , past een ' wuften jongen eer , Als een ' volwassen man .	None
vond001jose05_01.TEI.2.text.body.div.sp.353.s.2	Hy draeit zich heen en weêr , Recht of hy iemant zocht van harders en van hoeders .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.355.s.1	Ju	None
vond001jose05_01.TEI.2.text.body.div.sp.357.s.1	Bedrieght het oogh my niet , 't is een van onze broeders .	None
vond001jose05_01.TEI.2.text.body.div.sp.361.s.1	Zou 't wel de droomer zijn , die naer ons ommeziet ?	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.363.s.1	Si .	None
vond001jose05_01.TEI.2.text.body.div.sp.365.s.1	't Gelijckt den droomer wel .	None
vond001jose05_01.TEI.2.text.body.div.sp.371.s.1	O pest , ô huisverdriet !	None
vond001jose05_01.TEI.2.text.body.div.sp.371.s.2	Gewis de droomer komt .	None
vond001jose05_01.TEI.2.text.body.div.sp.371.s.3	wat jaeght hem naer dees hoecken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.376.s.1	Ick gis , hy wort gestuurt , om ons en 't vee te zoecken , Om te doorsnuffelen , hoe 't hier ontrent al sta .	None
vond001jose05_01.TEI.2.text.body.div.sp.381.s.1	Op dat hy ons verklick ?	None
vond001jose05_01.TEI.2.text.body.div.sp.381.s.2	dat hem de hagel sla .	None
vond001jose05_01.TEI.2.text.body.div.sp.381.s.3	De donder sla dat hooft , 't welck altijt maelt van droomen .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.1	Versteur u niet te vroegh : hy is van pas gekomen , Om loon naer zijn verdienst t'ontfangen zet u wat , Of slaet een ' ronden ringk .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.2	hy neemt den wegh naer stat .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.3	Wy hebben tijdts genoegh , om van zijn straf te spreecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.4	Hier valt gelegenheit om al ons leet te wreecken .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.speaker.391.s.1	Iu .	None
vond001jose05_01.TEI.2.text.body.div.sp.393.s.1	En als 't gewroken zy , verantwoort dan de wraeck .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.398.s.1	Wie kennis draeght van 't stuck , geef reden van zijn zaeck .	None
vond001jose05_01.TEI.2.text.body.div.sp.398.s.2	Ontkennen is ons 't reetste , en wisser dan 't verweeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.404.s.1	't Is beter zonder scha dan met zijn scha te leeren , Wie gelden moet in 't stuck , moet oock ter zaecke raên .	None
vond001jose05_01.TEI.2.text.body.div.sp.404.s.2	Men stelt den misdaet voor , wat heeft dat kint misdaen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.1	Wat heeft dat kint misdaen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.2	ay , schaem u zoo te vraegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.3	Hoe dickwils heeft hy ons gehekelt , en bedraegen , En listigh aengebracht , om plasdanck te begaen , En als een troetelkint in vaders hart te staen .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.4	Dan zagh men d'oude man zich over ons versteuren , En Joseph kreegh een ' rock van veelerhande kleuren , Als een verdienden loon , voor zulck een ' kinderplicht .	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.5	Wy hadden al 't geknor , het graeuwen , 't zuur gezicht .	EmotionalAction_BodyPart_BodilyProcess_Dissapointment_Anger
vond001jose05_01.TEI.2.text.body.div.sp.417.s.6	O onrust van 't geslacht , zoo lang ghy , als een doren , Ons in de teenen steeckt , zie ick geen rust geboren .	None
vond001jose05_01.TEI.2.text.body.div.sp.421.s.1	De jongen is noch dom en wulpsch , en vader suft .	None
vond001jose05_01.TEI.2.text.body.div.sp.425.s.1	Neen dom heit is het niet , dat blijckt aen zijn vernuft .	None
vond001jose05_01.TEI.2.text.body.div.sp.429.s.1	De jaren zullen hem noch leeren en betoomen .	None
vond001jose05_01.TEI.2.text.body.div.sp.434.s.1	Als hy zich meester make , en waer maecke al dees droomen , Waermeê zijn tong al 't huis , ja zelf zyne ouders sart ?	None
vond001jose05_01.TEI.2.text.body.div.sp.438.s.1	Hy raeskalt .	None
vond001jose05_01.TEI.2.text.body.div.sp.443.s.1	of ontdeckt al 't geen hy broet in 't hart , Arghlistigh poogende zijn broeders te verpletten .	Suspicion_Emotion_BodyPart_BodilyProcess_Spitefulness
vond001jose05_01.TEI.2.text.body.div.sp.447.s.1	Waer 't zoo , men zou ' er zich eendrachtigh tegen zetten .	None
vond001jose05_01.TEI.2.text.body.div.sp.452.s.1	Zoo is het meer dan tijdt .	None
vond001jose05_01.TEI.2.text.body.div.sp.456.s.1	dat opzet blijckt niet klaer .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.1	Zoo klaer , gelijck de dagh .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.2	hoe , is 't niet openbaer ?	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.3	Let op de droomen eens , dien hy noch lest vertelde .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.4	Hem docht , wy bonden vast de schooven in den velde : Zijn schoof rees overendt .	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.5	was Judas oor toen doof ?	None
vond001jose05_01.TEI.2.text.body.div.sp.468.s.6	Ons schooven neighden 't hooft eerbiedigh voor zijn schoof .	BodyPart_Awe
vond001jose05_01.TEI.2.text.body.div.sp.468.s.7	Wy schudden vast het hooft en d'ooren , die 't zich belghden , En zulk een ' bittren dranck des booswichts noo verzwelghden .	Offended_Emotion_EmotionalAction_BodyPart_Anger
vond001jose05_01.TEI.2.text.body.div.sp.468.s.8	Wy riepen : ghy alleen zoudt onzer aller hooft En koning zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.472.s.1	ghy zijt te dwaes , die dat gelooft .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.1	En hy loegh in zijn vuist , en terregde ons noch echter , Zijn ouders , en al 't huis , en maeckte 't zoo veel slechter .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.2	Ick droomde , sprack hy , 'k zagh te nacht de zon en maen , En ellef starren , met geboge hoofden , staen Om my , en voor mijn ' glans haer heldre straelen strijcken .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.3	Wat dunckt u , broeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.4	zegh , zijn dat noch donckre blijcken Van heerschzucht , die hem drijft ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.5	wy hoorden euvel toe , En klaeghden 't vader zelf : die keef quansuis : wel hoe , Wat droom is dat ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.6	zult ghy , gelijck een vorst in 't midden , Uw moeder , broêrs , en my uw ' hoogheit aen zien bidden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.7	Zwijgh stil van zulck een kout .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.8	berocken my geen strijt .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.9	't Is kinderwerck : gaet heen .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.10	meer volghde ' r niet .	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.11	ô spijt !	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.12	O spijt !	None
vond001jose05_01.TEI.2.text.body.div.sp.488.s.13	hy heult met hem , die noch zijn schult verdadight .	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.1	Ick wensch alleen , dat ghy uw zinnen wat bezadight , En reden plaetze gunt .	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.2	dit is het jongstekint , Naest Benjamin .	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.3	wanneer steeckt jonckheit naer bewint ?	None
vond001jose05_01.TEI.2.text.body.div.sp.495.s.4	Wat broêr verkloekt zijn broêr ?	None
vond001jose05_01.TEI.2.text.body.div.sp.503.s.1	ay broeder , loopt niet verre , Dees aerdt naer vader , die hem voorlicht , als een starre .	None
vond001jose05_01.TEI.2.text.body.div.sp.503.s.2	De looste en gauwste maeckt den domsten tot zijn knecht , Gaet met den zegen deur , en het geboorterecht ; En Esau boet te spa dat groot verlies met traenen .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.1	Ick had dat op mijn tong , en docht u op te maenen Met vader , uitgeleert in dees doortrapte kunst ; Die wist zijn moeders , dees weet nu zijn vaders gunst , Tot smaet der broederen , behendigh te misbruicken : En schut men 't niet , 't gaet vast , wy zullen moeten duicken , En buigen onder hem .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.2	Wie dat niet ziet , is blint .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.3	Wie anders slaef wil zijn ; ick ben zoo niet gezint .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.4	Ick laet my langer met geen droomen ringelooren .	None
vond001jose05_01.TEI.2.text.body.div.sp.516.s.5	Wy zijn zoo goedt als hy , en van een stam geboren .	None
vond001jose05_01.TEI.2.text.body.div.sp.521.s.1	Met reden , trapt hem , eer hy ons op 't harte trap .	None
vond001jose05_01.TEI.2.text.body.div.sp.521.s.2	Lacht al die droomen uit : beschimpt zijn wetenschap .	None
vond001jose05_01.TEI.2.text.body.div.sp.525.s.1	Dit stuck wil over 't landt uit alle torens kraeien .	None
vond001jose05_01.TEI.2.text.body.div.sp.529.s.1	Hier is geen haen ontrent .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.531.s.1	Iu	None
vond001jose05_01.TEI.2.text.body.div.sp.533.s.1	Hoe zal men vader paeien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.539.s.1	Met logens en bedrogh : zijt hier voor onbevreest .	None
vond001jose05_01.TEI.2.text.body.div.sp.539.s.2	Wie niet stofferen kan , ontbreeckt of brein of geest .	None
vond001jose05_01.TEI.2.text.body.div.sp.539.s.3	Men stroy dat eenigh wildt hem levend heb verslonden .	None
vond001jose05_01.TEI.2.text.body.div.sp.543.s.1	En komt dit aen den dagh ; en wort dit valsch bevonden .	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.1	Dan wijder raet geleeft : nu nergens in gedut .	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.2	Men breeck hem strax den neck , en offer 't lijf een ' put , Veel jaeren noit gebruickt , daer niemandt koome , of zelden .	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.3	Wie meldt dat stuck , indien wy zelfs het slechts niet melden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.551.s.4	Allang genoegh beraên , een ieder geef zijn stem .	None
vond001jose05_01.TEI.2.text.body.div.sp.557.s.1	Zoo 't Ruben niet bestemt , heeft al dit werck geen klem .	None
vond001jose05_01.TEI.2.text.body.div.sp.557.s.2	Het moest een parigh gaen , of deze koort zou breecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.557.s.3	Men vraegh den oudsten raet : hy komt : ick ga hem spreecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.562.s.1	Ga heen , maer zie wel toe , noch maeck het niet te lang .	None
vond001jose05_01.TEI.2.text.body.div.sp.562.s.2	Want wie ons tegenstemt , gaet licht den zelven gang .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.564.s.2	Ruben .	None
vond001jose05_01.TEI.2.text.body.div.sp.566.s.1	GHy komt nu recht van pas , om meê uw stem te geven .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.568.s.1	Ru .	None
vond001jose05_01.TEI.2.text.body.div.sp.570.s.1	Waer toe toch ?	None
vond001jose05_01.TEI.2.text.body.div.sp.575.s.1	Joseph komt : men raetslaeght om hem 't leven Te nemen , en een ' poel te dempen met zijn lijf .	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.1	Mijn hairen staen te berge , en al mijn leden stijf .	BodyPart_BodilyProcess_Disgust
vond001jose05_01.TEI.2.text.body.div.sp.587.s.2	O gruwelijcke daet !	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.3	sta van my : tre niet nader .	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.4	Wy broeders voortgeteelt , van eenen zelven vader , Wy tacken van een ' stam , de klaeuwen zoo verwoet Aen onzen broeder slaen ; te plassen in dat bloet ; Het vaderlijcke hart in broeders borst doorstooten ; Dien ouden kouden man van 't waerste pant ontblooten .	None
vond001jose05_01.TEI.2.text.body.div.sp.587.s.5	My gruwelt dat ick 't hoor : om Godts wil , zwijgh toch stil .	None
vond001jose05_01.TEI.2.text.body.div.sp.592.s.1	En of ick zwijgh of spreeck , 't is aller broedren wil .	None
vond001jose05_01.TEI.2.text.body.div.sp.592.s.2	Het vonnis wort gevelt : men zal ' er recht meê doorgaen .	None
vond001jose05_01.TEI.2.text.body.div.sp.599.s.1	Meê doorgaen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.599.s.2	laet eens zien : ick zal dien jongen voorstaen , En eerst verdadigen , zoo lang ick adem schep ; Zoo lang ick hart in 't lijf , en bloet in d'adren heb .	None
vond001jose05_01.TEI.2.text.body.div.sp.599.s.3	Vervloeckt ' er stuck wert noit van menschen voorgenomen .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.1	Zy roepen vast : slaet acht op zijn verwaende droomen .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.2	Hy arbeit elck den voet te zetten op den strot .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.3	De blinde vader eert gelijck een aerdschen Godt , Dat troetelkint , 't welck ons zoo eerlijck af kan maelen , En lust schept , om 't gezin en ieder te behaelen .	None
vond001jose05_01.TEI.2.text.body.div.sp.608.s.4	Wat Joseph doet , dat 's wel : wy hebben 't strax verkerft .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.1	Wat schelmstuck recht men aen , dat niet en wort geverft , En met een ' glimp verciert ; maer of men 't cier met woorden ; Hoe schoon men dit vergult ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.2	men leit met broedermoorden Geen eere in , alzoo lang men ergens menschen vint , Die noch in reden staen .	Honor_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.639.s.3	De droomen van een kint Bestellen die nu stof , om dus , als woeste dieren , Als wolven op een lam , te huilen en te tieren ?	EmotionalAction_Hatred_Envy
vond001jose05_01.TEI.2.text.body.div.sp.639.s.4	Misgunt men 't gryze hooft ; dat het met Rachels kroost Wat spelende , voor 't endt zijn ouderdom vertroost , Met zulck een wintervrucht ?	Emotion_Envy
vond001jose05_01.TEI.2.text.body.div.sp.639.s.5	wat hindert dat ons allen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.6	't Is vaders zinlijckheit , die is op 't kint gevallen .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.7	Natuur heeft dezen knaep wat meer dan ons gegunt .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.8	't Gewas valt niet alleens : en acht men dit een punt Wel waerdigh , om zoo zwaer te wegen en te wicken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.9	Om 't hart tot woên , de vuist tot moorden aen te pricken Heeft hy den vader iet gulhartigh aengebraght ; Zijn meening was noit quaet , of niet , gelijck men 't acht , En opneemt , om terstont zoo grimmigh op te stuiven .	HeavyHeartedness_Emotion_EmotionalAction_Hatred_BodyPart_BodilyProcess_Anger
vond001jose05_01.TEI.2.text.body.div.sp.639.s.10	Dat kint is zonder gal , gelijck de simple duiven .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.11	Een bloem , van zestien jaer , of naulix zeventien , Te trappen op het veldt , daer 't Godt en d'Englen zien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.12	Ay broeder , hoornaer my : laet die gedachten vaeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.13	Al had hy schult , verschoon den jongen , om zijn jaeren , Om zijn onnozelheit , om vaders halven , of Om Godt , die 't leven gaf , en adem blies in 't stof .	None
vond001jose05_01.TEI.2.text.body.div.sp.639.s.14	En ( heb ick iet verdient ) verschoon hem mijnent halven , En help my , naer uw maght , dien wrock die wonden zalven .	Emotion_BodyPart_Sadness_Spitefulness
vond001jose05_01.TEI.2.text.body.div.sp.648.s.1	Zal ick , om Josephs wil , my steecken in gevaer Van 't leven ?	None
vond001jose05_01.TEI.2.text.body.div.sp.648.s.2	neen , dat pack valt mijnen hals te zwaer .	None
vond001jose05_01.TEI.2.text.body.div.sp.648.s.3	Lust u een proef te doen , tot redding van zijn leven ; Begin vry ; ick zal u daer in niet tegenstreven , Noch 't vonnis hinderen ; maer aenzien met gedult Het algemeen besluit , zoo draegh ick scha noch schult .	None
vond001jose05_01.TEI.2.text.body.div.sp.652.s.1	Biet ghy my niet de hant , die vlack zal op u kleven .	None
