stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin van Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.12	Zou hun getergde wraak dien vreemdeling niet treffen , En my niet dwingen , my , met oneer overlaên , By 't breken myner trouw 't voogdyschap te ondergaan ?	Emotion_Loyalty_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.sp.263.s.13	Gy zult , na ryp beraad , myn weigring billyk keuren .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.14	Laat dit gevoelig hart myn ' vaders dood betreuren .	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.1	Ik treur , om 't zwaar verlies , met u .	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.2	Maar ach !	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.3	ontslaat Die smart my van de zorg voor uw ' gedreigden staat ?	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.4	Wie , van 't geheim bewust , misleid uw zwakke zinnen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.5	'k Wist Meerhem , met een deel der edelen , te winnen : Stemt Altena , Leerdam , en Voorne heimlyk niet In uw ' gewenschten echt en 's bruîgoms landgebied ?	None
stee033adag01_01.TEI.2.text.body.div.sp.278.s.1	Zal hun gewonnen stem myn ' voogd , graaf Willem , stuiten , En all ' den adel in uw ' toeleg doen besluiten ?	None
stee033adag01_01.TEI.2.text.body.div.sp.289.s.1	Gy doemt , uit ydle vrees , uit onervarenheid , Uit wantrouw , die my hoont , een heilzaam staatsbeleid .	Suspicion_Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.289.s.2	't Is noodig dat myn zorg uw tedre jeugd bestiere , En Dordrecht dezen dag uw vorstlyk huwlyk viere .	None
stee033adag01_01.TEI.2.text.body.div.sp.289.s.3	De Stichtsche bisschop zelf , in uw belang gebragt , En ieder oogenblik uit Utrechts wal verwacht , Zal in de hofkapel de plegtigheid voltrekken , En door zyne achtbaarheid ons voor misnoegden dekken .	None
stee033adag01_01.TEI.2.text.body.div.sp.293.s.1	Dat Amstel u 't gevaar van 't heilloos huwlyk toon ' !	None
stee033adag01_01.TEI.2.text.body.div.sp.297.s.1	Geen vrees weêrhoud u ; neen : gy haat den graaf van Loon .	Fear_Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.sp.318.s.1	Ach !	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.2	haat ik Lodewyk ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.sp.318.s.3	Kan zich myn min verbergen ?	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.sp.318.s.4	Gy , die myn zwakheid weet , moet gy myn driften tergen , Opdat myn teder hart , naar uw begeerte , in 't end ' Myne eer , myn ' kinderpligt , myn ' vaders glorie schend ' ?	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.318.s.5	Myn boezem voelt een ' stryd van vyandlyke togten : Myne eerzucht had voor my de zege reeds bevochten , Indien uw bystand voor de liefde , die my blaakt , Myne overwinning niet bezwaarlyk had gemaakt .	Honor_Emotion_Hatred_Greed_BodyPart_BodilyProcess_Love_Anger
stee033adag01_01.TEI.2.text.body.div.sp.318.s.6	Zie , zie uwe Ada voor uw voeten neêrgebogen ; Betoon myn zwakke jeugd een gunstig mededoogen ; Geef my bewyzen van een moederlyk gemoed ; Hernieuw in my de kracht van 't vorstlyk heldenbloed .	Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.sp.318.s.7	Dat bloed , in my gevloeid uit u en uit myn ' vader , Bewege uw straffe ziel voor hem en my te gader !	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.8	Zo blyk ' dat gy zyn ' wil , zyn ' laatsten wil ontziet !	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.9	Herdenk zyn min tot u ; verdruk zyn dochter niet ; Laat af meer voedsel aan myn ' liefdegloed te geven .	Emotion_BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.sp.318.s.10	Indien gy wreed volhard , berooft ge my van 't leven .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.1	Wat gaat u aan ?	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.2	Rys op .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.3	Myn toeleg is een blyk Der moederlyke zucht .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.4	Ik wacht hier Lodewyk : Hy spreke u .	None
stee033adag01_01.TEI.2.text.body.div.sp.326.s.5	Zou zyn min uw glorie niet betrachten ?	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.sp.326.s.6	Hy deelt in onzen rouw , en zal uw ' druk verzagten .	None
stee033adag01_01.TEI.2.text.body.div.sp.333.s.1	Neen ; Hollands erfgravin , onkreukbaar in haar ' pligt , Ontwykt met bittre smart voor eeuwig zyn gezigt .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.333.s.2	Geef hem geen hoop , vorstin ; gy zoud vergeefs hem vleijen .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.sp.333.s.3	Het voegt geen droeve wees te huwen , maar te schreijen .	Emotion_BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.head.334.s.1	Tweede tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.336.s.1	Adelheide , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.1	Het deert my , Hildegaard , in haar ' gepasten rouw , En in myn zwaar verlies , tot die bestemde trouw Myn eenig huwlykspand zo wreed te moeten nopen : Maar buiten 't echtverbond heeft Ada niets te hopen .	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.2	Uit Amstels ydlen schroom spruit al haar tegenstand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.3	Ik vrees , in 't nut bestaan , noch ongeval noch schand ': De graaf , voor Diedriks kroost tot bruîgom uitgelezen , Begaafd met moed en deugd , is waard ' myn zoon te wezen : Dit billykt , in 't gevaar , myn zeldzaam heldenstuk ; Dit moedigt , dit vertroost een weduw in haar ' druk ; En noopt myn ziel , in spyt van Adaas angstig smeeken , Van Willems trotsen haat op 't vinnigst my te wreken .	Fear_Emotion_EmotionalAction_Hatred_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.4	Wat ben ik veel verpligt aan 't hoofd van Utrechts kerk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.5	Die bisschop , my getrouw , voor Willem veel te sterk , Leert my wat meest betaamt aan moederlyke zinnen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.355.s.6	Hy zal de onnutte vrees in Adaas geest verwinnen .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.357.s.1	Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.1	Mevrouw , 't is u bekend hoeveel de min vermag .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.2	Zy werkt in de erfgravin voor 't wettig landgezag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.3	De liefde van uw kroost zal wonderen verrichten , Op dezen grooten dag den ydlen rouw doen zwichten , En , Willems wrok ten spyt , de vorstelyke bruid Doen stemmen , zonder dwang , in 't heilryk echtbesluit .	Emotion_Love_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.371.s.4	Ik heb , sints Diedriks krankte u voor zyn erf deed vreezen , Van uw geheim bewust , myn ' bystand u bewezen , Met list een nutte zege op Adaas hart behaalt , Den jongen Lodewyk behaaglyk afgemaalt , En , deelende in haar smart , in zuchten , tranen , klagten , Een hevig minnevuur verwekt in haar gedachten .	Fear_Emotion_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.376.s.1	Uw hulp , myn Hildegaard , uw list komt my te staê .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.376.s.2	Verzel myn dochter ; sterk de ontvonkte liefde ; ga .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.head.378.s.1	Derde tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.380.s.1	Adelheide ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.1	Ik zal , nu meer dan ooit , op Willem triomferen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.2	Hier moet een magtloos graaf door Adaas echt regeeren , En , tot haar veiligheid in alles my getrouw , Zyn ' naam verleenen aan de wetten van een vrouw .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.3	Ik wil , om niet in schande en slaverny te leven , Aan myn beschroomde kunne een loflyk voorbeeld geven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.4	Myn deugd , door schyn misleid , heeft reeds te lang gestreên .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.5	ô Diedrik !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.6	zou die daad myn ' roem verduistren ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.7	Neen ; Uw fiere weduw moet , om haar gezag te schragen , Tot heil van kroost en land een ' stouten toeleg wagen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.8	Al eisch ik Adaas echt , noch schrei ik om uw dood : Myn hart vergeet u niet : zy huwe uit hoogen nood !	BodyPart_BodilyProcess_Dedication_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.9	Hoe kan uwe Adelheide uw ' laatsten wil volbrengen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.10	Hoe kan ze Oostvrieslands graaf in 't hoog bestier gehengen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.11	Die wrevle streed weleer onwettig om 't gebied ; En ik , die hem verjoeg , zwicht noch voor Willem niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.12	ô Staatzucht !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.13	voed myn ' haat , om 't graaflyk huis te dekken ...	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.401.s.14	Maar Lodewyk genaakt ; ik zal 't besluit voltrekken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.382.s.1	alleen .	None
stee033adag01_01.TEI.2.text.body.div.div.head.404.s.1	Vierde tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.406.s.1	Adelheide , Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.408.s.1	Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.1	Mevrouw , heeft uwe zorg de droevige erfgravin , Naar uw belofte , alreê verzekert van myn min ?	Emotion_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.2	Wat zegt haar schoone mond ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.3	zal ik gelukkig wezen ?	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.4	Wat heeft myn blakend hart te hopen ?	Emotion_Hope_BodyPart_BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.5	wat te vreezen ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.6	Hoeveel een versche rouw haar tedre ziel beklemm ' , Hoe noode uw droeve spruit tot huwlyksblydschap stemm ' , Uw zeldzaam staatsbesluit is echter niet te doemen ; Men moet , in 't landgevaar , uw nutte voorzorg roemen .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.7	Zoud gy , indien uit nood geen staatsheil wierd bedoeld , Zoud gy , graaf Diedriks weeûw , die 't zwaarst verlies gevoelt , Vóór Diedriks uitvaart wel een plegtig huwlyk vieren ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.422.s.8	Maar zal Oostvrieslands graaf als voogd dit land bestieren , Dat die staatzuchtige begeert in eigendom ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.432.s.1	Neen ; Holland zy voor u , voor Adaas bruidegom !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.432.s.2	Hoop alles , Lodewyk : uw bruid , niet onverschillig Voor uw doorluchte min , zal dezen dag vrywillig , Tot heil van hof en volk , naar 't huwlyksouter treên : Ja , schoon ze onmatig kwynt in zuchten , in geween , En , voor myn aanzoek doof , zichzelf bestryd in 't minnen ; Verwacht een wisse zege op hare ontstelde zinnen .	Emotion_Hope_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.437.s.1	Zy mint my !..	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.437.s.3	wat baat die neiging van haar hart , Indien ze uw ' aanslag doemt in de overmaat van smart ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.1	Nu my de wreedste slag het waardste pand doet missen , Nu gy door heldenmoed myn tranen af moest wisschen , Maakt u de onnutte rouw der zwakke bruid bevreesd !	Fear_Emotion_BodyPart_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.2	Hoe !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.3	deert my 't onheil minst ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.4	trest Diedriks dood haar meest ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.5	Ik treur , maar poog metëen myn ' vyand voor te komen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.6	Ik had , in 't groot verlies , geen ' toeleg ondernomen , Indien natuur , bezorgd voor 't erfrecht van myn bloed , Geen sterke pooging deed op myn beklemd gemoed .	HeavyHeartedness_Worry_Emotion_BodyPart
stee033adag01_01.TEI.2.text.body.div.div.sp.451.s.7	Maar u , dien 't landgezag als graaf word opgedragen , Met Adaas hand en hart , u voegt het niet te klagen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.1	'k Waardeer dat landgezag , 'k waardeer haar harten hand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.2	Denk echter dat haar druk het zoet der min verbant , En haar beletten zou in myn geluk te stemmen , Indien de hoogste nood uwe echtkeur niet deed klemmen .	Emotion_Happiness_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.3	Uw moed is groot , vorstin : gy red haar erfgebied , En zwygt , in all ' uw ' rouw , den schimp dien gy voorziet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.4	Hare eer , 't is my bekend , kan 't noodig huwlyk lyden ; Maar zal de onnoozle bruid de lastertaal vermyden ?	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.5	Ik voed , in die gedachte , een pynlyk voorgevoel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.6	Zy zal , aan wreeden smaad en bitsen hoon ten doel , Al smelt ze om haar verlies in ongeveinsde tranen , Misdadig zyn in 't oog van rustlooze onderdanen .	BodyPart_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.468.s.7	Ik noem uw dier geschenk de bron van myn geluk ; Maar de oorzaak van myn heil is de oorzaak van myn ' druk .	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.478.s.1	Uwe Ada zal niet lang by 't volk misdadig wezen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.478.s.2	Men heeft in 't nut bestaan geen ' hinderpaal te vreezen , Nu Willems afgezant , met recht by my verdacht , Na 't heimlyk huwen eerst in Holland word verwacht .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.478.s.3	Bemin haar glorie vry ; toon u haar liefde waardig , Opdat uw groote ziel myn keur alom rechtvaardig ' , En all ' de harten van uwe onderdanen winn ' !	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.head.480.s.1	Vyfde tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.482.s.1	Adelheide , Lodewyk , Reinoud .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.486.s.1	Hoe , Reinoud !	BodilyProcess_Love_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.486.s.2	stoort gy ons ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.489.s.1	Reinoud .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.493.s.1	Op Amstels beê , vorstin .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.493.s.2	Hy schynt in 't heimelyk van zorgen ingenomen , En wenscht op 't spoedigste u te spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.497.s.1	Laat hem komen .	None
stee033adag01_01.TEI.2.text.body.div.div.head.499.s.1	Zesde tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.507.s.1	Hy waakt , ô Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.507.s.2	voor uw aanstaand gezag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.507.s.3	Gy , die omzigtig u , vóór dezen huwlyksdag , In Holland hield bedekt , kent noch niet all ' uw vrinden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.512.s.1	Ontziet zich Amstel niet dat stuk zich te onderwinden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.512.s.2	Durft hy zyn open land zo wagen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.512.s.3	hoe , mevrouw !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.522.s.1	Ik heb een ' wissen borg voor zyn verdachte trouw : Zyn leenheer , die hem noopt in ons belang te deelen , Die hem in dwang houd door beloften en bevelen , Het geestlyk hoofd van 't Sticht verzekert ons van hem .	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.522.s.2	Gy weet des bisschops hulp .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.522.s.3	Hy geeft myn ' toeleg klem , Bedoelt met my 't behoud van Adaas veege slaten , En 't waar geluk der Zeeuwsche en Hollandsche onderzaten .	None
stee033adag01_01.TEI.2.text.body.div.div.head.524.s.1	Zevende tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.526.s.1	Adelheide , Lodewyk , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.531.s.1	Treed nader , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.531.s.2	Zie , in Adaas bruidegom , Een deugd , die haar verdient met al haar eigendom .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.533.s.1	Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.539.s.2	mogt zy nooit , mynheer , met u haar ' val beweenen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.539.s.3	Oostvrieslands afgezant , vorstin , is reeds verschenen ; Hy is dit oogenblik gesneld in Dordrechts wal .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.539.s.4	Wacht fluks zyn aanzoek om gehoor .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.543.s.1	Wat ongeval !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.548.s.1	Wat doet dien afgezant zo driftig herwaarts spoeden Vóór zyn ' bestemden dag ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.548.s.2	Dit baart me een vreemd vermoeden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.552.s.1	Zou hy verwittigd zyn van 't heimlyk echtbesluit ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.558.s.1	Verraad een valsche tong de vorstelyke bruid ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.558.s.2	Moet ik , nu Diedriks dood my doet als weduw zuchten , Bedekte vyanden en oproerstichters duchten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.571.s.1	Het is noch tyd , vorstin , van 't opzet af te staan , 't Vermyde landbestier van Willem te ondergaan , Te zorgen dat geen twist het graaflyk erf verniele , De burger , opgehitst , den burger niet ontziele , Ja dat het woest geweld , dat geen gezag erkent , Uw eigen hoofd niet treffe in algemeene elend ' , En Adaas dierbaar bloed by 't uwe niet doe stroomen : Het is noch tyd , mevrouw , die rampen voor te komen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.571.s.2	Vrees min graaf Willem in bepaalde landvoogdy , Dan 't onbedwingbaar volk in dolle muitery .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.580.s.1	Schoon my geen laffe schrik in 't groot bestaan doet vreezen , Ik zonder Adaas echt niet kan gelukkig wezen , En 't groeijend minnevuur eene onverdraagbre smart , By 't mindren van myn hoop , verwekt in 't jeugdig hart ; Ik zou , tot heil der bruid , myn liefde en staatzucht wraken , Indien ons trouw verbond haar zou rampzalig maken .	Fear_Emotion_Happiness_Hope_BodyPart_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.584.s.1	Ik weet noch midlen tot verhindring van 't verraad .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.595.s.1	Men kent uw ' moed , vorstin , uit menig dappre daad : Gy hebt den toeleg van graaf Willem doen verdwynen , Toen hy , die 't heilig land in 't bloed der Sarazynen Zeeghaftig had geverft , moest vluchten voor uw staal : Heldin , den landzaat heugt uw groote zegepraal : Maar de adel , toen vereend om Willem af te keeren , Zal in 't voogdyrecht nu hun eigen recht verweeren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.599.s.1	Niet allen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.605.s.1	Ada beve , indien men 't erfdeel stelt In de eensverwonnen magt van dien getergden held !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.605.s.2	Word die staatzuchtige ooit , vorstin , met u bevredigd ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.1	Wy achten wederzyds te vinnig ons beleedigd .	Offended_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.2	Vermeetle vyand !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.3	wierd Oostvriesland niet ten leen ' Door Diedrik u vergund ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.4	Voldoet het u ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.5	ô Neen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.6	En zou de landvoogdy u meer voldoening geven ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.7	Ding weêr naar de oppermagt ; 'k zal eeuwig u weêrstreven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.8	De looze Hugo is Oostvrieslands afgezant : Schoon hy nooit hier verscheen , men kent zyn scherp verstand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.9	Hy kan , door logentaal , het wufte volk doen muiten , Indien hy weet waartoe de nood my deed besluiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.10	Maar 't weinige oorlogsvolk , gelegd in Dordrechts wal , Beveiligt ons genoeg voor nadrend ongeval , Zolang de hoofden van die bende en van myn wachten , Door logens niet misleid , hunn ' dieren eed betrachten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.11	Myn wil is dat men fluks alom 't geheim ontdekk ' , En in dit eigen uur het echtverbond voltrekk ': My lust den afgezant van Willem voor te komen , Opdat soldaat en wacht , niet snood vooringenomen , Niet blind voor 't waar belang van hof en onderdaan , Volharden 't graaflyk huis in tweespalt by te staan !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.628.s.12	Intusschen dat men hier op 't plegtigst Hugo leide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.633.s.1	Gy geeft my 't leven weêr , heldhaftige Adelheide !	None
