noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz de Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.11	niets zou daaraan ontbreken , Zo niet door 't strenge , dat in alles u bestiert , Het vaderlyke hart door zorg belemmerd wierd .	Worry_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.sp.315.s.12	Ach !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.13	zocht gy , naar myn ' wensch , ten top van staat gerezen , Nadezen min gevreesd , en meer bemind te wezen !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.14	Word , ( dit zy 't loon van 't geen ik voor u heb bestaan , ) Van strengen raadsheer , steun van ieder onderdaan .	None
noms001mich01_01.TEI.2.text.body.div.sp.speaker.317.s.1	de jonge valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.sp.338.s.1	Uw zoon , die nooit de gunst zyns vaders zal vergeten , Word , zo hy 't zeggen durft , met onrecht streng geheten .	None
noms001mich01_01.TEI.2.text.body.div.sp.338.s.2	Voorzien van weinig volk dat ons geloof belyd , Omringd van heidenen , genegen tot den stryd , Door volk welks groot getal , aan de uitgestrekte zoomen Van 't Westlyke Afrika , met reden is te schroomen ; Op welks geschroeiden huid en hoogst misvormd gelaat Natuur een verf verspreid met recht door ons gehaat ; Welks bloed van 't vuur der zon , gezeteld in deze oorden , Een hitte ontleent die slechts zich tempren laat door moorden , En schaars zich koelen laat , dan in 't veel kouder bloed Van ons , wier heerschappy 't , zyns ondanks , eeren moet ; En welks verwoedheid hen zo verr ' zich doet verloopen , Dat zy , uit vrekheid , ons hun bloed , als slaafsch , verkoopen : Door zulk geboefte omringd , verwyderd van ons land , Hou ' hier de vrees alleen de woestheid in den band .	Fear_Emotion_Hatred_BodyPart_BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.sp.338.s.3	Een diep ontzag , gevergd van ónze landgenooten , Moet in dit zwart gespuis 't ontzag voor ons vergrooten .	Emotion_Awe
noms001mich01_01.TEI.2.text.body.div.sp.338.s.4	De vreugd , die 't volk deez ' dag om myn verheffing uit , Betoont ons dat ons volk myn strengheid niet misduid .	Joy_Emotion_Happiness
noms001mich01_01.TEI.2.text.body.div.sp.387.s.1	De schynglans van een ' rang , myn zoon , verblind u de oogen : Gy kent het volk niet , neen !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.2	door nieuwigheên bewogen , Gelyk het vlak der zee door 't buldren van den wind , Is 't by elk nieuwigheid tot uiterstens gezind .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.3	't Voegt u de vreugd des volks op 't hoogst bedaard te aanschouwen : Een heerscher moet het volk beminnen , en mistrouwen .	Suspicion_Joy_Emotion_Love
noms001mich01_01.TEI.2.text.body.div.sp.387.s.4	Geloof my vry , myn zoon , hoe vreemd het u ook schyn ' , 't Gemeen neigt schaars tot vreugd dan om verheugd te zyn : Het ziet u dezen dag ten top van staat verheven ; Dus waant het aan zyn vreugd den toom te moeten geven ; 't Grypt een gelegenheid om zich één ' dag te ontslaan , Van zorgen zyns beroeps ten hoogste gretig aan .	Joy_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.387.s.5	Het redenkavelt niet by 't uitgelaten tieren , Of 't beter zich door u dan my zal zien bestieren ; Genoeg is 't als hun hart zich slechts door vreugd verkwikt .	Joy_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.sp.387.s.6	Natuur , die wyslyk werkt , heeft dit hoogst wys geschikt : Nooit moet het wuft gemeen zyn ' waren stand bezinnen ; 't Voel ' schaars de afhangklykheid , wanneer 't die zal beminnen .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.7	Wat ons betreft , myn zoon ! 't aanzienlykst ampt van staat Is een zorgkwekend goed , dat in de dood vergaat .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.8	Hoe u 't gezag bekoor ' , 't is noch voor my verborgen Of hy die zich verbind voor 's volks geluk te zorgen , Of 't volk , dat blindlings buigt voor de opperheerschappy , Het meest beklag verdient , en slaaf te noemen zy .	EmotionalAction_Awe
noms001mich01_01.TEI.2.text.body.div.sp.387.s.9	Wat uw begrip betreft van zwartzynde onderzaten ...	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.10	Hoe !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.11	voegt ons , Christnen !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.12	hen om hunne verfte haten ?	Emotion_Hatred
noms001mich01_01.TEI.2.text.body.div.sp.387.s.13	Natuur , die op bevel haars meesters 't all ' verricht , Verbond de deugd van 't hart aan 't blank noch 't zwart gezigt .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.14	Wy zyn , bestraald door 't licht dat zy , helaas !	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.15	ontberen , Verfoeilyker dan zy , zo wy door dwang hen deeren .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.16	De mensch sproot uit één ' stam : natuur wil dus geen ' dwang .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.17	Doch , dit ter zy ' gesteld , bedenk uw waar belang .	None
noms001mich01_01.TEI.2.text.body.div.sp.387.s.18	De Brit , baldadig trots op 't vreeslyk zeevermogen , Dreigt ons op nieuw met een ' der bloedigste oorelogen .	Emotion_Pride
noms001mich01_01.TEI.2.text.body.div.sp.387.s.19	Dat volk , dat in zyn land alle overheersching vloekt , Daar 't op de zee voor zich een overheersching zoekt ; Onwillig ooit gerust een ' konings wil te hooren , Daar 't zich van zyns gelyk ' vernoegd laat ringeloren ; De vryheid tegen 't hof der koningen verweert , En van den wil des volks met drift de wet begeert ; Heeft reeds , door Holmes vloot , naar dit gewest gedreven , Ons op dees kust bewys van vyandschap gegeven .	EmotionalAction_Hatred_BodilyProcess_Desire
noms001mich01_01.TEI.2.text.body.div.sp.387.s.20	Waant gy den neger , ééns afkeerig van uw ' dwang , Genegen , en gereed ten dienst van uw belang ?	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.1	De Britten , hoe geducht , doen my in 't minst niet schroomen : De Ruiter is gereed ter zee hen op te komen .	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.413.s.2	Die held , die meer dan ééns hen de eer der zege ontdroeg , En menigmaal den schrik in hunne vloten joeg , Behoeft niet eens de magt der Britten aan te randen ; Zyn naam alleen verschrikt die waterdwingelanden .	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.413.s.3	Die Holmes , 't hoofd der vloot eens volks ter zee geducht , Is reeds De Ruiters magt , zelfs zonder slag , ontvlugt ; Hy durft , schoon ruim zo sterk , niets met De Ruiter wagen ...	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.4	Tot Holmes val heeft slechts De Ruiter op te dagen !	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.5	Goêrede is reeds verheerd , en , volgens 't jongst bericht , Heeft Neêrlands admiraal daar de ankers reeds gelicht , Om zich tot onze hulp te spoeden door de stroomen .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.6	Wy hebben thans voor 't eerst De Ruiters komst vernomen : 't Geen van zyn wys beleid een sprekend blyk verstrekt , Is , dat hy dezen togt zo kunstig heeft bedekt .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.7	Hy , voor wien de overmagt zo dikwyls is bezweken , Behoeft geen negerhulp om Neêrlands sinaad te wreken .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.8	Zyn zeldsaam krygsgeluk , zyn deugd , zyn dapperheid , Zyn roem , alom bekend , zyn wonderbaar beleid , Dit alles maakt den held ontzaglyk in elks oogen .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.9	Zo hy den bystand eischt van 't binnenlandsch vermogen .	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.10	Geef , Hemel !	None
noms001mich01_01.TEI.2.text.body.div.sp.413.s.11	dat myn moed den sieren zeeheld blyk ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.1	Wensch liever dat uw deugd de deugd des helds gelyk ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.2	Hy , 't hoofd van Neêrlands vloot , vrymagtig in 't gebieden , Wint , door bestraffing zelfs , het hart der oorlogslieden , En tempert steeds , zo 't slechts met de eer der wet besta , De strengheid van de wet , barmhartig , met genaê .	Emotion_BodyPart_Love_Compassion
noms001mich01_01.TEI.2.text.body.div.sp.443.s.3	Tracht , wilt ge u zien gevreesd en tevens aangebeden , Dien held in 't spoor der deugd onwrikbaar na te treden .	Fear_Emotion_Love
noms001mich01_01.TEI.2.text.body.div.sp.443.s.4	't Is minzame ernst , myn zoon !	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.5	die meest de menschen vleit , Begin uw landbestier met goedertierendheid .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.6	Toon altyd grooter zucht tot goedheid dan tot straffen .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.7	Gy ziet u door 't geval gelegenheid verschaffen , Te toonen dat uw hart op 't edelst vatbaar is Voor 't geen een ' held meest eert , dat is de deerenis .	Emotion_Compassion
noms001mich01_01.TEI.2.text.body.div.sp.443.s.8	La Borde , die my ééns 't wraakzuchtig krygsvermogen Van 't woest Fantynsche volk trouwhartig heeft onttogen , Ja , met zyn lyfsgevaar , my , die u 't leven gaf , Heldhaftig heeft bevryd van slaverny of graf , Toen 't negervolk , beroerd door 't boos beleid der Britten , Een ' aanval deed op 't geen wy op dees kust bezitten ; La Borde , ( die dit volk , ten steun van onze magt , Door moed en wys beleid , heeft aan myn zy ' gebragt , ) Door last des raads , daar hem een doodslag wierd verweten , Verwezen tot de koord , ten ladder afgesmeten , Doch op een wondre wyz !	Emotion_Loyalty_Vindictiveness
noms001mich01_01.TEI.2.text.body.div.sp.443.s.9	, gelyk gy weet , gespaard , Word , andermaal ter straffe , in 't kerkerhol bewaard .	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.10	De raad begeert zyn bloed ..	None
noms001mich01_01.TEI.2.text.body.div.sp.443.s.11	Mogt gy die strengheid stuiten !	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.1	Duld datuw zoon , mynheer !	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.2	zyn mening vry moge uiten .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.3	'k Beklaag La Bordes lot ; maar ik beklaag den man , Omdat men zulk een lot hem waardig noemen kan .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.4	't Is waar , zyn heldenvuist ; zyn yver spaarde u 't leven ; Maar kon dit tot een ' moord dien krygsman vryheid geven ?	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.5	Want , hoe men 't ook beschouwe , een haatlyk tweegevecht Is moordery , wat eer de dwaling daaraan hecht ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.6	Gy waart het die , ten loon zyns moeds , dien ik moest roemen , Hem , van gemeen ' soldaat , tot hopman deed benoemen : Dus hebt gy hem betaald voor 't geen hy heeft bestaan , Zyn misdryf heeft daarna zyn ' roem te niet gedaan .	None
noms001mich01_01.TEI.2.text.body.div.sp.461.s.7	Gyzelf , gy hebt den raad niet kunnen overreden Deez ' krygsman niet te doen het straftooneel betreden ; En wilt gy dat uw zoon zyn landbestier beginn ' Met inbreuk op de wet , spyt ieders wederzin ?	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.1	Neen , verr ' van met dien eisch uw ' fieren geest te kwellen , Wilde ik alleen u doen tot uitstel overhellen : Wacht tot 's lands admiraal hier aangekomen is , En smeek dien held dat hy La Bordes lot besliss ' .	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.2	De strengheid van de wet ontzegt dien krygsman 't leven ; Wat ik tot zyn behoud erkentlyk heb bedreven , De meerderheid des raads , de sterke stem der wet , Heeft my het sparen van den schuldigen belet .	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.3	Het lot wil u , myn zoon , meer gunst dan my betoonen : Licht kunt gy redden hem dien ik niet kon verschoonen .	None
noms001mich01_01.TEI.2.text.body.div.sp.479.s.4	Wanneer 's lands admiraal , ( met ongeduld verwacht , ) Het vonnis van den raad , naar mynen wensch , verzagt , Zal nooit de fiere raad zich billyk kunnen stooren , Om 't geen ...	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.1	De raad zal nooit van uitstel willen hooren : Ongaarne zal men hem zyn rechten af zien staan .	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.2	Men drong my reeds ter straf van myn ' gevangen aan .	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.3	Hoe veel ik hier vermag , men kan my kwalyk vergen In 't groeijend ' landgevaar den raad des lands te tergen .	None
noms001mich01_01.TEI.2.text.body.div.sp.488.s.4	Indien ik 't vonnis schors , ik kwets hem in zyne eer .	Honor_Emotion
noms001mich01_01.TEI.2.text.body.div.div.head.490.s.1	Tweede tooneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.492.s.1	valkenburg , de jonge valkenburg , een hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.494.s.1	de hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.496.s.1	La Bordes echtgenoot verzoekt gehoor , mynheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.502.s.1	Wys haar niet af , myn zoon .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.502.s.2	Toon haar uw mededoogen , Wees met de tranen van elendigen bewogen .	Emotion_BodyPart_Compassion_Moved_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.502.s.3	Ontzeg den toegang niet aan treurenden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.1	Welaan !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.2	Zy kome .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.3	Ik ben bereid om haar te woord te staan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.4	Doemt gy my myn bestier , ô Hemel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.5	aan te vangen Met stryden met natuur , de wet en myn belangen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.6	Is dit myn lot !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.516.s.7	Men komt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.508.s.1	Tegen den hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.511.s.1	Tegen zyn ' vader .	None
noms001mich01_01.TEI.2.text.body.div.div.head.519.s.1	Derde tooneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.521.s.1	valkenburg , de jonge valkenburg , mevrouw la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.523.s.1	mevrouw la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.1	Het belge u niet , mynheer , Dat ik op dezen dag , zo gunstig voor uwe eer , In 't midden van uw vreugd om 't ampt u opgedragen , By 't algemeen gejuich , u nadren durf met klagen .	Offended_Joy_Emotion_EmotionalAction_Unhappiness_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.2	Geen sterfling deelt zo veel als ik in uw geluk ...	Emotion_Happiness
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.4	deelde ook Valkenburg in myn ' gerechten druk !	HeavyHeartedness_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.5	Men zegt , en dit gerucht doet my dit uur u nadren , En jaagt elk oogenblik den doodschrik door myne adren , Dat gy , op drang des raads , myn ' dierbren echtgenoot Op overmorgen zult doen straffen met de dood : Is 't waarheid ?	Fear_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.535.s.6	zal men hem op nieuw ter strafplaats ruk ken ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.1	Myn hart neemt waarlyk deel in de angsten die u drukken ; Acht my niet koel op 't zien van uwen tranenvloed ; 'k Ben daar gevoelig aan , zo veel ik 't wezen moet .	Fear_Emotion_BodilyProcess_Compassion_Other_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.2	Uw ramp spreekt in myn hart , gelyk 't betaamt ; maar echter De wet en 't heilig recht spreekt sterker ; ik ben rechter , En meer , 'k ben hoofd van 't recht ; en dus betaamt het my Dat de inspraak van de wet by my steeds heilig zy .	BodyPart_Compassion
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.3	Ik heb , zelfs dezen dag , dit weet gy , dier gezworen De wetten te achten , niets dan haren eisch te hooren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.4	De raad verwees , uit naam van 't recht , uw ' echtgenoot , Ter straffe eens tweegevechts , ter straffe eens moords , ter dood ; Daar nu de koord geenszins den schuldigen deed sneven , Is 't vonnis niet volvoerd , dus blyft het vonnis leven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.5	De moorder heeft zyn schuld niet aan de wet betaald .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.6	Intusschen is noch 't uur der doodstraf niet bepaald .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.555.s.7	Vraag my niets meerder af in deze omstandigheden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.557.s.1	Me vrouw la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.1	Helaas !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.2	hy zal dan weêr het straftooneel betreden !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.3	Ik word op nieuw gedoemd ter wachting van een ' slag Die my het hart verscheurt !	BodyPart_BodilyProcess_Sadness_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.4	Afgrysselyke dag , Waarop myn echtgenoot , door beulen aangegrepen , Zich zag , op last des raads , ter schand en strafplaats sleepen , Daar hem het smaadlykst lot , ô smart !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.5	was toebereid , Ik zal u wederzien , maar met meer yslykheid !	Emotion_Other
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.6	La Borde , éénmaal als dood ter strafplaatse afgenomen , Zal in der beulen arm niet anderwerf bekomen !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.7	Afgryslyk lot !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.568.s.8	ô Pyn , die my het hart doorsnyd !	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.1	Wyt uw ' gemaal zyn lot , en 't geen gy leed en lyd .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.2	't Was niet genoeg een ' man in 't openbaar te ontlyven , ( Die daad waar ' noch aan drift , schoon strafbaar , toe te schryven , ) Neen !	BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.3	nadat de onverlaat zyn ' vyand heeft gewond , Durft hy hem , half ontzield , noch kwetsen op den grond .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.577.s.4	Is niet de strop een loon te zagt voor zulk een boosheid ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.1	Zyn gade pryst geenszins zo woest een spooreloosheid ; 'k Beken , door 's vyands val was myn gemaal voldaan ; Maar wat kan drift , mynheer , den mensch niet doen bestaan ?	BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.2	Wie leeft ' er die gehoond , getergd , gebragt tot woeden , Zich altyd voor 't geweld der gramschap kan behoeden ?	Offended_Emotion_Shame_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.3	Wierd myn gemaal te verr ' door toorn ' vervoerd , de man Die hem mishandeld heeft was zelf daar de oorzaak van .	Emotion_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.4	Hy hield gewond niet op myn ' echtgenoot te hoonen .	EmotionalAction_Hatred
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.5	Kan zo veel ongelyk La Borde niet verschoonen , Is een te heete drift , ( dat merk van 't Fransche bloed ! ) Doemwaardig , denk , mynheer !	BodyPart_BodilyProcess_Anger
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.6	aan 's hooners overmoed .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.7	Die booswicht , na ontzind in schandtaal uit te spatten , Bestond , voor 't oog myns mans , onkuisch my aan te vatten ; En toen myn echtgenoot my voorstond , volgens pligt , Gaf noch zyn hooner hem een ' slag in 't aangezigt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.8	Wat man van moed zal , ziende een zwakke vrouw onteeren , En dat zyne eigen vrouw , haar rechten niet verweeren ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.9	En welk een man op de aard ' zal dulden dat , daarna , De schender van zyn vrouw in 't aangezigt hem sla ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.10	Voeg hier de teêrheid by des rangs van oorlogslieden : De onteerde krygsman ziet door ieder zich ontvlieden Als eereloos , tot dat zyn moed zyn zaak besliss '; En denk dat myn gemaal een hoofd van 't krygsvolk is .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.605.s.11	Te vert ' getrokken wraak volgt licht een schendig hoonen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.1	Dit pleiten kan geenszins uw ' echtgenoot verschoonen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.2	De weg tot klagen , dien de raad hier nimmer sloot , Stond open , zo voor u als voor uw ' echtgenoot .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.3	Zo rang een ' oorlogsman tot moorden recht zal geven , Wat sterfling zal gerust by krygsvolk kunnen leven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.4	Des krygsmans woestheid strekt den burgren reeds ten schroom ; Men kent zyn toomloosheid : de wet hou ' die in toom .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.616.s.5	Niets spreekt La Borde voor in 't woeste wetverbreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.622.s.1	Spreekt niets hem voor mynheer !....	None
noms001mich01_01.TEI.2.text.body.div.div.sp.622.s.3	laat zyn diensten spreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.622.s.4	Hy heeft uw ' vaders hoofd omtrokken aan de dood , En schonk 't Fantynsche volk ons volk ten bondgenoot .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.626.s.1	valkenburg , tegen zyn ' zoon , ter zyde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.628.s.1	Geef haar en my gehoor .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.628.s.2	Doe ééns uw strengheid zwichten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.631.s.1	de jonge valkenburg , tegen zyn ' vader .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.1	La Bordes dienstbewys was 't voorschrift van zyn pligten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.2	Ik heb 't u reeds gezegd , uw gunst heeft hem voldaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.3	Myn pligt verëischt en raad en wetten voor te staan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.4	Ik bid met ernst , mevrouw !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.637.s.5	my langer niet te kwellen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.640.s.1	mevrouw la borde , zich aan zyne voeten werpende .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.643.s.1	Duld dat ik smeeken moog ' de doodstraf uit te stellen , Tot Neêrlands admiraal ...	EmotionalAction_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.646.s.1	de jonge valkenburg , haar opheffende .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.1	Verg my geen zaak , mevrouw , Die my in landkrakeel onfeilbaar wikklen zou .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.2	Door 't vonnis in de magt des admiraals te geven , Wierd onzen raad door my eene onëer aangevreven : 't Zou zyn alsöf die zelf geen kundigheid bezat , En tot bestier van 't recht een ' ander ' noodig had .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.3	Ik zelf moest , en met recht , zyn ongenoegen vreezen : 'k Was lid des raads , ik heb La Borde meê verwezen ; Zou 't niet onbillyk zyn , dat ik , ( thans opperhoofd , Van wien de raad zich niets dan alles goeds belooft , ) Een vonnis , dat hy my benevens zich zag vellen , Aan de uitspraak van het hoofd van Neêrlands vloot deed stellen ?	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.4	Gy ziet dat ik uw beê niet zonder overleg , Niet zonder reden die gegrond zyn , u ontzeg .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.5	Schryf my geen wreedheid toe .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.6	Ik zou , zo 't kon geschieden , U in uw ongeluk met yver bystand bieden ; En zal met blydschap zien dat straks myn vader waag ' Te vragen van den raad 't geen ik ongaarne vraag .	Joy_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.7	't Verzoek door my gedaan zou voor bevel verstrekken , En dit , gy ziet het klaar , zou mortery verwekken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.8	Bedenk , de zekerheid des lands is in deez ' staat Gegrond op de eendragt van 's lands hoofd en van den raad .	None
