hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. Hooft GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.5	Sonder te dencken , dat in 't cruidt Dickwils slangen gladt van huidt Sijn verholen , Loopt ghij dolen , Maer nochtans hoe seer ghij vliedt , Dat ghij mijn haet , en dunckt mij niet .	Emotion_Hatred
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.6	Want doe wij laest van 's avonts laet Songen tot den dageraedt , Met elckander , En uit d'ander , Tot den dans ick u verkoos , Bloosden uw wangen als een roos .	BodyPart_BodilyProcess_Love_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.7	Mompelen hoord ' ick op dat pas , Dat dat geen quaet teken was , En wanneer , , jck Heel begeerlijck Kussen quam uw mondtjen teer , Repten uw lipjes , docht me , weêr . 'T weigeren , en d'afkeericheit Voecht soo wel niet , alsmen seyt Voor de vrouwen , 'T can haer rouwen , Die geboden dienst versmaedt , Wenschter wel om als 't is te laet .	EmotionalAction_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.8	Sus , sus , wat of ick daer mach hooren Ritselen inde hagedooren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.9	Is sij 't , sij sal mij niet ontvlien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.10	Neen , Dorilea al gesien , Nu suldij hier met geen een kusjen óf , , raken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1328.s.1	Daifilo seg ick , ghy sult het te gróf , , maken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1328.s.2	Daifilo , laet mij staen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1328.s.3	Daifilo , laet mij gaen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1338.s.1	Maer Dorilea , moochdij soo afkerich , , sijn Van 't geen daer alle menschen nae begerich , , sijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1338.s.2	En vlieden stuirs van sin ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1344.s.1	Wat doch ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1348.s.1	De soete min .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1365.s.1	Ghij noemt het soete min , en segt dat gene lieden Behalven ick alleen , de soete minne vlieden , Voort hoor ick van de min soo veel quaets , dat ick gruw , Van yder een , en die geloof ick bet als u .	BodilyProcess_Disgust
hoof001gran01_01.TEI.2.text.body.div.div.sp.1365.s.2	Dus Daifilo , van nu , Laet mij voortaen te vreden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.1	Ach suldij dan dus schuw Uw groene jeucht besteden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.2	Dees teder schoone leden En sijn u niet gegunt , Dat ghijse sonder vrundt Afgunstich soudt verslijten , En eens te laet becrijten , Dat ghij , om niemandt jonst , of wellust te doen aen , Versuimelijcken hebt u selfs te cort gedaen .	BodilyProcess_Sadness_Remorse
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.3	Wilt rekeninge maken Dat dese rose-kaken , En dese lippen varsch , Die gloeyen als een kars , Die nu een yder wenscht te kussen en te stroocken , Sullen van ouderdoom verwelcken , en verschroocken .	EmotionalAction_BodyPart_BodilyProcess_Love_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.4	Dit effen voorhooft net De diepe rimpels met ter tijt sullen ontslechten ; En dees welige vlechten , Die met veel strickjens gail , soo dertel sijn vertuit , Sullen haer gouden rock allensgens trecken uit ; En 't geen ghij voor fijn goudt mogelijck hielt voor desen , Suldij bevinden maer silver vergult te wesen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.5	Dees wacker oogen blij , Verleeren sullen sij Haer lodderlijcke treken , Die soo veel brandts ontsteken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.6	Dees vlugge gauwicheit , Daer grijse ' aelwaricheit Gaet sonder reên op gnorten , Dien zal den ouderdoom Die 't al maeckt suf , en loom , Sijn vleugels dapper corten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1446.s.7	Dan compt onnut berouw , als betrens tijt ontbreeckt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.1	Daifilo ' ick weet niet van wiens schoonheit dat ghij spreeckt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.2	Nae dat ick can bevijnen En ist niet vanden mijnen , Want onlangs heb ick dien Inde fontein gesien ; En 't beelt in't water stil mij op dat pas verschenen , Quam met uw seggen niet al te wel overeenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.3	Maer siedij 't groene woudt , hoe lustich dat het staet , Hoordij de vogeltjens die voor den dageraet Danckbaerder sijnd ' als d'onvernoechelijcke menschen , De wellecome Son met sang goemorgen wenschen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.4	Siedij dees heuvels blondt , en het begraesde dal Met bloempjes veelerly gemarmort overal , 'T wellustige banket van de ruischende bijen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.5	Hoe vrolijck lacht het al in dese somer-tijen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.6	Maer als de guiren herfst comt met sijn buyen aen Sal desen dingen al haer vrolijckheit vergaen , En dees bloeyende jeucht des werelts , sal verkeeren In dorren ouderdoom , en haer cieraet ontbeeren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1509.s.7	Nochtans indien dat al De bouwliên spanden t'samen , En met een groot geschal , De goden bidden quamen Dat donder , blixem , windt , en hagels groot geweldt Mocht comen metter ijl vrijbuiten over 't veldt , Beroven d'Aerde van haer gespickelde rocken , De bergen van haer cruin , de boomen van haer locken , Om dieswil , dat doch eens d'aenstaende winter wreedt Het Aertrijck plagen zou met diergelijcken leedt ; Soudij niet seggen , 't was haer nutter dat sij baden Om redelijck verstandt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1515.s.1	Jae , trouwen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1538.s.1	Soudij raden Dat ick door Min , een buy met sonneschijn vermomt , Die lichtelijck vernielt wie dat sij overcomt , Dan crencken sou mijn jeucht , om dieswil dat de jaeren Dese schoonheden mijn ( genomen datse waren Gelijck als ghijse maeckt ) mij souden maken quijt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1538.s.2	Soud ' ick de schae des tijts gaen soecken voor den tijdt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.1	Dit doedij vast , want ick , o Dorilea , reken De lelijckheit soo goedt als schoonheit onbekeken ; En al bekeken , onbelonckt ; en al belonckt Noch ongenoten van den minnaer dien sij ' ontfonckt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.2	Wat's jeuchde sonder min vol onbeweechde coutheit Doch beter als versufte ' en stijf bevrosen outheit ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.3	En dat de soete min van u beschuldicht wort Als die de schoonheit crenckt , daer doedij hem te cort : Want noyt en sachmen hem het suivere besmetten , Maer wel recht anders , 't geen dat saluw was , blanketten , En leggen blosend root op tedre wangen bleeck , En 't hayr vergulden , dat te vooren vael geleeck : En geene sachmen oyt , het geen dat sij beminden , Lelijker dan het was , maer wel veel schoonder vinden .	BodyPart_BodilyProcess_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.4	Maer , segdij , yder een Beclaecht hem met geween , Over de min vol swaerheit ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.5	Sij spreken buiten waerheit ; Al wort de min bescheldt , 'T is onmin die haer quelt , Onmin van lief vercoren ; Want quam haer min te vooren Van haer bemindes sij , Sij wierden 't eens met mij , En souden ras bekennen Dat minne niet can schennen , Maer dat gebreck van min alleen den minnaer crenckt , Die minnes honich soet met bitt're galle mengt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.6	Dus Dorilea , denckt Dat min van beyde sijen , Niet anders voort en brengt Als wellust en verblijen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.7	Daerom in dese tijen , Schijnt dat de werelt dus blijgeestich opgepronckt In 't harte min gevoelt , en t'eenemael verjongt .	Emotion_BodyPart_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.8	Den Hemel schijnt verlieft ; de visschen in de stroomen , De dieren in het cruidt , ' tgevogelt inde bomen , De Nymphen in het bosch natuiren van de min .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.9	Dat vogeltjen , dat nu vliecht uit den dennen , in Den boeckeboom , en schijnt onmoglijck om vermacken , Dan uit den boeckeboom weer inde myrte-tacken , En hippelt quelende soo licht , soo wilt , soo wuft , Waer 't van Natuir begaeft met menschelijck vernuft , Het soud seggen : ‘ Ick brand van min - ick brand van minnen ’ , Tjilpende door het woudt ; maer wel brandt het van binnen , En singt in sijne tael op lieffelijcke maet , Dat het sijn soete lief , sijn lieve lust verstaet .	Emotion_BodilyProcess_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.10	En luister , juist of sij 't om u te leeren dede , Antwoort sijn lieve lust : ‘ Van minnen brand ick mede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.11	’ De min het al verwint , Hemel en aerde mindt , Sal Dorileas siel mins crachten groot van waerden Alleene wederstaen , in hemel , en op aerden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.12	Neen ; want een yder mensch wort van de min geraeckt , En diese jong ontgaet , bejaert sijn crachten smaeckt : De minne wil doch eens doen blijcken in ons harten Hoe veel dat hij vermach : dus vreest hem vrij te tarten , En weet dat grooter smart noyt yemand overquam , Als jeuckering van min in oude leden stram .	Emotion_BodyPart_Love_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.13	Het jonck hart , dat hij quetst , geneest de minne weder , En hoop hellept het op als 't leyt van pijne neder : Maer d'oude minnaer is geplaecht met dobble rouw , Die willend niet en mach , en mogend niet en wouw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1683.s.14	Drooch hout ontsteken , brandt feller als groene spruiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.1	Ghij ander vryers kent dees praetjens al van buiten , En brengt'er veel in't net ; Maer ick heb wel gelet Op 't geene dat ghij seyde Dat als de Min van beyde De sijden is geplant , Soo valt het soete brandt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.2	Oft ick dat schoon toestonde , Verclaert mij , met wat vonde Soud ' ick doch kennen mij Versekeren , dat dij De vlammen 't harte blaecken , Die ghij mij diets wilt maecken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.3	Of als dat al soo was , Dat ghij niet soudt , soo ras Ghij weermins jonst mocht voelen , Verkeeren , of verkoelen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1730.s.4	Gelijck wij vrouwen slecht Vaeck worden uitgerecht , Dewijl geveinsde Min , en lichte wispeltuiricheit Ons troonen met het soet , en loonen met de suiricheit .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.1733.s.1	daifilo , granida , dorilea	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1739.s.1	Nymphe , maer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1752.s.1	Schoone nymph ' , en hebdij niet gesien Met breydeloose ren , hier eenige edelliên Vervolgen een wildt swijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1752.s.2	Weet ghij niet of sij 't vingen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1752.s.3	Of werwaerts reên sij op ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1769.s.1	Jagers , noch hovelingen En hebben wij gesien , maer wel gehoort gerucht : Dan 't scheen soo ver van hier te wesen dat ick ducht , Edele maecht , ghij sult haer swaerlijck rijden inne ; Sijdij een aertsche maecht , en anders geen Godinne , Uw aenschijn noch uw stem geensins de menschen slacht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1786.s.1	Soo grooten eer voorwaer ick mij niet waerdich acht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1786.s.2	Ick ben Granida ' , indient u liên bekent is , hoemen - Ten hove ' hoort de Princes , des Coninx dochter , noemen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1786.s.3	Dewijl 's geselschaps spoor u niet en is bekent , Soo bid ick , wijst mij doch waer dat ick hier ontrent Om 's heten middachs brandt een weynich te verfresschen , Uit coele beeck , of bron , mijn drooge dorst mach lesschen , Dat Ceres uw gewas , en Pan uw vee behoe .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1836.s.1	Het bidden laet voor ons , 't gebieden comt u toe , Alderheuste Princes , siet hier om u t'ontladen : Diana , moegejaecht , en soude nietversmaden Dees suivere fonteyns cristallinige vloedt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1836.s.2	Al sijn wij harders slecht , eenvoudich opgevoedt , Noch onse sorgen laech , door hoger vlucht te kiesen , Ons aengeboren bosch uit haer gesicht verliesen : Wij weten lijckewel dat wij dees groene laen , Dat wij de schaduw coel van dees dienstige blaên , Dees vrolijcke heuvels , dit heldere waters vlieten , En al ons levens lust van 's Coninx handt genieten . 'T en waer die 't wijsselijck al te versorgen wist , 'T verwoeste metter haest , door verquistende twist . 'T is hij , die de begeerten van sijn ondersaten Maticht bescheydelijck in soo verscheijden maten , Dat niemandts minders list sijn meerder yet ontruck , - Dat niemandts meerders macht sijn minder en verdruck . 'T is hij die sorge draecht alleene voor ons allen , Dat vreemdelingen wreedt ons niet en overvallen Met vernielende crijch en schennen in een uur De dracht van menich jaer door 't yser en het vuyr .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1836.s.3	Danckbaer behoortmen voor een aertschen Godt te eeren Dien 't lust , om anders lust , sijn eygen lust t'ontbeeren : Maer ons eerbieden is te laech nae sijn waerdij .	Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.1	Beleefden harder , noyt eenige wijnen mij Boven den frisschen dauw van dees fonteyn gevielen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.2	Ach geluckige rust van licht-vernoechde sielen , Die nijt noch spijt des hoofs versteurt haer soete vree !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.3	Wiens sorgen wijder niet en weyden dan haer vee .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.4	De lusten daer sich 't hof met moeyten om beslommert , Werpt u nature toe en is voor u becommert .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.5	Ghij treckt door honger , en door dorst uit dranck , en spijs , De lust van 't hof gelockt door soo veel leckernijs ; Het hof door drincken dorst , en honger soeckt door 't eeten En jaecht de lusten voor , u sijnse toegesmeten ; 'T lustsoeckend hof ontvliên de lusten daer 't om slóóft ; Ghij vollicht de natuir , wij sien haer over 't hóóft .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.6	Eer sal dit lichaem in een duister graf vernachten Beleefden harder , als mij gaen uit de gedachten Uw weltepasse dienst , en of 't gebeurden , dat - Mijn hulp u nut mocht sijn in 't hof , of inde stadt , Vertrout , dat mij geen saeck soo wichtich sal verletten , Of ick en salse ' om u wel aen een sijde setten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.7	Nu voecht mij wederom te keren daer ick acht Dat mij 't geselschap van mijn staetdochters verwacht , Welck ick gebood , van haer vermoeyde tellen , neder Te sitten in het gras , tot dat ick keerden weder ; Dewijl mij niemandt van haer allen volgen mocht , En mij de lust des jachts niet te versuimen docht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1892.s.8	Den hemel die bedauw uw jaren menich-vuldich Met geduirige rust .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.1	Wij sijn 't u alle schuldich , Alwaerdige Princes .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.2	Helas !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.3	hoe leedt is mij Dat ons vermogen min als ons begeerte sij !	Emotion_Sadness_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.1901.s.4	Den hemel wil uw staet in eeuwicheit behouwen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1905.s.1	Vaert eeuwelijcken wel .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1913.s.1	Is onder d'aertsche vrouwen Dan een , die waerdich is dat om haer dienst alleen Al d'ander men versweer ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.1	Hoe coel gaet hij daer heen Sonder dat hij van mij sijn afscheidt heeft genomen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.2	Best volge ick hem , en sie wat hem mach overcomen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.3	Hoe vrolijck is de geen die danckbaerlijcken leeft Bij d'ondanckbare mensch die geen vernoeging heeft !	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.4	Dees harder toont meer dancks voor not van bosch , en boomen , Dan menich eelman voor geschoncken vorstendoomen , Die vaeck sijn Prince danckt met oproer oft verraet , En acht maer elcke staet , een trap tot hoger staet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.5	Met welckeen ijver comt mij dees sijn dienste bieden ?	None
