meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	De verloofde koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.1	'k Beken , de Deughdt verbiedt verraadt in haare wetten : Maar Reeden leert weêr 't quaadt met quaadt betaalt te zetten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.2	Indien de Dwinglandt , na 't bericht der Deughdt , zijn daân Ghereegheldt had , hy hadde uw ' Ghrootvaâr nooit verraân , Uw ' Oom , en Vader , nooit vermoordt , nócht 's Konings zeetel , Als aartsgheweldenaar , beklommen ; nócht vermeetel , Met wreede dwang , ghemaakt uw ' Moeder tót zijn vrouw , Om zich te vesten , op den Rjjkstroon , door die trouw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.3	Nu heeft de staatzucht hem verrukt , tót all ' die quaaden , En vuil bezoetelt , met zo ghrouwzaame euveldaaden : Dus eischt de Reeden , dat hy , met ghelijke munt , Betaaldt werd , daar 't gheluk een schoonen kans toe ghunt , Die , zo ghy 't reuk'loos niet verwaarloost , biedt de zeeghe .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.4	't Ghepleeghdt verraadt gheeft u verlóf , verraadt te pleeghen : Dies buigh uw ' strakken zin , en vólgh mijn ghoeden raadt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.1	Zo 't quaadt , by yder , te verghelden stondt , met quaadt ; Het menschlijk leeven smeede een reeks van euvelheeden ; Ja all ' , die 't lóflijk padt der ghoude Deughdt betreeden , Verbondt ghestaâgh de Reên , ter slinker af te slaan , En 't spoor te vólghen , welk een booswicht voor zou ghaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.2	O neen ; de Deughdt , wat stórm haar ook an boordt koomt klampen , Streeft haaren heirbaan langs , door onghelijk , en rampen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.3	Dóch neem , 't stondt vry , verraadt te loonen met verraadt : Hier schuilt iet arghers , welk uw ' toelegh teeghenstaat , En mijnen arm ghebiedt , 't gheen ghy haar verght , te weigheren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.4	De Dwingelandt , om op den Koningstroon te steigheren , Schon slechts het scepterrecht , door Vórstenmoordery , En plengde onnoozel bloedt ; daar ik daarboven my Nóch schandigh zou misghaan an Vader , en an Broeders .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2517.s.1	Een Stiefvaâr , en Stiefbroêrs .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2521.s.1	De bedtghenoot mijns Moeders , De zoonen haars ghemaals .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2525.s.1	Maar die 't is met gheweldt , Die tót zijn huw'lijk my ghedwongen heeft .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2533.s.1	Dat scheldt My van mijn ' plicht niet vry : 't was d'uwe , te verhinderen , Na Vaders doodt , dat ik den Dwinglandt , nócht zijn ' kinderen Verschuldighdt waar t'ontzien , als broeder , nóchte als zoon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2533.s.2	Nu heeft uw huwelijk my dat ontzagh gheboôn , Hem tót mijn ' Vader , en hen tót mijn ' Broêrs verheeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2537.s.1	Mijn huwelijk heeft u , en my , gheborghen 't leeven , 't Welk anders schipbreuk leedt ; opdat ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2541.s.1	Van kindtsbeen aan , Het waar den Dwingelandt verplicht ten dienst te staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2547.s.1	Opdat ghy Ghrootvaâr , Oom , en Vader , als uw ' jaaren Ter manlijke ouderdom , en kracht , gheklommen waaren , Zoud ' wreeken , en , den Rijksgheweldenaar ter troon Afbonzende , in 't bezit u zetten van uw ' kroon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2553.s.1	Ghy hebt my , door uw ' trouw , verbóden my te wreeken , En van mijn errifrecht ter scepterstaf versteeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.1	Heb ik uw ' wraak verboôn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.2	versteeken van uw recht ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.3	Ik , die , zo meenighmaale , u heb het padt gheslecht , Heb hulp verschaft , heb moedt in 't lijf ghepooght te spreeken , Om uw vermoordt gheslacht heldthaftighlijk te wreeken , Te stijghen op uw ' troon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.4	wat schuiftghe uw ' schuldt op my ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.5	Hebtghe al mijn werk niet steedts te loor ghesteldt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.1	Hebt ghy De kroon , van Ghrootvaâr , Oom , en Vader , na 's landts wetten , An u verstorven , niet bestaan op 't hoofdt te zetten Den Rijksgheweldenaar ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.2	Den staf , die my toequam , Na uwe doodt , als oir der Koninklijke stam , Hebt ghy mijn ' handt ontmaakt , by leevendighen lijve ; En dien Tiran ghemaakt , toengh ' hem , ten echten wijve Gheworden , plaatste , als man , en heer , an hoogher handt , Op Ghrootvaârs zeeteltroon , tót wettigh Vórst van 't landt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.3	Indien 't weêrstreefde uw ' wil , dat hy den staf zou zwaayen ; Waarom hem die ghelangt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.4	Indien ghy 't bloedt woudt paayen Van ons vermoordt gheslacht , met wraak ; waarom die voort Niet by der handt ghevat , op 't klinken van de moordt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.5	't Gheen ghy nu mijnen arm , Mêvrouw , verght uit te voeren , U uit te voeren stondt , toen eerst in reppe , en roere , Was hóf , en stadt , en landt , door 's Dwinglandts overmoedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.6	Toen moest ghy hebben 't vuur der oploop , met zijn bloedt , Ghelescht ; hem van den troon gheweerdt ; zijn ' drift ghebrooken ; En door zijn ' neederlaagh mijne Ouderen ghewrooken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.7	Ghy kost het toen , met eere ; ik zoude 't nu , met schand ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2601.s.1	Mijne onmaght leedt het niet ; hy had reê d'overhandt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2609.s.1	Nu lijdt mijn ' plicht het niet : de Deughdt kant zich ' er teeghen , En d'eer verbiedt mijn ' handt te stroopen haaren deeghen Tot broêr - en vadermoordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2609.s.2	Dies staak , Mêvrouw , an 't oor My meêr te lellen ; alle uw ' moeit loopt tóch te loor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2613.s.1	Ontaarde zoon , houw op van plicht , en eer , te roemen ; En uwe snoode min daar onder te verbloemen .	Emotion_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.2616.s.1	Wat snoode min ?	Emotion_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.2619.s.1	Die ghy des Dwinglandts Dóchter draaght .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2625.s.1	't Is waar , ik vier , en dien die ghóddelijke maaghdt ; Maar met zo schoon een vlam , als immer hart kon blaaken .	BodyPart_BodilyProcess_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.2631.s.1	Een vlam , waar door uw hart verwaareloost de wraake Van uw gheslacht , en , onghevoeligh in uw ' hoon , Met koelen moede , duldt een Dwinglandt , op uw ' troon , De hooghgheboorenheidt uws afkomsts te verneêren .	Emotion_BodyPart_Love_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.2639.s.1	Verwijt ghy my , dat ik mijn ' koningsstam onteere , Door mijne liefde ; ghy , die , door uw huwelijk , Ghemaakt hebt 's Rijks tiran , tót wettigh Vórst van 't Rijk ; Uws mans doodtslagher tót uw ' man , een aartsverraader Tót heer van 't landt , den beul mijns Vaders tót mijn ' Vader , En 's Konings moordenaar tót 's Konings erfghenaam .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.2642.s.1	Een noodtdwang dreefme , opdat gheen ramp u overquaam ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.1	't Was moed'loosheidt , en vrees voor sterven , die u dreeven .	Fear_Emotion
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.2	Men dwingt gheen eêl ghemoedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.3	Dies voeghde u , eêr het leeven Daar in te schieten : dan , dus eerloos , den Tiran Te dulden op uw ' troon , te hulden tót uw ' man .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.4	Nu hebtghe vuil bevlekt de ghlorie uwer ouderen , Door uw ' lafhartigheidt ; en uw ' , en mijnen schouderen Dit smaadelijke juk des Dwinglandts opgheleidt : Ik draagh 't gheduldigh , en ik toon ghehoorzaamheidt .	Fear_Emotion
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.5	Dóch port u 't naberouw van uw verghrijp te wreeken Uw ' neêrghevelde stamme , en den Tiran te steeken Na 't harte , en uwe kroon ; verschoon , Mêvrouw , mijn ' dólk , En voer uw ' wraakzucht uit , met dit ghewapend vólk .	Emotion_Vindictiveness_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.2661.s.1	Het eischt een man tót hoofdt , die 't anvoere , en bescherrem ; En 's Ghrootvaârs bleeke schim de wraak van uwen arrem .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2664.s.1	Mijns Ghrootvaârs schim ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2667.s.1	Zijn gheest , die stadigh om my zweeft .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2670.s.1	Hy rust in vreede , en u gheen stóf van quelling gheeft .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2689.s.1	Ach !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2689.s.2	al te veel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2689.s.3	Wanneer de droeve nacht haar ' schimmen Strooit door de lucht , en zoomt met schaduwe onze kimmen , Verschijnt my meêrmaals dat ghrootachtbaar aanghezicht , Niet als 't , verheerlijkt met het eerentfeste licht Der oppermajesteit , ontzagh'lijk plagh te zitten Ter hooghe zeeteltroon der wijdtberoemde Britten : Maar ( laas ! ) beklonterdt , met het kladd'righ inghewandt Des bekkeneels , begruist met bloedigh stóf , en zandt , En onghezien , door wondt op wondt , die stadigh druipen .	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.2693.s.1	't Zijn yd'le droomen , die uw ' herssenen bekruipen , En 't maalende verstandt beschertsen , in den slaap .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2697.s.1	't Is waarheidt , en gheen droom , waar aan ik my verghaap : 't Ghemoet my waakende , en ik zie 't , met opene ooghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2702.s.1	Mijns Ghrootvaârs schaduw zoude an my zich wel vertooghen ; Indien hy wraak eischte , op den moorder , van mijn ' handt , En , uit 's Rijks zeeteltroon , geschopt den Dwingelandt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2703.s.1	Velleede ter zijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2710.s.1	Nu is 't hoogh tijdt , om mijn ' besteeken ról te speelen , En proeven , óf bedrógh dit vruchteloos krakkeelen Niet brengen kan ten einde , en lichter , dan mijn reên , Dien kóp vermurruwen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2713.s.1	Wat preevelt ghy alleen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.1	Ik smeek den Heemel , ons verschil te willen enden , En , uit het zaligh dal der zielen , opwaarts zenden Uws Ghrootvaârs gheest .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.2	Hy knikt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.3	De Maane suizebólt , In 't onderghaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.4	't Ghestarnt zijn ' doodtverw zet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.5	Daar rólt De donder , door de lucht ; en braakt , uit vuur'ghe kaaken , Een sterke bliksemghloedt , dat bergh , en toorens kraaken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.6	De Teems , door schrik ontbloot van zijnen ghlazen toom , Stouwt , aarz'ling bronnewaarts , de ghólven zijner stroom .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.7	Het koninklijk paleis bezwijmt , als van zich zelven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.8	De pijlers sidderen , door 't waggh'len der ghewelven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.9	De vloeren steigh'ren , steil om hoogh ; en loeijen vast Heel schor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.10	De zólder , met een naare weêrghalm , bast .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.11	De ghlazen rinkelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.12	De wanden yz'lijk huilen , Met heesch ghejank .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.13	Daar ploft , door 't zwijken van de zuilen , Het schaliedak ter neêr .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.14	Oey my ! 'k ben t'einde raadts !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2744.s.15	Waar vlucht , waar bergh ik my ?	Fear_EmotionalAction
meij001verl01_01.TEI.2.text.body.div.div.sp.2748.s.1	't Hóf staat nóch op zijn plaats , Mêvrouw ; bedaar .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2751.s.1	Daar barst , en splijt de korst der aarde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2754.s.1	Helpt Ghoôn !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2754.s.2	wat 's dit ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2754.s.3	Gheen schrik my ooit zo zeer vervaerde .	Fear_Emotion
meij001verl01_01.TEI.2.text.body.div.div.sp.2759.s.1	Daar welt een zwavelghloedt , doorvlamdt met ghólven smooks , Ter spleete uit ; en bezwalkt de lucht , vol stanks en rooks ; Het voorspel zijner komst .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2761.s.1	II .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2761.s.2	tooneel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.2762.s.1	Velleede , Fastarad , Rey van ghewapende Dienaars , Ottomar in de schijn van een Gheest .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2768.s.1	Zie hoe , van liever leede , Hy opzweeft , uit het lógh ; en herwaarts aan komt treeden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2771.s.1	Wie ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2771.s.2	wat , Mêvrouw ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2774.s.1	De schim uws Ghrootvaârs .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2777.s.2	men wijk ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.1	Men houde stal , mijn zoon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.2	Dit afghemarteldt lijk Strekke u ten prikkel , om zijn ' wreede moordt te wreeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.3	Anschouw zijn ' trótse borst , zo jammerlijk doorsteeken , Met meenigh doodtwondt , daar noch 't reut'lend bloedt uit druipt , En lanks het deeluwbleek der doodsche leeden kruipt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.4	Hoe deerelijk ziet dat gheraamt ' , met scherpe schinkelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.5	Hoe staan zijn ' blikken , diep ghedooken in hunn ' winkelen , Te flonkerbranden , met karbonkelroode ghloedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2794.s.6	Hoor toe ; hy spreekt : en prent zijn ' stemme in uw ghemoedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2795.s.1	Ottomar	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.1	Hoe lang , ontaarde neef , zultghe uwer Moeder weigheren Mijn ' doodt te wreeken , en ter zeeteltroon te steigheren ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.2	Hoe lang , voor 's Dwinglandts juk , zal u de minnevlam Verdwaasdt doen bukken , en verloochenen uw ' stam ?	BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.3	Kontghe u erinneren de moordt van my , van Vader , En Oom , en die , op den moordtdaadighen verraader , Verwaareloozen streng te wreeken , zo 't betaamt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.4	Zo zijtghe een bastaardtrank , wiens zich mijn ' stamboom schaamt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.5	Wat pooghtghe althans met ghlimp van plichtschuldt , te blanketten Uw ' minnevlammen , die daar teeghen zich verzetten ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.6	Doof uit dat laffe vuur , en eed'ler vuur van wraak Ontsteeke uw ' boezem , tót handthaaving onzer zaak : Of slaat ghyze in den windt , zo zal ik , met de zielen Uws Ooms , en Vaders , u fluks zitten op de hielen , En niet aflaaten , voor uw ' handt ons wraak bestell ' .	Fear_Emotion_BodyPart_BodilyProcess_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.7	Dies schafze ons nu , en kom dat voor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.8	Ik gha .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2818.s.9	Vaar wel .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2821.s.1	III .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2825.s.1	Wel nu : kan dit bedroefdt ghezicht u overtuighen ?	Emotion_BodyPart_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.2832.s.1	Ik sta verzet : mijn hart beghint allengs te buighen , Na Ghrootvaârs weeklaght , en tót uw ' ghehoorzaamheidt : Doe opening , hoe ghy den aanslagh hebt beleidt .	BodyPart_BodilyProcess_Wonder
meij001verl01_01.TEI.2.text.body.div.div.sp.2836.s.1	Men zoude , aleer de zon den nanacht quam verdryven , Des Dwinglandts tweelingzoons , op 't leedekant , ontlyven ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2840.s.1	Zijn ' tweelingzoons , Mêvrouw ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2840.s.2	hoe , die zijn immers an De moordt onschuldigh ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2844.s.1	Zy zijn kroost van den Tiran , En dat 's ghenoegh , om hen daar schuldigh aan te maaken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2850.s.1	Maar , waar 't niet raadzaamer , van hem ten eersten wraake Te neemen , en eens sloeghs zijn ghang na 't koningdom ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2855.s.1	Och ja , 't waar raadzaamst , zo zijn ' lijfwacht , die rondtom Zijn ' leegherplaats , by nacht , by daghe , t'aller steeden , Houdt scherpe wacht , dien wegh ons niet hielde afghesneeden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2858.s.1	Men wacht ' gheleeghenheidt , en schort ' zo lang dat werk .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2864.s.1	Het lijdt gheen lunderen ; de noodt nijpt veel te sterk : Ghy hebt voorheen te vaak mijn ' voorslagh afgheslaaghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2867.s.1	Wat drijft u dan , dit zo voorbaarigh voort te jaaghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.1	U is bewust , hoe dat Mathilde , Koningin Van Kaledonien , door last haar 's Vaders , in Zijn sterf bedt uitghedrukt , als zy , ter huwb're jaaren Volwassen waare , in echte is opgheleghdt te paaren Met hem , die hier , als Vorst , den rijksstaf zwaayen zou .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.2	Ghy weet ook , hoe zy , tót voltrekking haarer trouw , Met een wijdtlufte sleep van Ghraaven , Ridders , Heeren , En Vrouwentimmer , om haar ' bruilóft te vereeren , Hier onlanks is ghelandt , en inghehaaldt met pracht : En hoe de Dwingelandt deez ' Koningsbruidt nu tracht Den eerstgheboor'nen van zijn ' tweelingzoons te gheeven ; Daar zy beschooren wierdt uw ' Oom .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.3	Want toen dit leeven Haar Vader afley , praald ' hier op den zeeteltroon De mijne , uw Ghrootvaâr ; op wiens hooghbeghaafden zoon Hy 't oogh hadde , als hy kroon , en Dóchter , voor zijn sterven , Besprak den gheenen , die de Britsche kroon moest erven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.4	Van uwen Oom verviel de staf op my , en u ; Dien 't dies alleen toekomt , dat met Mathilde huw ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.5	Hy echter heeft , van daagh ' den oudsten zyner zoonen ( 't Geen hy steedts hiel bedekt ) tót wettigh oir der kroone Bestemdt te noemen , en , verheerlijkt met dat recht , Voorts aan Mathilde te verknóchten in den echt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2906.s.6	Dit moetghe , uit alle uw ' maght , verhind'ren ; hier met lijve En ziel fluks teeghen zijn : want , zo dit werk beklijve , En 's Dwinglandts zoon , daar door , eens voet krijghe op den troon ; Ghy mooght , voor eeuwigh , wel weghschrijven uwe kroon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2913.s.1	Wat draayboom schut een werk , zo hoogh reets opghesteeghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2923.s.1	Des Dwinglandts zoonen te vernest'len met den deeghen , Op hunne slaapkoets , eer de dagh anbreekt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2923.s.2	Hunn ' doodt , Oft hunn ' quetsuuren zijn verlets ghenoegh , dit ghroot Voorneemen plotseling te rugh , ófte om te stooten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2926.s.1	't Is ghoedt , Mêvrouw : maar hunn ' slaapkamer staat gheslooten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2929.s.1	Men loop ' de deure , en al , wat weêr biedt , op de vloer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.1	Welaan ; gheen euveldaadt , zo stout , die 'k niet volvoer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.2	Trouwanten , toont uw moedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.3	Een yder trekk ' van leeder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.4	Nu met ghelijker handt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.5	Daar light de deur ter needer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2935.s.6	Dat ghaat u voor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2938.s.1	En my an 't harte , en na den zin .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2940.s.1	IV .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.2941.s.1	Velleede , Ottomar in den schijn van een Gheest .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2947.s.1	Zo krijght , in 't eind ' , mijn ' wraak zijn langghewenscht beghin , Des Dwinglandts kroon een krak , mijn zoon zijn recht in handen , En mijne onterfde vuist den breidel deezer landen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2947.s.2	Waar zijt ghy , Ottomar ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2950.s.1	Alhier , Mêvrouw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.1	Mijn vriendt , Die mijnen anslagh hebt , van pas , ten steun ghediendt , Gheen eeuw zal , uit het boek van mijn ' ghedachtenissen , De dankbaarheidt , en 't loon voor zulk een weldaadt , wisschen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.2	Uw ' hulp my heiligh is ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.3	maar 'k hebze bet van doen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2964.s.4	De tweelingbroeders , die mijn zoon bespringt , zijn koen En rap ; en zullen met hunn ' dienaars , door 't gerommel Der neêrgebonsde deur ghewekt , hem , en zijn ' drommel Een harden weêrstandt biên ; deez ' past het by te staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2967.s.1	Maar zacht ; ik hoor ghedruis .	None
