ross006zing01_01.TEI.2.text.body.div.head.278.s.1	De zingende kraamer , kaamer spel .	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.1	Maar ik heb byme kriek al slimmer moeten doolen , Doen ik voor vier jaare , by de Lappen in Vin .	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.2	land was verzeyld , ô Bloed !	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.3	wat heb ik daar al menigmaal myu Kraamerytje uyt geveyld , Dog niet een van die Ezels koppen wou wat van me koope , Dan ging ik eens een dag of tien op den boer loopen , En speelde , boer geefme een stuk , of ik veegje door de smoel .	None
ross006zing01_01.TEI.2.text.body.div.sp.626.s.4	Ik reysden na Luylekkerland , daar was een groot kriejoel , Vermits een dood Paard , dat duyvels dol was , Met een Waafel Kraam aan zyn maars die avond aan de hol was , Met een Waafelkraam aan zyn maars , die avond aan de hol was , Dog ik zette myn Marsje neer en greep het by den Toom .	None
ross006zing01_01.TEI.2.text.body.div.sp.635.s.1	Daar voer der een Scheepje voor wind , en stroom , Daar voer der een Scheepje voor wind , en stroom , Het stelde zyn koers na d'Overtoom .	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.1	Maar het scheen me zo zeeper wel een droom , Want het Schip had Zeyle Roer nog Masten , En waar verzien met zeve drol'ge gasten , Een zonder Armen , een zonder Beene , een zonder Kop , En al watze zongen waar niet anders , als ô wee !	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.2	ons Geld is op .	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.3	ô Manne ?	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.4	riep ik weerom , vaard gy zonder Scheyven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.5	Dan magje wel met dat Schip uyt de wareld-dreyven , En daar op begon ik te lollen , Blaauw gaare , en kooperdraat , Myn Geld is op , ik weet geen raad .	None
ross006zing01_01.TEI.2.text.body.div.sp.659.s.6	Hier over wieren dees voorgenoemde zo drommels kwaad ; Om dat ik zulk een deun op haar begon te zingen , Dat die Vent zonder Kop , voort wou in 't waater springen , Dog ik lagten haar uyt , en ging weer Landwaard in , En doen kreeg ik zulke verbruyde lusten tot de Min , Dat ik van binnen verbrande als een Bakkers Ooven .	Emotion_BodilyProcess_Love_Anger
ross006zing01_01.TEI.2.text.body.div.sp.668.s.1	Wat Gasten zyn daar booven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.668.s.2	Vrouw reeken , Vrouw reeken , Vrouw reekend ons niet .	None
ross006zing01_01.TEI.2.text.body.div.sp.677.s.1	En de Meyd daar ik na uyt vryen ging , was genaamt Scheele tiet , Zy had een ingevalle Neus , en een pokkig bakhuis , En haar oogen waare als de bril van Momus kakhuys , Maar zy vlugten voor myn Liefden als Dafne voor Apol ; Zo dat ik schier myn Breyn verloor , en liep gelyk een zotte bol , Ja ik slagte Flip in ' - Laasrishuys , en had maar twee van me Zinnen .	None
ross006zing01_01.TEI.2.text.body.div.sp.684.s.1	Al wat me doet , men kan geen ' Iuffrouw winnen , 't Scheynd dat de Liefde heel verbannen is .	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.1	Dog Musjeurs , ik wierd wel haast weer fris , Door sweet drankjes , purgaasjes , en zulke grillen , Maar al dit bab'len , en praaten , zet me geen vet aan de billen , Wilder ook imand Kammen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.2	Tonteldoosjes , of een stukje Lak ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.3	Potloot pennen , Pypedooze ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.4	of een almanak ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.5	Wie roept daar ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.6	gy borsje ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.7	wat is van u begeeren ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.8	Een Speesie boekje , om het M [ ... ] t der Scheyven te leeren ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.9	Dat kost een goeje Schelling , zie zo dat is een begin , Wie wil nog wat ?	None
ross006zing01_01.TEI.2.text.body.div.sp.698.s.10	hier heb ik knoopjes van het seynste Tin , Die je by me zoole voor Zilver aan je broek kan draagen .	None
ross006zing01_01.TEI.2.text.body.div.sp.709.s.1	En het is al reeds aan 't daagen , Kyk wat schoone Morgestond ; Ik zie hoe voor Febus waagen , Trekt Dianaa's swarte bond .	None
ross006zing01_01.TEI.2.text.body.div.sp.718.s.1	Wat het mog een stront , Febus is nog by Tetis , om Mossele te vreeten , Dog het is een foutje van me gezigt , dat moet gy weeten , Ik word al goet ouwers , en en omtrent zestig Jaar , Wie wilder ?	None
ross006zing01_01.TEI.2.text.body.div.sp.718.s.2	wie zelder ?	None
ross006zing01_01.TEI.2.text.body.div.sp.718.s.3	Pennemesse , of een seyne Schaar , Scheermesse voor de Snotschraapers , om meê te Scheeren .	None
ross006zing01_01.TEI.2.text.body.div.sp.732.s.1	Heeren , zyde zy heeren , Hy wist wel van te veur , Dat de Kelder had een scheur , Hy riep : het was maar niet met al , Hy wist dat hy ' et wel stoppe zal .	None
ross006zing01_01.TEI.2.text.body.div.sp.741.s.1	Zoet Kraamer word niet mal , Laat de Menschen liever verstaan wat gy hebt onder vonden , En hoe gy veertig jaaren hebt gesworven voor de honden , Gelyk de Musjeurs al een weynig hebbe verstaan , En om datje Liefhebbers van wat nieuws bend , zal ik al vorder verhaale gaan .	None
ross006zing01_01.TEI.2.text.body.div.sp.750.s.1	Een die zyn avontuur verteld , Behaalt zomtyds veel lof , Schoon hem een maag're keuken kweld .	None
ross006zing01_01.TEI.2.text.body.div.sp.769.s.1	Hou , als ik alles in order vehalen zal , moet eerst myn geboorte plaats vermelt ; En om tot de zaak te koomen , zo weet ik ben een Boere Zoon , in Amsterveen gebooren , En ik kwam zo dikmaals in dat Dorp te hooren , Van vaaren na Janstinje , of naar den Oorlog , Ik duwden op , met nog een buur Knegt van me genaamt Jilles zonder bedrog Een Persoon die meê zeer genegen was om voor 't Vaderland te sterven , Nou , wy gingen naar Amsterdam , daar waar men bezig om Volk te werven , Die met de eerste Scheepe na de Batavise Kermis 't zeyl zouwe gaan , Myn Maat raakte ten eerste klaar , maar ik moest , hoopeloos blyve staan , Want maakten ik eenige voortgang om binne te koomen , Zo kwam de geweldieger met zyn rotting , en riep , waar heene Oomen ?	Emotion_Benevolence
ross006zing01_01.TEI.2.text.body.div.sp.769.s.2	Ik dagt loop voor duyzend nikkers , en ik liep by me best , Van 't Oostinjes Huys na 't Princen Hof , daar wierd ook Volk geprest , Want doen ik daar kwam stonde by me keel , wel twintig schreyvers op de Plaats by die ronde Lantaaren , En al wat me riep dat was .	None
ross006zing01_01.TEI.2.text.body.div.sp.782.s.1	Wie wil meê ten Oorlog vaaren ?	None
ross006zing01_01.TEI.2.text.body.div.sp.782.s.2	Met het Scheepje van Rynuyt ?	None
ross006zing01_01.TEI.2.text.body.div.sp.782.s.3	Die moet hem terstond verklaaren , Eer dat men den Oorlog sluyt , Aan boord , aan boord , aan hoord .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.784.s.1	hy Spreekt	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.1	En ik had nauwelyks die reeden gehoord , Of ik ging dadelyk by die opgepronkte Kadetten , En sprak , maat Schreyver , wilt me meê voor Matroos op de Seel zetten , Zy keeke myn eens onder de ooge , en vroege hoe myn naam was ?	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.2	Ik antwoorde ik heet Krispyn , wel Rieper doen weer een benje geoefend in het Kompas ?	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.3	Ja , riep ik weerom ik wilje al de streeke van de wind wel opnoeme , zonder daar in te dwaalen , Goet antwoorde myn eene van de Schreyvers , kom dan dadelyk u Gelt maar haalen .	None
ross006zing01_01.TEI.2.text.body.div.sp.796.s.4	Ik sprong driema l an , want ik dagt het is beter een half ey als een leege dop , En daar meê ging ik aan 't zingen , en zetten de vreugde hoog in top .	Joy_Emotion_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.811.s.1	Wat is ' er beter leeven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.811.s.2	Als te weeze een Matraos , Geen staat zo boog verheeven , t ' Zy van Prinsse , of Graaven altoos , Wie verveelden ?	None
ross006zing01_01.TEI.2.text.body.div.sp.811.s.3	Deze weelden .	None
ross006zing01_01.TEI.2.text.body.div.sp.817.s.1	Ik kreeg elf Gulden op hand , daar ik braaf mooy weer meê speelden , Dog geen twee daagen daar na , of de Trommel sloeg en ik moest na Boord , Maar zo draa als wy op Zee kwame , doen was het .	None
ross006zing01_01.TEI.2.text.body.div.sp.828.s.1	Moord , moord , moord , Wy raakte voort aan 't slaanen , Tege die verbruyde Haanen , Maar zy vlugten voort .	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.1	Want wy hadden een Kapiteyn die waar nooyt bang voor zyn agterpoort , Maar riep toond datje Liefhebbers bend om voor 't Vaderland te steyden , Dat is regt , riep al het Volk , waar gy ons wilt geleyden Daar waake wy voor u , met Argus snel gezigt , Twee daage naar het gevegt , zagge wy snags een groot ligt , Loeverd van ons af , hy riep de Vend die aan 't Roer stond te waaken , Ik geloof dat me daar Trooye ziet Branden , om dat verbruyde schaaken , Van Heleen , de schoonste die Paris ooyt Liefde bewees ?	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.847.s.2	Wat riep ik zou dat Trooye weeze ?	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.3	het mogt een ouwe bullepees , Wand Trooye heeft al negehondert Jaar in de Asch gelegen , En ik wil wel wedden , dat die vermaarde Griek Held Achilles zyn deege , Al door de roest tot pulfer , en gruys is verteerd , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.4	Sprak de Vent , praat gy van Achil ?	None
ross006zing01_01.TEI.2.text.body.div.sp.847.s.5	die heeft By myn Vaders Bestevaar , de Krygs-oeffening geleerd ; Dat waar een Man , die kon op de kant van een Gulden schieten .	None
ross006zing01_01.TEI.2.text.body.div.sp.854.s.1	En hy hield ook veel van gieten , Bagchus had hem in de val .	None
ross006zing01_01.TEI.2.text.body.div.sp.872.s.1	Nou , wy zeylden op het ligt aan , en het was by me keel een ouwe Paardestal ; Die in de brand waar , by Heyn de waard tot Schevelingen , in de drie gekroonde Bulhonden , 't Waar Gloria , Victoria , zo lang tot de Stal was verslonden , Want niemand weerde zig veel tot ned'ring van den brand , Wy stakke weer in Zee , en Zongen .	None
ross006zing01_01.TEI.2.text.body.div.sp.872.s.2	Weg met het Land , Gy Helden die de Baaren , Met een goet verstand , Stoutmoedig overvaaren .	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.1	Blieft'er ook imand Broekveeters ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.2	Kloskoort , of fyn gaaren , Blikke veerkykers ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.3	Halsbande , of eenige and're Snuyzery , Ik loof gy liede hoord liever van myn avontuur Spreeken , als van me Kraamery ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.4	Is dat met waar Musjeurs ?	None
ross006zing01_01.TEI.2.text.body.div.sp.880.s.5	nu ik zal al vorder vertellen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.895.s.1	Ey !	None
ross006zing01_01.TEI.2.text.body.div.sp.895.s.2	wild myn niet kwellen , Schoon ik ' er wat maal , Het zyn al geen jellen , Dien ik hier verbaal .	None
ross006zing01_01.TEI.2.text.body.div.sp.895.s.4	wil myn niet kwellen , Het zyn al geen jellen .	None
ross006zing01_01.TEI.2.text.body.div.sp.906.s.1	Wy kruysten een dag of vyf om : de Noord , en doen begon Eoôl zo drommels de pype te stellen , En stuurde Boreas op ons los , of aars gezeyd de Noorde wind , Dat wy al den bruy meende te vergaan , ja yder schreyden als een kint , 't Was kapt de groote Mast , of wy raake alle om het leeven , Og !	Fear_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.906.s.2	als ik nog om die Storm denk , staan ik te zidderen en te beven , Dan bad ik eens aan Neptunus om genaaden , en riep ô lieve Zee Godje !	Fear_EmotionalAction_BodilyProcess
ross006zing01_01.TEI.2.text.body.div.sp.906.s.3	ik ben in doots gevaar , Dan dagt ik weer aan dat Lietje .	None
ross006zing01_01.TEI.2.text.body.div.sp.923.s.1	Alle uure verwagt gy daar .	None
ross006zing01_01.TEI.2.text.body.div.sp.923.s.2	Donder , Blixem , zuure buyen , Kermen , klaage , hoord gy naar , Zwaar Orkaane , de dood Klok luyen , Hemel hooge Baare styf , 'k Kryg'er van een schrik op 't lyf , 'k Blyf liever thuys by me wyf .	Fear_Emotion_BodilyProcess
ross006zing01_01.TEI.2.text.body.div.sp.937.s.1	Maar of ik bad , of zong , de wind blies al eeve steyf , En het Schip dat slingerde als een wieg , die van een dol Wyf word getrokken , En 't roepen was anders niet als naar boove jou honde , of ik zal je met een dag op de lende knokken , Ik sprong over hals , over kop in de Boot , met nog een Man of tien , En wy lieten onze Kapiteyn , met al het and're Volk , ons van agt'ren het laast zien , Maar nuw zulle de Heere ligt vraage , hoe Krispyn ?	None
ross006zing01_01.TEI.2.text.body.div.sp.937.s.2	dorst jeluy dat zoo stout beginnen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.937.s.3	Ja voor zeeper , wy swurve zes dagen op Zee , en kwamen doen tot Zeeland binnen , En daar verkoste wy de Boot , en dielde met elkander de buyt , Dog ik ging wel haast aan 't Zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.952.s.1	ô Verbruyd !	None
ross006zing01_01.TEI.2.text.body.div.sp.952.s.2	ô verbruyd !	None
ross006zing01_01.TEI.2.text.body.div.sp.952.s.3	Hier zo hangt het vilmes uyt , Want al myn ronde duyten , Die vlooge daar op eonen nagt , Ik wierd nog lalyk uyt gelagt ; Van veel ontaarde guyten .	None
ross006zing01_01.TEI.2.text.body.div.sp.959.s.1	Ja ik wou Bagchus wel voor zyn bek gegooyt hebben met al de Zeelandse sluyten , Doen ik daar al myn kostelyke Geld moest laaten , voor zo weynig genot , En al de Vrouluy verwensten ik op Plutoos akker , in zyn alder grootste Doofpot , En dan vervloekten ik Venus , en riep : dat zy de oorzaak was van al myn bedreeve lusjes .	None
ross006zing01_01.TEI.2.text.body.div.sp.976.s.1	Viva , de Zeuwze susjes , Die scheyne wonder goet , Zy bouwe wel van Kusjes , Het smaakt'er alle zoet , En wanneer gy 't haar maar doet , Zo zynse voort geneege , tot Gy vat wel wat ik meen .	Emotion_Benevolence
ross006zing01_01.TEI.2.text.body.div.sp.987.s.1	Of een die zulx niet begreype kan , dikklareer ik voor een zot die geen Rede verstaat , want Venus snuyt de beurs , en maakt veel zieke Ligchamen , En Bagchus doet ' er meenig aan 't pootje kwyne , en met rooye Neuze loopen , dat 't zyn zelfs moet schamen , Dog dit overgeslaage , ik verhuurde me in Zeeland te Kaap op een drommels dootje aan , Ik dagt een Eys' re Ketting , of een Gouwe , het moeter nu meê door gaan , Ook zo deet myn de honger al meenigmaal na een stukje Brood watertanden , En aan Boord gekoome zynde , Zong ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.996.s.1	Ha die Hollanden , Ha die Zeelanden , Het is geen schanden .	None
ross006zing01_01.TEI.2.text.body.div.sp.1005.s.1	Want een die te Kaap vaard , moet Roove , en Branden , Hakken , en houwe , of hy werd zeer weynig geagt , Bloed !	None
ross006zing01_01.TEI.2.text.body.div.sp.1005.s.2	wy kreege de eerstemaal een Fransvaarder , die was niet anders als met Wyne bevragt , Dat leek ons wonder wel , om een weynig onze drooge Keele te smeeren , En doen mogt 't ons gebeure zonder een duyt te verteeren , Nou wy speelden ook wel ter deeg .	None
ross006zing01_01.TEI.2.text.body.div.sp.1013.s.1	Lik , en veeg , Drink maar leeg ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1025.s.1	Ik zoop dat ik by me keel in de Kombuys neer zeeg , Zoet ik wil zegge in de Kajuyt , want daar lag een Vaatje , Dat den Kapiteyn voor zyn Provizie hield , vermits dat Jonge maatje , Loof ik weynig gedagte op onze Rovery had , Goon !	None
ross006zing01_01.TEI.2.text.body.div.sp.1025.s.2	wat lapten ik meenig glas met Fransse Nectar in me gat , Want het was me in langen tyd niet gebeurd , zo dapper te smullen , En wy bragten de Prys tot Zeeland op , daar ging me braaf onze hande vullen , Want yder Matroos , kreeg vyftig Gulde buyt Gelt alleen voor zyn hooft , En daar me weer in Zee .	None
