focq001mini02_01.TEI.2.text.body.div.head.227.s.1	De min in 't Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.25	Vermits hy voor heeft , u te toonen , Dat nooit de Min in beter plaats , Dan in het Gekken-huis kan woonen , En by een tal van zotte Maats .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.26	Nadien de Zotheid , en het minnen , Zo vast aan een gekoppelt zyn , Dat hy berooft moet zyn van zinnen , Of voor het minste zot in schyn , Die zich tot minnen gaat begeven ; Want , of in schyn , of in der daat , Is , en de Min , en 't Minnaars leven , Slechts puure Zotheid , op een draat .	None
focq001mini02_01.TEI.2.text.body.div.p.353.s.1	UYT .	None
focq001mini02_01.TEI.2.text.body.div.head.356.s.1	Eerste bedryf .	None
focq001mini02_01.TEI.2.text.body.div.head.357.s.1	Eerste tooneel .	None
focq001mini02_01.TEI.2.text.body.div.stage.359.s.1	Ferdinand , Valerius .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.361.s.1	Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.sp.363.s.1	Zo even kom ik eerst , gelyk gy ziet , in Stad .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.365.s.1	Valerius .	None
focq001mini02_01.TEI.2.text.body.div.sp.368.s.1	Maar 'k bid u , zeg my , wat verandering , en wat Verbleekte en dootsche Verf bespeur ik in uw weezen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.373.s.1	Ach ! 't schynt gy uit myn oog myn onluk weet te leezen .	Emotion_BodyPart_Unhappiness
focq001mini02_01.TEI.2.text.body.div.sp.373.s.2	Helaas !	None
focq001mini02_01.TEI.2.text.body.div.sp.373.s.3	Valerius !	None
focq001mini02_01.TEI.2.text.body.div.sp.373.s.4	myn lyf staat in uw hand .	None
focq001mini02_01.TEI.2.text.body.div.sp.377.s.1	Hoe dat ?	None
focq001mini02_01.TEI.2.text.body.div.sp.383.s.1	Myn waardste Vriend !	None
focq001mini02_01.TEI.2.text.body.div.sp.383.s.2	die met zo waarden band Van Broederlyke Trouw , steets waart aan my verbonden , Ik heb , helaas !...	None
focq001mini02_01.TEI.2.text.body.div.sp.387.s.1	Spreek op .	None
focq001mini02_01.TEI.2.text.body.div.sp.391.s.1	Ik heb ....	None
focq001mini02_01.TEI.2.text.body.div.sp.395.s.1	Wel nu ?	None
focq001mini02_01.TEI.2.text.body.div.sp.400.s.1	Gezonden Ten Afgrond , een ...	None
focq001mini02_01.TEI.2.text.body.div.sp.404.s.1	Wie toch ?	None
focq001mini02_01.TEI.2.text.body.div.sp.408.s.1	Zagt , hoort men ons hier niet ?	None
focq001mini02_01.TEI.2.text.body.div.sp.413.s.1	Ik zie geen mensch , spreek uit .	None
focq001mini02_01.TEI.2.text.body.div.sp.418.s.1	Ach !	None
focq001mini02_01.TEI.2.text.body.div.sp.418.s.2	tot myn leet , doorstiet Ik gistren zeekren Heer , die myn ...	None
focq001mini02_01.TEI.2.text.body.div.sp.423.s.1	Verlaat dit vrezen , Hier is geen mensch omtrent die u verdacht kan wezen .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.sp.428.s.1	Myn angst , Valerius , verbaast my zo , dat ik Voor 't ruissen van de wind , ja voor myn schaduw , schrik .	Fear_Emotion_BodilyProcess_Wonder
focq001mini02_01.TEI.2.text.body.div.sp.432.s.1	Ik bid , zeg my zyn Naam , laat my uw voorval hooren .	None
focq001mini02_01.TEI.2.text.body.div.sp.437.s.1	'k Vrees dat men overal myn stappen na zal spooren : Zo dat ik , waar ik ben , beducht ben in myn nood .	None
focq001mini02_01.TEI.2.text.body.div.sp.443.s.1	Gy schynt my door dees schrik reets doder dan de dood .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.sp.443.s.2	Zeg my , wie is het doch ?	None
focq001mini02_01.TEI.2.text.body.div.sp.443.s.3	laat my zyn Naam toch weten : Wat is hy ?	None
focq001mini02_01.TEI.2.text.body.div.sp.443.s.4	Edelman of niet ?	None
focq001mini02_01.TEI.2.text.body.div.sp.447.s.1	't Is my vergeten .	None
focq001mini02_01.TEI.2.text.body.div.sp.453.s.1	ô Twyffelmoedig hart !	Suspicion_Emotion_BodyPart
focq001mini02_01.TEI.2.text.body.div.sp.453.s.2	voorwaar ik zie in 't end , Dat gy de trouwheid van uw Vrind niet meer en kent , Of dat gy met my spot .	None
focq001mini02_01.TEI.2.text.body.div.sp.458.s.1	Wel aan nu , ik zal spreken : Weet dat ik Reynoud heb in 's Gravenhaag doorsteken .	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.1	Hoe !	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.2	Reynoud , zegt gy ?	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.3	ach !	None
focq001mini02_01.TEI.2.text.body.div.sp.462.s.4	wat droever ongeluk !	None
focq001mini02_01.TEI.2.text.body.div.sp.469.s.1	Te zwaren slag , helaas !	None
focq001mini02_01.TEI.2.text.body.div.sp.469.s.2	te vol van smert en druk : Zo braven Edelman , die ik zelfs nooit te vooren Gezien had , dus bedroeft , en deerlyk te doen smooren In 't bloeijenst van zyn tyd !	HeavyHeartedness_Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.sp.477.s.1	Uw onluk is te klaar !	None
focq001mini02_01.TEI.2.text.body.div.sp.477.s.2	Gewis dit toeval , Vrind , dreigt u met veel gevaar ; Mits gy de Vrinden van uw Vyand hebt te vreezen , Wiens macht en groot gezach u doodlyk zullen weezen .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.sp.487.s.1	Ach ! 't schynt dat my de Ziel uit schrik en angst begeeft ; En zo zy noch de macht van u te spreeken heeft , Is door uw Vriendschap , die myn hoop noch houd in 't leeven , Van dat gy in dees nood my niet en zult begeeven .	Fear_Emotion_Hope_BodyPart_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.sp.487.s.3	Vrind Valerius , berg my het leeven dan , Of zonder u ben ik gewis een lyfloos Man .	None
focq001mini02_01.TEI.2.text.body.div.sp.487.s.4	Maar hoe !	None
focq001mini02_01.TEI.2.text.body.div.sp.487.s.5	gy antwoord niet .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.1	'k Sta op uw staat te denken : Geen lastigheid zal ooit myn plicht van Vriendschap krenken .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.2	ô Neen !	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.3	ik sta alleen te peinzen wat voor raat My in dit ongeval aan u te geeven staat .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.4	Het feit dat is geschied , en is niet te herhaalen .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.5	Voorzichtigheid alleen , die is 't , die menigmaalen De sterkste Vyand door haar listen heeft verheert , Die door de Dapperheid vergeefs zou zyn gekeert .	None
focq001mini02_01.TEI.2.text.body.div.sp.500.s.6	Dees is 't dan boven al die ons hier hulp moet geeven : Maar , hoe , en om wat reên benaamt gy hem het leeven ?	None
focq001mini02_01.TEI.2.text.body.div.sp.533.s.1	Na dat ik gisteren een goet deel van de nacht Had by myn Leonoor in wellust doorgebracht , Die ik ( gelyk gy weet ) al over lang beminde , Kwam ik , in 't uitgaan van haar deur , een man te vinden ; Die , na ik merkte , met een knecht twee drie verzelt , Zich midden op de straat tot myn verspieder stelt : 't Geen Leonoor de deur deed sluiten , en vertrekken , En 't geen myn jalouzy zo hevig op kwam wekken , Dat na veel woorden , tot verdubbeling van spyt , Met het ontbloote staal de rest wierd afgepleyt .	Emotion_Envy_Desire_Remorse
focq001mini02_01.TEI.2.text.body.div.sp.533.s.2	Dees was Heer Reynoud ; mits 'k hem met zyn eigen woorden , ( Op 't vragen wie hy was ) zig zelfs zo noemen hoorden : Dees Naam , my wel bekent , doch door de Faam alleen , ( Vermits ik Reynoud zelf noit had gezien voorheen ) Kon niet beletten , spyt zyn staat en groot vermogen , Dat ik hem ging te keer .	None
focq001mini02_01.TEI.2.text.body.div.sp.533.s.3	Doch wyl de nacht onze oogen Zodanig hield bedekt , dat eerder by 't gevoel , Dan 't licht gevochten wierd , zo trof in dit gewoel , Doch tot myn ongeluk , dees kling myn Vyands leeven , Die , door myn razerny ten boezem ingedreeven , Hem met een naare schreeuw ter aarde storten deê .	Emotion_EmotionalAction_BodyPart_Anger
focq001mini02_01.TEI.2.text.body.div.sp.533.s.4	Ik hier door gantsch ontroert , vermits ik prykel leê Van , door zyn knechts geparst , myn leeven meê te laten , Begeef my op de vlucht , en door verscheide straten , Geraak ik in 't Voorhout , en zo voort Boswaart in , En eer de morgenstond dees dag noch gaf begin , Had ik reets zeven myl door Bos en Duyn gelopen : Zo kan de dootsche vrees een mensch met sporen nopen : In 't end ziet gy my hier dus vluchtig t'Amsterdam .	Fear_Emotion_Moved
focq001mini02_01.TEI.2.text.body.div.sp.555.s.1	ô Dolle jalouzy !	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.sp.555.s.2	ô zotte Minne-vlam !	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.555.s.3	De schuld van 't meeste bloed dat daag'lyks word vergooten , Is uit uw Kooker , en uw zotte drift gesprooten .	Emotion_Anger
focq001mini02_01.TEI.2.text.body.div.sp.555.s.4	Maar ach !	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.5	myn waarde Vrind !	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.6	waar loopt , waar vlucht gy best Voor uw Vervolgers ?	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.7	die zo wel in 't Oost , als West , ( Vermits 't onmoog'lyk is de wraakzugt te bepalen ) U door haar groot gezag zyn machtig t'achterhalen .	Emotion_Vindictiveness
focq001mini02_01.TEI.2.text.body.div.sp.555.s.9	Vriend !	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.10	uw dapperheid , en 't edelmoedig vier , Dat in uw Aders leeft , dat staat u al te dier .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.11	Myn geest staat duizenden van vonden t'overwegen , Ik denk , en overpeyns vast hondert duizent wegen , Om u te helpen , maar ik vind slechts ydelheid .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.12	Want hoewel dat gy ryk , en groot van vrinden zyt , Zo is 't onmogelyk u zelven te bewaaren Voor haar , die in gezag schier Prinsen evenaren .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.13	Maar zagt , daar schiet my iet , na dat my dunkt , in 't zin : De beste raad die valt zomtyds het eersten in .	None
focq001mini02_01.TEI.2.text.body.div.sp.555.s.14	Zoud gy wel machtig zyn een Zotte Rol te speelen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.559.s.1	Of zot of wys te zyn , kan my thans weinig scheelen .	None
focq001mini02_01.TEI.2.text.body.div.sp.572.s.1	't Is nodig dat gy u stelt in zo zotten schyn , Dat ieder die u ziet u waant puur zot te zyn ; En zo zult gy uw staat voor ieders oog bedekken .	None
focq001mini02_01.TEI.2.text.body.div.sp.572.s.2	Dat huis is , als gy weet , een Gasthuis , daar de Gekken Geherbergt worden , in haar zotte razerny : Indien gy 't wagen durft , en by aldien dat gy , Als een onzinnige , u durft daar in begeeven , Zo acht ik u bevryd van het gevaar van 't leeven : Want , en dees zotheid , en het Lazarus habyt , Zal nooit doen denken dat gy Ferdinandus zyt .	None
focq001mini02_01.TEI.2.text.body.div.sp.579.s.1	Uw raad behaagt my zeer .	None
focq001mini02_01.TEI.2.text.body.div.sp.579.s.2	Om dan myn doot te my den , Ga ik my van dees uur tot Zot te zyn bereiden : En zweer , dat ik my zelfs ga veinzen zo ontzind , Dat gy zelf geen verschil in schyn en waarheid vind .	None
focq001mini02_01.TEI.2.text.body.div.sp.584.s.1	'k Geloof schier 't geen gy zegt ; mits hier in , na myn oordeel , Een Minnaar de Natuur niet weinig heeft tot voordeel .	None
focq001mini02_01.TEI.2.text.body.div.div.head.585.s.1	Tweede tooneel .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.587.s.1	Isabella , Leonard , Valerius , Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.589.s.1	Leonard .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.596.s.1	Hier ziet gy , Isabel , dat machtig Amsterdam : Dit is de Poort , wiens naam van Sint Antony kwam , Gints ziet gy langs de straat de steile Zuider Tooren : In 't kort , dit is die Stad , die , uit Moeras gebooren , Aan heele Waerelden byna de wetten stelt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.598.s.1	Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.601.s.1	Ik vind die schoonder noch dan men my had vertelt ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.601.s.2	'k Beken , ik sta verbaast , door veel verwonderingen .	Emotion_Wonder
focq001mini02_01.TEI.2.text.body.div.div.sp.605.s.1	Gy ziet het slechtste deel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.609.s.1	Dit schynen vreemdelingen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.616.s.1	My dunkt het ook : 't is best hier niet te blyven staan ; Maar laat ons dadelyk ons spel beginnen gaan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.616.s.2	Treên wy in 't Lasrus-huis , om den Regent te spreeken , En om u met der vaart in 't Gekke-kleed te steeken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.621.s.1	Wel aan , wyl 't wezen moet , treê dan ter deuren in ; En zo neemt van dees uur myn zotheid een begin .	None
focq001mini02_01.TEI.2.text.body.div.div.head.623.s.1	Derde tooneel .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.625.s.1	Isabella , Leonard .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.629.s.1	Het is een schoone Stadt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.633.s.1	'k Zag beter noit myn leven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.1	De Hemel , Leonard , heeft ons veel luk gegeven , Van voor de nacht noch hier in Stadt geraakt te zyn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.2	Maar , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.3	hoe zwemt myn hart nog tussen vrees en pyn : Wyl ik met u ontvlucht myn land , en huys te gader ; Want laas !	Fear_Emotion_BodyPart_BodilyProcess_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.642.s.4	wat of uit spyt myn over-ouden Vader Nu niet wel vloekt , en zeid ?	Emotion_EmotionalAction_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.651.s.1	Al 't geen een Edelman In bloed , en eer gequetst , uit gramschap zeggen kan : My dunkt ik zie hem al uit dolheid loopen razen , En langs de straat het volk door zyn gezicht verbazen , U noemende de hoon , en smaat van zyn geslacht , En my een trouwloos knecht , die u tot oneer bracht .	Emotion_EmotionalAction_Wonder_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.657.s.1	Zo hy de dwaasheid oit heeft van myn Min geweten , 't Is zeker dat hy my wel Zot , en dol zal heten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.668.s.1	Schoon dat het Zotheid was in uw verdoolde zin , Een ongelyk portuur te kiezen door uw Min ; Zo wild my daarom nu , in 't minste niet verachten , Noch stoot myn nieuw geluk niet om , in uw gedachten ; Vermits de Liefde , die my nu uw Bruigom maakt , Doet , dat met een myn staat zo hoog als d ' uwe raakt , En schoon ik , als uit niet , ben tot dit luk gereezen , Denk dat ik nu niet meer ben die ik plag te weezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.673.s.1	Wat reeden hebt gy toch , myn waarde Leonard , Dat gy door deze reên , op nieuws , myn ziel benard ?	Fear_Emotion_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.677.s.1	Uw woorden , Isabel , doen my verandring vreezen .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.681.s.1	En wat verandering kund g ' uit myn woorden leezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.686.s.1	'k Merk dat gy my veracht , en u dees vlugt berouwt .	Emotion_Dissapointment_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.686.s.2	Mits ongelyke Min noit vaste stand en hout .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.692.s.2	zyt gy minder nu , dan toen ik u myn leven , Ja toen ik u myn Eer quam in uw handen geven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.692.s.3	Waard gy myn Dienaar niet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.696.s.1	Wel ja .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.1	Wat ongelyk Kan u die Eer dan doen waar meê ik u verryk ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.2	Van uit dien staat u tot myn Bruigom te verhoogen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.3	Maar neen , gy hebt my zelf , na dat ik zie , bedroogen : Uw inborst veinzende , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.4	in met my weg te vliên : Helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.705.s.5	ik merk het wel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.1	Hebt gy dat kunnen zien ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.2	En wist gy zelver niet dat het u zou berouwen ?	Emotion_Remorse
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.3	En dat ik dat berouw zou voor verachting houwen ?	Emotion_Disgust_Remorse
focq001mini02_01.TEI.2.text.body.div.div.sp.713.s.4	Gewislyk , Isabel gy haat my .	Emotion_Hatred
focq001mini02_01.TEI.2.text.body.div.div.sp.717.s.1	Zyt gy Zot ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.723.s.1	Ik ben wel Zot geweest , door 't zamen-spannen tot Dees schandelyke vlucht , verleyd door uw gebeeden , Waar door ik dagelyks my vond van u bestreeden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.1	Een teeken , dat ik u beminde , boven hem , Die door myn Vaders wil , en zyn gegeven stem , Ik zonder deze vlugt , te trouwen was gedwongen : Maar 't schynt , dat enkle woord , dat my flus is ontsprongen , ( Toen ik my zelven Zot dorst noemen door myn Min ) Dat quetst u het verstand , en speelt u in den zin .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.2	Noemt gy dan Leonard verachting u te minnen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.3	En door de Min alleen berooft te zyn van zinnen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.735.s.4	Gewis , die naam komt met myn hart niet over-een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.739.s.1	Uw hart is my bekend , spyt dees versierde reên .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.748.s.2	wie zouw myn hart oit beter kunnen weten , Dan gy , die door de Min daar vast zyt in gezeten ; Maar neen , Vrind Leonard !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.748.s.3	het schynt dat gy met list , Quansuys een oorzaak zoekt van opgeworpe twist , Om onder dezen schyn my schandig te verlaten : Maar , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.748.s.4	wat reden is 't , die u my dus doen haten .	Emotion_Hatred
focq001mini02_01.TEI.2.text.body.div.div.sp.762.s.1	Ontrouwe ! 't blykt genoeg , hoe dat gy my versmaat , En steets veracht hebt , om 't verschil van onze staat : Waar door gy my uw Min onwaardig denkt te wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.762.s.2	Want zo uw liefde was zo hoog in top gerezen , Gelykerwys gy veynst , hoe zoud g ' op myn begeer , My kunnen weig'ren dat , het geen gy noemt uw eer ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.762.s.3	Maar neen , onbuigbaar voor myn smecken , en gebeden , Blyft gy steets even koel , en houd verstand , en reden , Waar dat men anders , in een Ziel , die recht bemind , Noit zo veel achterdocht , en zo veel oordeel vind .	Suspicion_Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.1	Weet gy niet dat de deugt de driften moet verwinnen , Wanneer zy twisten om de Heerschappy der zinnen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.2	En dat ik , eer de Trouw ons ' liefde wettig maakt , De Kuysheid eeren moet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.3	ô Leonard !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.4	gy laakt , 't Geen in my , als een deugt , veel eerder is te pryzen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.5	Wat kan ik anders , dan met woorden u bewyzen , Dat ik u min ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.6	gewis had ik my zelfs zo bloot , En u het geyl genot gegeven van myn schoot , 'k Weet die lichtvaardigheid , had reets in uw gedachten , Na die genoten gunst , my doen van u verachten .	Emotion_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.777.s.7	Vermits men in 't gemeen , na 't Wetteloos genot , Van wien men wierd bemind , veracht wort en bespot .	Emotion_Love_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.786.s.1	Een schoont , die voor 't genot , had macht ons te doen blaken , Zal , na 't genot , veel eer ons ' vlammen heeter maken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.786.s.2	Maar neen , ô Isabel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.786.s.3	dees uw wantrouwigheid Spruit uit dees oorzaak niet daar gy uw deugt meê vleid : Maar uit iet anders , 't geen my zien doet uit uw oogen , Dat ik van u veracht , bespot ben , en bedroogen .	Emotion_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.790.s.1	ô Onverstandige !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.790.s.2	spaar deze woorden toch .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.794.s.1	Zeg Ongelukkige veel eer , door uw bedrog .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.801.s.1	Hoe nu !	None
